,datetime,YALE_RESERVOIR_NEAR_YALE__WA.tsv
197,2013-07-17,373082.02
198,2013-07-18,373081.69
199,2013-07-19,373081.49
200,2013-07-20,373080.9
201,2013-07-21,373080.62
202,2013-07-22,373080.99
203,2013-07-23,373080.36
204,2013-07-24,373079.33
205,2013-07-25,373079.06
206,2013-07-26,373078.85
207,2013-07-27,373078.95
208,2013-07-28,373079.51
209,2013-07-29,373079.53
210,2013-07-30,373079.63
211,2013-07-31,373079.89
212,2013-08-01,373080.32
213,2013-08-02,373080.02
214,2013-08-03,373080.42
215,2013-08-04,373080.84
216,2013-08-05,373081.58
217,2013-08-06,373081.19
218,2013-08-07,373081.12
219,2013-08-08,373081.49
220,2013-08-09,373082.06
221,2013-08-10,373081.04
222,2013-08-11,373080.07
223,2013-08-12,373079.63
224,2013-08-13,373079.19
225,2013-08-14,373079.63
226,2013-08-15,373080.05
227,2013-08-16,373080.6
228,2013-08-17,373080.53
229,2013-08-18,373080.6
230,2013-08-19,373081.0
231,2013-08-20,373081.17
232,2013-08-21,373080.96
233,2013-08-22,373081.46
234,2013-08-23,373081.715
235,2013-08-24,373081.97
236,2013-08-25,373082.7233333333
237,2013-08-26,373083.4766666667
238,2013-08-27,373084.23
239,2013-08-28,373085.03
240,2013-08-29,373085.84
241,2013-08-30,373086.97
242,2013-08-31,373087.87
243,2013-09-01,373088.05
244,2013-09-02,373088.18
245,2013-09-03,373088.57
246,2013-09-04,373088.53
247,2013-09-05,373088.64
248,2013-09-06,373089.02
249,2013-09-07,373089.13
250,2013-09-08,373088.4
251,2013-09-09,373088.52
252,2013-09-10,373088.52
253,2013-09-11,373088.18
254,2013-09-12,373087.45
255,2013-09-13,373086.7
256,2013-09-14,373085.71
257,2013-09-15,373085.11
258,2013-09-16,373085.83
259,2013-09-17,373085.9
260,2013-09-18,373086.19
261,2013-09-19,373086.29
262,2013-09-20,373087.17
263,2013-09-21,373087.24
264,2013-09-22,373087.62
265,2013-09-23,373087.44
266,2013-09-24,373087.63
267,2013-09-25,373087.55
268,2013-09-26,373086.66
269,2013-09-27,373086.22
270,2013-09-28,373085.12
271,2013-09-29,373085.75
272,2013-09-30,373086.27
273,2013-10-01,373086.41
274,2013-10-02,373087.37
275,2013-10-03,373088.87
276,2013-10-04,373088.07
277,2013-10-05,373086.8
278,2013-10-06,373086.11
279,2013-10-07,373085.62
280,2013-10-08,373085.69
281,2013-10-09,373086.38
282,2013-10-10,373085.83
283,2013-10-11,373084.34
284,2013-10-12,373083.71
285,2013-10-13,373082.92
286,2013-10-14,373082.02
287,2013-10-15,373081.4
288,2013-10-16,373080.23
289,2013-10-17,373080.97
290,2013-10-18,373080.76
291,2013-10-19,373080.91
292,2013-10-20,373080.74
