,datetime,WYNOOCHEE_LAKE_NEAR_GRISDALE__WA.tsv
69,2013-03-11,27737.32
70,2013-03-12,27737.18
71,2013-03-13,27738.32
72,2013-03-14,27738.56
73,2013-03-15,27739.12
74,2013-03-16,27739.34
75,2013-03-17,27739.17
76,2013-03-18,27738.66
77,2013-03-19,27738.09
78,2013-03-20,27739.92
79,2013-03-21,27739.51
80,2013-03-22,27738.24
81,2013-03-23,27736.57
82,2013-03-24,27735.16
83,2013-03-25,27734.14
84,2013-03-26,27734.13
85,2013-03-27,27734.38
86,2013-03-28,27734.64
87,2013-03-29,27734.89
88,2013-03-30,27735.17
89,2013-03-31,27735.54
90,2013-04-01,27736.04
91,2013-04-02,27736.46
92,2013-04-03,27736.74
93,2013-04-04,27737.53
94,2013-04-05,27742.33
95,2013-04-06,27746.79
96,2013-04-07,27748.93
97,2013-04-08,27749.08
98,2013-04-09,27747.85
99,2013-04-10,27747.24
100,2013-04-11,27746.19
101,2013-04-12,27745.82
102,2013-04-13,27745.42
103,2013-04-14,27745.8
104,2013-04-15,27746.41
105,2013-04-16,27746.91
106,2013-04-17,27747.34
107,2013-04-18,27747.75
108,2013-04-19,27748.44
109,2013-04-20,27749.11
110,2013-04-21,27749.67
111,2013-04-22,27750.12
112,2013-04-23,27750.51
113,2013-04-24,27750.86
114,2013-04-25,27751.24
115,2013-04-26,27751.7
116,2013-04-27,27752.21
117,2013-04-28,27752.77
118,2013-04-29,27753.36
119,2013-04-30,27753.72
120,2013-05-01,27753.99
121,2013-05-02,27754.22
122,2013-05-03,27754.5
123,2013-05-04,27754.91
124,2013-05-05,27755.43
125,2013-05-06,27756.06
126,2013-05-07,27756.7
127,2013-05-08,27757.27
128,2013-05-09,27757.81
129,2013-05-10,27758.4
130,2013-05-11,27758.95
131,2013-05-12,27759.84
132,2013-05-13,27760.95
133,2013-05-14,27761.61
134,2013-05-15,27762.03
135,2013-05-16,27762.41
136,2013-05-17,27762.79
137,2013-05-18,27763.18
138,2013-05-19,27763.47
139,2013-05-20,27763.7
140,2013-05-21,27763.93
141,2013-05-22,27764.11
142,2013-05-23,27764.33
143,2013-05-24,27764.5
144,2013-05-25,27764.75
145,2013-05-26,27765.18
146,2013-05-27,27766.43
147,2013-05-28,27767.77
148,2013-05-29,27768.69
149,2013-05-30,27769.39
150,2013-05-31,27769.68
151,2013-06-01,27769.99
152,2013-06-02,27769.81
153,2013-06-03,27769.79
154,2013-06-04,27769.74
155,2013-06-05,27769.68
156,2013-06-06,27769.61
157,2013-06-07,27769.5
158,2013-06-08,27769.59
159,2013-06-09,27769.65
160,2013-06-10,27769.68
161,2013-06-11,27769.69
162,2013-06-12,27769.71
163,2013-06-13,27769.71
164,2013-06-14,27769.66
165,2013-06-15,27769.6
166,2013-06-16,27769.53
167,2013-06-17,27769.47
168,2013-06-18,27769.45
169,2013-06-19,27769.4
170,2013-06-20,27769.33
171,2013-06-21,27769.26
172,2013-06-22,27769.17
173,2013-06-23,27769.15
174,2013-06-24,27769.29
175,2013-06-25,27769.62
176,2013-06-26,27769.9
177,2013-06-27,27769.77
178,2013-06-28,27769.68
179,2013-06-29,27769.64
180,2013-06-30,27769.68
181,2013-07-01,27769.75
182,2013-07-02,27769.76
183,2013-07-03,27769.72
184,2013-07-04,27769.66
185,2013-07-05,27769.57
186,2013-07-06,27769.46
187,2013-07-07,27769.33
188,2013-07-08,27769.19
189,2013-07-09,27769.03
190,2013-07-10,27768.86
191,2013-07-11,27768.67
192,2013-07-12,27768.48
193,2013-07-13,27768.27
194,2013-07-14,27768.05
195,2013-07-15,27767.83
196,2013-07-16,27767.6
197,2013-07-17,27767.37
198,2013-07-18,27767.16
199,2013-07-19,27766.94
200,2013-07-20,27766.72
201,2013-07-21,27766.48
202,2013-07-22,27766.24
203,2013-07-23,27766.0
204,2013-07-24,27765.75
205,2013-07-25,27765.49
206,2013-07-26,27765.23
207,2013-07-27,27764.96
208,2013-07-28,27764.7
209,2013-07-29,27764.42
210,2013-07-30,27764.15
211,2013-07-31,27763.87
212,2013-08-01,27763.59
213,2013-08-02,27763.31
214,2013-08-03,27763.03
215,2013-08-04,27762.74
216,2013-08-05,27762.45
217,2013-08-06,27762.17
218,2013-08-07,27761.88
219,2013-08-08,27761.58
220,2013-08-09,27761.25
221,2013-08-10,27760.93
222,2013-08-11,27760.6
223,2013-08-12,27760.27
224,2013-08-13,27759.94
225,2013-08-14,27759.68
226,2013-08-15,27759.4
227,2013-08-16,27759.08
228,2013-08-17,27758.76
229,2013-08-18,27758.43
230,2013-08-19,27758.1
231,2013-08-20,27757.76
232,2013-08-21,27757.42
233,2013-08-22,27757.07
234,2013-08-23,27756.74
235,2013-08-24,27756.4
236,2013-08-25,27756.05
237,2013-08-26,27755.74
238,2013-08-27,27755.45
239,2013-08-28,27755.18
240,2013-08-29,27755.24
241,2013-08-30,27755.33
242,2013-08-31,27755.12
243,2013-09-01,27754.84
244,2013-09-02,27754.54
245,2013-09-03,27754.22
246,2013-09-04,27753.9
247,2013-09-05,27753.54
248,2013-09-06,27753.04
249,2013-09-07,27752.55
250,2013-09-08,27752.04
251,2013-09-09,27751.52
252,2013-09-10,27751.0
253,2013-09-11,27750.48
254,2013-09-12,27749.96
255,2013-09-13,27749.43
256,2013-09-14,27748.9
257,2013-09-15,27748.406666666666
258,2013-09-16,27747.913333333334
259,2013-09-17,27747.42
260,2013-09-18,27746.88
261,2013-09-19,27746.35
262,2013-09-20,27745.86
263,2013-09-21,27745.35
264,2013-09-22,27745.46
265,2013-09-23,27744.74
266,2013-09-24,27744.25
267,2013-09-25,27743.93
268,2013-09-26,27743.49
269,2013-09-27,27743.1
270,2013-09-28,27742.99
271,2013-09-29,27743.12
272,2013-09-30,27742.36
273,2013-10-01,27742.49
274,2013-10-02,27742.05
275,2013-10-03,27740.91
276,2013-10-04,27739.32
277,2013-10-05,27738.16
278,2013-10-06,27737.77
279,2013-10-07,27737.55
280,2013-10-08,27737.71
281,2013-10-09,27737.74
282,2013-10-10,27737.7
283,2013-10-11,27737.59
284,2013-10-12,27737.44
285,2013-10-13,27737.24
286,2013-10-14,27737.01
287,2013-10-15,27736.76
288,2013-10-16,27736.48
289,2013-10-17,27736.18
290,2013-10-18,27735.87
291,2013-10-19,27735.53
292,2013-10-20,27735.18
293,2013-10-21,27734.82
294,2013-10-22,27734.44
295,2013-10-23,27734.05
296,2013-10-24,27733.65
297,2013-10-25,27733.23
298,2013-10-26,27732.8
299,2013-10-27,27732.37
300,2013-10-28,27731.98
301,2013-10-29,27731.6
302,2013-10-30,27731.27
303,2013-10-31,27730.95
304,2013-11-01,27730.6
305,2013-11-02,27730.75
306,2013-11-03,27730.65
307,2013-11-04,27730.41
308,2013-11-05,27730.17
309,2013-11-06,27729.91
310,2013-11-07,27732.86
311,2013-11-08,27734.14
312,2013-11-09,27734.51
313,2013-11-10,27734.64
314,2013-11-11,27734.62
315,2013-11-12,27735.04
316,2013-11-13,27735.52
317,2013-11-14,27735.69
318,2013-11-15,27735.97
319,2013-11-16,27736.37
320,2013-11-17,27736.66
321,2013-11-18,27738.99
322,2013-11-19,27739.48
323,2013-11-20,27738.69
324,2013-11-21,27739.19
325,2013-11-22,27739.47
326,2013-11-23,27739.62
327,2013-11-24,27739.68
328,2013-11-25,27739.67
329,2013-11-26,27739.6
330,2013-11-27,27739.5
331,2013-11-28,27739.34
332,2013-11-29,27739.16
333,2013-11-30,27739.04
334,2013-12-01,27739.84
335,2013-12-02,27739.36
336,2013-12-03,27739.06
337,2013-12-04,27739.12
338,2013-12-05,27739.1
339,2013-12-06,27739.01
340,2013-12-07,27738.85
341,2013-12-08,27738.61
342,2013-12-09,27738.35
343,2013-12-10,27738.07
344,2013-12-11,27737.77
345,2013-12-12,27737.59
346,2013-12-13,27737.35
347,2013-12-14,27737.08
348,2013-12-15,27736.89
349,2013-12-16,27736.66
350,2013-12-17,27736.4
351,2013-12-18,27736.1
352,2013-12-19,27735.78
353,2013-12-20,27735.55
354,2013-12-21,27735.3
355,2013-12-22,27735.07
356,2013-12-23,27735.38
357,2013-12-24,27735.44
358,2013-12-25,27735.35
359,2013-12-26,27735.18
360,2013-12-27,27734.99
361,2013-12-28,27734.75
362,2013-12-29,27734.48
363,2013-12-30,27734.19
364,2013-12-31,27733.88
365,2014-01-01,27733.54
366,2014-01-02,27733.33
367,2014-01-03,27733.18
368,2014-01-04,27732.89
369,2014-01-05,27732.57
370,2014-01-06,27732.24
371,2014-01-07,27732.21
372,2014-01-08,27733.16
373,2014-01-09,27733.57
374,2014-01-10,27733.75
375,2014-01-11,27741.01
376,2014-01-12,27741.96
377,2014-01-13,27742.06
378,2014-01-14,27741.34
379,2014-01-15,27740.98
380,2014-01-16,27741.08
381,2014-01-17,27741.03
382,2014-01-18,27740.84
383,2014-01-19,27740.55
384,2014-01-20,27740.17
385,2014-01-21,27739.73
386,2014-01-22,27739.24
387,2014-01-23,27738.7
388,2014-01-24,27738.28
389,2014-01-25,27738.18
390,2014-01-26,27738.07
391,2014-01-27,27737.92
392,2014-01-28,27737.83
393,2014-01-29,27738.32
394,2014-01-30,27738.61
395,2014-01-31,27738.69
396,2014-02-01,27738.69
397,2014-02-02,27738.63
398,2014-02-03,27738.53
399,2014-02-04,27738.38
400,2014-02-05,27738.2
401,2014-02-06,27737.99
402,2014-02-07,27737.75
403,2014-02-08,27737.49
404,2014-02-09,27737.24
405,2014-02-10,27737.47
406,2014-02-11,27738.11
407,2014-02-12,27739.29
408,2014-02-13,27738.57
409,2014-02-14,27738.4
410,2014-02-15,27738.32
411,2014-02-16,27738.36
412,2014-02-17,27738.28
413,2014-02-18,27738.4
414,2014-02-19,27738.15
415,2014-02-20,27738.03
416,2014-02-21,27737.53
417,2014-02-22,27737.6
418,2014-02-23,27737.58
419,2014-02-24,27737.79
420,2014-02-25,27738.34
421,2014-02-26,27738.75
422,2014-02-27,27738.96
423,2014-02-28,27739.02
424,2014-03-01,27738.98
425,2014-03-02,27739.72
426,2014-03-03,27741.74
427,2014-03-04,27743.3
428,2014-03-05,27745.44
429,2014-03-06,27745.68
430,2014-03-07,27745.65
431,2014-03-08,27745.81
432,2014-03-09,27745.98
433,2014-03-10,27745.86
434,2014-03-11,27745.6
435,2014-03-12,27744.91
436,2014-03-13,27743.96
437,2014-03-14,27743.8
438,2014-03-15,27743.88
439,2014-03-16,27745.27
440,2014-03-17,27745.0
441,2014-03-18,27744.3
442,2014-03-19,27744.75
443,2014-03-20,27745.16
444,2014-03-21,27745.41
445,2014-03-22,27745.54
446,2014-03-23,27745.58
447,2014-03-24,27745.57
448,2014-03-25,27746.22
449,2014-03-26,27747.11
450,2014-03-27,27747.47
451,2014-03-28,27748.69
452,2014-03-29,27749.43
453,2014-03-30,27749.73
454,2014-03-31,27750.42
455,2014-04-01,27750.76
456,2014-04-02,27750.89
457,2014-04-03,27751.07
458,2014-04-04,27751.33
459,2014-04-05,27751.74
460,2014-04-06,27752.19
461,2014-04-07,27752.34
462,2014-04-08,27752.94
463,2014-04-09,27753.51
464,2014-04-10,27753.91
465,2014-04-11,27754.23
466,2014-04-12,27754.49
467,2014-04-13,27754.7
468,2014-04-14,27754.87
469,2014-04-15,27755.0
470,2014-04-16,27755.69
471,2014-04-17,27757.97
472,2014-04-18,27759.31
473,2014-04-19,27760.23
474,2014-04-20,27761.02
475,2014-04-21,27761.43
476,2014-04-22,27761.99
477,2014-04-23,27762.71
478,2014-04-24,27764.82
479,2014-04-25,27765.85
480,2014-04-26,27766.52
481,2014-04-27,27767.43
482,2014-04-28,27768.13
483,2014-04-29,27768.69
484,2014-04-30,27769.18
485,2014-05-01,27769.39
486,2014-05-02,27769.43
487,2014-05-03,27769.69
488,2014-05-04,27769.87
489,2014-05-05,27769.61
490,2014-05-06,27769.5
491,2014-05-07,27769.52
492,2014-05-08,27769.47
493,2014-05-09,27769.47
494,2014-05-10,27769.18
495,2014-05-11,27769.34
496,2014-05-12,27769.65
497,2014-05-13,27769.87
498,2014-05-14,27769.81
499,2014-05-15,27769.71
500,2014-05-16,27769.57
501,2014-05-17,27769.45
502,2014-05-18,27769.63
503,2014-05-19,27769.76
504,2014-05-20,27769.86
505,2014-05-21,27769.87
506,2014-05-22,27769.63
507,2014-05-23,27769.38
508,2014-05-24,27769.38
509,2014-05-25,27769.43
510,2014-05-26,27769.46
511,2014-05-27,27769.47
512,2014-05-28,27769.44
513,2014-05-29,27769.4
514,2014-05-30,27769.35
515,2014-05-31,27769.27
516,2014-06-01,27769.2
517,2014-06-02,27769.11
518,2014-06-03,27769.02
519,2014-06-04,27768.92
520,2014-06-05,27768.81
521,2014-06-06,27768.68
522,2014-06-07,27768.55
523,2014-06-08,27768.41
524,2014-06-09,27768.27
525,2014-06-10,27768.11
526,2014-06-11,27767.92
527,2014-06-12,27767.73
528,2014-06-13,27767.52
529,2014-06-14,27767.31
530,2014-06-15,27767.1
531,2014-06-16,27766.86
532,2014-06-17,27766.56
533,2014-06-18,27766.27
534,2014-06-19,27765.99
535,2014-06-20,27765.7
536,2014-06-21,27765.4
537,2014-06-22,27765.09
538,2014-06-23,27764.78
539,2014-06-24,27764.47
540,2014-06-25,27764.13
541,2014-06-26,27763.76
542,2014-06-27,27763.51
543,2014-06-28,27763.32
544,2014-06-29,27763.03
545,2014-06-30,27762.69
546,2014-07-01,27762.36
547,2014-07-02,27762.14
548,2014-07-03,27761.85
549,2014-07-04,27761.55
550,2014-07-05,27761.26
551,2014-07-06,27760.96
552,2014-07-07,27760.65
553,2014-07-08,27760.34
554,2014-07-09,27759.99
555,2014-07-10,27759.61
556,2014-07-11,27759.18
557,2014-07-12,27758.75
558,2014-07-13,27758.31
559,2014-07-14,27757.87
560,2014-07-15,27757.4
561,2014-07-16,27756.87
562,2014-07-17,27756.3
563,2014-07-18,27755.68
564,2014-07-19,27755.01
565,2014-07-20,27754.34
566,2014-07-21,27753.63
567,2014-07-22,27752.9
568,2014-07-23,27752.24
569,2014-07-24,27751.56
570,2014-07-25,27751.21
571,2014-07-26,27750.88
572,2014-07-27,27750.56
573,2014-07-28,27750.22
574,2014-07-29,27749.88
575,2014-07-30,27749.54
576,2014-07-31,27749.19
577,2014-08-01,27748.84
578,2014-08-02,27748.49
579,2014-08-03,27748.13
580,2014-08-04,27747.77
581,2014-08-05,27747.4
582,2014-08-06,27747.01
583,2014-08-07,27746.63
584,2014-08-08,27746.32
585,2014-08-09,27746.01
586,2014-08-10,27745.7
587,2014-08-11,27745.38
588,2014-08-12,27745.06
589,2014-08-13,27744.87
590,2014-08-14,27744.59
591,2014-08-15,27744.31
592,2014-08-16,27744.02
593,2014-08-17,27743.7
594,2014-08-18,27743.39
595,2014-08-19,27743.06
596,2014-08-20,27742.73
597,2014-08-21,27742.41
598,2014-08-22,27742.08
599,2014-08-23,27741.76
600,2014-08-24,27741.43
601,2014-08-25,27741.09
602,2014-08-26,27740.74
603,2014-08-27,27740.38
604,2014-08-28,27740.01
605,2014-08-29,27739.66
606,2014-08-30,27739.32
607,2014-08-31,27738.97
608,2014-09-01,27738.61
609,2014-09-02,27738.24
610,2014-09-03,27737.87
611,2014-09-04,27737.49
612,2014-09-05,27737.11
613,2014-09-06,27736.72
614,2014-09-07,27736.32
615,2014-09-08,27735.92
616,2014-09-09,27735.52
617,2014-09-10,27735.13
618,2014-09-11,27734.72
619,2014-09-12,27734.31
620,2014-09-13,27733.91
621,2014-09-14,27733.5
622,2014-09-15,27733.06
623,2014-09-16,27732.65
624,2014-09-17,27732.28
625,2014-09-18,27731.9
626,2014-09-19,27731.51
627,2014-09-20,27731.09
628,2014-09-21,27730.68
629,2014-09-22,27730.25
630,2014-09-23,27730.12
631,2014-09-24,27730.26
632,2014-09-25,27730.05
633,2014-09-26,27730.06
634,2014-09-27,27729.81
635,2014-09-28,27729.77
636,2014-09-29,27729.67
637,2014-09-30,27729.44
638,2014-10-01,27729.17
639,2014-10-02,27728.88
640,2014-10-03,27728.56
641,2014-10-04,27728.22
642,2014-10-05,27727.84
643,2014-10-06,27727.48
644,2014-10-07,27727.11
645,2014-10-08,27726.72
646,2014-10-09,27726.33
647,2014-10-10,27725.98
648,2014-10-11,27725.69
649,2014-10-12,27725.33
650,2014-10-13,27725.47
651,2014-10-14,27726.13
652,2014-10-15,27727.09
653,2014-10-16,27728.32
654,2014-10-17,27730.35
655,2014-10-18,27733.16
656,2014-10-19,27734.54
657,2014-10-20,27738.59
658,2014-10-21,27741.51
659,2014-10-22,27741.57
660,2014-10-23,27740.35
661,2014-10-24,27739.94
662,2014-10-25,27741.04
663,2014-10-26,27742.11
664,2014-10-27,27741.98
665,2014-10-28,27743.67
666,2014-10-29,27744.36
667,2014-10-30,27742.74
668,2014-10-31,27741.15
669,2014-11-01,27740.22
670,2014-11-02,27739.67
671,2014-11-03,27740.04
672,2014-11-04,27740.36
673,2014-11-05,27739.12
674,2014-11-06,27741.48
675,2014-11-07,27741.9
676,2014-11-08,27741.23
677,2014-11-09,27740.94
678,2014-11-10,27740.54
679,2014-11-11,27739.9
680,2014-11-12,27739.41
681,2014-11-13,27739.45
682,2014-11-14,27739.48
683,2014-11-15,27739.41
684,2014-11-16,27739.28
685,2014-11-17,27739.08
686,2014-11-18,27738.85
687,2014-11-19,27738.58
688,2014-11-20,27738.56
689,2014-11-21,27741.24
690,2014-11-22,27741.58
691,2014-11-23,27741.11
692,2014-11-24,27740.08
693,2014-11-25,27740.27
694,2014-11-26,27739.6
695,2014-11-27,27742.83
696,2014-11-28,27744.05
697,2014-11-29,27743.4
698,2014-11-30,27743.46
699,2014-12-01,27743.24
700,2014-12-02,27742.67
701,2014-12-03,27741.89
702,2014-12-04,27741.0
703,2014-12-05,27740.36
704,2014-12-06,27740.4
705,2014-12-07,27739.87
706,2014-12-08,27739.02
707,2014-12-09,27741.52
708,2014-12-10,27741.35
709,2014-12-11,27740.89
710,2014-12-12,27742.6
711,2014-12-13,27742.59
712,2014-12-14,27741.94
713,2014-12-15,27740.92
714,2014-12-16,27739.7
715,2014-12-17,27738.46
716,2014-12-18,27738.59
717,2014-12-19,27739.7
718,2014-12-20,27742.27
719,2014-12-21,27743.23
720,2014-12-22,27743.24
721,2014-12-23,27742.53
722,2014-12-24,27741.7
723,2014-12-25,27740.98
724,2014-12-26,27740.7
725,2014-12-27,27740.76
726,2014-12-28,27741.11
727,2014-12-29,27741.43
728,2014-12-30,27741.64
729,2014-12-31,27741.79
730,2015-01-01,27741.86
731,2015-01-02,27741.89
732,2015-01-03,27741.84
733,2015-01-04,27743.01
734,2015-01-05,27747.54
735,2015-01-06,27745.36
736,2015-01-07,27743.34
737,2015-01-08,27742.76
738,2015-01-09,27742.52
739,2015-01-10,27742.12
740,2015-01-11,27741.6
741,2015-01-12,27740.98
742,2015-01-13,27740.63
743,2015-01-14,27740.52
744,2015-01-15,27740.7
745,2015-01-16,27741.17
746,2015-01-17,27742.14
747,2015-01-18,27745.09
748,2015-01-19,27744.92
749,2015-01-20,27744.55
750,2015-01-21,27743.84
751,2015-01-22,27743.06
752,2015-01-23,27743.61
753,2015-01-24,27744.24
754,2015-01-25,27743.93
755,2015-01-26,27743.28
756,2015-01-27,27742.44
757,2015-01-28,27741.81
758,2015-01-29,27741.79
759,2015-01-30,27741.82
760,2015-01-31,27741.78
761,2015-02-01,27741.76
762,2015-02-02,27741.74
763,2015-02-03,27741.65
764,2015-02-04,27741.61
765,2015-02-05,27744.94
766,2015-02-06,27745.49
767,2015-02-07,27745.36
768,2015-02-08,27744.63
769,2015-02-09,27744.66
770,2015-02-10,27744.81
771,2015-02-11,27744.84
772,2015-02-12,27744.67
773,2015-02-13,27744.88
774,2015-02-14,27745.09
775,2015-02-15,27745.15
776,2015-02-16,27745.11
777,2015-02-17,27744.98
778,2015-02-18,27744.92
779,2015-02-19,27744.87
780,2015-02-20,27744.76
781,2015-02-21,27744.59
782,2015-02-22,27744.38
