,datetime,UPPER_KLAMATH_LAKE_NEAR_KLAMATH_FALLS__OR.tsv
0,2013-01-01,8279.81
1,2013-01-02,8279.83
2,2013-01-03,8279.85
3,2013-01-04,8279.89
4,2013-01-05,8279.92
5,2013-01-06,8279.95
6,2013-01-07,8279.98
7,2013-01-08,8280.03
8,2013-01-09,8280.1
9,2013-01-10,8280.12
10,2013-01-11,8280.17
11,2013-01-12,8280.21
12,2013-01-13,8280.22
13,2013-01-14,8280.23
14,2013-01-15,8280.2
15,2013-01-16,8280.21
16,2013-01-17,8280.21
17,2013-01-18,8280.23
18,2013-01-19,8280.25
19,2013-01-20,8280.27
20,2013-01-21,8280.28
21,2013-01-22,8280.31
22,2013-01-23,8280.34
23,2013-01-24,8280.42
24,2013-01-25,8280.49
25,2013-01-26,8280.59
26,2013-01-27,8280.64
27,2013-01-28,8280.7
28,2013-01-29,8280.79
29,2013-01-30,8280.86
30,2013-01-31,8280.93
31,2013-02-01,8280.98
32,2013-02-02,8281.04
33,2013-02-03,8281.09
34,2013-02-04,8281.16
35,2013-02-05,8281.21
36,2013-02-06,8281.24
37,2013-02-07,8281.34
38,2013-02-08,8281.41
39,2013-02-09,8281.45
40,2013-02-10,8281.5
41,2013-02-11,8281.57
42,2013-02-12,8281.61
43,2013-02-13,8281.67
44,2013-02-14,8281.69
45,2013-02-15,8281.75
46,2013-02-16,8281.8
47,2013-02-17,8281.86
48,2013-02-18,8281.91
49,2013-02-19,8281.99
50,2013-02-20,8282.060000000001
51,2013-02-21,8282.119999999999
52,2013-02-22,8282.18
53,2013-02-23,8282.27
54,2013-02-24,8282.31
55,2013-02-25,8282.369999999999
56,2013-02-26,8282.439999999999
57,2013-02-27,8282.49
58,2013-02-28,8282.55
59,2013-03-01,8282.59
60,2013-03-02,8282.62
61,2013-03-03,8282.67
62,2013-03-04,8282.7
63,2013-03-05,8282.630000000001
64,2013-03-06,8282.78
65,2013-03-07,8282.95
66,2013-03-08,8283.080000000002
67,2013-03-09,8282.96
68,2013-03-10,8282.99
69,2013-03-11,8283.080000000002
70,2013-03-12,8283.05
71,2013-03-13,8283.11
72,2013-03-14,8283.119999999999
73,2013-03-15,8283.23
74,2013-03-16,8283.369999999999
75,2013-03-17,8283.439999999999
76,2013-03-18,8283.369999999999
77,2013-03-19,8283.04
78,2013-03-20,8283.45
79,2013-03-21,8283.68
80,2013-03-22,8283.71
81,2013-03-23,8283.64
82,2013-03-24,8283.68
83,2013-03-25,8283.650000000001
84,2013-03-26,8283.720000000001
85,2013-03-27,8283.66
86,2013-03-28,8283.74
87,2013-03-29,8283.94
88,2013-03-30,8283.869999999999
89,2013-03-31,8283.86
90,2013-04-01,8284.02
91,2013-04-02,8284.07
92,2013-04-03,8284.060000000001
93,2013-04-04,8283.85
94,2013-04-05,8283.95
95,2013-04-06,8284.05
96,2013-04-07,8285.02
97,2013-04-08,8284.810000000001
98,2013-04-09,8284.630000000001
99,2013-04-10,8284.68
100,2013-04-11,8284.81
101,2013-04-12,8284.82
102,2013-04-13,8284.91
103,2013-04-14,8284.93
104,2013-04-15,8285.21
105,2013-04-16,8284.92
106,2013-04-17,8284.880000000001
107,2013-04-18,8284.82
108,2013-04-19,8284.98
109,2013-04-20,8284.86
110,2013-04-21,8284.92
111,2013-04-22,8284.96
112,2013-04-23,8285.11
113,2013-04-24,8284.95
114,2013-04-25,8284.84
115,2013-04-26,8284.869999999999
116,2013-04-27,8284.91
117,2013-04-28,8284.89
118,2013-04-29,8284.96
119,2013-04-30,8284.96
120,2013-05-01,8284.599999999999
121,2013-05-02,8284.75
122,2013-05-03,8284.81
123,2013-05-04,8284.59
124,2013-05-05,8284.400000000001
125,2013-05-06,8284.57
126,2013-05-07,8284.55
127,2013-05-08,8284.54
128,2013-05-09,8284.45
129,2013-05-10,8284.52
130,2013-05-11,8284.45
131,2013-05-12,8284.439999999999
132,2013-05-13,8284.45
133,2013-05-14,8284.490000000002
134,2013-05-15,8284.39
135,2013-05-16,8284.400000000001
136,2013-05-17,8284.369999999999
137,2013-05-18,8284.32
138,2013-05-19,8284.39
139,2013-05-20,8284.33
140,2013-05-21,8284.24
141,2013-05-22,8284.24
142,2013-05-23,8284.27
143,2013-05-24,8284.2
144,2013-05-25,8283.99
145,2013-05-26,8283.96
146,2013-05-27,8283.939999999999
147,2013-05-28,8283.830000000002
148,2013-05-29,8284.09
