,datetime,UPPER_KLAMATH_LAKE_NEAR_KLAMATH_FALLS__OR.tsv
149,2013-05-30,8284.21
150,2013-05-31,8284.18
151,2013-06-01,8284.1
152,2013-06-02,8284.12
153,2013-06-03,8283.96
154,2013-06-04,8283.89
155,2013-06-05,8283.82
156,2013-06-06,8283.75
157,2013-06-07,8283.77
158,2013-06-08,8283.68
159,2013-06-09,8283.630000000001
160,2013-06-10,8283.54
161,2013-06-11,8283.6
162,2013-06-12,8283.45
163,2013-06-13,8283.23
164,2013-06-14,8283.1
165,2013-06-15,8282.99
166,2013-06-16,8282.86
167,2013-06-17,8282.89
168,2013-06-18,8283.029999999999
169,2013-06-19,8282.73
170,2013-06-20,8282.52
171,2013-06-21,8282.49
172,2013-06-22,8282.34
173,2013-06-23,8282.2
174,2013-06-24,8281.82
175,2013-06-25,8281.99
176,2013-06-26,8282.05
177,2013-06-27,8282.21
178,2013-06-28,8282.42
179,2013-06-29,8282.259999999998
180,2013-06-30,8282.24
181,2013-07-01,8282.130000000001
182,2013-07-02,8282.05
183,2013-07-03,8282.16
184,2013-07-04,8282.279999999999
185,2013-07-05,8282.24
186,2013-07-06,8281.95
187,2013-07-07,8281.75
188,2013-07-08,8281.67
189,2013-07-09,8281.46
190,2013-07-10,8281.48
191,2013-07-11,8281.42
192,2013-07-12,8281.41
193,2013-07-13,8281.34
194,2013-07-14,8281.27
195,2013-07-15,8281.12
196,2013-07-16,8280.96
197,2013-07-17,8280.95
198,2013-07-18,8281.0
199,2013-07-19,8280.88
200,2013-07-20,8280.7
201,2013-07-21,8280.62
202,2013-07-22,8280.61
203,2013-07-23,8280.42
204,2013-07-24,8280.39
205,2013-07-25,8280.21
206,2013-07-26,8280.11
207,2013-07-27,8280.42
208,2013-07-28,8280.130000000001
209,2013-07-29,8279.970000000001
210,2013-07-30,8279.9
211,2013-07-31,8279.84
212,2013-08-01,8279.79
213,2013-08-02,8279.83
214,2013-08-03,8279.7
215,2013-08-04,8279.6
216,2013-08-05,8279.52
217,2013-08-06,8279.55
218,2013-08-07,8279.650000000001
219,2013-08-08,8279.240000000002
220,2013-08-09,8279.28
221,2013-08-10,8279.18
222,2013-08-11,8279.22
223,2013-08-12,8279.24
224,2013-08-13,8279.23
225,2013-08-14,8279.03
226,2013-08-15,8278.919999999998
227,2013-08-16,8278.91
228,2013-08-17,8279.02
229,2013-08-18,8278.93
230,2013-08-19,8278.83
231,2013-08-20,8279.08
232,2013-08-21,8278.66
233,2013-08-22,8278.54
234,2013-08-23,8278.58
235,2013-08-24,8278.48
236,2013-08-25,8278.46
237,2013-08-26,8278.47
238,2013-08-27,8278.380000000001
239,2013-08-28,8278.19
240,2013-08-29,8278.32
241,2013-08-30,8278.32
242,2013-08-31,8278.04
243,2013-09-01,8278.02
244,2013-09-02,8278.11
245,2013-09-03,8278.04
246,2013-09-04,8278.119999999999
247,2013-09-05,8278.02
248,2013-09-06,8278.04
249,2013-09-07,8278.08
250,2013-09-08,8278.310000000001
251,2013-09-09,8278.0
252,2013-09-10,8277.84
253,2013-09-11,8277.96
254,2013-09-12,8277.72
255,2013-09-13,8277.72
256,2013-09-14,8277.57
257,2013-09-15,8277.45
258,2013-09-16,8277.64
259,2013-09-17,8277.720000000001
260,2013-09-18,8277.5
261,2013-09-19,8277.43
262,2013-09-20,8277.21
263,2013-09-21,8277.369999999999
264,2013-09-22,8277.150000000001
265,2013-09-23,8277.55
266,2013-09-24,8277.51
267,2013-09-25,8277.650000000001
268,2013-09-26,8277.61
269,2013-09-27,8277.35
270,2013-09-28,8276.68
271,2013-09-29,8276.93
272,2013-09-30,8277.71
273,2013-10-01,8277.89
274,2013-10-02,8277.84
275,2013-10-03,8277.82
276,2013-10-04,8277.74
277,2013-10-05,8277.64
278,2013-10-06,8277.54
279,2013-10-07,8277.92
280,2013-10-08,8277.86
281,2013-10-09,8278.04
282,2013-10-10,8277.68
283,2013-10-11,8277.68
284,2013-10-12,8277.83
285,2013-10-13,8277.869999999999
286,2013-10-14,8277.93
287,2013-10-15,8277.689999999999
288,2013-10-16,8277.69
289,2013-10-17,8277.740000000002
290,2013-10-18,8277.73
291,2013-10-19,8277.79
292,2013-10-20,8277.79
293,2013-10-21,8277.82
294,2013-10-22,8277.82
295,2013-10-23,8277.85
296,2013-10-24,8277.869999999999
297,2013-10-25,8277.85
298,2013-10-26,8277.89
299,2013-10-27,8278.43
300,2013-10-28,8278.35
301,2013-10-29,8277.84
302,2013-10-30,8277.83
303,2013-10-31,8277.880000000001
304,2013-11-01,8277.81
305,2013-11-02,8277.93
306,2013-11-03,8277.99
307,2013-11-04,8277.92
308,2013-11-05,8277.759999999998
309,2013-11-06,8277.98
310,2013-11-07,8277.939999999999
311,2013-11-08,8278.05
312,2013-11-09,8278.07
313,2013-11-10,8278.07
314,2013-11-11,8277.990000000002
315,2013-11-12,8278.07
316,2013-11-13,8278.15
317,2013-11-14,8278.29
318,2013-11-15,8278.29
319,2013-11-16,8278.14
320,2013-11-17,8278.1
321,2013-11-18,8277.96
322,2013-11-19,8278.1
323,2013-11-20,8279.09
324,2013-11-21,8278.830000000002
325,2013-11-22,8278.720000000001
326,2013-11-23,8278.46
327,2013-11-24,8278.31
328,2013-11-25,8278.3
329,2013-11-26,8278.32
330,2013-11-27,8278.35
331,2013-11-28,8278.369999999999
332,2013-11-29,8278.369999999999
333,2013-11-30,8278.39
334,2013-12-01,8278.25
335,2013-12-02,8278.689999999999
336,2013-12-03,8278.73
337,2013-12-04,8278.64
338,2013-12-05,8278.51
339,2013-12-06,8278.560000000001
340,2013-12-07,8278.630000000001
341,2013-12-08,8278.6
342,2013-12-09,8278.61
343,2013-12-10,8278.6
344,2013-12-11,8278.57
345,2013-12-12,8278.64
346,2013-12-13,8278.65
347,2013-12-14,8278.67
348,2013-12-15,8278.71
349,2013-12-16,8278.72
350,2013-12-17,8278.77
351,2013-12-18,8278.81
352,2013-12-19,8278.85
353,2013-12-20,8278.84
354,2013-12-21,8278.869999999999
355,2013-12-22,8278.92
356,2013-12-23,8278.96
357,2013-12-24,8278.96
358,2013-12-25,8279.02
359,2013-12-26,8279.06
360,2013-12-27,8279.14
361,2013-12-28,8279.15
362,2013-12-29,8279.19
363,2013-12-30,8279.21
364,2013-12-31,8279.26
365,2014-01-01,8279.28
366,2014-01-02,8279.33
367,2014-01-03,8279.369999999999
368,2014-01-04,8279.36
369,2014-01-05,8279.4
370,2014-01-06,8279.439999999999
371,2014-01-07,8279.46
372,2014-01-08,8279.51
373,2014-01-09,8279.54
374,2014-01-10,8279.58
375,2014-01-11,8279.66
376,2014-01-12,8279.74
377,2014-01-13,8279.81
378,2014-01-14,8279.86
379,2014-01-15,8279.88
380,2014-01-16,8279.939999999999
381,2014-01-17,8279.98
382,2014-01-18,8280.0
383,2014-01-19,8280.060000000001
384,2014-01-20,8280.08
385,2014-01-21,8280.14
386,2014-01-22,8280.18
387,2014-01-23,8280.24
388,2014-01-24,8280.24
389,2014-01-25,8280.26
390,2014-01-26,8280.3
391,2014-01-27,8280.36
392,2014-01-28,8280.38
393,2014-01-29,8280.51
394,2014-01-30,8280.55
395,2014-01-31,8280.619999999999
396,2014-02-01,8280.64
397,2014-02-02,8280.650000000001
398,2014-02-03,8280.76
399,2014-02-04,8280.779999999999
400,2014-02-05,8280.85
401,2014-02-06,8280.71
402,2014-02-07,8280.75
403,2014-02-08,8280.82
404,2014-02-09,8281.01
405,2014-02-10,8281.09
406,2014-02-11,8280.86
407,2014-02-12,8281.2
408,2014-02-13,8281.46
409,2014-02-14,8281.61
410,2014-02-15,8281.94
411,2014-02-16,8282.02
412,2014-02-17,8282.119999999999
413,2014-02-18,8282.48
414,2014-02-19,8282.57
415,2014-02-20,8282.5
416,2014-02-21,8282.76
417,2014-02-22,8282.73
418,2014-02-23,8282.75
419,2014-02-24,8282.81
420,2014-02-25,8282.83
421,2014-02-26,8282.720000000001
422,2014-02-27,8282.85
423,2014-02-28,8283.03
424,2014-03-01,8282.93
425,2014-03-02,8282.9
426,2014-03-03,8282.93
427,2014-03-04,8283.09
428,2014-03-05,8282.81
429,2014-03-06,8283.220000000001
430,2014-03-07,8283.36
431,2014-03-08,8283.21
432,2014-03-09,8283.49
433,2014-03-10,8283.880000000001
434,2014-03-11,8283.77
435,2014-03-12,8283.939999999999
436,2014-03-13,8283.939999999999
437,2014-03-14,8283.99
438,2014-03-15,8283.99
439,2014-03-16,8283.400000000001
440,2014-03-17,8284.33
441,2014-03-18,8284.130000000001
442,2014-03-19,8284.2
443,2014-03-20,8284.48
444,2014-03-21,8284.52
445,2014-03-22,8284.23
446,2014-03-23,8284.23
447,2014-03-24,8283.99
448,2014-03-25,8283.88
449,2014-03-26,8284.01
450,2014-03-27,8284.02
451,2014-03-28,8283.96
452,2014-03-29,8284.49
453,2014-03-30,8284.33
454,2014-03-31,8284.11
455,2014-04-01,8284.46
456,2014-04-02,8284.54
457,2014-04-03,8284.46
458,2014-04-04,8284.67
459,2014-04-05,8284.630000000001
460,2014-04-06,8284.71
461,2014-04-07,8284.71
462,2014-04-08,8284.71
463,2014-04-09,8284.68
464,2014-04-10,8284.73
465,2014-04-11,8284.8
466,2014-04-12,8284.86
467,2014-04-13,8284.73
468,2014-04-14,8284.79
469,2014-04-15,8284.88
470,2014-04-16,8284.75
471,2014-04-17,8284.880000000001
472,2014-04-18,8284.560000000001
473,2014-04-19,8284.61
474,2014-04-20,8284.55
475,2014-04-21,8284.48
476,2014-04-22,8284.52
477,2014-04-23,8284.119999999999
478,2014-04-24,8284.43
479,2014-04-25,8284.599999999999
480,2014-04-26,8284.31
481,2014-04-27,8284.61
482,2014-04-28,8284.45
483,2014-04-29,8284.41
484,2014-04-30,8284.32
485,2014-05-01,8284.32
486,2014-05-02,8284.27
487,2014-05-03,8284.2
488,2014-05-04,8284.29
489,2014-05-05,8284.42
490,2014-05-06,8284.439999999999
491,2014-05-07,8284.11
492,2014-05-08,8283.89
493,2014-05-09,8284.029999999999
494,2014-05-10,8284.279999999999
495,2014-05-11,8284.2
496,2014-05-12,8284.1
497,2014-05-13,8284.1
498,2014-05-14,8284.0
499,2014-05-15,8283.89
500,2014-05-16,8283.900000000001
501,2014-05-17,8283.89
502,2014-05-18,8283.84
503,2014-05-19,8283.73
504,2014-05-20,8283.99
505,2014-05-21,8283.86
506,2014-05-22,8283.68
507,2014-05-23,8283.720000000001
508,2014-05-24,8283.630000000001
509,2014-05-25,8283.85
510,2014-05-26,8283.630000000001
511,2014-05-27,8283.619999999999
512,2014-05-28,8283.43
513,2014-05-29,8283.380000000001
514,2014-05-30,8283.32
515,2014-05-31,8283.24
516,2014-06-01,8283.1
517,2014-06-02,8283.08
518,2014-06-03,8283.01
519,2014-06-04,8282.970000000001
520,2014-06-05,8283.03
521,2014-06-06,8283.01
522,2014-06-07,8282.88
523,2014-06-08,8282.73
524,2014-06-09,8282.73
525,2014-06-10,8282.56
526,2014-06-11,8282.42
527,2014-06-12,8282.48
528,2014-06-13,8282.310000000001
529,2014-06-14,8282.19
530,2014-06-15,8282.130000000001
531,2014-06-16,8282.099999999999
532,2014-06-17,8281.95
533,2014-06-18,8281.7
534,2014-06-19,8281.900000000001
535,2014-06-20,8281.509999999998
536,2014-06-21,8281.560000000001
537,2014-06-22,8281.45
538,2014-06-23,8281.39
539,2014-06-24,8281.23
540,2014-06-25,8281.0
541,2014-06-26,8280.98
542,2014-06-27,8281.01
543,2014-06-28,8281.1
544,2014-06-29,8280.98
545,2014-06-30,8280.89
546,2014-07-01,8280.76
547,2014-07-02,8280.630000000001
548,2014-07-03,8280.54
549,2014-07-04,8280.49
550,2014-07-05,8280.4
551,2014-07-06,8280.42
552,2014-07-07,8280.39
553,2014-07-08,8280.25
554,2014-07-09,8280.05
555,2014-07-10,8280.04
556,2014-07-11,8279.96
557,2014-07-12,8280.04
558,2014-07-13,8279.98
559,2014-07-14,8279.95
560,2014-07-15,8279.79
561,2014-07-16,8279.73
562,2014-07-17,8279.68
563,2014-07-18,8279.67
564,2014-07-19,8279.55
565,2014-07-20,8279.43
566,2014-07-21,8279.16
567,2014-07-22,8278.95
568,2014-07-23,8279.18
569,2014-07-24,8279.26
570,2014-07-25,8278.99
571,2014-07-26,8279.0
572,2014-07-27,8278.759999999998
573,2014-07-28,8278.71
574,2014-07-29,8278.5
575,2014-07-30,8278.11
576,2014-07-31,8278.439999999999
577,2014-08-01,8278.439999999999
578,2014-08-02,8278.34
579,2014-08-03,8278.44
580,2014-08-04,8278.3
581,2014-08-05,8278.05
582,2014-08-06,8278.220000000001
583,2014-08-07,8278.23
584,2014-08-08,8278.150000000001
585,2014-08-09,8278.34
586,2014-08-10,8278.060000000001
587,2014-08-11,8277.880000000001
588,2014-08-12,8277.93
589,2014-08-13,8277.92
590,2014-08-14,8277.81
591,2014-08-15,8277.880000000001
592,2014-08-16,8277.81
593,2014-08-17,8277.83
594,2014-08-18,8277.849999999999
595,2014-08-19,8277.77
596,2014-08-20,8277.75
597,2014-08-21,8277.619999999999
598,2014-08-22,8277.71
599,2014-08-23,8277.67
600,2014-08-24,8277.619999999999
601,2014-08-25,8277.52
602,2014-08-26,8277.369999999999
603,2014-08-27,8277.21
604,2014-08-28,8277.150000000001
605,2014-08-29,8277.35
606,2014-08-30,8277.220000000001
607,2014-08-31,8277.18
608,2014-09-01,8276.939999999999
609,2014-09-02,8277.279999999999
610,2014-09-03,8277.009999999998
611,2014-09-04,8276.96
612,2014-09-05,8276.919999999998
613,2014-09-06,8276.650000000001
614,2014-09-07,8276.66
615,2014-09-08,8276.73
616,2014-09-09,8276.580000000002
617,2014-09-10,8276.68
618,2014-09-11,8276.7
619,2014-09-12,8276.4
620,2014-09-13,8276.34
621,2014-09-14,8276.310000000001
622,2014-09-15,8275.98
623,2014-09-16,8276.14
624,2014-09-17,8275.880000000001
625,2014-09-18,8276.26
626,2014-09-19,8276.24
627,2014-09-20,8276.369999999999
628,2014-09-21,8276.099999999999
629,2014-09-22,8275.84
630,2014-09-23,8275.48
631,2014-09-24,8275.84
632,2014-09-25,8275.96
633,2014-09-26,8276.52
634,2014-09-27,8276.68
635,2014-09-28,8276.26
636,2014-09-29,8276.27
637,2014-09-30,8276.53
638,2014-10-01,8276.310000000001
639,2014-10-02,8276.29
640,2014-10-03,8276.26
641,2014-10-04,8276.27
642,2014-10-05,8276.220000000001
643,2014-10-06,8276.35
644,2014-10-07,8276.25
645,2014-10-08,8276.29
646,2014-10-09,8276.29
647,2014-10-10,8276.14
648,2014-10-11,8276.24
649,2014-10-12,8276.07
650,2014-10-13,8275.91
651,2014-10-14,8275.43
652,2014-10-15,8275.89
653,2014-10-16,8275.89
654,2014-10-17,8275.84
655,2014-10-18,8276.02
656,2014-10-19,8275.8
657,2014-10-20,8276.009999999998
658,2014-10-21,8275.82
659,2014-10-22,8275.48
660,2014-10-23,8275.59
661,2014-10-24,8275.400000000001
662,2014-10-25,8275.64
663,2014-10-26,8276.25
664,2014-10-27,8276.33
665,2014-10-28,8276.23
666,2014-10-29,8276.39
667,2014-10-30,8276.16
668,2014-10-31,8276.58
669,2014-11-01,8276.76
670,2014-11-02,8276.55
671,2014-11-03,8276.52
672,2014-11-04,8276.58
673,2014-11-05,8276.66
674,2014-11-06,8276.61
675,2014-11-07,8276.75
676,2014-11-08,8276.689999999999
677,2014-11-09,8276.71
678,2014-11-10,8276.869999999999
679,2014-11-11,8277.439999999999
680,2014-11-12,8277.2
681,2014-11-13,8276.560000000001
682,2014-11-14,8276.880000000001
683,2014-11-15,8277.14
684,2014-11-16,8276.99
685,2014-11-17,8276.98
686,2014-11-18,8276.95
687,2014-11-19,8276.76
688,2014-11-20,8276.94
689,2014-11-21,8276.58
690,2014-11-22,8277.380000000001
691,2014-11-23,8277.220000000001
692,2014-11-24,8277.27
693,2014-11-25,8277.349999999999
694,2014-11-26,8277.46
695,2014-11-27,8277.39
696,2014-11-28,8277.21
697,2014-11-29,8277.79
698,2014-11-30,8277.82
699,2014-12-01,8277.65
700,2014-12-02,8277.76
701,2014-12-03,8277.68
702,2014-12-04,8277.76
703,2014-12-05,8277.369999999999
704,2014-12-06,8277.919999999998
705,2014-12-07,8277.9
706,2014-12-08,8277.93
707,2014-12-09,8277.95
708,2014-12-10,8277.73
709,2014-12-11,8277.630000000001
710,2014-12-12,8278.39
711,2014-12-13,8278.48
712,2014-12-14,8278.4
713,2014-12-15,8278.369999999999
714,2014-12-16,8278.529999999999
715,2014-12-17,8278.560000000001
716,2014-12-18,8278.599999999999
717,2014-12-19,8278.65
718,2014-12-20,8278.71
719,2014-12-21,8279.43
720,2014-12-22,8279.69
721,2014-12-23,8279.77
722,2014-12-24,8280.52
723,2014-12-25,8280.41
724,2014-12-26,8280.369999999999
725,2014-12-27,8280.46
726,2014-12-28,8280.76
727,2014-12-29,8281.3
728,2014-12-30,8281.17
729,2014-12-31,8280.75
730,2015-01-01,8280.74
731,2015-01-02,8280.78
732,2015-01-03,8280.83
733,2015-01-04,8280.86
734,2015-01-05,8280.92
735,2015-01-06,8280.92
736,2015-01-07,8280.91
737,2015-01-08,8280.91
738,2015-01-09,8280.92
739,2015-01-10,8280.94
740,2015-01-11,8280.98
741,2015-01-12,8281.01
742,2015-01-13,8281.05
743,2015-01-14,8281.06
744,2015-01-15,8281.029999999999
745,2015-01-16,8281.130000000001
746,2015-01-17,8281.15
747,2015-01-18,8281.42
748,2015-01-19,8281.51
749,2015-01-20,8281.560000000001
750,2015-01-21,8281.59
751,2015-01-22,8281.58
752,2015-01-23,8281.68
753,2015-01-24,8281.68
754,2015-01-25,8281.74
755,2015-01-26,8281.78
756,2015-01-27,8281.79
757,2015-01-28,8281.91
758,2015-01-29,8282.009999999998
759,2015-01-30,8282.12
760,2015-01-31,8282.029999999999
761,2015-02-01,8281.939999999999
762,2015-02-02,8281.98
763,2015-02-03,8282.24
764,2015-02-04,8281.91
765,2015-02-05,8281.439999999999
766,2015-02-06,8282.02
767,2015-02-07,8282.630000000001
768,2015-02-08,8282.02
769,2015-02-09,8282.95
770,2015-02-10,8283.35
771,2015-02-11,8283.43
772,2015-02-12,8283.560000000001
773,2015-02-13,8283.61
774,2015-02-14,8283.849999999999
775,2015-02-15,8283.9
776,2015-02-16,8283.96
777,2015-02-17,8283.93
778,2015-02-18,8284.02
779,2015-02-19,8284.16
780,2015-02-20,8284.18
781,2015-02-21,8284.349999999999
782,2015-02-22,8284.66
783,2015-02-23,8284.39
784,2015-02-24,8284.3
785,2015-02-25,8284.41
786,2015-02-26,8284.27
787,2015-02-27,8284.49
788,2015-02-28,8284.76
789,2015-03-01,8284.61
790,2015-03-02,8284.7
791,2015-03-03,8284.720000000001
792,2015-03-04,8284.61
793,2015-03-05,8284.66
794,2015-03-06,8284.71
795,2015-03-07,8284.740000000002
796,2015-03-08,8284.76
797,2015-03-09,8284.75
798,2015-03-10,8284.75
799,2015-03-11,8284.779999999999
800,2015-03-12,8284.96
801,2015-03-13,8284.869999999999
802,2015-03-14,8284.990000000002
803,2015-03-15,8284.89
804,2015-03-16,8285.21
805,2015-03-17,8285.369999999999
806,2015-03-18,8285.36
807,2015-03-19,8285.4
808,2015-03-20,8285.279999999999
809,2015-03-21,8285.279999999999
810,2015-03-22,8285.21
811,2015-03-23,8285.04
812,2015-03-24,8285.46
813,2015-03-25,8285.56
814,2015-03-26,8285.630000000001
815,2015-03-27,8285.73
816,2015-03-28,8285.73
817,2015-03-29,8285.73
818,2015-03-30,8285.84
819,2015-03-31,8285.83
820,2015-04-01,8285.83
821,2015-04-02,8285.740000000002
822,2015-04-03,8285.73
823,2015-04-04,8285.67
824,2015-04-05,8285.55
825,2015-04-06,8284.720000000001
826,2015-04-07,8285.41
827,2015-04-08,8285.66
828,2015-04-09,8285.630000000001
829,2015-04-10,8285.61
830,2015-04-11,8285.65
831,2015-04-12,8285.61
832,2015-04-13,8285.67
833,2015-04-14,8285.89
834,2015-04-15,8285.68
835,2015-04-16,8285.64
836,2015-04-17,8285.71
837,2015-04-18,8285.720000000001
838,2015-04-19,8285.6
839,2015-04-20,8285.52
840,2015-04-21,8285.720000000001
841,2015-04-22,8285.64
842,2015-04-23,8285.41
843,2015-04-24,8285.380000000001
844,2015-04-25,8285.43
845,2015-04-26,8285.24
846,2015-04-27,8285.2
847,2015-04-28,8285.380000000001
848,2015-04-29,8285.25
849,2015-04-30,8285.11
850,2015-05-01,8285.0
851,2015-05-02,8284.92
852,2015-05-03,8284.939999999999
853,2015-05-04,8284.96
854,2015-05-05,8284.98
855,2015-05-06,8284.94
856,2015-05-07,8284.95
857,2015-05-08,8284.86
858,2015-05-09,8284.630000000001
859,2015-05-10,8284.45
860,2015-05-11,8284.560000000001
861,2015-05-12,8284.54
862,2015-05-13,8284.34
863,2015-05-14,8284.470000000001
864,2015-05-15,8284.58
865,2015-05-16,8284.349999999999
866,2015-05-17,8284.34
867,2015-05-18,8284.43
868,2015-05-19,8284.43
869,2015-05-20,8284.36
870,2015-05-21,8284.45
871,2015-05-22,8284.560000000001
872,2015-05-23,8284.61
873,2015-05-24,8284.57
874,2015-05-25,8284.62
875,2015-05-26,8284.48
876,2015-05-27,8284.46
877,2015-05-28,8284.54
878,2015-05-29,8284.52
879,2015-05-30,8284.35
880,2015-05-31,8284.349999999999
881,2015-06-01,8284.29
882,2015-06-02,8284.36
883,2015-06-03,8284.400000000001
884,2015-06-04,8284.509999999998
885,2015-06-05,8284.439999999999
886,2015-06-06,8284.27
887,2015-06-07,8284.16
888,2015-06-08,8284.11
889,2015-06-09,8284.0
890,2015-06-10,8284.14
891,2015-06-11,8284.14
892,2015-06-12,8284.09
893,2015-06-13,8284.119999999999
894,2015-06-14,8284.05
895,2015-06-15,8283.900000000001
896,2015-06-16,8283.720000000001
897,2015-06-17,8283.59
898,2015-06-18,8283.619999999999
899,2015-06-19,8283.55
900,2015-06-20,8283.39
901,2015-06-21,8283.310000000001
902,2015-06-22,8283.32
903,2015-06-23,8283.18
904,2015-06-24,8283.14
905,2015-06-25,8283.17
906,2015-06-26,8282.84
907,2015-06-27,8282.76
908,2015-06-28,8282.56
909,2015-06-29,8282.8
910,2015-06-30,8282.689999999999
911,2015-07-01,8282.58
912,2015-07-02,8282.44
913,2015-07-03,8282.4
914,2015-07-04,8282.18
915,2015-07-05,8282.0
916,2015-07-06,8282.150000000001
917,2015-07-07,8281.9
918,2015-07-08,8281.89
919,2015-07-09,8281.9
920,2015-07-10,8281.880000000001
921,2015-07-11,8281.84
922,2015-07-12,8281.95
923,2015-07-13,8282.09
924,2015-07-14,8282.07
925,2015-07-15,8281.98
926,2015-07-16,8282.06
927,2015-07-17,8281.92
928,2015-07-18,8281.75
929,2015-07-19,8281.79
930,2015-07-20,8281.55
931,2015-07-21,8281.57
932,2015-07-22,8281.44
933,2015-07-23,8281.39
934,2015-07-24,8281.36
935,2015-07-25,8281.279999999999
936,2015-07-26,8281.26
937,2015-07-27,8281.119999999999
938,2015-07-28,8281.15
939,2015-07-29,8280.939999999999
940,2015-07-30,8280.8
941,2015-07-31,8280.619999999999
942,2015-08-01,8280.61
943,2015-08-02,8280.52
944,2015-08-03,8280.66
945,2015-08-04,8280.41
946,2015-08-05,8280.52
947,2015-08-06,8280.650000000001
948,2015-08-07,8280.42
949,2015-08-08,8280.2
950,2015-08-09,8280.189999999999
951,2015-08-10,8280.2
