,datetime,LAKE_SACAJAWEA_FOREBAY_AT_ICE_HARBOR_DAM__WA.
222,2011-10-18,360.8924418604651
223,2011-10-19,360.54651162790697
224,2011-10-20,360.2005813953489
225,2011-10-21,359.85465116279073
226,2011-10-22,359.5087209302325
227,2011-10-23,359.1627906976744
228,2011-10-24,358.8168604651163
229,2011-10-25,358.4709302325581
230,2011-10-26,358.125
231,2011-10-27,357.7790697674419
232,2011-10-28,357.43313953488376
233,2011-10-29,357.0872093023256
234,2011-10-30,356.7412790697675
235,2011-10-31,356.39534883720927
236,2011-11-01,356.0494186046512
237,2011-11-02,355.703488372093
238,2011-11-03,355.35755813953483
239,2011-11-04,355.01162790697674
240,2011-11-05,354.6656976744186
241,2011-11-06,354.31976744186045
242,2011-11-07,353.97383720930236
243,2011-11-08,353.6279069767442
244,2011-11-09,353.28197674418607
245,2011-11-10,352.93604651162786
246,2011-11-11,352.59011627906983
247,2011-11-12,352.24418604651163
248,2011-11-13,351.8982558139535
249,2011-11-14,351.55232558139534
250,2011-11-15,351.2063953488372
251,2011-11-16,350.86046511627904
252,2011-11-17,350.5145348837209
253,2011-11-18,350.1686046511628
254,2011-11-19,349.82267441860466
255,2011-11-20,349.4767441860465
256,2011-11-21,349.13081395348837
257,2011-11-22,348.7848837209302
258,2011-11-23,348.4389534883721
259,2011-11-24,348.0930232558139
260,2011-11-25,347.74709302325584
261,2011-11-26,347.4011627906977
262,2011-11-27,347.05523255813955
263,2011-11-28,346.7093023255814
264,2011-11-29,346.36337209302326
265,2011-11-30,346.0174418604651
266,2011-12-01,345.67151162790697
267,2011-12-02,345.3255813953489
268,2011-12-03,344.97965116279073
269,2011-12-04,344.6337209302325
270,2011-12-05,344.2877906976744
271,2011-12-06,343.9418604651163
272,2011-12-07,343.5959302325581
273,2011-12-08,343.25
274,2011-12-09,342.9040697674419
275,2011-12-10,342.55813953488376
276,2011-12-11,342.2122093023256
277,2011-12-12,341.8662790697675
278,2011-12-13,341.52034883720927
279,2011-12-14,341.1744186046512
280,2011-12-15,340.828488372093
281,2011-12-16,340.48255813953483
282,2011-12-17,340.13662790697674
283,2011-12-18,339.7906976744186
284,2011-12-19,339.44476744186045
285,2011-12-20,339.09883720930236
286,2011-12-21,338.75290697674416
287,2011-12-22,338.40697674418607
288,2011-12-23,338.06104651162786
289,2011-12-24,337.71511627906983
290,2011-12-25,337.36918604651163
291,2011-12-26,337.0232558139535
292,2011-12-27,336.67732558139534
293,2011-12-28,336.3313953488372
294,2011-12-29,335.98546511627904
295,2011-12-30,335.6395348837209
296,2011-12-31,335.2936046511628
297,2012-01-01,334.94767441860466
298,2012-01-02,334.6017441860465
299,2012-01-03,334.25581395348837
300,2012-01-04,333.9098837209302
301,2012-01-05,333.56395348837214
302,2012-01-06,333.21802325581393
303,2012-01-07,332.87209302325584
304,2012-01-08,332.5261627906977
305,2012-01-09,332.18023255813955
306,2012-01-10,331.8343023255814
307,2012-01-11,331.48837209302326
308,2012-01-12,331.1424418604651
309,2012-01-13,330.79651162790697
310,2012-01-14,330.4505813953489
311,2012-01-15,330.1046511627907
312,2012-01-16,329.7587209302326
313,2012-01-17,329.4127906976744
314,2012-01-18,329.0668604651163
315,2012-01-19,328.7209302325581
316,2012-01-20,328.375
317,2012-01-21,328.0290697674419
318,2012-01-22,327.68313953488376
319,2012-01-23,327.3372093023256
320,2012-01-24,326.9912790697675
321,2012-01-25,326.64534883720927
322,2012-01-26,326.2994186046512
323,2012-01-27,325.953488372093
324,2012-01-28,325.60755813953483
325,2012-01-29,325.2616279069768
326,2012-01-30,324.9156976744186
327,2012-01-31,324.56976744186045
328,2012-02-01,324.22383720930236
329,2012-02-02,323.87790697674416
330,2012-02-03,323.53197674418607
331,2012-02-04,323.18604651162786
332,2012-02-05,322.84011627906983
333,2012-02-06,322.49418604651163
334,2012-02-07,322.1482558139535
335,2012-02-08,321.80232558139534
336,2012-02-09,321.4563953488372
337,2012-02-10,321.11046511627904
338,2012-02-11,320.7645348837209
339,2012-02-12,320.4186046511628
340,2012-02-13,320.07267441860466
341,2012-02-14,319.7267441860465
342,2012-02-15,319.38081395348837
343,2012-02-16,319.0348837209302
344,2012-02-17,318.68895348837214
345,2012-02-18,318.34302325581393
346,2012-02-19,317.99709302325584
347,2012-02-20,317.6511627906977
348,2012-02-21,317.30523255813955
349,2012-02-22,316.9593023255814
350,2012-02-23,316.61337209302326
351,2012-02-24,316.2674418604651
352,2012-02-25,315.92151162790697
353,2012-02-26,315.5755813953489
354,2012-02-27,315.2296511627907
355,2012-02-28,314.8837209302326
356,2012-02-29,314.5377906976744
