,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.tsv
196,2013-07-16,3444.47
197,2013-07-17,3444.39
198,2013-07-18,3444.3
199,2013-07-19,3444.22
200,2013-07-20,3444.14
201,2013-07-21,3444.06
202,2013-07-22,3443.98
203,2013-07-23,3443.9
204,2013-07-24,3443.83
205,2013-07-25,3443.75
206,2013-07-26,3443.67
207,2013-07-27,3443.59
208,2013-07-28,3443.51
209,2013-07-29,3443.44
210,2013-07-30,3443.37
211,2013-07-31,3443.31
212,2013-08-01,3443.25
213,2013-08-02,3443.18
214,2013-08-03,3443.12
215,2013-08-04,3443.06
216,2013-08-05,3443.0
217,2013-08-06,3442.95
218,2013-08-07,3442.89
219,2013-08-08,3442.84
220,2013-08-09,3442.8
221,2013-08-10,3442.74
222,2013-08-11,3442.69
223,2013-08-12,3442.64
224,2013-08-13,3442.59
225,2013-08-14,3442.55
226,2013-08-15,3442.5
227,2013-08-16,3442.46
228,2013-08-17,3442.41
229,2013-08-18,3442.36
230,2013-08-19,3442.31
231,2013-08-20,3442.25
232,2013-08-21,3442.21
233,2013-08-22,3442.16
234,2013-08-23,3442.12
235,2013-08-24,3442.08
236,2013-08-25,3442.04
237,2013-08-26,3442.0
238,2013-08-27,3441.96
239,2013-08-28,3441.93
240,2013-08-29,3441.99
241,2013-08-30,3441.95
242,2013-08-31,3441.92
243,2013-09-01,3441.89
244,2013-09-02,3441.85
245,2013-09-03,3441.82
246,2013-09-04,3441.8
247,2013-09-05,3441.86
248,2013-09-06,3442.08
249,2013-09-07,3442.05
250,2013-09-08,3442.01
251,2013-09-09,3441.98
252,2013-09-10,3441.94
253,2013-09-11,3441.91
254,2013-09-12,3441.88
255,2013-09-13,3441.85
256,2013-09-14,3441.81
257,2013-09-15,3441.79
258,2013-09-16,3441.75
259,2013-09-17,3441.71
260,2013-09-18,3441.7
261,2013-09-19,3441.65
262,2013-09-20,3441.62
263,2013-09-21,3441.6
264,2013-09-22,3441.63
265,2013-09-23,3441.65
266,2013-09-24,3441.63
267,2013-09-25,3441.59
268,2013-09-26,3441.58
269,2013-09-27,3441.69
270,2013-09-28,3442.02
271,2013-09-29,3442.44
272,2013-09-30,3442.73
273,2013-10-01,3442.92
274,2013-10-02,3443.03
275,2013-10-03,3443.1
276,2013-10-04,3443.17
277,2013-10-05,3443.23
278,2013-10-06,3443.28
279,2013-10-07,3443.46
280,2013-10-08,3443.63
281,2013-10-09,3443.71
282,2013-10-10,3443.78
283,2013-10-11,3443.84
284,2013-10-12,3443.92
285,2013-10-13,3443.97
286,2013-10-14,3444.03
287,2013-10-15,3444.03
288,2013-10-16,3443.97
289,2013-10-17,3443.93
290,2013-10-18,3443.87
291,2013-10-19,3443.82
292,2013-10-20,3443.76
293,2013-10-21,3443.7
294,2013-10-22,3443.65
295,2013-10-23,3443.59
296,2013-10-24,3443.54
297,2013-10-25,3443.49
298,2013-10-26,3443.45
299,2013-10-27,3443.4
300,2013-10-28,3443.35
301,2013-10-29,3443.29
302,2013-10-30,3443.24
303,2013-10-31,3443.24
304,2013-11-01,3443.2
305,2013-11-02,3443.32
306,2013-11-03,3443.25
307,2013-11-04,3443.21
308,2013-11-05,3443.19
309,2013-11-06,3443.17
310,2013-11-07,3443.35
311,2013-11-08,3443.35
312,2013-11-09,3443.33
313,2013-11-10,3443.31
314,2013-11-11,3443.27
315,2013-11-12,3443.28
316,2013-11-13,3443.26
317,2013-11-14,3443.25
318,2013-11-15,3443.28
319,2013-11-16,3443.37
320,2013-11-17,3443.36
321,2013-11-18,3443.4
322,2013-11-19,3443.49
323,2013-11-20,3443.48
324,2013-11-21,3443.46
325,2013-11-22,3443.43
326,2013-11-23,3443.4
327,2013-11-24,3443.38
328,2013-11-25,3443.35
329,2013-11-26,3443.32
330,2013-11-27,3443.28
331,2013-11-28,3443.25
332,2013-11-29,3443.22
333,2013-11-30,3443.21
334,2013-12-01,3443.88
335,2013-12-02,3444.08
336,2013-12-03,3444.12
337,2013-12-04,3444.13
338,2013-12-05,3444.11
339,2013-12-06,3444.09
340,2013-12-07,3444.05
341,2013-12-08,3444.01
342,2013-12-09,3443.97
343,2013-12-10,3443.93
344,2013-12-11,3443.89
345,2013-12-12,3443.88
346,2013-12-13,3443.86
347,2013-12-14,3443.82
348,2013-12-15,3443.79
349,2013-12-16,3443.76
350,2013-12-17,3443.72
351,2013-12-18,3443.68
352,2013-12-19,3443.64
353,2013-12-20,3443.76
354,2013-12-21,3443.79
355,2013-12-22,3443.83
356,2013-12-23,3443.94
357,2013-12-24,3443.94
358,2013-12-25,3443.92
359,2013-12-26,3443.91
360,2013-12-27,3443.89
361,2013-12-28,3443.85
362,2013-12-29,3443.82
363,2013-12-30,3443.79
364,2013-12-31,3443.77
365,2014-01-01,3443.73
366,2014-01-02,3443.77
367,2014-01-03,3443.73
368,2014-01-04,3443.69
369,2014-01-05,3443.63
370,2014-01-06,3443.61
371,2014-01-07,3443.61
372,2014-01-08,3443.69
373,2014-01-09,3443.73
374,2014-01-10,3443.75
375,2014-01-11,3443.95
376,2014-01-12,3444.16
377,2014-01-13,3444.26
378,2014-01-14,3444.28
379,2014-01-15,3444.28
380,2014-01-16,3444.27
381,2014-01-17,3444.25
382,2014-01-18,3444.23
383,2014-01-19,3444.2
384,2014-01-20,3444.17
385,2014-01-21,3444.14
386,2014-01-22,3444.1
387,2014-01-23,3444.08
388,2014-01-24,3444.02
389,2014-01-25,3443.99
390,2014-01-26,3443.95
391,2014-01-27,3443.92
392,2014-01-28,3443.91
393,2014-01-29,3444.09
394,2014-01-30,3444.12
395,2014-01-31,3444.13
396,2014-02-01,3444.1
397,2014-02-02,3444.07
398,2014-02-03,3444.03
399,2014-02-04,3443.99
400,2014-02-05,3443.93
401,2014-02-06,3443.93
402,2014-02-07,3443.89
403,2014-02-08,3443.92
404,2014-02-09,3443.88
405,2014-02-10,3443.91
406,2014-02-11,3443.89
407,2014-02-12,3444.05
408,2014-02-13,3444.17
409,2014-02-14,3444.27
410,2014-02-15,3444.52
411,2014-02-16,3444.56
412,2014-02-17,3444.75
413,2014-02-18,3444.86
414,2014-02-19,3444.89
415,2014-02-20,3444.93
416,2014-02-21,3444.91
417,2014-02-22,3444.86
418,2014-02-23,3444.83
419,2014-02-24,3444.86
420,2014-02-25,3444.85
421,2014-02-26,3444.79
422,2014-02-27,3444.75
423,2014-02-28,3444.73
424,2014-03-01,3444.7
425,2014-03-02,3444.75
426,2014-03-03,3444.87
427,2014-03-04,3444.9
428,2014-03-05,3445.28
429,2014-03-06,3445.76
430,2014-03-07,3445.89
431,2014-03-08,3446.25
432,2014-03-09,3446.69
433,2014-03-10,3446.95
434,2014-03-11,3447.02
435,2014-03-12,3447.04
436,2014-03-13,3447.05
437,2014-03-14,3447.12
438,2014-03-15,3447.12
439,2014-03-16,3447.25
440,2014-03-17,3447.28
441,2014-03-18,3447.28
442,2014-03-19,3447.3
443,2014-03-20,3447.27
444,2014-03-21,3447.23
445,2014-03-22,3447.16
446,2014-03-23,3447.11
447,2014-03-24,3447.04
448,2014-03-25,3447.1
449,2014-03-26,3447.08
450,2014-03-27,3447.06
451,2014-03-28,3447.09
452,2014-03-29,3447.17
453,2014-03-30,3447.15
454,2014-03-31,3447.09
455,2014-04-01,3447.05
456,2014-04-02,3446.99
457,2014-04-03,3446.96
458,2014-04-04,3446.92
459,2014-04-05,3446.94
460,2014-04-06,3446.94
461,2014-04-07,3446.92
462,2014-04-08,3446.97
463,2014-04-09,3447.0
464,2014-04-10,3446.99
465,2014-04-11,3446.99
466,2014-04-12,3446.97
467,2014-04-13,3446.93
468,2014-04-14,3446.91
469,2014-04-15,3446.89
470,2014-04-16,3446.9
471,2014-04-17,3447.02
472,2014-04-18,3447.02
473,2014-04-19,3447.05
474,2014-04-20,3447.03
475,2014-04-21,3446.99
476,2014-04-22,3447.0
477,2014-04-23,3447.05
478,2014-04-24,3447.13
479,2014-04-25,3447.11
480,2014-04-26,3447.11
481,2014-04-27,3447.14
482,2014-04-28,3447.1
483,2014-04-29,3447.04
484,2014-04-30,3447.02
485,2014-05-01,3447.02
486,2014-05-02,3447.03
487,2014-05-03,3447.11
488,2014-05-04,3447.19
489,2014-05-05,3447.24
490,2014-05-06,3447.25
491,2014-05-07,3447.23
492,2014-05-08,3447.32
493,2014-05-09,3447.47
494,2014-05-10,3447.5
495,2014-05-11,3447.5
496,2014-05-12,3447.47
497,2014-05-13,3447.45
498,2014-05-14,3447.44
499,2014-05-15,3447.45
500,2014-05-16,3447.45
501,2014-05-17,3447.44
502,2014-05-18,3447.46
503,2014-05-19,3447.44
504,2014-05-20,3447.41
505,2014-05-21,3447.38
506,2014-05-22,3447.38
507,2014-05-23,3447.38
508,2014-05-24,3447.35
509,2014-05-25,3447.33
510,2014-05-26,3447.33
511,2014-05-27,3447.29
512,2014-05-28,3447.29
513,2014-05-29,3447.22
514,2014-05-30,3447.16
515,2014-05-31,3447.1
516,2014-06-01,3447.05
517,2014-06-02,3447.0
518,2014-06-03,3446.94
519,2014-06-04,3446.88
520,2014-06-05,3446.82
521,2014-06-06,3446.74
522,2014-06-07,3446.67
523,2014-06-08,3446.61
524,2014-06-09,3446.54
525,2014-06-10,3446.47
526,2014-06-11,3446.4
527,2014-06-12,3446.35
528,2014-06-13,3446.41
529,2014-06-14,3446.35
