,datetime,SWIFT_RESERVOIR_NEAR_COUGAR__WA.tsv
197,2013-07-17,642797.09
198,2013-07-18,642797.1
199,2013-07-19,642796.97
200,2013-07-20,642797.23
201,2013-07-21,642797.61
202,2013-07-22,642797.6
203,2013-07-23,642797.59
204,2013-07-24,642797.97
205,2013-07-25,642797.53
206,2013-07-26,642797.26
207,2013-07-27,642797.61
208,2013-07-28,642797.63
209,2013-07-29,642797.28
210,2013-07-30,642797.11
211,2013-07-31,642797.14
212,2013-08-01,642796.88
213,2013-08-02,642796.89
214,2013-08-03,642796.45
215,2013-08-04,642796.07
216,2013-08-05,642795.66
217,2013-08-06,642795.38
218,2013-08-07,642795.31
219,2013-08-08,642794.79
220,2013-08-09,642794.52
221,2013-08-10,642794.83
222,2013-08-11,642795.03
223,2013-08-12,642794.85
224,2013-08-13,642794.72
225,2013-08-14,642794.47
226,2013-08-15,642794.21
227,2013-08-16,642793.53
228,2013-08-17,642793.78
229,2013-08-18,642793.52
230,2013-08-19,642793.52
231,2013-08-20,642793.13
232,2013-08-21,642793.26
233,2013-08-22,642793.14
234,2013-08-23,642793.23
235,2013-08-24,642793.15
236,2013-08-25,642792.98
237,2013-08-26,642792.03
238,2013-08-27,642791.38
239,2013-08-28,642790.77
240,2013-08-29,642789.52
241,2013-08-30,642788.16
242,2013-08-31,642786.99
243,2013-09-01,642786.62
244,2013-09-02,642785.72
245,2013-09-03,642784.6
246,2013-09-04,642784.92
247,2013-09-05,642785.24
248,2013-09-06,642786.0
249,2013-09-07,642786.41
250,2013-09-08,642786.77
251,2013-09-09,642787.07
252,2013-09-10,642787.33
253,2013-09-11,642787.36
254,2013-09-12,642787.12
255,2013-09-13,642787.06
256,2013-09-14,642787.36
257,2013-09-15,642787.5
258,2013-09-16,642786.81
259,2013-09-17,642787.0
260,2013-09-18,642787.09
261,2013-09-19,642787.33
262,2013-09-20,642786.89
263,2013-09-21,642787.15
264,2013-09-22,642787.32
265,2013-09-23,642787.86
266,2013-09-24,642788.26
267,2013-09-25,642787.97
268,2013-09-26,642787.7
269,2013-09-27,642786.2
270,2013-09-28,642786.68
271,2013-09-29,642788.45
272,2013-09-30,642792.24
273,2013-10-01,642793.66
274,2013-10-02,642794.53
275,2013-10-03,642794.43
276,2013-10-04,642794.12
277,2013-10-05,642794.03
278,2013-10-06,642793.78
279,2013-10-07,642793.54
280,2013-10-08,642793.5
281,2013-10-09,642793.34
282,2013-10-10,642793.1
283,2013-10-11,642793.33
284,2013-10-12,642793.45
285,2013-10-13,642793.65
286,2013-10-14,642793.47
287,2013-10-15,642793.22
288,2013-10-16,642793.13
289,2013-10-17,642792.79
290,2013-10-18,642792.66
291,2013-10-19,642792.73
292,2013-10-20,642792.79
293,2013-10-21,642792.7
294,2013-10-22,642792.43
295,2013-10-23,642791.75
296,2013-10-24,642790.8
297,2013-10-25,642789.94
298,2013-10-26,642788.83
299,2013-10-27,642787.54
300,2013-10-28,642786.56
301,2013-10-29,642785.43
302,2013-10-30,642784.88
303,2013-10-31,642784.68
304,2013-11-01,642783.79
305,2013-11-02,642783.93
306,2013-11-03,642784.27
307,2013-11-04,642783.46
308,2013-11-05,642783.37
309,2013-11-06,642782.61
310,2013-11-07,642783.08
311,2013-11-08,642783.75
312,2013-11-09,642784.15
313,2013-11-10,642784.47
314,2013-11-11,642784.04
315,2013-11-12,642783.36
316,2013-11-13,642782.98
317,2013-11-14,642782.6
318,2013-11-15,642782.94
