,datetime,BIG_CLIFF_LAKE_NEAR_NIAGARA__OR.
77,2013-10-17,1189.58
78,2013-10-18,1189.72
79,2013-10-19,1189.59
80,2013-10-20,1189.58
81,2013-10-21,1189.63
82,2013-10-22,1189.6
83,2013-10-23,1190.16
84,2013-10-24,1190.13
85,2013-10-25,1191.23
86,2013-10-26,1189.89
87,2013-10-27,1189.99
88,2013-10-28,1187.31
89,2013-10-29,1188.52
90,2013-10-30,1191.91
91,2013-10-31,1191.67
92,2013-11-01,1191.89
93,2013-11-02,1191.82
94,2013-11-03,1191.79
95,2013-11-04,1191.41
96,2013-11-05,1191.49
97,2013-11-06,1190.77
98,2013-11-07,1190.52
99,2013-11-08,1190.93
100,2013-11-09,1191.17
101,2013-11-10,1191.31
102,2013-11-11,1191.42
103,2013-11-12,1191.08
104,2013-11-13,1190.09
105,2013-11-14,1190.68
106,2013-11-15,1191.02
107,2013-11-16,1191.14
108,2013-11-17,1191.05
109,2013-11-18,1191.1
110,2013-11-19,1191.11
111,2013-11-20,1187.31
112,2013-11-21,1185.76
113,2013-11-22,1190.9
114,2013-11-23,1191.05
115,2013-11-24,1190.93
116,2013-11-25,1190.75
117,2013-11-26,1188.79
118,2013-11-27,1188.32
119,2013-11-28,1188.63
120,2013-11-29,1189.99
121,2013-11-30,1189.18
122,2013-12-01,1189.69
123,2013-12-02,1189.67
124,2013-12-03,1192.25
125,2013-12-04,1191.01
126,2013-12-05,1191.03
127,2013-12-06,1191.51
128,2013-12-07,1191.39
129,2013-12-08,1191.45
130,2013-12-09,1191.28
131,2013-12-10,1189.73
132,2013-12-11,1186.86
133,2013-12-12,1191.35
134,2013-12-13,1191.17
135,2013-12-14,1191.11
136,2013-12-15,1191.41
137,2013-12-16,1190.99
138,2013-12-17,1190.73
139,2013-12-18,1190.48
140,2013-12-19,1191.06
141,2013-12-20,1191.41
142,2013-12-21,1191.46
143,2013-12-22,1191.33
144,2013-12-23,1191.51
145,2013-12-24,1198.02
146,2013-12-25,1197.34
147,2013-12-26,1196.73
148,2013-12-27,1197.86
149,2013-12-28,1197.57
150,2013-12-29,1197.68
151,2013-12-30,1197.45
152,2013-12-31,1197.26
153,2014-01-01,1198.04
154,2014-01-02,1198.15
155,2014-01-03,1199.78
156,2014-01-04,1200.87
157,2014-01-05,1199.1
158,2014-01-06,1199.71
159,2014-01-07,1200.07
160,2014-01-08,1198.82
161,2014-01-09,1199.43
162,2014-01-10,1199.6
163,2014-01-11,1199.96
164,2014-01-12,1200.53
165,2014-01-13,1200.4
166,2014-01-14,1199.48
167,2014-01-15,1199.56
168,2014-01-16,1199.44
169,2014-01-17,1199.51
170,2014-01-18,1199.74
171,2014-01-19,1199.08
172,2014-01-20,1199.07
173,2014-01-21,1199.51
174,2014-01-22,1200.76
175,2014-01-23,1200.87
176,2014-01-24,1200.57
177,2014-01-25,1201.25
178,2014-01-26,1201.42
179,2014-01-27,1201.88
180,2014-01-28,1201.99
181,2014-01-29,1201.19
182,2014-01-30,1198.33
183,2014-01-31,1197.15
184,2014-02-01,1197.15
185,2014-02-02,1197.19
186,2014-02-03,1197.06
187,2014-02-04,1197.28
188,2014-02-05,1196.89
189,2014-02-06,1198.4
190,2014-02-07,1197.33
191,2014-02-08,1197.05
192,2014-02-09,1198.17
193,2014-02-10,1198.32
194,2014-02-11,1199.11
195,2014-02-12,1197.04
196,2014-02-13,1195.6
197,2014-02-14,1199.61
198,2014-02-15,1199.31
199,2014-02-16,1198.91
200,2014-02-17,1199.09
201,2014-02-18,1199.19
202,2014-02-19,1192.86
203,2014-02-20,1194.44
204,2014-02-21,1193.51
205,2014-02-22,1198.02
206,2014-02-23,1198.59
207,2014-02-24,1198.72
208,2014-02-25,1198.6
209,2014-02-26,1198.61
210,2014-02-27,1198.37
211,2014-02-28,1198.64
212,2014-03-01,1198.57
213,2014-03-02,1198.23
214,2014-03-03,1197.85
215,2014-03-04,1196.98
216,2014-03-05,1200.29
217,2014-03-06,1200.6
218,2014-03-07,1201.03
219,2014-03-08,1200.85
220,2014-03-09,1199.24
221,2014-03-10,1198.93
222,2014-03-11,1199.86
223,2014-03-12,1198.82
224,2014-03-13,1198.79
225,2014-03-14,1197.85
226,2014-03-15,1200.43
227,2014-03-16,1200.27
228,2014-03-17,1198.14
229,2014-03-18,1195.32
230,2014-03-19,1198.84
231,2014-03-20,1203.54
232,2014-03-21,1204.2
233,2014-03-22,1203.03
234,2014-03-23,1203.8
235,2014-03-24,1180.29
236,2014-03-25,1199.03
237,2014-03-26,1195.7
238,2014-03-27,1192.22
239,2014-03-28,1196.15
240,2014-03-29,1195.8
241,2014-03-30,1195.68
242,2014-03-31,1194.04
243,2014-04-01,1195.17
244,2014-04-02,1196.05
245,2014-04-03,1196.33
246,2014-04-04,1196.23
247,2014-04-05,1196.99
248,2014-04-06,1198.28
249,2014-04-07,1195.93
250,2014-04-08,1199.39
251,2014-04-09,1199.79
252,2014-04-10,1197.89
253,2014-04-11,1196.41
254,2014-04-12,1198.34
255,2014-04-13,1198.46
256,2014-04-14,1198.34
257,2014-04-15,1196.76
258,2014-04-16,1191.26
259,2014-04-17,1190.78
260,2014-04-18,1187.9
261,2014-04-19,1189.61
262,2014-04-20,1193.15
263,2014-04-21,1186.16
264,2014-04-22,1186.61
265,2014-04-23,1188.83
266,2014-04-24,1192.11
267,2014-04-25,1194.91
268,2014-04-26,1194.47
269,2014-04-27,1195.42
270,2014-04-28,1195.6
271,2014-04-29,1194.28
272,2014-04-30,1193.29
273,2014-05-01,1193.5
274,2014-05-02,1194.61
275,2014-05-03,1195.24
276,2014-05-04,1192.86
277,2014-05-05,1192.81
278,2014-05-06,1191.1
279,2014-05-07,1192.62
280,2014-05-08,1197.83
281,2014-05-09,1199.48
282,2014-05-10,1199.94
283,2014-05-11,1194.3
284,2014-05-12,1187.88
285,2014-05-13,1193.0
286,2014-05-14,1189.41
287,2014-05-15,1193.34
288,2014-05-16,1194.67
289,2014-05-17,1198.13
