,datetime,UPPER_BLUE_LAKE_NR_MARKLEEVILLE_CA.tsv
225,2013-11-27,1890.0
226,2013-11-28,1890.0
227,2013-11-29,1890.0
228,2013-11-30,1890.0
229,2013-12-01,1890.0
230,2013-12-02,1890.0
231,2013-12-03,1890.0
232,2013-12-04,1890.0
233,2013-12-05,1890.0
234,2013-12-06,1890.0
235,2013-12-07,1890.0
236,2013-12-08,1890.0
237,2013-12-09,1890.0
238,2013-12-10,1890.0
239,2013-12-11,1890.0
240,2013-12-12,1890.0
241,2013-12-13,1890.0
242,2013-12-14,1890.0
243,2013-12-15,1890.0
244,2013-12-16,1890.0
245,2013-12-17,1890.0
246,2013-12-18,1890.0
247,2013-12-19,1890.0
248,2013-12-20,1890.0
249,2013-12-21,1890.0
250,2013-12-22,1890.0
251,2013-12-23,1890.0
252,2013-12-24,1890.0
253,2013-12-25,1890.0
254,2013-12-26,1890.0
255,2013-12-27,1890.0
256,2013-12-28,1890.0
257,2013-12-29,1890.0
258,2013-12-30,1890.0
259,2013-12-31,1890.0
260,2014-01-01,1890.0
261,2014-01-02,1890.0
262,2014-01-03,1890.0
263,2014-01-04,1890.0
264,2014-01-05,1890.0
265,2014-01-06,1890.0
266,2014-01-07,1890.0
267,2014-01-08,1890.0
268,2014-01-09,1890.0
269,2014-01-10,1890.0
270,2014-01-11,1890.0
271,2014-01-12,1890.0
272,2014-01-13,1890.0
273,2014-01-14,1890.0
274,2014-01-15,1890.0
275,2014-01-16,1890.0
276,2014-01-17,1890.0
277,2014-01-18,1890.0
278,2014-01-19,1890.0
279,2014-01-20,1890.0
280,2014-01-21,1890.0
281,2014-01-22,1890.0
282,2014-01-23,1890.0
283,2014-01-24,1890.0
284,2014-01-25,1890.0
285,2014-01-26,1890.0
286,2014-01-27,1890.0
287,2014-01-28,1890.0
288,2014-01-29,1890.0
289,2014-01-30,1890.0
290,2014-01-31,1890.0
291,2014-02-01,1890.0
292,2014-02-02,1890.0
293,2014-02-03,1890.0
294,2014-02-04,1890.0
295,2014-02-05,1890.0
296,2014-02-06,1890.0
297,2014-02-07,1890.0
298,2014-02-08,1890.0
299,2014-02-09,1890.0
300,2014-02-10,1890.0
301,2014-02-11,1890.0
302,2014-02-12,1890.0
303,2014-02-13,1890.0
304,2014-02-14,1890.0
305,2014-02-15,1890.0
306,2014-02-16,1890.0
307,2014-02-17,1890.0
308,2014-02-18,1890.0
309,2014-02-19,1890.0
