,datetime,LAKE_SHANNON_AT_CONCRETE__WA.tsv
243,2013-09-01,427.42
244,2013-09-02,428.53
245,2013-09-03,428.95
246,2013-09-04,427.99
247,2013-09-05,427.58
248,2013-09-06,424.9
249,2013-09-07,420.6
250,2013-09-08,416.4
251,2013-09-09,413.82
252,2013-09-10,412.1
253,2013-09-11,410.01
254,2013-09-12,407.6
255,2013-09-13,405.79
256,2013-09-14,404.09
257,2013-09-15,406.34
258,2013-09-16,408.25
259,2013-09-17,409.39
260,2013-09-18,410.25
261,2013-09-19,410.91
262,2013-09-20,412.29
263,2013-09-21,411.44
264,2013-09-22,413.15
265,2013-09-23,413.3
266,2013-09-24,414.12
267,2013-09-25,413.26
268,2013-09-26,414.16
269,2013-09-27,415.16
270,2013-09-28,417.48
271,2013-09-29,420.51
272,2013-09-30,423.12
273,2013-10-01,425.33
274,2013-10-02,426.97
275,2013-10-03,426.66
276,2013-10-04,426.49
277,2013-10-05,424.58
278,2013-10-06,423.54
279,2013-10-07,420.74
280,2013-10-08,418.36
281,2013-10-09,415.8
282,2013-10-10,413.67
283,2013-10-11,412.06
284,2013-10-12,412.76
285,2013-10-13,413.83
286,2013-10-14,415.26
287,2013-10-15,416.54
288,2013-10-16,419.47
289,2013-10-17,421.16
290,2013-10-18,422.27
291,2013-10-19,422.51
292,2013-10-20,422.28
293,2013-10-21,422.82
294,2013-10-22,422.01
295,2013-10-23,420.95
296,2013-10-24,419.82
297,2013-10-25,418.18
298,2013-10-26,417.7
299,2013-10-27,416.14
300,2013-10-28,417.77
301,2013-10-29,417.33
302,2013-10-30,415.57
303,2013-10-31,413.6
304,2013-11-01,413.87
305,2013-11-02,413.83
306,2013-11-03,413.86
307,2013-11-04,414.07
308,2013-11-05,413.84
309,2013-11-06,413.17
310,2013-11-07,414.27
311,2013-11-08,415.67
312,2013-11-09,415.56
313,2013-11-10,416.61
314,2013-11-11,416.92
315,2013-11-12,418.08
316,2013-11-13,418.45
317,2013-11-14,419.98
318,2013-11-15,421.46
319,2013-11-16,423.39
320,2013-11-17,424.91
321,2013-11-18,426.36
322,2013-11-19,428.56
323,2013-11-20,428.52
324,2013-11-21,428.51
325,2013-11-22,428.14
326,2013-11-23,426.04
327,2013-11-24,425.36
328,2013-11-25,425.49
329,2013-11-26,425.48
330,2013-11-27,424.7
331,2013-11-28,424.22
332,2013-11-29,423.1
333,2013-11-30,424.15
334,2013-12-01,426.03
335,2013-12-02,426.8
336,2013-12-03,427.54
337,2013-12-04,428.62
338,2013-12-05,429.64
339,2013-12-06,429.29
340,2013-12-07,429.97
341,2013-12-08,430.82
342,2013-12-09,430.7
343,2013-12-10,429.03
