,datetime,INDIAN_VALLEY_RES_A_CLEARLAKE_OAKS_CA.tsv
196,2013-07-16,47320.6
197,2013-07-17,46710.1
198,2013-07-18,46119.6
199,2013-07-19,45509.08
200,2013-07-20,44928.58
201,2013-07-21,44348.07
202,2013-07-22,43837.62
203,2013-07-23,43327.16
204,2013-07-24,42736.62
205,2013-07-25,42025.97
206,2013-07-26,41355.34
207,2013-07-27,40694.71
208,2013-07-28,40034.07
209,2013-07-29,39373.42
210,2013-07-30,38712.76
211,2013-07-31,38152.19
212,2013-08-01,37691.71
213,2013-08-02,37291.29
214,2013-08-03,36880.86
215,2013-08-04,36490.44
216,2013-08-05,36080.0
217,2013-08-06,35559.53
218,2013-08-07,35039.05
219,2013-08-08,34488.53
220,2013-08-09,33847.92
221,2013-08-10,33267.35
222,2013-08-11,32836.93
223,2013-08-12,32416.51
224,2013-08-13,32026.11
225,2013-08-14,31525.6
226,2013-08-15,30944.99
227,2013-08-16,30404.41
228,2013-08-17,29843.8
229,2013-08-18,29343.25
230,2013-08-19,28812.65
231,2013-08-20,28392.17
232,2013-08-21,27911.62
233,2013-08-22,27491.12
234,2013-08-23,27050.59
235,2013-08-24,26690.15
236,2013-08-25,26379.76
237,2013-08-26,26089.4
238,2013-08-27,25809.04
239,2013-08-28,25568.74
240,2013-08-29,25298.38
241,2013-08-30,24957.94
242,2013-08-31,24617.48
243,2013-09-01,24277.03
244,2013-09-02,23996.64
245,2013-09-03,23666.18
246,2013-09-04,23255.61
247,2013-09-05,22774.91
248,2013-09-06,22264.17
249,2013-09-07,21753.4
250,2013-09-08,21222.58
251,2013-09-09,20691.74
252,2013-09-10,20160.87
253,2013-09-11,19770.22
254,2013-09-12,19259.59
255,2013-09-13,18789.06
256,2013-09-14,18448.67
257,2013-09-15,18248.44
258,2013-09-16,18158.34
259,2013-09-17,18118.29
260,2013-09-18,18088.26
261,2013-09-19,18058.22
262,2013-09-20,18008.16
263,2013-09-21,18008.16
264,2013-09-22,17968.12
265,2013-09-23,17948.09
266,2013-09-24,17918.06
267,2013-09-25,17837.96
268,2013-09-26,17787.9
269,2013-09-27,17737.84
270,2013-09-28,17697.79
271,2013-09-29,17677.77
272,2013-09-30,17657.74
273,2013-10-01,17627.71
274,2013-10-02,17597.67
275,2013-10-03,17547.61
276,2013-10-04,17467.52
277,2013-10-05,17417.45
278,2013-10-06,17377.4
279,2013-10-07,17357.38
280,2013-10-08,17337.35
281,2013-10-09,17307.32
282,2013-10-10,17287.29
283,2013-10-11,17277.28
284,2013-10-12,17257.26
285,2013-10-13,17217.21
286,2013-10-14,17147.12
287,2013-10-15,17087.05
288,2013-10-16,17077.03
289,2013-10-17,17046.99
290,2013-10-18,17006.95
291,2013-10-19,17006.94
292,2013-10-20,16946.87
293,2013-10-21,16916.83
294,2013-10-22,17246.81
295,2013-10-23,17226.79
296,2013-10-24,17206.76
297,2013-10-25,17176.72
298,2013-10-26,17186.74
299,2013-10-27,17136.68
300,2013-10-28,17136.68
301,2013-10-29,17116.65
302,2013-10-30,17096.63
303,2013-10-31,17046.56
304,2013-11-01,17016.52
305,2013-11-02,16986.48
306,2013-11-03,16946.44
307,2013-11-04,16876.35
308,2013-11-05,16856.32
309,2013-11-06,16816.27
310,2013-11-07,16786.23
311,2013-11-08,16756.19
312,2013-11-09,16736.17
313,2013-11-10,16716.14
314,2013-11-11,16686.1
315,2013-11-12,16656.06
316,2013-11-13,16636.04
317,2013-11-14,16626.03
318,2013-11-15,16585.97
319,2013-11-16,16535.91
320,2013-11-17,16505.87
321,2013-11-18,16475.83
322,2013-11-19,16475.83
323,2013-11-20,16495.85
324,2013-11-21,16465.81
325,2013-11-22,16365.68
326,2013-11-23,16325.630000000001
327,2013-11-24,16295.59
328,2013-11-25,16275.56
329,2013-11-26,16265.55
330,2013-11-27,16225.5
331,2013-11-28,16215.49
332,2013-11-29,16195.46
333,2013-11-30,16165.42
334,2013-12-01,16155.4
335,2013-12-02,16125.36
336,2013-12-03,16105.34
337,2013-12-04,16095.32
338,2013-12-05,16075.3
339,2013-12-06,16065.28
340,2013-12-07,16045.25
341,2013-12-08,16015.22
342,2013-12-09,15985.18
343,2013-12-10,15965.15
344,2013-12-11,15945.119999999999
345,2013-12-12,15925.1
346,2013-12-13,15925.09
347,2013-12-14,15875.03
348,2013-12-15,15844.99
349,2013-12-16,15865.01
350,2013-12-17,15794.91
351,2013-12-18,15764.880000000001
352,2013-12-19,15754.86
353,2013-12-20,15724.82
354,2013-12-21,15694.78
355,2013-12-22,15674.74
356,2013-12-23,15664.73
357,2013-12-24,15644.7
358,2013-12-25,15624.67
359,2013-12-26,15604.65
360,2013-12-27,15554.58
361,2013-12-28,15504.51
362,2013-12-29,15484.48
363,2013-12-30,15474.46
364,2013-12-31,15454.43
365,2014-01-01,15424.39
366,2014-01-02,15404.36
367,2014-01-03,15384.33
368,2014-01-04,15354.29
369,2014-01-05,15314.23
370,2014-01-06,15294.2
371,2014-01-07,15274.17
372,2014-01-08,15244.130000000001
373,2014-01-09,15224.1
374,2014-01-10,15194.06
375,2014-01-11,15174.03
376,2014-01-12,15154.0
377,2014-01-13,15113.94
378,2014-01-14,15103.93
379,2014-01-15,15083.9
380,2014-01-16,15063.869999999999
381,2014-01-17,15023.82
382,2014-01-18,15003.79
383,2014-01-19,14973.75
384,2014-01-20,14943.71
385,2014-01-21,14903.65
386,2014-01-22,14903.65
387,2014-01-23,14873.6
388,2014-01-24,14863.59
389,2014-01-25,14823.53
390,2014-01-26,14813.52
391,2014-01-27,14753.43
392,2014-01-28,14753.43
393,2014-01-29,14743.42
394,2014-01-30,14723.39
395,2014-01-31,14713.369999999999
396,2014-02-01,14713.369999999999
397,2014-02-02,14663.31
398,2014-02-03,14693.34
399,2014-02-04,14663.3
400,2014-02-05,14653.29
401,2014-02-06,14643.28
402,2014-02-07,14683.33
403,2014-02-08,15113.94
404,2014-02-09,15885.04
405,2014-02-10,16215.48
406,2014-02-11,16315.619999999999
