,datetime,UPPER_TWIN_LAKE_NR_BRIDGEPORT__CA.tsv
0,2013-01-02,9337.18
1,2013-01-03,9324.035862068966
2,2013-01-04,9310.891724137931
3,2013-01-05,9297.747586206897
4,2013-01-06,9284.603448275862
5,2013-01-07,9271.459310344828
6,2013-01-08,9258.315172413793
7,2013-01-09,9245.171034482759
8,2013-01-10,9232.026896551724
9,2013-01-11,9218.88275862069
10,2013-01-12,9205.738620689655
11,2013-01-13,9192.59448275862
12,2013-01-14,9179.450344827586
13,2013-01-15,9166.306206896552
14,2013-01-16,9153.162068965517
15,2013-01-17,9140.017931034483
16,2013-01-18,9126.873793103448
17,2013-01-19,9113.729655172414
18,2013-01-20,9100.58551724138
19,2013-01-21,9087.441379310345
20,2013-01-22,9074.29724137931
21,2013-01-23,9061.153103448276
22,2013-01-24,9048.008965517241
23,2013-01-25,9034.864827586207
24,2013-01-26,9021.720689655172
25,2013-01-27,9008.576551724138
26,2013-01-28,8995.432413793103
27,2013-01-29,8982.288275862069
28,2013-01-30,8969.144137931034
29,2013-01-31,8956.0
30,2013-02-01,8966.747857142856
31,2013-02-02,8977.495714285715
32,2013-02-03,8988.243571428571
33,2013-02-04,8998.991428571428
34,2013-02-05,9009.739285714286
35,2013-02-06,9020.487142857142
36,2013-02-07,9031.235
37,2013-02-08,9041.982857142857
38,2013-02-09,9052.730714285713
39,2013-02-10,9063.478571428572
40,2013-02-11,9074.226428571428
41,2013-02-12,9084.974285714285
42,2013-02-13,9095.722142857143
43,2013-02-14,9106.47
44,2013-02-15,9117.217857142858
45,2013-02-16,9127.965714285714
46,2013-02-17,9138.71357142857
47,2013-02-18,9149.461428571429
48,2013-02-19,9160.209285714285
49,2013-02-20,9170.957142857142
50,2013-02-21,9181.705
51,2013-02-22,9192.452857142856
52,2013-02-23,9203.200714285713
53,2013-02-24,9213.948571428571
54,2013-02-25,9224.696428571428
55,2013-02-26,9235.444285714286
56,2013-02-27,9246.192142857142
57,2013-02-28,9256.939999999999
58,2013-03-01,9261.660588235294
59,2013-03-02,9266.381176470588
60,2013-03-03,9271.101764705882
61,2013-03-04,9275.822352941177
62,2013-03-05,9280.54294117647
63,2013-03-06,9285.263529411764
64,2013-03-07,9289.984117647058
65,2013-03-08,9294.704705882352
66,2013-03-09,9299.425294117647
67,2013-03-10,9304.145882352941
68,2013-03-11,9308.866470588235
69,2013-03-12,9313.587058823528
70,2013-03-13,9318.307647058824
71,2013-03-14,9323.028235294118
72,2013-03-15,9327.748823529411
73,2013-03-16,9332.469411764705
74,2013-03-17,9337.189999999999
75,2013-03-18,9341.910588235294
76,2013-03-19,9346.631176470588
77,2013-03-20,9351.351764705882
78,2013-03-21,9356.072352941177
79,2013-03-22,9360.79294117647
80,2013-03-23,9365.513529411764
81,2013-03-24,9370.234117647058
82,2013-03-25,9374.954705882352
83,2013-03-26,9379.675294117647
84,2013-03-27,9384.395882352941
85,2013-03-28,9389.116470588235
86,2013-03-29,9393.837058823528
87,2013-03-30,9398.557647058824
88,2013-03-31,9403.278235294118
89,2013-04-01,9407.998823529411
90,2013-04-02,9412.719411764705
91,2013-04-03,9417.439999999999
92,2013-04-04,9422.6564
93,2013-04-05,9427.8728
94,2013-04-06,9433.0892
95,2013-04-07,9438.3056
96,2013-04-08,9443.522
97,2013-04-09,9448.738399999998
98,2013-04-10,9453.9548
99,2013-04-11,9459.171199999999
100,2013-04-12,9464.3876
101,2013-04-13,9469.604
102,2013-04-14,9474.8204
103,2013-04-15,9480.0368
104,2013-04-16,9485.2532
105,2013-04-17,9490.4696
106,2013-04-18,9495.686
107,2013-04-19,9500.902399999999
108,2013-04-20,9506.1188
109,2013-04-21,9511.3352
110,2013-04-22,9516.5516
111,2013-04-23,9521.768
112,2013-04-24,9526.984400000001
113,2013-04-25,9532.2008
114,2013-04-26,9537.4172
115,2013-04-27,9542.633600000001
116,2013-04-28,9547.85
117,2013-04-29,9538.176785714286
118,2013-04-30,9528.503571428571
119,2013-05-01,9518.830357142859
120,2013-05-02,9509.157142857144
121,2013-05-03,9499.483928571428
122,2013-05-04,9489.810714285715
123,2013-05-05,9480.1375
124,2013-05-06,9470.464285714286
125,2013-05-07,9460.791071428572
126,2013-05-08,9451.117857142857
