,datetime,LAKE_BILLY_CHINOOK_NEAR_GRANDVIEW__OR.tsv
225,2013-08-14,1944.39
226,2013-08-15,1944.45
227,2013-08-16,1944.44
228,2013-08-17,1944.54
229,2013-08-18,1944.5
230,2013-08-19,1944.64
231,2013-08-20,1944.68
232,2013-08-21,1944.65
233,2013-08-22,1944.51
234,2013-08-23,1944.48
235,2013-08-24,1944.46
236,2013-08-25,1944.54
237,2013-08-26,1944.68
238,2013-08-27,1944.66
239,2013-08-28,1944.56
240,2013-08-29,1944.59
241,2013-08-30,1944.47
242,2013-08-31,1944.4
243,2013-09-01,1944.36
244,2013-09-02,1944.21
245,2013-09-03,1944.22
246,2013-09-04,1944.25
247,2013-09-05,1944.27
248,2013-09-06,1944.24
249,2013-09-07,1944.32
250,2013-09-08,1944.39
251,2013-09-09,1944.57
252,2013-09-10,1944.48
253,2013-09-11,1944.49
254,2013-09-12,1944.45
255,2013-09-13,1944.51
256,2013-09-14,1944.44
257,2013-09-15,1944.51
258,2013-09-16,1944.38
259,2013-09-17,1944.28
260,2013-09-18,1944.22
261,2013-09-19,1944.33
262,2013-09-20,1944.3
263,2013-09-21,1944.31
264,2013-09-22,1944.32
265,2013-09-23,1944.31
266,2013-09-24,1944.33
267,2013-09-25,1944.33
268,2013-09-26,1944.26
269,2013-09-27,1944.18
270,2013-09-28,1944.15
271,2013-09-29,1944.35
272,2013-09-30,1944.43
273,2013-10-01,1944.34
274,2013-10-02,1944.16
275,2013-10-03,1943.86
276,2013-10-04,1943.84
277,2013-10-05,1943.66
278,2013-10-06,1943.62
279,2013-10-07,1943.69
280,2013-10-08,1943.63
281,2013-10-09,1943.76
282,2013-10-10,1943.75
283,2013-10-11,1943.57
284,2013-10-12,1943.55
285,2013-10-13,1943.53
286,2013-10-14,1943.49
287,2013-10-15,1943.37
288,2013-10-16,1943.46
289,2013-10-17,1943.47
290,2013-10-18,1943.55
291,2013-10-19,1943.5
292,2013-10-20,1943.6
293,2013-10-21,1943.52
294,2013-10-22,1943.49
295,2013-10-23,1943.52
296,2013-10-24,1943.44
297,2013-10-25,1943.38
298,2013-10-26,1943.47
299,2013-10-27,1943.51
300,2013-10-28,1943.48
301,2013-10-29,1943.51
302,2013-10-30,1943.42
303,2013-10-31,1943.39
304,2013-11-01,1943.31
305,2013-11-02,1943.23
306,2013-11-03,1943.17
307,2013-11-04,1943.06
308,2013-11-05,1943.0
309,2013-11-06,1943.06
310,2013-11-07,1942.94
311,2013-11-08,1942.93
312,2013-11-09,1942.89
313,2013-11-10,1942.68
314,2013-11-11,1942.63
315,2013-11-12,1942.57
316,2013-11-13,1942.38
317,2013-11-14,1942.45
318,2013-11-15,1942.3
319,2013-11-16,1942.32
320,2013-11-17,1942.36
321,2013-11-18,1942.35
322,2013-11-19,1942.3
323,2013-11-20,1942.29
324,2013-11-21,1942.22
325,2013-11-22,1942.23
326,2013-11-23,1942.33
327,2013-11-24,1942.37
328,2013-11-25,1942.47
329,2013-11-26,1942.58
330,2013-11-27,1942.48
331,2013-11-28,1942.45
332,2013-11-29,1942.44
333,2013-11-30,1942.46
334,2013-12-01,1942.43
335,2013-12-02,1942.76
336,2013-12-03,1942.86
337,2013-12-04,1942.71
338,2013-12-05,1942.53
339,2013-12-06,1942.54
340,2013-12-07,1942.58
341,2013-12-08,1942.46
342,2013-12-09,1942.44
343,2013-12-10,1942.3
344,2013-12-11,1942.24
345,2013-12-12,1942.22
346,2013-12-13,1942.1
347,2013-12-14,1942.05
348,2013-12-15,1942.06
349,2013-12-16,1941.96
350,2013-12-17,1941.91
351,2013-12-18,1942.0
352,2013-12-19,1941.92
353,2013-12-20,1942.02
354,2013-12-21,1942.02
355,2013-12-22,1942.11
