,datetime,LAKE_TAPPS_NEAR_SUMNER__WA.
197,2011-07-17,46434.46
198,2011-07-18,46404.44
199,2011-07-19,46384.42
200,2011-07-20,46404.44
201,2011-07-21,46404.44
202,2011-07-22,46354.4
203,2011-07-23,46274.34
204,2011-07-24,46224.3
205,2011-07-25,46204.28
206,2011-07-26,46104.2
207,2011-07-27,46024.14
208,2011-07-28,46004.12
209,2011-07-29,46024.14
210,2011-07-30,46054.16
211,2011-07-31,46074.18
212,2011-08-01,46154.24
213,2011-08-02,46274.34
214,2011-08-03,46404.44
215,2011-08-04,46484.5
216,2011-08-05,46504.52
217,2011-08-06,46554.56
218,2011-08-07,46554.56
219,2011-08-08,46584.58
220,2011-08-09,46584.58
221,2011-08-10,46554.56
222,2011-08-11,46554.56
223,2011-08-12,46554.56
224,2011-08-13,46534.54
225,2011-08-14,46504.52
226,2011-08-15,46484.5
227,2011-08-16,46454.48
228,2011-08-17,46454.48
229,2011-08-18,46454.48
230,2011-08-19,46434.46
231,2011-08-20,46484.5
232,2011-08-21,46504.52
233,2011-08-22,46584.58
234,2011-08-23,46554.56
235,2011-08-24,46504.52
236,2011-08-25,46484.5
237,2011-08-26,46454.48
238,2011-08-27,46404.44
239,2011-08-28,46404.44
240,2011-08-29,46384.42
241,2011-08-30,46404.44
242,2011-08-31,46404.44
243,2011-09-01,46404.44
244,2011-09-02,46384.42
245,2011-09-03,46384.42
246,2011-09-04,46354.4
247,2011-09-05,46354.4
248,2011-09-06,46354.4
249,2011-09-07,46384.42
250,2011-09-08,46404.44
251,2011-09-09,46484.5
252,2011-09-10,46584.58
253,2011-09-11,46684.66
254,2011-09-12,46734.7
255,2011-09-13,46804.76
256,2011-09-14,46904.84
257,2011-09-15,46954.88
258,2011-09-16,47064.96
259,2011-09-17,47235.1
260,2011-09-18,47415.24
261,2011-09-19,47435.26
262,2011-09-20,47535.34
263,2011-09-21,47665.44
264,2011-09-22,47585.38
265,2011-09-23,47415.24
266,2011-09-24,47215.08
267,2011-09-25,47034.94
268,2011-09-26,46404.44
269,2011-09-27,45803.96
270,2011-09-28,45653.84
271,2011-09-29,45623.82
272,2011-09-30,45623.82
273,2011-10-01,45653.84
274,2011-10-02,45723.9
275,2011-10-03,45773.94
276,2011-10-04,45773.94
277,2011-10-05,45874.02
278,2011-10-06,45924.06
279,2011-10-07,45924.06
280,2011-10-08,45924.06
281,2011-10-09,45924.06
282,2011-10-10,45974.1
283,2011-10-11,46074.18
284,2011-10-12,46074.18
285,2011-10-13,46004.12
286,2011-10-14,45954.08
287,2011-10-15,45874.02
288,2011-10-16,45803.96
289,2011-10-17,45753.92
290,2011-10-18,45673.86
291,2011-10-19,45593.8
292,2011-10-20,45523.74
293,2011-10-21,45473.7
294,2011-10-22,45673.86
295,2011-10-23,45653.84
296,2011-10-24,45623.82
297,2011-10-25,45593.8
298,2011-10-26,45543.76
299,2011-10-27,45493.72
300,2011-10-28,45573.78
301,2011-10-29,45523.74
302,2011-10-30,45573.78
303,2011-10-31,45523.74
304,2011-11-01,45393.64
305,2011-11-02,45293.56
306,2011-11-03,45123.42
307,2011-11-04,44923.26
308,2011-11-05,44733.1
309,2011-11-06,44512.92
310,2011-11-07,44312.76
311,2011-11-08,44142.62
312,2011-11-09,43952.46
313,2011-11-10,43782.32
314,2011-11-11,43602.18
315,2011-11-12,43462.06
316,2011-11-13,43291.92
317,2011-11-14,43091.76
318,2011-11-15,42901.6
319,2011-11-16,42751.48
320,2011-11-17,42231.04
321,2011-11-18,41370.32
322,2011-11-19,40459.56
323,2011-11-20,40079.24
324,2011-11-21,39608.84
325,2011-11-22,39218.5
326,2011-11-23,38557.94
327,2011-11-24,37837.32
328,2011-11-25,37006.6
329,2011-11-26,36205.9
330,2011-11-27,35495.28
331,2011-11-28,35134.96
332,2011-11-29,35044.88
333,2011-11-30,34924.78
334,2011-12-01,34864.72
335,2011-12-02,34774.64
336,2011-12-03,34684.56
337,2011-12-04,34614.5
338,2011-12-05,34504.4
339,2011-12-06,34434.34
340,2011-12-07,34344.26
341,2011-12-08,34234.16
342,2011-12-09,34144.08
343,2011-12-10,34054.0
344,2011-12-11,33963.92
345,2011-12-12,33873.84
346,2011-12-13,33753.74
347,2011-12-14,33663.66
348,2011-12-15,33603.6
349,2011-12-16,33483.5
350,2011-12-17,33373.4
351,2011-12-18,33353.38
352,2011-12-19,33293.32
353,2011-12-20,33203.24
354,2011-12-21,33073.12
355,2011-12-22,32983.04
356,2011-12-23,32892.96
357,2011-12-24,32802.88
358,2011-12-25,32742.82
359,2011-12-26,32632.72
360,2011-12-27,32672.76
361,2011-12-28,32762.84
362,2011-12-29,32762.84
363,2011-12-30,32912.98
364,2011-12-31,32912.98
365,2012-01-01,32782.86
366,2012-01-02,32762.84
367,2012-01-03,32672.76
368,2012-01-04,32272.4
369,2012-01-05,31551.74
370,2012-01-06,30791.04
371,2012-01-07,30000.3
372,2012-01-08,29189.54
373,2012-01-09,28508.88
374,2012-01-10,27968.36
375,2012-01-11,27868.26
376,2012-01-12,27768.16
377,2012-01-13,27658.06
378,2012-01-14,27638.04
379,2012-01-15,27557.96
380,2012-01-16,27497.9
381,2012-01-17,27457.86
382,2012-01-18,27537.94
383,2012-01-19,27728.12
384,2012-01-20,27788.18
385,2012-01-21,27888.28
386,2012-01-22,27988.38
387,2012-01-23,27968.36
388,2012-01-24,28008.4
389,2012-01-25,28058.44
390,2012-01-26,28058.44
391,2012-01-27,27988.38
392,2012-01-28,27928.32
393,2012-01-29,28298.68
394,2012-01-30,28528.9
395,2012-01-31,28528.9
396,2012-02-01,28659.02
397,2012-02-02,28608.98
398,2012-02-03,28568.94
399,2012-02-04,28508.88
400,2012-02-05,28448.82
401,2012-02-06,28368.74
402,2012-02-07,28258.64
403,2012-02-08,28218.6
404,2012-02-09,28158.54
405,2012-02-10,28118.5
406,2012-02-11,28058.44
407,2012-02-12,27988.38
408,2012-02-13,27968.36
409,2012-02-14,27888.28
410,2012-02-15,27808.2
411,2012-02-16,27768.16
412,2012-02-17,27808.2
413,2012-02-18,27848.24
414,2012-02-19,27748.14
415,2012-02-20,27748.14
416,2012-02-21,27788.18
417,2012-02-22,27808.2
418,2012-02-23,27728.12
419,2012-02-24,27748.14
420,2012-02-25,27678.08
421,2012-02-26,27618.02
422,2012-02-27,27537.94
423,2012-02-28,27437.84
424,2012-02-29,27417.82
425,2012-03-01,27327.74
426,2012-03-02,27267.68
427,2012-03-03,27207.62
428,2012-03-04,27127.54
429,2012-03-05,27087.5
430,2012-03-06,27007.42
431,2012-03-07,27007.42
432,2012-03-08,27327.74
