,datetime,BULL_RUN_RESERVOIR_NO_1_NEAR_BULL_RUN__OR.
70,2011-03-12,1035.4
71,2011-03-13,1036.83
72,2011-03-14,1038.35
73,2011-03-15,1039.08
74,2011-03-16,1038.59
75,2011-03-17,1036.85
76,2011-03-18,1035.91
77,2011-03-19,1034.53
78,2011-03-20,1035.12
79,2011-03-21,1035.13
80,2011-03-22,1034.92
81,2011-03-23,1035.03
82,2011-03-24,1034.91
83,2011-03-25,1035.21
84,2011-03-26,1035.14
85,2011-03-27,1035.14
86,2011-03-28,1035.48
87,2011-03-29,1036.44
88,2011-03-30,1038.47
89,2011-03-31,1038.06
90,2011-04-01,1037.24
91,2011-04-02,1035.81
92,2011-04-03,1035.46
93,2011-04-04,1037.06
94,2011-04-05,1036.66
95,2011-04-06,1035.61
96,2011-04-07,1035.31
97,2011-04-08,1035.41
98,2011-04-09,1034.73
99,2011-04-10,1035.44
100,2011-04-11,1035.3
101,2011-04-12,1034.61
102,2011-04-13,1035.07
103,2011-04-14,1035.6
104,2011-04-15,1036.91
105,2011-04-16,1038.52
106,2011-04-17,1035.86
107,2011-04-18,1035.22
108,2011-04-19,1035.24
109,2011-04-20,1034.86
110,2011-04-21,1034.75
111,2011-04-22,1034.95
112,2011-04-23,1034.97
113,2011-04-24,1035.14
114,2011-04-25,1035.83
115,2011-04-26,1035.9
116,2011-04-27,1035.96
117,2011-04-28,1035.87
118,2011-04-29,1035.25
119,2011-04-30,1035.16
120,2011-05-01,1035.0
121,2011-05-02,1035.22
122,2011-05-03,1035.28
123,2011-05-04,1035.18
124,2011-05-05,1035.06
125,2011-05-06,1035.22
126,2011-05-07,1035.76
127,2011-05-08,1035.68
128,2011-05-09,1035.35
129,2011-05-10,1035.25
130,2011-05-11,1035.22
131,2011-05-12,1034.75
132,2011-05-13,1034.68
133,2011-05-14,1034.82
134,2011-05-15,1035.93
135,2011-05-16,1035.82
136,2011-05-17,1035.71
137,2011-05-18,1034.91
138,2011-05-19,1035.08
139,2011-05-20,1035.87
140,2011-05-21,1036.55
141,2011-05-22,1037.19
142,2011-05-23,1038.0
143,2011-05-24,1038.41
144,2011-05-25,1038.69
145,2011-05-26,1038.96
146,2011-05-27,1039.63
147,2011-05-28,1039.26
148,2011-05-29,1039.28
149,2011-05-30,1039.25
150,2011-05-31,1039.61
151,2011-06-01,1040.02
152,2011-06-02,1041.49
153,2011-06-03,1042.33
154,2011-06-04,1042.58
155,2011-06-05,1043.1
156,2011-06-06,1043.34
157,2011-06-07,1044.19
158,2011-06-08,1044.62
159,2011-06-09,1044.59
160,2011-06-10,1044.66
161,2011-06-11,1044.65
162,2011-06-12,1044.73
