,datetime,HILLS_CREEK_LAKE_NEAR_OAKRIDGE__OR.tsv
212,2014-03-01,1493.54
213,2014-03-02,1494.79
214,2014-03-03,1497.35
215,2014-03-04,1499.75
216,2014-03-05,1500.99
217,2014-03-06,1502.38
218,2014-03-07,1503.13
219,2014-03-08,1502.97
220,2014-03-09,1504.86
221,2014-03-10,1510.1
222,2014-03-11,1512.0
223,2014-03-12,1512.28
224,2014-03-13,1511.79
225,2014-03-14,1510.9
226,2014-03-15,1510.12
227,2014-03-16,1509.41
228,2014-03-17,1508.94
229,2014-03-18,1509.01
230,2014-03-19,1509.38
231,2014-03-20,1510.06
232,2014-03-21,1510.71
233,2014-03-22,1511.29
234,2014-03-23,1511.8
235,2014-03-24,1512.26
236,2014-03-25,1512.73
237,2014-03-26,1513.27
238,2014-03-27,1514.06
239,2014-03-28,1516.18
240,2014-03-29,1520.62
241,2014-03-30,1523.03
242,2014-03-31,1524.45
243,2014-04-01,1525.16
244,2014-04-02,1525.6
245,2014-04-03,1525.62
246,2014-04-04,1525.36
247,2014-04-05,1525.08
248,2014-04-06,1524.89
249,2014-04-07,1524.7
250,2014-04-08,1524.52
251,2014-04-09,1524.34
252,2014-04-10,1524.32
253,2014-04-11,1524.43
254,2014-04-12,1524.66
255,2014-04-13,1524.99
256,2014-04-14,1525.26
257,2014-04-15,1525.51
258,2014-04-16,1525.73
259,2014-04-17,1525.98
260,2014-04-18,1526.25
261,2014-04-19,1526.46
262,2014-04-20,1526.63
263,2014-04-21,1526.79
264,2014-04-22,1527.05
265,2014-04-23,1527.3
266,2014-04-24,1528.68
267,2014-04-25,1530.13
268,2014-04-26,1531.16
269,2014-04-27,1532.06
270,2014-04-28,1532.89
271,2014-04-29,1533.58
272,2014-04-30,1534.18
273,2014-05-01,1534.71
274,2014-05-02,1535.2
275,2014-05-03,1535.67
276,2014-05-04,1536.19
277,2014-05-05,1536.8
278,2014-05-06,1537.33
279,2014-05-07,1537.74
280,2014-05-08,1538.24
281,2014-05-09,1539.4
282,2014-05-10,1540.53
283,2014-05-11,1541.26
284,2014-05-12,1541.24
285,2014-05-13,1541.07
286,2014-05-14,1541.03
287,2014-05-15,1540.9
288,2014-05-16,1540.75
289,2014-05-17,1540.65
290,2014-05-18,1540.72
291,2014-05-19,1540.81
292,2014-05-20,1540.78
293,2014-05-21,1540.73
294,2014-05-22,1540.73
295,2014-05-23,1540.88
296,2014-05-24,1540.87
297,2014-05-25,1540.78
298,2014-05-26,1540.74
299,2014-05-27,1540.71
300,2014-05-28,1540.8
301,2014-05-29,1540.85
302,2014-05-30,1540.86
303,2014-05-31,1540.84
304,2014-06-01,1540.82
305,2014-06-02,1540.8
306,2014-06-03,1540.76
307,2014-06-04,1540.7
308,2014-06-05,1540.64
309,2014-06-06,1540.59
310,2014-06-07,1540.53
311,2014-06-08,1540.46
312,2014-06-09,1540.38
313,2014-06-10,1540.29
314,2014-06-11,1540.19
315,2014-06-12,1540.09
316,2014-06-13,1540.02
317,2014-06-14,1539.93
318,2014-06-15,1539.82
319,2014-06-16,1539.76
320,2014-06-17,1539.7
