,datetime,BULL_RUN_LAKE_NEAR_BRIGHTWOOD__OR.
225,2011-08-14,3175.71
226,2011-08-15,3175.59
227,2011-08-16,3175.47
228,2011-08-17,3175.34
229,2011-08-18,3175.23
230,2011-08-19,3175.1
231,2011-08-20,3174.97
232,2011-08-21,3174.87
233,2011-08-22,3174.75
234,2011-08-23,3174.66
235,2011-08-24,3174.55
236,2011-08-25,3174.44
237,2011-08-26,3174.33
238,2011-08-27,3174.21
239,2011-08-28,3174.09
240,2011-08-29,3173.97
241,2011-08-30,3173.86
242,2011-08-31,3173.75
243,2011-09-01,3173.65
244,2011-09-02,3173.52
245,2011-09-03,3173.39
246,2011-09-04,3173.26
247,2011-09-05,3173.17
248,2011-09-06,3173.06
249,2011-09-07,3172.93
250,2011-09-08,3172.83
251,2011-09-09,3172.72
252,2011-09-10,3172.63
253,2011-09-11,3172.51
254,2011-09-12,3172.4
255,2011-09-13,3172.29
256,2011-09-14,3172.16
257,2011-09-15,3172.07
258,2011-09-16,3171.96
259,2011-09-17,3171.83
260,2011-09-18,3171.78
261,2011-09-19,3171.71
262,2011-09-20,3171.62
263,2011-09-21,3171.52
264,2011-09-22,3171.42
265,2011-09-23,3171.31
266,2011-09-24,3171.22
267,2011-09-25,3171.12
268,2011-09-26,3171.02
269,2011-09-27,3170.97
270,2011-09-28,3170.88
271,2011-09-29,3170.77
272,2011-09-30,3170.65
273,2011-10-01,3170.56
274,2011-10-02,3170.49
275,2011-10-03,3170.43
276,2011-10-04,3170.34
277,2011-10-05,3170.28
278,2011-10-06,3170.26
279,2011-10-07,3170.21
280,2011-10-08,3170.13
281,2011-10-09,3170.03
282,2011-10-10,3170.08
283,2011-10-11,3170.22
284,2011-10-12,3170.21
285,2011-10-13,3170.18
286,2011-10-14,3170.09
287,2011-10-15,3170.03
288,2011-10-16,3169.94
289,2011-10-17,3169.94
290,2011-10-18,3169.73
291,2011-10-19,3169.67
292,2011-10-20,3169.57
293,2011-10-21,3169.51
294,2011-10-22,3169.5
295,2011-10-23,3169.43
296,2011-10-24,3169.35
297,2011-10-25,3169.31
298,2011-10-26,3169.18
299,2011-10-27,3169.09
300,2011-10-28,3169.06
301,2011-10-29,3169.03
302,2011-10-30,3169.23
303,2011-10-31,3169.25
304,2011-11-01,3169.22
305,2011-11-02,3169.16
306,2011-11-03,3169.14
307,2011-11-04,3169.05
308,2011-11-05,3169.01
309,2011-11-06,3168.93
310,2011-11-07,3168.87
311,2011-11-08,3168.82
312,2011-11-09,3168.75
313,2011-11-10,3168.64
314,2011-11-11,3168.61
315,2011-11-12,3168.61
316,2011-11-13,3168.79
317,2011-11-14,3168.89
318,2011-11-15,3168.9
319,2011-11-16,3169.27
320,2011-11-17,3169.67
321,2011-11-18,3169.94
322,2011-11-19,3170.03
323,2011-11-20,3169.99
324,2011-11-21,3170.15
325,2011-11-22,3170.7
326,2011-11-23,3170.99
327,2011-11-24,3171.21
328,2011-11-25,3171.31
329,2011-11-26,3171.33
330,2011-11-27,3171.49
331,2011-11-28,3171.54
332,2011-11-29,3171.65
333,2011-11-30,3171.56
334,2011-12-01,3171.57
335,2011-12-02,3171.53
336,2011-12-03,3171.49
337,2011-12-04,3171.44
338,2011-12-05,3171.4
339,2011-12-06,3171.32
340,2011-12-07,3171.28
341,2011-12-08,3171.2
342,2011-12-09,3171.13
343,2011-12-10,3171.04
344,2011-12-11,3170.95
345,2011-12-12,3170.95
346,2011-12-13,3170.81
347,2011-12-14,3170.73
348,2011-12-15,3170.69
349,2011-12-16,3170.62
350,2011-12-17,3170.53
351,2011-12-18,3170.49
352,2011-12-19,3170.42
353,2011-12-20,3170.41
354,2011-12-21,3170.25
355,2011-12-22,3170.18
356,2011-12-23,3170.1
357,2011-12-24,3170.05
358,2011-12-25,3170.02
359,2011-12-26,3169.9
360,2011-12-27,3170.21
361,2011-12-28,3171.87
362,2011-12-29,3172.74
363,2011-12-30,3173.66
364,2011-12-31,3173.85
365,2012-01-01,3173.97
366,2012-01-02,3173.97
367,2012-01-03,3174.05
368,2012-01-04,3174.24
369,2012-01-05,3174.29
370,2012-01-06,3174.31
371,2012-01-07,3174.3
372,2012-01-08,3174.27
373,2012-01-09,3174.26
374,2012-01-10,3174.24
375,2012-01-11,3174.13
376,2012-01-12,3174.04
