,datetime,BOUNDARY_RESERVOIR_AT_FOREBAY_NR_METALINE_FALLS.tsv
225,2013-08-14,1793.2
226,2013-08-15,1792.4
227,2013-08-16,1793.5
228,2013-08-17,1795.5
229,2013-08-18,1796.2
230,2013-08-19,1792.4
231,2013-08-20,1794.0
232,2013-08-21,1795.6
233,2013-08-22,1791.7
234,2013-08-23,1782.6
235,2013-08-24,1778.2
236,2013-08-25,1782.0
237,2013-08-26,1785.6
238,2013-08-27,1783.7
239,2013-08-28,1779.3
240,2013-08-29,1781.6
241,2013-08-30,1783.9
242,2013-08-31,1788.1
243,2013-09-01,1780.9
244,2013-09-02,1780.0
245,2013-09-03,1781.7
246,2013-09-04,1784.8
247,2013-09-05,1782.4
248,2013-09-06,1784.0
249,2013-09-07,1782.8
250,2013-09-08,1781.8
251,2013-09-09,1782.1
252,2013-09-10,1783.5
253,2013-09-11,1785.3
254,2013-09-12,1784.3
255,2013-09-13,1776.8
256,2013-09-14,1775.9
257,2013-09-15,1776.2
258,2013-09-16,1777.1
259,2013-09-17,1775.4
260,2013-09-18,1783.5
261,2013-09-19,1786.3
262,2013-09-20,1773.5
263,2013-09-21,1763.7
264,2013-09-22,1759.2
265,2013-09-23,1762.5
266,2013-09-24,1760.5
267,2013-09-25,1759.8
268,2013-09-26,1764.9
269,2013-09-27,1760.3
270,2013-09-28,1749.8
271,2013-09-29,1739.7
272,2013-09-30,1744.8
273,2013-10-01,1754.1
274,2013-10-02,1755.4
275,2013-10-03,1764.0
276,2013-10-04,1770.6
277,2013-10-05,1767.7
278,2013-10-06,1766.4
279,2013-10-07,1753.6
280,2013-10-08,1757.6
281,2013-10-09,1761.1
282,2013-10-10,1754.8
283,2013-10-11,1759.2
284,2013-10-12,1762.5
285,2013-10-13,1770.9
286,2013-10-14,1777.0
287,2013-10-15,1780.7
288,2013-10-16,1775.8
289,2013-10-17,1782.1
290,2013-10-18,1783.8
291,2013-10-19,1771.8
292,2013-10-20,1769.5
293,2013-10-21,1772.0
294,2013-10-22,1768.7
295,2013-10-23,1767.6
296,2013-10-24,1765.5
297,2013-10-25,1770.3
298,2013-10-26,1784.0
299,2013-10-27,1787.7
300,2013-10-28,1780.9
301,2013-10-29,1769.6
302,2013-10-30,1769.1
303,2013-10-31,1778.8
304,2013-11-01,1772.0
305,2013-11-02,1752.2
306,2013-11-03,1742.6
307,2013-11-04,1739.1
308,2013-11-05,1738.4
309,2013-11-06,1743.8
310,2013-11-07,1734.0
311,2013-11-08,1733.6
312,2013-11-09,1737.6
313,2013-11-10,1737.8
314,2013-11-11,1745.8
315,2013-11-12,1745.6
316,2013-11-13,1745.3
317,2013-11-14,1740.2
318,2013-11-15,1723.0
319,2013-11-16,1714.0
320,2013-11-17,1726.0
321,2013-11-18,1724.5
322,2013-11-19,1720.1
323,2013-11-20,1743.5
324,2013-11-21,1752.3
325,2013-11-22,1752.8
326,2013-11-23,1745.7
327,2013-11-24,1737.3
328,2013-11-25,1739.3
329,2013-11-26,1733.2
330,2013-11-27,1723.8
331,2013-11-28,1723.4
332,2013-11-29,1725.5
333,2013-11-30,1725.8
334,2013-12-01,1714.8
335,2013-12-02,1710.5
336,2013-12-03,1723.7
337,2013-12-04,1722.8
338,2013-12-05,1721.6000000000001
339,2013-12-06,1723.2
340,2013-12-07,1719.6999999999998
341,2013-12-08,1722.5
342,2013-12-09,1720.7
343,2013-12-10,1717.2
344,2013-12-11,1717.4
345,2013-12-12,1712.1
346,2013-12-13,1714.0
347,2013-12-14,1715.0
348,2013-12-15,1712.0
349,2013-12-16,1720.0
350,2013-12-17,1715.0
351,2013-12-18,1703.0
352,2013-12-19,1716.0
353,2013-12-20,1706.0
354,2013-12-21,1704.0
355,2013-12-22,1709.0
356,2013-12-23,1705.0
357,2013-12-24,1717.0
358,2013-12-25,1718.3
359,2013-12-26,1714.9
