,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.tsv
226,2013-08-15,61730.0
227,2013-08-16,61580.0
228,2013-08-17,61430.0
229,2013-08-18,61270.0
230,2013-08-19,61140.0
231,2013-08-20,61000.0
232,2013-08-21,60870.0
233,2013-08-22,60700.0
234,2013-08-23,60520.0
235,2013-08-24,60340.0
236,2013-08-25,60190.0
237,2013-08-26,60030.0
238,2013-08-27,59910.0
239,2013-08-28,59790.0
240,2013-08-29,59660.0
241,2013-08-30,59510.0
242,2013-08-31,59360.0
243,2013-09-01,59260.0
244,2013-09-02,59130.0
245,2013-09-03,58960.0
246,2013-09-04,58820.0
247,2013-09-05,58690.0
248,2013-09-06,58550.0
249,2013-09-07,58400.0
250,2013-09-08,58250.0
251,2013-09-09,58120.0
252,2013-09-10,57980.0
253,2013-09-11,57840.0
254,2013-09-12,57700.0
255,2013-09-13,57530.0
256,2013-09-14,57370.0
257,2013-09-15,57220.0
258,2013-09-16,57040.0
259,2013-09-17,56900.0
260,2013-09-18,56700.0
261,2013-09-19,56650.0
262,2013-09-20,56640.0
263,2013-09-21,56640.0
264,2013-09-22,56600.0
265,2013-09-23,56600.0
266,2013-09-24,56550.0
267,2013-09-25,56560.0
268,2013-09-26,56520.0
269,2013-09-27,56510.0
270,2013-09-28,56500.0
271,2013-09-29,56480.0
272,2013-09-30,56450.0
273,2013-10-01,56430.0
274,2013-10-02,56420.0
275,2013-10-03,56400.0
276,2013-10-04,56370.0
277,2013-10-05,56360.0
278,2013-10-06,56350.0
279,2013-10-07,56320.0
280,2013-10-08,56300.0
281,2013-10-09,56390.0
282,2013-10-10,56390.0
283,2013-10-11,56380.0
284,2013-10-12,56370.0
285,2013-10-13,56360.0
286,2013-10-14,56340.0
287,2013-10-15,56280.0
288,2013-10-16,56170.0
289,2013-10-17,56110.0
290,2013-10-18,56100.0
291,2013-10-19,56090.0
292,2013-10-20,56070.0
293,2013-10-21,56050.0
294,2013-10-22,56040.0
295,2013-10-23,56030.0
296,2013-10-24,56020.0
297,2013-10-25,55960.0
298,2013-10-26,55860.0
299,2013-10-27,55760.0
300,2013-10-28,55660.0
301,2013-10-29,55590.0
302,2013-10-30,55490.0
303,2013-10-31,55180.0
304,2013-11-01,55050.0
305,2013-11-02,54920.0
306,2013-11-03,54970.0
307,2013-11-04,54760.0
308,2013-11-05,54520.0
309,2013-11-06,54520.0
310,2013-11-07,54280.0
311,2013-11-08,54120.0
312,2013-11-09,54020.0
313,2013-11-10,53880.0
314,2013-11-11,53730.0
315,2013-11-12,53690.0
316,2013-11-13,53440.0
317,2013-11-14,53290.0
318,2013-11-15,53310.0
319,2013-11-16,53210.0
320,2013-11-17,53010.0
321,2013-11-18,52990.0
322,2013-11-19,52870.0
323,2013-11-20,52780.0
324,2013-11-21,52680.0
325,2013-11-22,52500.0
326,2013-11-23,52410.0
327,2013-11-24,52230.0
328,2013-11-25,52150.0
329,2013-11-26,52130.0
330,2013-11-27,51980.0
331,2013-11-28,51840.0
332,2013-11-29,51710.0
333,2013-11-30,51550.0
334,2013-12-01,51460.0
335,2013-12-02,51360.0
336,2013-12-03,51310.0
337,2013-12-04,51090.0
338,2013-12-05,50950.0
339,2013-12-06,50870.0
340,2013-12-07,50810.0
341,2013-12-08,50550.0
342,2013-12-09,50430.0
343,2013-12-10,50410.0
344,2013-12-11,50190.0
345,2013-12-12,50040.0
346,2013-12-13,49920.0
347,2013-12-14,49760.0
348,2013-12-15,49710.0
349,2013-12-16,49550.0
350,2013-12-17,49380.0
351,2013-12-18,49370.0
352,2013-12-19,49360.0
353,2013-12-20,49300.0
354,2013-12-21,49170.0
355,2013-12-22,49170.0
356,2013-12-23,49100.0
357,2013-12-24,48970.0
358,2013-12-25,48820.0
359,2013-12-26,48660.0
360,2013-12-27,48660.0
361,2013-12-28,48460.0
362,2013-12-29,48370.0
363,2013-12-30,48290.0
364,2013-12-31,48200.0
365,2014-01-01,48120.0
366,2014-01-02,48030.0
367,2014-01-03,47950.0
368,2014-01-04,47860.0
369,2014-01-05,47780.0
370,2014-01-06,47700.0
371,2014-01-07,47620.0
372,2014-01-08,47530.0
373,2014-01-09,47450.0
374,2014-01-10,47360.0
375,2014-01-11,47280.0
376,2014-01-12,47200.0
377,2014-01-13,47110.0
378,2014-01-14,47030.0
379,2014-01-15,46940.0
380,2014-01-16,46860.0
381,2014-01-17,46780.0
382,2014-01-18,46690.0
383,2014-01-19,46610.0
384,2014-01-20,46520.0
385,2014-01-21,46440.0
386,2014-01-22,46360.0
387,2014-01-23,46270.0
388,2014-01-24,46190.0
389,2014-01-25,46100.0
390,2014-01-26,46020.0
391,2014-01-27,45940.0
392,2014-01-28,45850.0
393,2014-01-29,45770.0
394,2014-01-30,45680.0
395,2014-01-31,45650.0
396,2014-02-01,45610.0
397,2014-02-02,45560.0
398,2014-02-03,45520.0
399,2014-02-04,45450.0
400,2014-02-05,45380.0
401,2014-02-06,45330.0
402,2014-02-07,45300.0
403,2014-02-08,45230.0
404,2014-02-09,45180.0
405,2014-02-10,45100.0
406,2014-02-11,45090.0
407,2014-02-12,45070.0
408,2014-02-13,45040.0
409,2014-02-14,44990.0
410,2014-02-15,44930.0
411,2014-02-16,44880.0
412,2014-02-17,44830.0
413,2014-02-18,44800.0
414,2014-02-19,44710.0
415,2014-02-20,44690.0
416,2014-02-21,44660.0
417,2014-02-22,44550.0
418,2014-02-23,44520.0
419,2014-02-24,44440.0
420,2014-02-25,44370.0
421,2014-02-26,44310.0
422,2014-02-27,44250.0
423,2014-02-28,44300.0
424,2014-03-01,44330.0
425,2014-03-02,44300.0
426,2014-03-03,44220.0
427,2014-03-04,44140.0
428,2014-03-05,44100.0
429,2014-03-06,44030.0
430,2014-03-07,43960.0
431,2014-03-08,43880.0
432,2014-03-09,43820.0
433,2014-03-10,43760.0
434,2014-03-11,43630.0
435,2014-03-12,43590.0
436,2014-03-13,43530.0
437,2014-03-14,43460.0
438,2014-03-15,43410.0
439,2014-03-16,43330.0
440,2014-03-17,43280.0
441,2014-03-18,43270.0
442,2014-03-19,43250.0
443,2014-03-20,43240.0
444,2014-03-21,43220.0
445,2014-03-22,43240.0
446,2014-03-23,43220.0
447,2014-03-24,43220.0
448,2014-03-25,43200.0
449,2014-03-26,43180.0
450,2014-03-27,43190.0
451,2014-03-28,43160.0
452,2014-03-29,43240.0
453,2014-03-30,43260.0
454,2014-03-31,43160.0
455,2014-04-01,43180.0
456,2014-04-02,43200.0
457,2014-04-03,43190.0
458,2014-04-04,43160.0
459,2014-04-05,43110.0
460,2014-04-06,43080.0
461,2014-04-07,43050.0
462,2014-04-08,43000.0
463,2014-04-09,42970.0
464,2014-04-10,42940.0
465,2014-04-11,42900.0
466,2014-04-12,42870.0
467,2014-04-13,42840.0
468,2014-04-14,42760.0
469,2014-04-15,42710.0
470,2014-04-16,42640.0
471,2014-04-17,42570.0
472,2014-04-18,42570.0
473,2014-04-19,42460.0
474,2014-04-20,42380.0
475,2014-04-21,42350.0
476,2014-04-22,42350.0
477,2014-04-23,42270.0
478,2014-04-24,42170.0
479,2014-04-25,42110.0
480,2014-04-26,42040.0
481,2014-04-27,41990.0
482,2014-04-28,41910.0
483,2014-04-29,41800.0
484,2014-04-30,41690.0
485,2014-05-01,41580.0
486,2014-05-02,41540.0
487,2014-05-03,41450.0
488,2014-05-04,41350.0
489,2014-05-05,41300.0
490,2014-05-06,41200.0
491,2014-05-07,41130.0
492,2014-05-08,41010.0
493,2014-05-09,40890.0
494,2014-05-10,40750.0
495,2014-05-11,40640.0
496,2014-05-12,40490.0
497,2014-05-13,40340.0
498,2014-05-14,40240.0
499,2014-05-15,40080.0
500,2014-05-16,40020.0
501,2014-05-17,39910.0
502,2014-05-18,39800.0
503,2014-05-19,39700.0
504,2014-05-20,39580.0
505,2014-05-21,39450.0
506,2014-05-22,39420.0
507,2014-05-23,39360.0
508,2014-05-24,39260.0
509,2014-05-25,39160.0
510,2014-05-26,39050.0
511,2014-05-27,38940.0
512,2014-05-28,38840.0
513,2014-05-29,38740.0
514,2014-05-30,38640.0
515,2014-05-31,38540.0
516,2014-06-01,38460.0
517,2014-06-02,38380.0
518,2014-06-03,38320.0
519,2014-06-04,38200.0
520,2014-06-05,38080.0
521,2014-06-06,37960.0
522,2014-06-07,37840.0
523,2014-06-08,37720.0
524,2014-06-09,37680.0
525,2014-06-10,37660.0
526,2014-06-11,37620.0
527,2014-06-12,37560.0
528,2014-06-13,37500.0
529,2014-06-14,37450.0
530,2014-06-15,37400.0
531,2014-06-16,37350.0
532,2014-06-17,37290.0
533,2014-06-18,37230.0
534,2014-06-19,37180.0
535,2014-06-20,37130.0
536,2014-06-21,37080.0
537,2014-06-22,37020.0
538,2014-06-23,36970.0
539,2014-06-24,36950.0
540,2014-06-25,36940.0
541,2014-06-26,36930.0
542,2014-06-27,36910.0
543,2014-06-28,36900.0
544,2014-06-29,36890.0
545,2014-06-30,36870.0
546,2014-07-01,36870.0
547,2014-07-02,36850.0
548,2014-07-03,36830.0
549,2014-07-04,36810.0
550,2014-07-05,36800.0
551,2014-07-06,36770.0
552,2014-07-07,36760.0
553,2014-07-08,36740.0
554,2014-07-09,36730.0
555,2014-07-10,36700.0
556,2014-07-11,36690.0
557,2014-07-12,36680.0
558,2014-07-13,36670.0
559,2014-07-14,36660.0
560,2014-07-15,36640.0
561,2014-07-16,36630.0
562,2014-07-17,36600.0
563,2014-07-18,36580.0
564,2014-07-19,36570.0
565,2014-07-20,36560.0
566,2014-07-21,36540.0
567,2014-07-22,36530.0
568,2014-07-23,36510.0
569,2014-07-24,36500.0
570,2014-07-25,36480.0
571,2014-07-26,36470.0
