,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.tsv
243,2013-09-01,820.27
244,2013-09-02,819.37
245,2013-09-03,819.31
246,2013-09-04,819.44
247,2013-09-05,819.58
248,2013-09-06,820.12
249,2013-09-07,819.81
250,2013-09-08,820.14
251,2013-09-09,819.58
252,2013-09-10,819.69
253,2013-09-11,819.58
254,2013-09-12,819.58
255,2013-09-13,819.45
256,2013-09-14,819.53
257,2013-09-15,819.51
258,2013-09-16,819.39
259,2013-09-17,820.1
260,2013-09-18,820.08
261,2013-09-19,819.25
262,2013-09-20,820.37
263,2013-09-21,820.03
264,2013-09-22,819.99
265,2013-09-23,819.93
266,2013-09-24,819.25
267,2013-09-25,819.79
268,2013-09-26,820.01
269,2013-09-27,819.69
270,2013-09-28,820.66
271,2013-09-29,821.95
272,2013-09-30,820.63
273,2013-10-01,820.98
274,2013-10-02,820.47
275,2013-10-03,821.08
276,2013-10-04,820.81
277,2013-10-05,820.96
278,2013-10-06,820.54
279,2013-10-07,820.15
280,2013-10-08,820.28
281,2013-10-09,821.63
282,2013-10-10,820.63
283,2013-10-11,821.68
284,2013-10-12,821.15
285,2013-10-13,820.65
286,2013-10-14,820.83
287,2013-10-15,820.62
288,2013-10-16,821.11
289,2013-10-17,821.52
290,2013-10-18,820.79
291,2013-10-19,820.7
292,2013-10-20,821.26
293,2013-10-21,820.42
294,2013-10-22,820.12
295,2013-10-23,820.24
296,2013-10-24,820.88
297,2013-10-25,820.91
298,2013-10-26,820.51
299,2013-10-27,820.89
300,2013-10-28,820.87
301,2013-10-29,820.28
302,2013-10-30,821.02
303,2013-10-31,820.72
304,2013-11-01,820.45
305,2013-11-02,820.86
306,2013-11-03,820.93
307,2013-11-04,820.97
308,2013-11-05,820.26
309,2013-11-06,820.3
310,2013-11-07,820.34
311,2013-11-08,820.35
312,2013-11-09,820.4
313,2013-11-10,820.63
314,2013-11-11,821.09
315,2013-11-12,821.07
316,2013-11-13,820.67
317,2013-11-14,823.79
318,2013-11-15,839.4
319,2013-11-16,850.76
320,2013-11-17,855.67
321,2013-11-18,861.44
322,2013-11-19,870.86
323,2013-11-20,871.69
324,2013-11-21,871.1
325,2013-11-22,870.71
326,2013-11-23,871.8
327,2013-11-24,871.99
328,2013-11-25,871.27
329,2013-11-26,871.02
330,2013-11-27,872.59
331,2013-11-28,871.0
332,2013-11-29,871.22
333,2013-11-30,870.59
334,2013-12-01,871.93
335,2013-12-02,870.72
336,2013-12-03,871.72
337,2013-12-04,871.48
338,2013-12-05,871.45
339,2013-12-06,871.45
340,2013-12-07,871.34
341,2013-12-08,871.42
342,2013-12-09,872.85
343,2013-12-10,872.7
344,2013-12-11,872.2
345,2013-12-12,872.06
346,2013-12-13,872.26
347,2013-12-14,870.97
348,2013-12-15,871.16
349,2013-12-16,872.04
