,datetime,LAKE_HAVASU_NEAR_PARKER_DAM__AZ-CA.tsv
197,2013-07-17,590949.11
198,2013-07-18,596049.37
199,2013-07-19,595449.34
200,2013-07-20,594849.31
201,2013-07-21,596849.41
202,2013-07-22,598049.47
203,2013-07-23,598049.47
204,2013-07-24,600449.59
205,2013-07-25,602649.7
206,2013-07-26,604649.8
207,2013-07-27,604649.8
208,2013-07-28,604049.77
209,2013-07-29,599249.53
210,2013-07-30,595449.34
211,2013-07-31,592149.17
212,2013-08-01,590349.08
213,2013-08-02,588248.97
214,2013-08-03,586548.88
215,2013-08-04,586348.87
216,2013-08-05,584048.75
217,2013-08-06,582548.67
218,2013-08-07,584048.75
219,2013-08-08,588949.01
220,2013-08-09,589149.02
221,2013-08-10,589949.06
222,2013-08-11,589149.02
223,2013-08-12,584948.8
224,2013-08-13,581748.63
225,2013-08-14,578148.44
226,2013-08-15,581548.62
227,2013-08-16,580848.58
228,2013-08-17,580448.56
229,2013-08-18,579648.52
230,2013-08-19,579048.49
231,2013-08-20,577048.38
232,2013-08-21,577748.42
233,2013-08-22,582548.67
234,2013-08-23,586548.88
235,2013-08-24,591549.14
236,2013-08-25,600649.6
237,2013-08-26,610650.1
238,2013-08-27,613050.22
239,2013-08-28,611250.13
240,2013-08-29,614850.31
241,2013-08-30,607849.96
242,2013-08-31,606049.87
243,2013-09-01,606449.89
244,2013-09-02,603649.75
245,2013-09-03,601449.64
246,2013-09-04,603649.75
247,2013-09-05,609450.04
248,2013-09-06,608049.97
249,2013-09-07,610650.1
250,2013-09-08,611650.15
251,2013-09-09,607449.94
252,2013-09-10,604649.8
253,2013-09-11,605849.86
254,2013-09-12,608850.01
255,2013-09-13,602649.7
256,2013-09-14,598649.5
257,2013-09-15,595249.33
258,2013-09-16,593949.26
259,2013-09-17,592349.18
260,2013-09-18,591749.15
261,2013-09-19,591349.13
262,2013-09-20,586648.89
263,2013-09-21,581948.64
264,2013-09-22,580248.55
265,2013-09-23,577348.4
266,2013-09-24,573348.19
267,2013-09-25,570748.05
268,2013-09-26,573548.2
269,2013-09-27,571148.07
