,datetime,LAKE_H_G_WEST_FOREBAY_AT_LOWER_MONUMENTAL_DAM__WA.tsv
227,2013-10-25,365.7615384615384
228,2013-10-26,365.5107692307692
229,2013-10-27,365.26
230,2013-10-28,365.0092307692308
231,2013-10-29,364.7584615384615
232,2013-10-30,364.5076923076923
233,2013-10-31,364.25692307692304
234,2013-11-01,364.0061538461539
235,2013-11-02,363.7553846153846
236,2013-11-03,363.50461538461536
237,2013-11-04,363.25384615384615
238,2013-11-05,363.00307692307695
239,2013-11-06,362.7523076923077
240,2013-11-07,362.5015384615385
241,2013-11-08,362.25076923076927
242,2013-11-09,362.0
243,2013-11-10,361.74923076923073
244,2013-11-11,361.4984615384615
245,2013-11-12,361.2476923076923
246,2013-11-13,360.99692307692305
247,2013-11-14,360.7461538461538
248,2013-11-15,360.4953846153846
249,2013-11-16,360.2446153846154
250,2013-11-17,359.9938461538461
251,2013-11-18,359.74307692307696
252,2013-11-19,359.4923076923077
253,2013-11-20,359.2415384615385
254,2013-11-21,358.9907692307692
255,2013-11-22,358.74
256,2013-11-23,358.48923076923074
257,2013-11-24,358.23846153846154
258,2013-11-25,357.9876923076923
259,2013-11-26,357.73692307692306
260,2013-11-27,357.48615384615385
261,2013-11-28,357.2353846153846
262,2013-11-29,356.9846153846154
263,2013-11-30,356.7338461538461
264,2013-12-01,356.4830769230769
265,2013-12-02,356.2323076923077
266,2013-12-03,355.98153846153843
267,2013-12-04,355.73076923076917
268,2013-12-05,355.48
269,2013-12-06,355.2292307692308
270,2013-12-07,354.97846153846154
271,2013-12-08,354.7276923076923
272,2013-12-09,354.4769230769231
273,2013-12-10,354.22615384615386
274,2013-12-11,353.97538461538466
275,2013-12-12,353.7246153846154
276,2013-12-13,353.4738461538461
277,2013-12-14,353.2230769230769
278,2013-12-15,352.9723076923077
279,2013-12-16,352.72153846153844
280,2013-12-17,352.47076923076924
281,2013-12-18,352.22
282,2013-12-19,351.96923076923076
283,2013-12-20,351.7184615384615
284,2013-12-21,351.4676923076923
285,2013-12-22,351.2169230769231
286,2013-12-23,350.9661538461539
287,2013-12-24,350.7153846153846
288,2013-12-25,350.4646153846154
289,2013-12-26,350.21384615384613
290,2013-12-27,349.9630769230769
291,2013-12-28,349.71230769230766
292,2013-12-29,349.46153846153845
293,2013-12-30,349.21076923076924
294,2013-12-31,348.96000000000004
295,2014-01-01,348.70923076923077
296,2014-01-02,348.4584615384615
297,2014-01-03,348.20769230769235
298,2014-01-04,347.9569230769231
299,2014-01-05,347.7061538461538
300,2014-01-06,347.4553846153846
301,2014-01-07,347.2046153846154
302,2014-01-08,346.95384615384614
303,2014-01-09,346.70307692307694
304,2014-01-10,346.45230769230767
305,2014-01-11,346.20153846153846
306,2014-01-12,345.95076923076925
