,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.tsv
263,2013-09-21,38380
264,2013-09-22,37920
265,2013-09-23,37380
266,2013-09-24,36960
267,2013-09-25,36680
268,2013-09-26,36390
269,2013-09-27,35760
270,2013-09-28,35130
271,2013-09-29,34510
272,2013-09-30,33860
273,2013-10-01,33280
274,2013-10-02,32900
275,2013-10-03,32540
276,2013-10-04,32270
277,2013-10-05,32040
278,2013-10-06,31800
279,2013-10-07,31900
280,2013-10-08,32170
281,2013-10-09,32460
282,2013-10-10,32770
283,2013-10-11,33020
284,2013-10-12,33240
285,2013-10-13,33500
286,2013-10-14,33800
287,2013-10-15,34110
288,2013-10-16,34340
289,2013-10-17,34600
290,2013-10-18,34850
291,2013-10-19,35090
292,2013-10-20,35390
293,2013-10-21,35690
294,2013-10-22,35760
295,2013-10-23,36030
296,2013-10-24,36320
297,2013-10-25,36630
298,2013-10-26,37060
299,2013-10-27,37310
300,2013-10-28,37650
301,2013-10-29,37920
302,2013-10-30,38180
303,2013-10-31,38340
304,2013-11-01,38590
305,2013-11-02,38830
306,2013-11-03,39030
307,2013-11-04,39160
308,2013-11-05,38940
309,2013-11-06,38650
310,2013-11-07,38350
311,2013-11-08,38060
312,2013-11-09,37790
313,2013-11-10,37510
314,2013-11-11,37240
315,2013-11-12,36500
316,2013-11-13,35770
317,2013-11-14,35040
318,2013-11-15,34420
319,2013-11-16,33680
320,2013-11-17,32960
321,2013-11-18,32210
322,2013-11-19,31480
323,2013-11-20,30800
324,2013-11-21,30060
325,2013-11-22,29240
326,2013-11-23,28490
327,2013-11-24,27740
328,2013-11-25,27270
329,2013-11-26,27200
330,2013-11-27,27140
331,2013-11-28,27100
332,2013-11-29,27070
333,2013-11-30,27090
334,2013-12-01,27030
335,2013-12-02,26990
336,2013-12-03,26930
337,2013-12-04,26900
338,2013-12-05,26960
339,2013-12-06,26970
340,2013-12-07,27040
341,2013-12-08,27400
342,2013-12-09,27560
343,2013-12-10,27930
344,2013-12-11,27830
345,2013-12-12,27720
346,2013-12-13,27550
347,2013-12-14,27360
348,2013-12-15,26860
349,2013-12-16,26680
350,2013-12-17,26500
351,2013-12-18,26200
352,2013-12-19,25990
353,2013-12-20,25840
354,2013-12-21,25600
355,2013-12-22,25440
356,2013-12-23,25230
357,2013-12-24,25080
358,2013-12-25,24920
359,2013-12-26,24770
360,2013-12-27,24590
361,2013-12-28,24360
362,2013-12-29,24170
363,2013-12-30,23950
364,2013-12-31,23780
365,2014-01-01,23480
366,2014-01-02,23300
367,2014-01-03,23140
368,2014-01-04,22950
369,2014-01-05,22800
370,2014-01-06,22640
371,2014-01-07,22540
372,2014-01-08,22430
373,2014-01-09,22300
374,2014-01-10,22090
375,2014-01-11,21920
376,2014-01-12,21780
377,2014-01-13,21640
378,2014-01-14,21500
379,2014-01-15,21370
380,2014-01-16,21240
381,2014-01-17,21160
382,2014-01-18,21060
383,2014-01-19,20960
384,2014-01-20,20890
385,2014-01-21,20840
386,2014-01-22,20780
387,2014-01-23,20760
388,2014-01-24,20770
389,2014-01-25,20690
390,2014-01-26,20620
391,2014-01-27,20610
392,2014-01-28,20580
393,2014-01-29,20580
394,2014-01-30,20710
395,2014-01-31,20770
396,2014-02-01,20800
397,2014-02-02,20710
398,2014-02-03,20730
399,2014-02-04,20710
400,2014-02-05,20780
401,2014-02-06,20910
402,2014-02-07,20950
