,datetime,LAKE_VALLEY_RES_NR_CISCO_CA.tsv
263,2013-09-21,4450
264,2013-09-22,4440
265,2013-09-23,4430
266,2013-09-24,4410
267,2013-09-25,4400
268,2013-09-26,4390
269,2013-09-27,4370
270,2013-09-28,4360
271,2013-09-29,4340
272,2013-09-30,4310
273,2013-10-01,4290
274,2013-10-02,4280
275,2013-10-03,4280
276,2013-10-04,4260
277,2013-10-05,4250
278,2013-10-06,4240
279,2013-10-07,4240
280,2013-10-08,4230
281,2013-10-09,4220
282,2013-10-10,4200
283,2013-10-11,4160
284,2013-10-12,4110
285,2013-10-13,4060
286,2013-10-14,4010
287,2013-10-15,3970
288,2013-10-16,3920
289,2013-10-17,3870
290,2013-10-18,3820
291,2013-10-19,3780
292,2013-10-20,3730
293,2013-10-21,3690
294,2013-10-22,3640
295,2013-10-23,3600
296,2013-10-24,3550
297,2013-10-25,3510
298,2013-10-26,3460
299,2013-10-27,3440
300,2013-10-28,3450
301,2013-10-29,3450
302,2013-10-30,3440
303,2013-10-31,3440
304,2013-11-01,3430
305,2013-11-02,3430
306,2013-11-03,3420
307,2013-11-04,3410
308,2013-11-05,3390
309,2013-11-06,3380
310,2013-11-07,3360
311,2013-11-08,3340
312,2013-11-09,3330
313,2013-11-10,3310
314,2013-11-11,3300
315,2013-11-12,3280
316,2013-11-13,3260
317,2013-11-14,3250
318,2013-11-15,3230
319,2013-11-16,3220
320,2013-11-17,3200
321,2013-11-18,3190
322,2013-11-19,3190
323,2013-11-20,3200
324,2013-11-21,3200
325,2013-11-22,3170
326,2013-11-23,3140
327,2013-11-24,3130
328,2013-11-25,3110
329,2013-11-26,3100
330,2013-11-27,3080
331,2013-11-28,3070
332,2013-11-29,3060
333,2013-11-30,3040
334,2013-12-01,3020
335,2013-12-02,3000
336,2013-12-03,2980
337,2013-12-04,2950
338,2013-12-05,2930
339,2013-12-06,2930
340,2013-12-07,2950
341,2013-12-08,2940
342,2013-12-09,2940
343,2013-12-10,2930
344,2013-12-11,2920
345,2013-12-12,2920
346,2013-12-13,2920
347,2013-12-14,2910
348,2013-12-15,2900
349,2013-12-16,2900
350,2013-12-17,2890
351,2013-12-18,2880
352,2013-12-19,2880
353,2013-12-20,2870
354,2013-12-21,2870
355,2013-12-22,2860
356,2013-12-23,2860
357,2013-12-24,2850
358,2013-12-25,2850
359,2013-12-26,2840
360,2013-12-27,2830
361,2013-12-28,2830
362,2013-12-29,2820
363,2013-12-30,2820
364,2013-12-31,2810
365,2014-01-01,2810
366,2014-01-02,2800
367,2014-01-03,2790
368,2014-01-04,2780
