,datetime,LOST_CREEK_LAKE_NEAR_MCLEOD__OR.tsv
225,2013-08-14,1832.38
226,2013-08-15,1831.85
227,2013-08-16,1831.32
228,2013-08-17,1830.79
229,2013-08-18,1830.24
230,2013-08-19,1829.7
231,2013-08-20,1829.14
232,2013-08-21,1828.58
233,2013-08-22,1828.08
234,2013-08-23,1827.62
235,2013-08-24,1827.09
236,2013-08-25,1826.61
237,2013-08-26,1826.1
238,2013-08-27,1825.55
239,2013-08-28,1825.0
240,2013-08-29,1824.44
241,2013-08-30,1823.88
242,2013-08-31,1823.31
243,2013-09-01,1822.73
244,2013-09-02,1822.08
245,2013-09-03,1821.42
246,2013-09-04,1820.75
247,2013-09-05,1820.09
248,2013-09-06,1819.44
249,2013-09-07,1818.78
250,2013-09-08,1818.12
251,2013-09-09,1817.43
252,2013-09-10,1816.77
253,2013-09-11,1816.14
254,2013-09-12,1815.63
255,2013-09-13,1815.19
256,2013-09-14,1814.8
257,2013-09-15,1814.47
258,2013-09-16,1814.2
259,2013-09-17,1813.97
260,2013-09-18,1813.76
261,2013-09-19,1813.54
262,2013-09-20,1813.39
263,2013-09-21,1813.24
264,2013-09-22,1813.15
265,2013-09-23,1813.13
266,2013-09-24,1813.12
267,2013-09-25,1813.17
268,2013-09-26,1813.12
269,2013-09-27,1813.03
270,2013-09-28,1812.94
271,2013-09-29,1813.58
272,2013-09-30,1814.89
273,2013-10-01,1815.24
274,2013-10-02,1815.36
275,2013-10-03,1815.41
276,2013-10-04,1815.42
277,2013-10-05,1815.4
278,2013-10-06,1815.35
279,2013-10-07,1815.28
280,2013-10-08,1815.22
281,2013-10-09,1815.16
282,2013-10-10,1815.07
283,2013-10-11,1814.95
284,2013-10-12,1814.83
285,2013-10-13,1814.71
286,2013-10-14,1814.57
287,2013-10-15,1814.43
288,2013-10-16,1814.28
289,2013-10-17,1814.13
290,2013-10-18,1813.98
291,2013-10-19,1813.82
292,2013-10-20,1813.66
293,2013-10-21,1813.48
294,2013-10-22,1813.31
295,2013-10-23,1813.14
296,2013-10-24,1812.97
297,2013-10-25,1812.81
298,2013-10-26,1812.65
299,2013-10-27,1812.49
300,2013-10-28,1812.34
301,2013-10-29,1812.18
302,2013-10-30,1812.02
303,2013-10-31,1811.86
304,2013-11-01,1811.7
305,2013-11-02,1811.6
306,2013-11-03,1811.51
307,2013-11-04,1811.38
