,datetime,BLUE_RIVER_LAKE_NEAR_BLUE_RIVER__OR.tsv
197,2014-04-15,1334.15
198,2014-04-16,1334.47
199,2014-04-17,1334.9
200,2014-04-18,1335.3
201,2014-04-19,1335.61
202,2014-04-20,1335.87
203,2014-04-21,1336.22
204,2014-04-22,1336.83
205,2014-04-23,1338.14
206,2014-04-24,1343.37
207,2014-04-25,1345.32
208,2014-04-26,1345.58
209,2014-04-27,1345.83
210,2014-04-28,1346.43
211,2014-04-29,1346.85
212,2014-04-30,1347.22
213,2014-05-01,1347.61
214,2014-05-02,1347.93
215,2014-05-03,1348.12
216,2014-05-04,1347.87
217,2014-05-05,1347.94
218,2014-05-06,1348.18
219,2014-05-07,1348.5
220,2014-05-08,1348.96
221,2014-05-09,1349.99
222,2014-05-10,1350.22
223,2014-05-11,1349.83
224,2014-05-12,1350.04
225,2014-05-13,1350.42
226,2014-05-14,1350.48
227,2014-05-15,1350.47
228,2014-05-16,1350.39
229,2014-05-17,1350.24
230,2014-05-18,1350.17
231,2014-05-19,1350.11
232,2014-05-20,1350.01
233,2014-05-21,1350.08
234,2014-05-22,1350.15
235,2014-05-23,1350.18
236,2014-05-24,1350.07
237,2014-05-25,1349.98
238,2014-05-26,1350.0
239,2014-05-27,1350.01
240,2014-05-28,1350.1
241,2014-05-29,1350.11
242,2014-05-30,1350.07
243,2014-05-31,1350.03
244,2014-06-01,1350.05
245,2014-06-02,1350.09
246,2014-06-03,1350.09
247,2014-06-04,1350.09
248,2014-06-05,1349.79
249,2014-06-06,1349.11
250,2014-06-07,1348.42
251,2014-06-08,1347.71
252,2014-06-09,1347.0
253,2014-06-10,1346.27
254,2014-06-11,1345.53
255,2014-06-12,1344.79
256,2014-06-13,1344.32
257,2014-06-14,1344.04
258,2014-06-15,1343.91
259,2014-06-16,1343.99
260,2014-06-17,1344.25
261,2014-06-18,1344.43
262,2014-06-19,1344.56
263,2014-06-20,1344.67
264,2014-06-21,1344.76
265,2014-06-22,1344.83
266,2014-06-23,1344.9
267,2014-06-24,1344.95
268,2014-06-25,1345.06
269,2014-06-26,1345.2
270,2014-06-27,1345.55
271,2014-06-28,1345.9
272,2014-06-29,1346.13
273,2014-06-30,1346.3
274,2014-07-01,1346.43
275,2014-07-02,1346.54
276,2014-07-03,1346.61
277,2014-07-04,1346.68
278,2014-07-05,1346.74
279,2014-07-06,1346.79
