,datetime,FRANKLIN_ROOSEVELT_LAKE_AT_GRAND_COULEE_DAM__WA.tsv
224,2013-08-13,1282.84
225,2013-08-14,1282.32
226,2013-08-15,1281.72
227,2013-08-16,1280.96
228,2013-08-17,1280.74
229,2013-08-18,1280.72
230,2013-08-19,1280.55
231,2013-08-20,1280.22
232,2013-08-21,1280.05
233,2013-08-22,1279.97
234,2013-08-23,1279.97
235,2013-08-24,1280.03
236,2013-08-25,1279.56
237,2013-08-26,1279.24
238,2013-08-27,1278.81
239,2013-08-28,1278.44
240,2013-08-29,1277.91
241,2013-08-30,1277.54
242,2013-08-31,1277.36
243,2013-09-01,1278.14
244,2013-09-02,1278.57
245,2013-09-03,1278.59
246,2013-09-04,1278.56
247,2013-09-05,1278.55
248,2013-09-06,1278.99
249,2013-09-07,1279.35
250,2013-09-08,1279.4
251,2013-09-09,1279.66
252,2013-09-10,1279.92
253,2013-09-11,1280.03
254,2013-09-12,1280.01
255,2013-09-13,1280.07
256,2013-09-14,1280.36
257,2013-09-15,1280.17
258,2013-09-16,1280.64
259,2013-09-17,1281.34
260,2013-09-18,1281.84
261,2013-09-19,1282.45
262,2013-09-20,1283.13
263,2013-09-21,1283.39
264,2013-09-22,1283.38
265,2013-09-23,1283.64
266,2013-09-24,1284.01
267,2013-09-25,1284.34
268,2013-09-26,1284.27
269,2013-09-27,1284.25
270,2013-09-28,1284.47
271,2013-09-29,1284.98
272,2013-09-30,1284.78
273,2013-10-01,1285.21
274,2013-10-02,1284.97
275,2013-10-03,1284.98
276,2013-10-04,1285.03
277,2013-10-05,1285.3
278,2013-10-06,1285.37
279,2013-10-07,1285.62
280,2013-10-08,1285.48
281,2013-10-09,1285.36
282,2013-10-10,1285.82
283,2013-10-11,1286.0
284,2013-10-12,1286.27
285,2013-10-13,1286.58
286,2013-10-14,1286.57
287,2013-10-15,1286.24
288,2013-10-16,1286.21
289,2013-10-17,1285.91
290,2013-10-18,1285.52
291,2013-10-19,1285.27
292,2013-10-20,1285.22
293,2013-10-21,1285.43
294,2013-10-22,1285.52
295,2013-10-23,1285.74
296,2013-10-24,1285.75
297,2013-10-25,1285.87
298,2013-10-26,1286.14
299,2013-10-27,1286.58
300,2013-10-28,1286.66
301,2013-10-29,1286.57
302,2013-10-30,1286.73
303,2013-10-31,1286.9
304,2013-11-01,1286.91
305,2013-11-02,1287.61
306,2013-11-03,1287.86
307,2013-11-04,1288.15
308,2013-11-05,1287.86
309,2013-11-06,1287.6
310,2013-11-07,1287.55
311,2013-11-08,1287.61
312,2013-11-09,1287.5
313,2013-11-10,1287.49
314,2013-11-11,1286.82
315,2013-11-12,1286.27
316,2013-11-13,1285.94
317,2013-11-14,1285.5
318,2013-11-15,1284.75
319,2013-11-16,1283.85
320,2013-11-17,1283.74
321,2013-11-18,1283.15
322,2013-11-19,1283.02
323,2013-11-20,1282.63
324,2013-11-21,1282.3
325,2013-11-22,1281.9
326,2013-11-23,1281.54
327,2013-11-24,1281.13
328,2013-11-25,1280.68
329,2013-11-26,1280.6
330,2013-11-27,1280.17
331,2013-11-28,1279.66
332,2013-11-29,1279.22
333,2013-11-30,1279.01
334,2013-12-01,1279.55
335,2013-12-02,1279.85
336,2013-12-03,1280.45
337,2013-12-04,1281.1
338,2013-12-05,1281.14
339,2013-12-06,1281.4
340,2013-12-07,1281.58
341,2013-12-08,1281.41
342,2013-12-09,1281.78
343,2013-12-10,1281.56
344,2013-12-11,1281.0
345,2013-12-12,1280.56
346,2013-12-13,1280.63
347,2013-12-14,1280.82
348,2013-12-15,1281.28
349,2013-12-16,1281.37
350,2013-12-17,1281.55
351,2013-12-18,1281.5
352,2013-12-19,1281.32
353,2013-12-20,1281.43
354,2013-12-21,1281.42
355,2013-12-22,1281.55
356,2013-12-23,1281.53
357,2013-12-24,1281.35
358,2013-12-25,1281.42
359,2013-12-26,1280.74
360,2013-12-27,1280.46
361,2013-12-28,1280.34
362,2013-12-29,1280.24
363,2013-12-30,1279.97
364,2013-12-31,1280.05
365,2014-01-01,1280.24
366,2014-01-02,1280.14
367,2014-01-03,1279.64
368,2014-01-04,1279.15
369,2014-01-05,1279.05
370,2014-01-06,1278.85
371,2014-01-07,1278.45
372,2014-01-08,1277.99
373,2014-01-09,1277.89
374,2014-01-10,1277.83
375,2014-01-11,1277.84
376,2014-01-12,1278.53
377,2014-01-13,1278.5
378,2014-01-14,1278.38
379,2014-01-15,1278.62
380,2014-01-16,1278.21
381,2014-01-17,1277.71
382,2014-01-18,1277.3
383,2014-01-19,1277.17
384,2014-01-20,1276.96
385,2014-01-21,1276.55
386,2014-01-22,1276.34
387,2014-01-23,1275.98
388,2014-01-24,1275.91
389,2014-01-25,1276.31
390,2014-01-26,1276.49
391,2014-01-27,1275.75
392,2014-01-28,1275.23
393,2014-01-29,1275.14
394,2014-01-30,1275.15
395,2014-01-31,1275.26
396,2014-02-01,1276.11
397,2014-02-02,1276.33
398,2014-02-03,1276.2
399,2014-02-04,1275.72
400,2014-02-05,1274.76
401,2014-02-06,1273.38
402,2014-02-07,1272.12
403,2014-02-08,1271.99
404,2014-02-09,1271.66
405,2014-02-10,1271.72
406,2014-02-11,1271.68
407,2014-02-12,1271.14
408,2014-02-13,1271.04
409,2014-02-14,1271.38
410,2014-02-15,1271.49
411,2014-02-16,1271.9
412,2014-02-17,1272.44
413,2014-02-18,1272.27
414,2014-02-19,1271.7
415,2014-02-20,1271.54
416,2014-02-21,1271.16
417,2014-02-22,1271.46
418,2014-02-23,1272.1
419,2014-02-24,1272.07
420,2014-02-25,1272.1
421,2014-02-26,1272.39
422,2014-02-27,1272.38
423,2014-02-28,1272.77
424,2014-03-01,1272.85
425,2014-03-02,1273.1
426,2014-03-03,1273.58
427,2014-03-04,1273.66
428,2014-03-05,1273.48
429,2014-03-06,1273.23
430,2014-03-07,1272.58
431,2014-03-08,1271.97
432,2014-03-09,1272.21
433,2014-03-10,1272.64
434,2014-03-11,1272.76
435,2014-03-12,1272.6
436,2014-03-13,1271.99
437,2014-03-14,1272.49
438,2014-03-15,1271.99
439,2014-03-16,1271.5
440,2014-03-17,1270.95
