,datetime,CASTLE_LAKE_NEAR_MOUNT_ST._HELENS__WA.tsv
197,2013-07-17,2577.89
198,2013-07-18,2577.88
199,2013-07-19,2577.88
200,2013-07-20,2577.87
201,2013-07-21,2577.86
202,2013-07-22,2577.86
203,2013-07-23,2577.85
204,2013-07-24,2577.84
205,2013-07-25,2577.83
206,2013-07-26,2577.82
207,2013-07-27,2577.81
208,2013-07-28,2577.8
209,2013-07-29,2577.8
210,2013-07-30,2577.79
211,2013-07-31,2577.78
212,2013-08-01,2577.78
213,2013-08-02,2577.78
214,2013-08-03,2577.78
215,2013-08-04,2577.78
216,2013-08-05,2577.77
217,2013-08-06,2577.77
218,2013-08-07,2577.76
219,2013-08-08,2577.76
220,2013-08-09,2577.77
221,2013-08-10,2577.77
222,2013-08-11,2577.76
223,2013-08-12,2577.75
224,2013-08-13,2577.75
225,2013-08-14,2577.75
226,2013-08-15,2577.75
227,2013-08-16,2577.74
228,2013-08-17,2577.74
229,2013-08-18,2577.73
230,2013-08-19,2577.72
231,2013-08-20,2577.72
232,2013-08-21,2577.71
233,2013-08-22,2577.71
234,2013-08-23,2577.7
235,2013-08-24,2577.7
236,2013-08-25,2577.7
237,2013-08-26,2577.72
238,2013-08-27,2577.72
239,2013-08-28,2577.72
240,2013-08-29,2577.83
241,2013-08-30,2577.85
242,2013-08-31,2577.83
243,2013-09-01,2577.83
244,2013-09-02,2577.82
245,2013-09-03,2577.84
246,2013-09-04,2577.84
247,2013-09-05,2577.92
248,2013-09-06,2578.09
249,2013-09-07,2578.07
250,2013-09-08,2578.05
251,2013-09-09,2578.03
252,2013-09-10,2578.0
253,2013-09-11,2577.98
254,2013-09-12,2577.97
255,2013-09-13,2577.95
256,2013-09-14,2577.94
257,2013-09-15,2577.94
258,2013-09-16,2577.94
259,2013-09-17,2577.92
260,2013-09-18,2577.92
261,2013-09-19,2577.92
262,2013-09-20,2577.88
263,2013-09-21,2577.91
264,2013-09-22,2578.02
265,2013-09-23,2578.06
266,2013-09-24,2578.07
267,2013-09-25,2578.06
268,2013-09-26,2578.04
269,2013-09-27,2578.12
270,2013-09-28,2578.8
271,2013-09-29,2579.35
272,2013-09-30,2579.59
273,2013-10-01,2579.5
274,2013-10-02,2579.3
275,2013-10-03,2579.1
276,2013-10-04,2578.93
277,2013-10-05,2578.79
278,2013-10-06,2578.66
279,2013-10-07,2578.67
280,2013-10-08,2578.67
281,2013-10-09,2578.61
282,2013-10-10,2578.56
283,2013-10-11,2578.51
284,2013-10-12,2578.48
285,2013-10-13,2578.44
286,2013-10-14,2578.4
287,2013-10-15,2578.36
288,2013-10-16,2578.34
289,2013-10-17,2578.31
290,2013-10-18,2578.28
291,2013-10-19,2578.26
292,2013-10-20,2578.24
293,2013-10-21,2578.22
294,2013-10-22,2578.2
295,2013-10-23,2578.18
296,2013-10-24,2578.17
297,2013-10-25,2578.15
298,2013-10-26,2578.14
299,2013-10-27,2578.17
300,2013-10-28,2578.15
301,2013-10-29,2578.11
302,2013-10-30,2578.1
303,2013-10-31,2578.12
304,2013-11-01,2578.12
305,2013-11-02,2578.29
306,2013-11-03,2578.3
307,2013-11-04,2578.31
308,2013-11-05,2578.3
309,2013-11-06,2578.31
310,2013-11-07,2578.57
311,2013-11-08,2578.69
312,2013-11-09,2578.69
313,2013-11-10,2578.66
314,2013-11-11,2578.6
315,2013-11-12,2578.6
316,2013-11-13,2578.55
317,2013-11-14,2578.53
318,2013-11-15,2578.59
319,2013-11-16,2578.63
320,2013-11-17,2578.63
321,2013-11-18,2578.76
322,2013-11-19,2578.98
323,2013-11-20,2578.98
324,2013-11-21,2578.92
325,2013-11-22,2578.82
326,2013-11-23,2578.74
327,2013-11-24,2578.67
328,2013-11-25,2578.6
329,2013-11-26,2578.54
330,2013-11-27,2578.48
331,2013-11-28,2578.44
332,2013-11-29,2578.41
333,2013-11-30,2578.41
334,2013-12-01,2579.26
335,2013-12-02,2579.41
336,2013-12-03,2579.28
337,2013-12-04,2579.17625
338,2013-12-05,2579.0725
339,2013-12-06,2578.96875
340,2013-12-07,2578.865
341,2013-12-08,2578.76125
342,2013-12-09,2578.6575
343,2013-12-10,2578.55375
344,2013-12-11,2578.45
345,2013-12-12,2578.43
346,2013-12-13,2578.42
347,2013-12-14,2578.39
348,2013-12-15,2578.37
349,2013-12-16,2578.36
350,2013-12-17,2578.34
351,2013-12-18,2578.32
352,2013-12-19,2578.3
353,2013-12-20,2578.39
354,2013-12-21,2578.39
355,2013-12-22,2578.42
356,2013-12-23,2578.56
357,2013-12-24,2578.6
358,2013-12-25,2578.6
359,2013-12-26,2578.58
360,2013-12-27,2578.55
361,2013-12-28,2578.53
362,2013-12-29,2578.49
363,2013-12-30,2578.45
364,2013-12-31,2578.43
365,2014-01-01,2578.4
366,2014-01-02,2578.45
367,2014-01-03,2578.42
368,2014-01-04,2578.38
369,2014-01-05,2578.35
370,2014-01-06,2578.33
371,2014-01-07,2578.36
372,2014-01-08,2578.47
373,2014-01-09,2578.66
374,2014-01-10,2578.8
375,2014-01-11,2579.18
376,2014-01-12,2579.34
377,2014-01-13,2579.42
378,2014-01-14,2579.32
379,2014-01-15,2579.17
380,2014-01-16,2579.03
381,2014-01-17,2578.9
382,2014-01-18,2578.79
383,2014-01-19,2578.71
384,2014-01-20,2578.64
385,2014-01-21,2578.58
386,2014-01-22,2578.52
387,2014-01-23,2578.47
388,2014-01-24,2578.45
389,2014-01-25,2578.4
390,2014-01-26,2578.38
391,2014-01-27,2578.36
392,2014-01-28,2578.38
393,2014-01-29,2578.58
394,2014-01-30,2578.68
395,2014-01-31,2578.67
396,2014-02-01,2578.63
397,2014-02-02,2578.59
398,2014-02-03,2578.54
399,2014-02-04,2578.5
400,2014-02-05,2578.44
401,2014-02-06,2578.45
402,2014-02-07,2578.41
403,2014-02-08,2578.38
404,2014-02-09,2578.38
405,2014-02-10,2578.41
406,2014-02-11,2578.58
407,2014-02-12,2578.91
408,2014-02-13,2579.07
409,2014-02-14,2579.16
410,2014-02-15,2579.41
411,2014-02-16,2579.59
412,2014-02-17,2579.64
413,2014-02-18,2579.65
414,2014-02-19,2579.48
415,2014-02-20,2579.31
416,2014-02-21,2579.09
417,2014-02-22,2578.93
418,2014-02-23,2578.8
419,2014-02-24,2578.8
420,2014-02-25,2578.79
421,2014-02-26,2578.72
422,2014-02-27,2578.71
423,2014-02-28,2578.69
424,2014-03-01,2578.64
425,2014-03-02,2578.84
426,2014-03-03,2579.16
427,2014-03-04,2579.25
428,2014-03-05,2579.71
429,2014-03-06,2580.45
430,2014-03-07,2580.24
431,2014-03-08,2580.17
432,2014-03-09,2580.29
433,2014-03-10,2580.09
434,2014-03-11,2579.74
435,2014-03-12,2579.43
436,2014-03-13,2579.19
437,2014-03-14,2579.08
438,2014-03-15,2578.94
439,2014-03-16,2579.02
440,2014-03-17,2578.95
441,2014-03-18,2578.89
442,2014-03-19,2578.89
443,2014-03-20,2578.8
444,2014-03-21,2578.73
445,2014-03-22,2578.67
446,2014-03-23,2578.61
447,2014-03-24,2578.57
448,2014-03-25,2578.67
449,2014-03-26,2578.73
450,2014-03-27,2578.78
451,2014-03-28,2578.99
452,2014-03-29,2579.21
453,2014-03-30,2579.24
454,2014-03-31,2579.13
455,2014-04-01,2579.04
456,2014-04-02,2578.93
457,2014-04-03,2578.9
458,2014-04-04,2578.85
459,2014-04-05,2578.88
460,2014-04-06,2578.87
461,2014-04-07,2578.87
462,2014-04-08,2578.88
463,2014-04-09,2578.88
464,2014-04-10,2578.83
465,2014-04-11,2578.78
466,2014-04-12,2578.73
467,2014-04-13,2578.66
468,2014-04-14,2578.61
469,2014-04-15,2578.57
470,2014-04-16,2578.61
471,2014-04-17,2578.75
472,2014-04-18,2578.77
473,2014-04-19,2578.82
474,2014-04-20,2578.77
475,2014-04-21,2578.76
476,2014-04-22,2578.8
477,2014-04-23,2578.91
478,2014-04-24,2579.21
479,2014-04-25,2579.27
480,2014-04-26,2579.22
481,2014-04-27,2579.21
482,2014-04-28,2579.08
483,2014-04-29,2578.98
484,2014-04-30,2578.9
485,2014-05-01,2578.81
486,2014-05-02,2578.78
487,2014-05-03,2578.81
488,2014-05-04,2578.98
489,2014-05-05,2579.01
490,2014-05-06,2578.97
491,2014-05-07,2578.9
492,2014-05-08,2578.95
493,2014-05-09,2579.12
494,2014-05-10,2579.12
495,2014-05-11,2579.06
496,2014-05-12,2578.96
497,2014-05-13,2578.87
498,2014-05-14,2578.79
499,2014-05-15,2578.73
500,2014-05-16,2578.66
501,2014-05-17,2578.61
502,2014-05-18,2578.64
503,2014-05-19,2578.6
504,2014-05-20,2578.54
505,2014-05-21,2578.5
506,2014-05-22,2578.45
507,2014-05-23,2578.43
508,2014-05-24,2578.39
509,2014-05-25,2578.39
510,2014-05-26,2578.4
511,2014-05-27,2578.39
512,2014-05-28,2578.4
513,2014-05-29,2578.38
514,2014-05-30,2578.36
515,2014-05-31,2578.33
516,2014-06-01,2578.31
517,2014-06-02,2578.29
518,2014-06-03,2578.27
519,2014-06-04,2578.24
520,2014-06-05,2578.22
521,2014-06-06,2578.2
522,2014-06-07,2578.18
523,2014-06-08,2578.16
524,2014-06-09,2578.15
525,2014-06-10,2578.13
526,2014-06-11,2578.12
527,2014-06-12,2578.17
528,2014-06-13,2578.22
529,2014-06-14,2578.21
530,2014-06-15,2578.23
531,2014-06-16,2578.26
532,2014-06-17,2578.25
533,2014-06-18,2578.24
534,2014-06-19,2578.22
535,2014-06-20,2578.2
536,2014-06-21,2578.19
537,2014-06-22,2578.17
538,2014-06-23,2578.16
539,2014-06-24,2578.15
540,2014-06-25,2578.14
541,2014-06-26,2578.15
542,2014-06-27,2578.28
543,2014-06-28,2578.32
544,2014-06-29,2578.33
545,2014-06-30,2578.32
546,2014-07-01,2578.31
547,2014-07-02,2578.29
548,2014-07-03,2578.26
549,2014-07-04,2578.25
550,2014-07-05,2578.23
551,2014-07-06,2578.21
552,2014-07-07,2578.19
553,2014-07-08,2578.18
554,2014-07-09,2578.16
555,2014-07-10,2578.13
556,2014-07-11,2578.12
557,2014-07-12,2578.1
558,2014-07-13,2578.08
559,2014-07-14,2578.07
560,2014-07-15,2578.06
561,2014-07-16,2578.04
562,2014-07-17,2578.02
563,2014-07-18,2578.01
564,2014-07-19,2578.0
565,2014-07-20,2577.99
566,2014-07-21,2577.97
567,2014-07-22,2577.98
568,2014-07-23,2578.06
569,2014-07-24,2578.07
570,2014-07-25,2578.05
571,2014-07-26,2578.04
572,2014-07-27,2578.02
573,2014-07-28,2578.01
574,2014-07-29,2577.99
575,2014-07-30,2577.98
576,2014-07-31,2577.97
577,2014-08-01,2577.96
578,2014-08-02,2577.95
579,2014-08-03,2577.94
580,2014-08-04,2577.92
581,2014-08-05,2577.91
582,2014-08-06,2577.9
583,2014-08-07,2577.89
584,2014-08-08,2577.87
585,2014-08-09,2577.86
586,2014-08-10,2577.86
587,2014-08-11,2577.84
588,2014-08-12,2577.87
589,2014-08-13,2577.88
590,2014-08-14,2577.88
591,2014-08-15,2577.87
592,2014-08-16,2577.86
593,2014-08-17,2577.86
594,2014-08-18,2577.84
595,2014-08-19,2577.84
596,2014-08-20,2577.83
597,2014-08-21,2577.81
598,2014-08-22,2577.8
599,2014-08-23,2577.8
600,2014-08-24,2577.79
601,2014-08-25,2577.78
602,2014-08-26,2577.77
603,2014-08-27,2577.77
604,2014-08-28,2577.77
605,2014-08-29,2577.76
606,2014-08-30,2577.78
607,2014-08-31,2577.76
608,2014-09-01,2577.76
609,2014-09-02,2577.77
610,2014-09-03,2577.77
611,2014-09-04,2577.75
612,2014-09-05,2577.75
613,2014-09-06,2577.74
614,2014-09-07,2577.74
615,2014-09-08,2577.73
616,2014-09-09,2577.73
617,2014-09-10,2577.74
618,2014-09-11,2577.69
619,2014-09-12,2577.71
620,2014-09-13,2577.7
621,2014-09-14,2577.69
622,2014-09-15,2577.7
623,2014-09-16,2577.7
624,2014-09-17,2577.7
625,2014-09-18,2577.71
626,2014-09-19,2577.71
627,2014-09-20,2577.7
628,2014-09-21,2577.71
629,2014-09-22,2577.71
630,2014-09-23,2577.75
631,2014-09-24,2577.86
632,2014-09-25,2577.88
633,2014-09-26,2577.91
634,2014-09-27,2577.91
635,2014-09-28,2577.91
636,2014-09-29,2577.91
637,2014-09-30,2577.91
638,2014-10-01,2577.91
639,2014-10-02,2577.9
640,2014-10-03,2577.89
641,2014-10-04,2577.88
642,2014-10-05,2577.88
643,2014-10-06,2577.88
644,2014-10-07,2577.88
645,2014-10-08,2577.87
646,2014-10-09,2577.86
647,2014-10-10,2577.85
648,2014-10-11,2578.01
649,2014-10-12,2577.99
650,2014-10-13,2578.0
651,2014-10-14,2578.07
652,2014-10-15,2578.15
653,2014-10-16,2578.15
654,2014-10-17,2578.23
655,2014-10-18,2578.19
656,2014-10-19,2578.19
657,2014-10-20,2578.25
658,2014-10-21,2578.26
659,2014-10-22,2578.75
660,2014-10-23,2578.92
661,2014-10-24,2578.93
662,2014-10-25,2579.09
663,2014-10-26,2579.22
664,2014-10-27,2579.12
665,2014-10-28,2579.1
666,2014-10-29,2579.06
667,2014-10-30,2579.05
668,2014-10-31,2579.07
669,2014-11-01,2578.99
670,2014-11-02,2579.0
671,2014-11-03,2578.95
672,2014-11-04,2579.03
673,2014-11-05,2578.97
674,2014-11-06,2579.02
675,2014-11-07,2578.97
676,2014-11-08,2578.88
677,2014-11-09,2578.89
678,2014-11-10,2578.83
679,2014-11-11,2578.69
680,2014-11-12,2578.64
681,2014-11-13,2578.6
682,2014-11-14,2578.55
683,2014-11-15,2578.49
684,2014-11-16,2578.45
685,2014-11-17,2578.41
686,2014-11-18,2578.38
687,2014-11-19,2578.34
688,2014-11-20,2578.35
689,2014-11-21,2578.49
690,2014-11-22,2578.54
691,2014-11-23,2578.66
692,2014-11-24,2578.74
693,2014-11-25,2579.71
694,2014-11-26,2579.72
695,2014-11-27,2579.63
696,2014-11-28,2579.64
697,2014-11-29,2579.52
698,2014-11-30,2579.33
699,2014-12-01,2579.13
700,2014-12-02,2578.95
701,2014-12-03,2578.83
702,2014-12-04,2578.77
703,2014-12-05,2578.72
704,2014-12-06,2578.79
705,2014-12-07,2578.75
706,2014-12-08,2578.72
707,2014-12-09,2578.98
708,2014-12-10,2579.4
709,2014-12-11,2579.59
710,2014-12-12,2579.5
711,2014-12-13,2579.31
712,2014-12-14,2579.1
713,2014-12-15,2578.98
714,2014-12-16,2578.86
715,2014-12-17,2578.76
716,2014-12-18,2578.73
717,2014-12-19,2578.77
718,2014-12-20,2579.07
719,2014-12-21,2579.46
720,2014-12-22,2579.45
721,2014-12-23,2579.38
722,2014-12-24,2579.31
723,2014-12-25,2579.16
724,2014-12-26,2579.01
725,2014-12-27,2579.05
726,2014-12-28,2579.0
727,2014-12-29,2578.87
728,2014-12-30,2578.76
729,2014-12-31,2578.69
730,2015-01-01,2578.61
731,2015-01-02,2578.56
732,2015-01-03,2578.5
733,2015-01-04,2578.71
734,2015-01-05,2579.36
735,2015-01-06,2579.38
736,2015-01-07,2579.25
737,2015-01-08,2579.11
738,2015-01-09,2578.96
739,2015-01-10,2578.85
740,2015-01-11,2578.76
741,2015-01-12,2578.68
742,2015-01-13,2578.61
743,2015-01-14,2578.56
744,2015-01-15,2578.59
745,2015-01-16,2578.59
746,2015-01-17,2578.81
747,2015-01-18,2579.2
748,2015-01-19,2579.26
749,2015-01-20,2579.16
750,2015-01-21,2579.04
751,2015-01-22,2578.91
752,2015-01-23,2578.85
753,2015-01-24,2578.77
754,2015-01-25,2578.71
755,2015-01-26,2578.64
756,2015-01-27,2578.59
757,2015-01-28,2578.53
758,2015-01-29,2578.49
759,2015-01-30,2578.45
760,2015-01-31,2578.41
761,2015-02-01,2578.42
762,2015-02-02,2578.43
763,2015-02-03,2578.41
764,2015-02-04,2578.4
765,2015-02-05,2578.63
766,2015-02-06,2579.28
767,2015-02-07,2579.82
768,2015-02-08,2579.9
769,2015-02-09,2579.86
770,2015-02-10,2579.7
771,2015-02-11,2579.46
772,2015-02-12,2579.24
773,2015-02-13,2579.05
774,2015-02-14,2578.9
775,2015-02-15,2578.78
776,2015-02-16,2578.68
777,2015-02-17,2578.61
778,2015-02-18,2578.54
779,2015-02-19,2578.51
780,2015-02-20,2578.46
781,2015-02-21,2578.41
782,2015-02-22,2578.38
783,2015-02-23,2578.35
784,2015-02-24,2578.32
785,2015-02-25,2578.33
786,2015-02-26,2578.32
787,2015-02-27,2578.34
788,2015-02-28,2578.32
789,2015-03-01,2578.3
790,2015-03-02,2578.28
791,2015-03-03,2578.26
792,2015-03-04,2578.24
793,2015-03-05,2578.23
794,2015-03-06,2578.21
795,2015-03-07,2578.2
796,2015-03-08,2578.19
797,2015-03-09,2578.18
