,datetime,SPADA_LAKE_NEAR_STARTUP__WA.
226,2011-08-15,1434.4
227,2011-08-16,1433.3
228,2011-08-17,1432.0
229,2011-08-18,1430.7
230,2011-08-19,1429.2
231,2011-08-20,1427.7
232,2011-08-21,1426.3
233,2011-08-22,1425.4
234,2011-08-23,1424.2
235,2011-08-24,1422.7
236,2011-08-25,1421.0
237,2011-08-26,1419.4
238,2011-08-27,1417.9
239,2011-08-28,1416.2
240,2011-08-29,1414.4
241,2011-08-30,1412.8
242,2011-08-31,1411.1
243,2011-09-01,1409.3
244,2011-09-02,1407.6
245,2011-09-03,1405.7
246,2011-09-04,1403.8
247,2011-09-05,1402.0
248,2011-09-06,1400.9
249,2011-09-07,1399.8
250,2011-09-08,1399.2
251,2011-09-09,1398.6
252,2011-09-10,1398.1
253,2011-09-11,1397.5
254,2011-09-12,1396.9
255,2011-09-13,1396.2
256,2011-09-14,1395.8
257,2011-09-15,1395.4
258,2011-09-16,1395.0
259,2011-09-17,1394.8
260,2011-09-18,1394.8
261,2011-09-19,1394.4
262,2011-09-20,1394.0
263,2011-09-21,1393.3
264,2011-09-22,1392.7
265,2011-09-23,1392.0
266,2011-09-24,1391.4
267,2011-09-25,1390.9
268,2011-09-26,1391.8
269,2011-09-27,1392.0
270,2011-09-28,1391.6
271,2011-09-29,1391.3
272,2011-09-30,1390.7
273,2011-10-01,1390.1
274,2011-10-02,1389.6
275,2011-10-03,1389.2
276,2011-10-04,1388.8
277,2011-10-05,1388.6
278,2011-10-06,1388.3
279,2011-10-07,1388.2
280,2011-10-08,1388.0
281,2011-10-09,1387.7
282,2011-10-10,1391.6
283,2011-10-11,1393.3
284,2011-10-12,1393.8
285,2011-10-13,1393.9
286,2011-10-14,1393.8
287,2011-10-15,1393.6
288,2011-10-16,1393.3
289,2011-10-17,1393.2
290,2011-10-18,1392.9
291,2011-10-19,1392.9
292,2011-10-20,1393.5
293,2011-10-21,1393.5
294,2011-10-22,1396.9
295,2011-10-23,1398.6
296,2011-10-24,1399.3
297,2011-10-25,1399.6
298,2011-10-26,1399.7
299,2011-10-27,1399.9
300,2011-10-28,1400.5
301,2011-10-29,1401.4
302,2011-10-30,1403.7
303,2011-10-31,1405.6
304,2011-11-01,1406.5
305,2011-11-02,1406.9
306,2011-11-03,1407.3
307,2011-11-04,1407.5
308,2011-11-05,1407.6
309,2011-11-06,1407.6
310,2011-11-07,1407.6
311,2011-11-08,1407.9
312,2011-11-09,1407.8
313,2011-11-10,1407.8
314,2011-11-11,1408.0
315,2011-11-12,1408.4
316,2011-11-13,1409.4
317,2011-11-14,1410.4
318,2011-11-15,1410.7
319,2011-11-16,1411.2
320,2011-11-17,1412.3
321,2011-11-18,1412.9
322,2011-11-19,1413.0
323,2011-11-20,1413.0
324,2011-11-21,1413.3
325,2011-11-22,1417.1
326,2011-11-23,1422.2
327,2011-11-24,1423.5
328,2011-11-25,1424.2
329,2011-11-26,1424.9
330,2011-11-27,1428.4
331,2011-11-28,1429.9
332,2011-11-29,1430.4
333,2011-11-30,1430.7
334,2011-12-01,1430.8
335,2011-12-02,1430.7
336,2011-12-03,1430.6
337,2011-12-04,1430.4
338,2011-12-05,1430.3
339,2011-12-06,1430.0
340,2011-12-07,1429.4
341,2011-12-08,1429.1
342,2011-12-09,1428.7
343,2011-12-10,1428.3
344,2011-12-11,1427.9
345,2011-12-12,1427.6
346,2011-12-13,1427.0
347,2011-12-14,1426.4
348,2011-12-15,1425.9
349,2011-12-16,1425.4
350,2011-12-17,1425.0
351,2011-12-18,1424.6
352,2011-12-19,1424.1
353,2011-12-20,1423.7
354,2011-12-21,1423.3
355,2011-12-22,1423.0
356,2011-12-23,1422.8
357,2011-12-24,1422.9
358,2011-12-25,1423.0
359,2011-12-26,1423.0
360,2011-12-27,1426.8
361,2011-12-28,1431.8
362,2011-12-29,1434.2
363,2011-12-30,1435.3
364,2011-12-31,1435.7
365,2012-01-01,1436.3
366,2012-01-02,1436.4
367,2012-01-03,1436.7
368,2012-01-04,1437.3
369,2012-01-05,1437.0
370,2012-01-06,1436.2
371,2012-01-07,1435.4
372,2012-01-08,1434.6
373,2012-01-09,1434.0
374,2012-01-10,1433.3
375,2012-01-11,1432.5
376,2012-01-12,1431.5
377,2012-01-13,1430.4
378,2012-01-14,1429.2
379,2012-01-15,1427.9
380,2012-01-16,1426.8
381,2012-01-17,1425.5
382,2012-01-18,1424.3
383,2012-01-19,1423.3
384,2012-01-20,1423.6
385,2012-01-21,1422.8
386,2012-01-22,1421.8
387,2012-01-23,1421.3
388,2012-01-24,1422.0
389,2012-01-25,1422.7
390,2012-01-26,1422.6
391,2012-01-27,1422.3
392,2012-01-28,1426.1
393,2012-01-29,1428.8
394,2012-01-30,1429.4
395,2012-01-31,1429.5
396,2012-02-01,1428.8
397,2012-02-02,1428.1
398,2012-02-03,1427.1
399,2012-02-04,1426.2
400,2012-02-05,1425.1
401,2012-02-06,1424.2
402,2012-02-07,1423.3
403,2012-02-08,1422.7
404,2012-02-09,1422.6
405,2012-02-10,1422.6
406,2012-02-11,1422.5
407,2012-02-12,1422.3
408,2012-02-13,1422.0
409,2012-02-14,1421.6
410,2012-02-15,1421.3
411,2012-02-16,1421.0
412,2012-02-17,1420.9
413,2012-02-18,1420.5
414,2012-02-19,1420.3
415,2012-02-20,1422.6
416,2012-02-21,1426.6
417,2012-02-22,1427.2
418,2012-02-23,1427.7
419,2012-02-24,1428.2
420,2012-02-25,1427.8
421,2012-02-26,1426.8
422,2012-02-27,1425.8
423,2012-02-28,1424.8
424,2012-02-29,1423.6
425,2012-03-01,1422.5
426,2012-03-02,1422.3
427,2012-03-03,1422.0
428,2012-03-04,1422.1
429,2012-03-05,1421.8
430,2012-03-06,1421.3
431,2012-03-07,1421.0
432,2012-03-08,1420.9
433,2012-03-09,1421.6
434,2012-03-10,1422.3
435,2012-03-11,1422.5
436,2012-03-12,1422.6
437,2012-03-13,1422.4
438,2012-03-14,1423.3
439,2012-03-15,1424.2
440,2012-03-16,1424.3
441,2012-03-17,1424.3
442,2012-03-18,1424.2
443,2012-03-19,1424.1
444,2012-03-20,1423.9
445,2012-03-21,1423.6
446,2012-03-22,1423.2
447,2012-03-23,1422.7
448,2012-03-24,1422.3
449,2012-03-25,1421.9
450,2012-03-26,1421.6
451,2012-03-27,1421.6
452,2012-03-28,1422.3
453,2012-03-29,1423.6
454,2012-03-30,1424.2
455,2012-03-31,1424.1
456,2012-04-01,1424.6
457,2012-04-02,1424.7
458,2012-04-03,1424.0
459,2012-04-04,1423.8
460,2012-04-05,1423.4
461,2012-04-06,1423.2
462,2012-04-07,1422.8
463,2012-04-08,1422.5
464,2012-04-09,1422.1
465,2012-04-10,1422.1
466,2012-04-11,1422.5
467,2012-04-12,1422.8
468,2012-04-13,1422.7
469,2012-04-14,1422.8
470,2012-04-15,1423.0
471,2012-04-16,1423.6
472,2012-04-17,1423.8
473,2012-04-18,1423.6
474,2012-04-19,1423.5
475,2012-04-20,1427.3
476,2012-04-21,1428.5
477,2012-04-22,1430.0
478,2012-04-23,1431.8
479,2012-04-24,1433.3
480,2012-04-25,1434.5
481,2012-04-26,1435.8
482,2012-04-27,1436.2
483,2012-04-28,1436.1
484,2012-04-29,1435.7
485,2012-04-30,1436.8
486,2012-05-01,1437.3
487,2012-05-02,1437.0
488,2012-05-03,1436.5
489,2012-05-04,1436.5
490,2012-05-05,1436.7
491,2012-05-06,1436.5
492,2012-05-07,1436.2
493,2012-05-08,1436.1
494,2012-05-09,1436.3
495,2012-05-10,1435.8
496,2012-05-11,1435.5
497,2012-05-12,1435.3
498,2012-05-13,1435.5
499,2012-05-14,1436.1
500,2012-05-15,1436.8
501,2012-05-16,1436.9
502,2012-05-17,1436.9
503,2012-05-18,1436.8
504,2012-05-19,1436.5
505,2012-05-20,1436.4
506,2012-05-21,1437.5
507,2012-05-22,1439.0
508,2012-05-23,1441.9
509,2012-05-24,1442.8
510,2012-05-25,1442.8
511,2012-05-26,1442.4
512,2012-05-27,1442.2
513,2012-05-28,1441.6
514,2012-05-29,1440.9
515,2012-05-30,1440.2
516,2012-05-31,1439.9
517,2012-06-01,1441.3
518,2012-06-02,1442.7
519,2012-06-03,1443.0
520,2012-06-04,1442.8
521,2012-06-05,1442.7
522,2012-06-06,1442.4
523,2012-06-07,1442.2
524,2012-06-08,1442.0
525,2012-06-09,1441.5
526,2012-06-10,1441.2
527,2012-06-11,1440.9
528,2012-06-12,1440.9
529,2012-06-13,1441.8
530,2012-06-14,1441.7
531,2012-06-15,1441.3
532,2012-06-16,1441.7
533,2012-06-17,1443.9
534,2012-06-18,1445.4
535,2012-06-19,1445.7
536,2012-06-20,1445.6
537,2012-06-21,1445.4
538,2012-06-22,1445.2
539,2012-06-23,1445.2
540,2012-06-24,1444.8
541,2012-06-25,1444.2
542,2012-06-26,1443.8
543,2012-06-27,1443.3
544,2012-06-28,1442.6
545,2012-06-29,1442.0
546,2012-06-30,1442.0
547,2012-07-01,1442.3
548,2012-07-02,1442.6
549,2012-07-03,1443.4
550,2012-07-04,1444.2
551,2012-07-05,1444.6
552,2012-07-06,1444.9
553,2012-07-07,1445.2
554,2012-07-08,1445.7
555,2012-07-09,1446.2
556,2012-07-10,1446.4
557,2012-07-11,1446.5
558,2012-07-12,1446.3
559,2012-07-13,1445.5
560,2012-07-14,1444.8
561,2012-07-15,1444.3
562,2012-07-16,1444.0
563,2012-07-17,1444.0
564,2012-07-18,1443.8
565,2012-07-19,1443.5
566,2012-07-20,1443.4
567,2012-07-21,1443.2
568,2012-07-22,1443.0
569,2012-07-23,1442.6
570,2012-07-24,1442.2
571,2012-07-25,1441.8
572,2012-07-26,1441.4
573,2012-07-27,1441.1
574,2012-07-28,1440.5
575,2012-07-29,1440.0
576,2012-07-30,1439.6
577,2012-07-31,1439.0
578,2012-08-01,1438.5
579,2012-08-02,1437.9
580,2012-08-03,1437.6
581,2012-08-04,1437.3
582,2012-08-05,1437.2
583,2012-08-06,1436.9
584,2012-08-07,1436.8
585,2012-08-08,1436.5
586,2012-08-09,1436.2
587,2012-08-10,1435.9
588,2012-08-11,1435.7
589,2012-08-12,1435.4
590,2012-08-13,1435.0
591,2012-08-14,1434.8
592,2012-08-15,1434.4
593,2012-08-16,1434.0
