,datetime,LEMOLO_LAKE_NEAR_TOKETEE_FALLS__OR.tsv
197,2013-07-17,4144.79
198,2013-07-18,4144.96
199,2013-07-19,4145.04
200,2013-07-20,4145.11
201,2013-07-21,4145.2
202,2013-07-22,4145.36
203,2013-07-23,4145.32
204,2013-07-24,4145.39
205,2013-07-25,4145.41
206,2013-07-26,4145.39
207,2013-07-27,4145.43
208,2013-07-28,4145.35
209,2013-07-29,4145.47
210,2013-07-30,4145.36
211,2013-07-31,4145.38
212,2013-08-01,4145.58
213,2013-08-02,4145.45
214,2013-08-03,4145.27
215,2013-08-04,4145.15
216,2013-08-05,4145.04
217,2013-08-06,4145.1
218,2013-08-07,4145.13
219,2013-08-08,4145.17
220,2013-08-09,4145.29
221,2013-08-10,4145.39
222,2013-08-11,4145.36
223,2013-08-12,4145.41
224,2013-08-13,4145.37
225,2013-08-14,4145.32
226,2013-08-15,4145.26
227,2013-08-16,4145.26
228,2013-08-17,4145.28
229,2013-08-18,4145.36
230,2013-08-19,4145.43
231,2013-08-20,4145.48
232,2013-08-21,4145.56
233,2013-08-22,4145.61
234,2013-08-23,4145.6
235,2013-08-24,4145.61
236,2013-08-25,4145.61
237,2013-08-26,4145.6
238,2013-08-27,4145.56
239,2013-08-28,4145.56
240,2013-08-29,4145.35
241,2013-08-30,4145.35
242,2013-08-31,4145.29
243,2013-09-01,4145.17
244,2013-09-02,4145.07
245,2013-09-03,4144.88
246,2013-09-04,4144.66
247,2013-09-05,4144.37
248,2013-09-06,4144.09
249,2013-09-07,4143.78
250,2013-09-08,4143.5
251,2013-09-09,4143.18
252,2013-09-10,4142.85
253,2013-09-11,4142.62
254,2013-09-12,4142.26
255,2013-09-13,4141.96
256,2013-09-14,4141.59
257,2013-09-15,4141.3
258,2013-09-16,4140.94
259,2013-09-17,4140.64
260,2013-09-18,4140.31
261,2013-09-19,4140.0
262,2013-09-20,4139.57
263,2013-09-21,4139.2
264,2013-09-22,4138.91
265,2013-09-23,4138.61
266,2013-09-24,4138.6
267,2013-09-25,4138.345
268,2013-09-26,4138.09
269,2013-09-27,4137.61
270,2013-09-28,4137.33
271,2013-09-29,4137.58
272,2013-09-30,4138.03
273,2013-10-01,4138.01
274,2013-10-02,4137.75
275,2013-10-03,4137.51
276,2013-10-04,4137.26
277,2013-10-05,4136.88
278,2013-10-06,4136.57
279,2013-10-07,4136.13
280,2013-10-08,4135.76
281,2013-10-09,4135.27
282,2013-10-10,4135.03
283,2013-10-11,4134.6
284,2013-10-12,4134.31
285,2013-10-13,4133.89
286,2013-10-14,4133.55
287,2013-10-15,4133.37
288,2013-10-16,4132.95
289,2013-10-17,4132.51
290,2013-10-18,4132.02
291,2013-10-19,4131.68
292,2013-10-20,4131.4
293,2013-10-21,4131.06
294,2013-10-22,4130.81
295,2013-10-23,4130.42
296,2013-10-24,4130.0
297,2013-10-25,4129.62
298,2013-10-26,4129.22
299,2013-10-27,4128.91
300,2013-10-28,4128.56
301,2013-10-29,4128.18
302,2013-10-30,4127.91
303,2013-10-31,4127.73
304,2013-11-01,4127.56
305,2013-11-02,4127.54
306,2013-11-03,4127.42
307,2013-11-04,4127.26
308,2013-11-05,4127.21
309,2013-11-06,4127.2
310,2013-11-07,4127.29
311,2013-11-08,4127.33
312,2013-11-09,4127.31
313,2013-11-10,4127.25
314,2013-11-11,4127.13
315,2013-11-12,4126.92
316,2013-11-13,4126.87
317,2013-11-14,4126.52
318,2013-11-15,4126.46
319,2013-11-16,4126.4
320,2013-11-17,4126.15
321,2013-11-18,4126.0888888888885
322,2013-11-19,4126.027777777777
323,2013-11-20,4125.966666666666
324,2013-11-21,4125.905555555555
325,2013-11-22,4125.844444444445
326,2013-11-23,4125.783333333334
327,2013-11-24,4125.722222222223
328,2013-11-25,4125.6611111111115
329,2013-11-26,4125.6
330,2013-11-27,4125.49
331,2013-11-28,4125.38
332,2013-11-29,4125.32
333,2013-11-30,4125.15
334,2013-12-01,4125.0
