,datetime,150388_00054_32400,150388_00054_32400_cd,150389_62614_32400
166,2013-06-16,641800.0,,997.75
167,2013-06-17,641800.0,,997.62
168,2013-06-18,641800.0,,997.7
169,2013-06-19,641800.0,,997.74
170,2013-06-20,641800.0,,997.67
171,2013-06-21,641800.0,,997.76
172,2013-06-22,641800.0,,997.65
173,2013-06-23,641800.0,,997.66
174,2013-06-24,641800.0,,997.64
175,2013-06-25,641800.0,,998.45
176,2013-06-26,641800.0,,999.1
177,2013-06-27,641800.0,,999.33
178,2013-06-28,641800.0,,999.14
179,2013-06-29,641800.0,,998.55
180,2013-06-30,641800.0,,998.01
181,2013-07-01,641800.0,,997.39
182,2013-07-02,641800.0,,997.09
183,2013-07-03,641800.0,,997.1
184,2013-07-04,641800.0,,997.67
185,2013-07-05,641800.0,,998.2
186,2013-07-06,641800.0,,998.16
187,2013-07-07,641800.0,,998.02
188,2013-07-08,641800.0,,997.71
189,2013-07-09,641800.0,,996.96
190,2013-07-10,641800.0,,996.82
191,2013-07-11,641800.0,,997.3
192,2013-07-12,641800.0,,997.57
193,2013-07-13,641800.0,,997.32
194,2013-07-14,641800.0,,997.07
195,2013-07-15,641800.0,,997.33
196,2013-07-16,641800.0,,997.09
197,2013-07-17,641800.0,,997.09
198,2013-07-18,641800.0,,997.1
199,2013-07-19,641800.0,,996.97
200,2013-07-20,641800.0,,997.23
201,2013-07-21,641800.0,,997.61
202,2013-07-22,641800.0,,997.6
203,2013-07-23,641800.0,,997.59
204,2013-07-24,641800.0,,997.97
205,2013-07-25,641800.0,,997.53
206,2013-07-26,641800.0,,997.26
207,2013-07-27,641800.0,,997.61
208,2013-07-28,641800.0,,997.63
209,2013-07-29,641800.0,,997.28
210,2013-07-30,641800.0,,997.11
211,2013-07-31,641800.0,,997.14
212,2013-08-01,641800.0,,996.88
213,2013-08-02,641800.0,,996.89
214,2013-08-03,641800.0,,996.45
215,2013-08-04,641800.0,,996.07
216,2013-08-05,641800.0,,995.66
217,2013-08-06,641800.0,,995.38
218,2013-08-07,641800.0,,995.31
219,2013-08-08,641800.0,,994.79
220,2013-08-09,641800.0,,994.52
221,2013-08-10,641800.0,,994.83
222,2013-08-11,641800.0,,995.03
223,2013-08-12,641800.0,,994.85
224,2013-08-13,641800.0,,994.72
225,2013-08-14,641800.0,,994.47
226,2013-08-15,641800.0,,994.21
227,2013-08-16,641800.0,,993.53
228,2013-08-17,641800.0,,993.78
229,2013-08-18,641800.0,,993.52
230,2013-08-19,641800.0,,993.52
231,2013-08-20,641800.0,,993.13
232,2013-08-21,641800.0,,993.26
233,2013-08-22,641800.0,,993.14
234,2013-08-23,641800.0,,993.23
235,2013-08-24,641800.0,,993.15
236,2013-08-25,641800.0,,992.98
237,2013-08-26,641800.0,,992.03
238,2013-08-27,641800.0,,991.38
239,2013-08-28,641800.0,,990.77
240,2013-08-29,641800.0,,989.52
241,2013-08-30,641800.0,,988.16
242,2013-08-31,641800.0,,986.99
243,2013-09-01,641800.0,,986.62
244,2013-09-02,641800.0,,985.72
245,2013-09-03,641800.0,,984.6
246,2013-09-04,641800.0,,984.92
247,2013-09-05,641800.0,,985.24
248,2013-09-06,641800.0,,986.0
249,2013-09-07,641800.0,,986.41
250,2013-09-08,641800.0,,986.77
251,2013-09-09,641800.0,,987.07
252,2013-09-10,641800.0,,987.33
253,2013-09-11,641800.0,,987.36
254,2013-09-12,641800.0,,987.12
255,2013-09-13,641800.0,,987.06
256,2013-09-14,641800.0,,987.36
257,2013-09-15,641800.0,,987.5
258,2013-09-16,641800.0,,986.81
259,2013-09-17,641800.0,,987.0
260,2013-09-18,641800.0,,987.09
261,2013-09-19,641800.0,,987.33
262,2013-09-20,641800.0,,986.89
263,2013-09-21,641800.0,,987.15
264,2013-09-22,641800.0,,987.32
265,2013-09-23,641800.0,,987.86
266,2013-09-24,641800.0,,988.26
267,2013-09-25,641800.0,,987.97
268,2013-09-26,641800.0,,987.7
269,2013-09-27,641800.0,,986.2
270,2013-09-28,641800.0,,986.68
271,2013-09-29,641800.0,,988.45
272,2013-09-30,641800.0,,992.24
273,2013-10-01,641800.0,,993.66
274,2013-10-02,641800.0,,994.53
275,2013-10-03,641800.0,,994.43
276,2013-10-04,641800.0,,994.12
277,2013-10-05,641800.0,,994.03
278,2013-10-06,641800.0,,993.78
279,2013-10-07,641800.0,,993.54
280,2013-10-08,641800.0,,993.5
281,2013-10-09,641800.0,,993.34
282,2013-10-10,641800.0,,993.1
283,2013-10-11,641800.0,,993.33
284,2013-10-12,641800.0,,993.45
285,2013-10-13,641800.0,,993.65
286,2013-10-14,641800.0,,993.47
287,2013-10-15,641800.0,,993.22
288,2013-10-16,641800.0,,993.13
289,2013-10-17,641800.0,,992.79
290,2013-10-18,641800.0,,992.66
291,2013-10-19,641800.0,,992.73
292,2013-10-20,641800.0,,992.79
293,2013-10-21,641800.0,,992.7
294,2013-10-22,641800.0,,992.43
295,2013-10-23,641800.0,,991.75
296,2013-10-24,641800.0,,990.8
297,2013-10-25,641800.0,,989.94
298,2013-10-26,641800.0,,988.83
299,2013-10-27,641800.0,,987.54
300,2013-10-28,641800.0,,986.56
301,2013-10-29,641800.0,,985.43
302,2013-10-30,641800.0,,984.88
303,2013-10-31,641800.0,,984.68
304,2013-11-01,641800.0,,983.79
305,2013-11-02,641800.0,,983.93
306,2013-11-03,641800.0,,984.27
307,2013-11-04,641800.0,,983.46
308,2013-11-05,641800.0,,983.37
309,2013-11-06,641800.0,,982.61
310,2013-11-07,641800.0,,983.08
311,2013-11-08,641800.0,,983.75
312,2013-11-09,641800.0,,984.15
313,2013-11-10,641800.0,,984.47
314,2013-11-11,641800.0,,984.04
315,2013-11-12,641800.0,,983.36
316,2013-11-13,641800.0,,982.98
317,2013-11-14,641800.0,,982.6
318,2013-11-15,641800.0,,982.94
319,2013-11-16,641800.0,,983.39
320,2013-11-17,641800.0,,983.75
321,2013-11-18,641800.0,,984.44
322,2013-11-19,641800.0,,988.0
323,2013-11-20,641800.0,,989.72
324,2013-11-21,641800.0,,990.91
325,2013-11-22,641800.0,,991.29
326,2013-11-23,641800.0,,991.22
327,2013-11-24,641800.0,,991.46
328,2013-11-25,641800.0,,991.5
329,2013-11-26,641800.0,,990.88
330,2013-11-27,641800.0,,990.2
331,2013-11-28,641800.0,,989.64
332,2013-11-29,641800.0,,988.62
333,2013-11-30,641800.0,,988.4
334,2013-12-01,641800.0,,990.56
335,2013-12-02,641800.0,,993.3
336,2013-12-03,641800.0,,993.83
337,2013-12-04,641800.0,,994.38
338,2013-12-05,641800.0,,994.31
339,2013-12-06,641800.0,,994.0
340,2013-12-07,641800.0,,993.56
341,2013-12-08,641800.0,,992.49
342,2013-12-09,641800.0,,991.55
343,2013-12-10,641800.0,,990.24
344,2013-12-11,641800.0,,988.79
345,2013-12-12,641800.0,,989.0
346,2013-12-13,641800.0,,989.47
347,2013-12-14,641800.0,,989.73
348,2013-12-15,641800.0,,990.34
349,2013-12-16,641800.0,,990.06
350,2013-12-17,641800.0,,990.06
351,2013-12-18,641800.0,,990.75
352,2013-12-19,641800.0,,990.16
353,2013-12-20,641800.0,,990.24
354,2013-12-21,641800.0,,990.26
355,2013-12-22,641800.0,,990.38
356,2013-12-23,641800.0,,991.2
357,2013-12-24,641800.0,,991.75
358,2013-12-25,641800.0,,992.14
359,2013-12-26,641800.0,,991.7
360,2013-12-27,641800.0,,991.43
