,datetime,149696_62614_00003,149697_00010_00001,149698_00010_00002,149699_00010_00003
126,2013-05-07,911.45,18.1,14.9,16.4
127,2013-05-08,911.68,18.1,16.3,17.1
128,2013-05-09,912.06,19.6,16.4,17.7
129,2013-05-10,912.52,20.0,17.1,18.1
130,2013-05-11,912.95,18.2,16.3,17.1
131,2013-05-12,913.36,16.7,14.3,15.5
132,2013-05-13,913.74,15.4,13.7,14.4
133,2013-05-14,914.09,15.7,13.5,14.5
134,2013-05-15,914.17,16.1,15.4,15.7
135,2013-05-16,914.0,17.5,15.5,16.5
136,2013-05-17,913.76,17.4,15.1,16.3
137,2013-05-18,913.55,17.3,16.2,16.7
138,2013-05-19,913.38,18.1,16.8,17.3
139,2013-05-20,913.18,17.5,16.0,16.9
140,2013-05-21,913.0,17.4,16.2,16.7
141,2013-05-22,912.9,16.3,15.7,16.0
142,2013-05-23,912.88,15.7,15.2,15.5
143,2013-05-24,912.83,16.8,15.2,15.8
144,2013-05-25,912.76,15.6,15.0,15.3
145,2013-05-26,912.67,16.0,15.0,15.4
146,2013-05-27,912.59,16.4,15.5,15.9
147,2013-05-28,912.53,16.5,15.7,16.0
148,2013-05-29,912.5,16.8,16.0,16.4
149,2013-05-30,912.5,17.4,16.2,16.8
150,2013-05-31,912.52,18.9,16.8,17.5
151,2013-06-01,912.5,18.4,16.9,17.6
152,2013-06-02,912.5,18.6,17.8,18.1
153,2013-06-03,912.48,19.1,17.2,18.1
154,2013-06-04,912.47,19.8,17.8,18.4
155,2013-06-05,912.47,18.9,17.7,18.1
156,2013-06-06,912.47,21.1,18.4,19.5
157,2013-06-07,912.49,21.2,19.0,19.9
158,2013-06-08,912.49,20.5,19.4,19.8
159,2013-06-09,912.48,20.6,19.0,19.8
160,2013-06-10,912.45,20.5,19.1,19.8
161,2013-06-11,912.38,20.1,18.4,19.4
162,2013-06-12,912.31,20.1,17.9,18.9
163,2013-06-13,912.2,20.3,19.1,19.7
164,2013-06-14,912.05,20.8,19.1,19.8
165,2013-06-15,911.91,21.7,19.3,20.3
166,2013-06-16,911.84,22.8,19.4,20.8
167,2013-06-17,911.78,21.7,20.2,21.1
168,2013-06-18,911.77,20.7,19.9,20.3
169,2013-06-19,911.75,19.9,19.4,19.6
170,2013-06-20,911.79,19.5,19.1,19.3
171,2013-06-21,911.97,19.7,18.8,19.2
172,2013-06-22,912.16,19.4,18.8,19.1
173,2013-06-23,912.28,20.2,18.9,19.5
174,2013-06-24,912.37,19.9,19.3,19.6
175,2013-06-25,912.49,20.4,19.1,19.6
176,2013-06-26,912.62,19.7,19.1,19.4
177,2013-06-27,912.69,20.9,19.2,19.8
178,2013-06-28,912.71,21.9,20.0,20.7
179,2013-06-29,912.72,22.2,20.7,21.5
180,2013-06-30,912.7,23.3,21.8,22.5
181,2013-07-01,912.67,24.0,22.1,23.0
182,2013-07-02,912.62,23.3,21.4,22.5
183,2013-07-03,912.56,24.3,21.1,22.8
184,2013-07-04,912.46,25.1,23.4,24.1
185,2013-07-05,912.34,24.3,23.1,23.7
186,2013-07-06,912.25,24.5,22.9,23.6
187,2013-07-07,912.19,24.1,23.1,23.6
188,2013-07-08,912.16,24.6,22.8,23.7
189,2013-07-09,912.16,24.0,22.4,23.0
190,2013-07-10,912.16,24.0,22.3,23.0
191,2013-07-11,912.11,24.6,22.7,23.5
192,2013-07-12,912.0,23.8,22.6,23.3
193,2013-07-13,911.91,24.6,22.6,23.5
194,2013-07-14,911.83,23.6,22.2,23.0
195,2013-07-15,911.79,22.7,21.0,21.9
196,2013-07-16,911.71,23.4,21.3,22.3
197,2013-07-17,911.65,24.0,22.5,23.2
198,2013-07-18,911.58,24.5,22.8,23.7
199,2013-07-19,911.48,25.9,23.7,24.6
200,2013-07-20,911.46,25.7,24.3,25.0
201,2013-07-21,911.5,26.9,24.8,25.7
202,2013-07-22,911.53,26.5,25.4,26.0
203,2013-07-23,911.53,27.1,25.3,26.1
204,2013-07-24,911.53,27.4,25.7,26.4
205,2013-07-25,911.54,27.3,25.7,26.5
206,2013-07-26,911.51,28.1,26.1,26.9
207,2013-07-27,911.5,27.3,26.0,26.6
208,2013-07-28,911.53,26.5,25.1,25.8
209,2013-07-29,911.54,25.6,24.2,24.9
210,2013-07-30,911.54,25.4,24.4,24.9
211,2013-07-31,911.56,25.7,24.3,25.0
212,2013-08-01,911.58,25.5,24.2,25.1
213,2013-08-02,911.62,25.1,23.8,24.3
214,2013-08-03,911.63,25.1,24.1,24.5
215,2013-08-04,911.64,25.0,23.9,24.5
216,2013-08-05,911.66,25.5,23.9,24.7
217,2013-08-06,911.67,26.2,24.6,25.2
218,2013-08-07,911.67,26.6,24.5,25.4
219,2013-08-08,911.62,26.8,25.5,26.1
220,2013-08-09,911.6,27.4,25.5,26.4
221,2013-08-10,911.59,27.5,26.2,26.9
222,2013-08-11,911.58,27.2,25.7,26.1
223,2013-08-12,911.58,26.6,25.3,25.9
224,2013-08-13,911.57,26.5,25.1,25.7
225,2013-08-14,911.57,26.0,24.7,25.4
226,2013-08-15,911.57,25.8,25.1,25.5
227,2013-08-16,911.57,26.0,24.7,25.3
228,2013-08-17,911.56,25.7,24.8,25.2
229,2013-08-18,911.56,25.2,24.2,24.7
230,2013-08-19,911.55,25.9,24.1,24.9
231,2013-08-20,911.54,25.3,24.2,24.8
232,2013-08-21,911.51,25.3,24.1,24.7
233,2013-08-22,911.52,25.1,24.2,24.7
234,2013-08-23,911.54,24.9,24.1,24.5
235,2013-08-24,911.56,24.2,23.6,23.9
236,2013-08-25,911.59,24.1,22.9,23.6
237,2013-08-26,911.6,23.8,23.2,23.5
238,2013-08-27,911.64,23.8,22.7,23.2
239,2013-08-28,911.66,23.9,22.7,23.3
240,2013-08-29,911.63,23.5,22.9,23.2
241,2013-08-30,911.62,23.6,22.7,23.2
242,2013-08-31,911.6,23.7,22.4,23.0
243,2013-09-01,911.58,24.0,22.8,23.4
244,2013-09-02,911.55,24.0,23.1,23.5
245,2013-09-03,911.52,24.0,22.7,23.2
246,2013-09-04,911.53,23.2,22.6,22.9
247,2013-09-05,911.54,23.5,22.5,23.0
248,2013-09-06,911.58,23.2,22.5,22.8
249,2013-09-07,911.61,23.0,22.1,22.5
250,2013-09-08,911.63,23.4,22.1,22.6
251,2013-09-09,911.63,23.5,22.0,22.8
252,2013-09-10,911.64,23.8,22.8,23.3
253,2013-09-11,911.67,23.7,22.7,23.2
254,2013-09-12,911.63,24.0,22.8,23.4
255,2013-09-13,911.62,24.4,23.2,23.7
256,2013-09-14,911.61,24.1,23.0,23.6
257,2013-09-15,911.61,23.9,23.2,23.6
258,2013-09-16,911.63,23.5,22.7,23.2
259,2013-09-17,911.62,23.0,22.0,22.6
260,2013-09-18,911.54,22.2,21.5,21.9
261,2013-09-19,911.44,21.8,21.0,21.4
262,2013-09-20,911.37,22.0,20.4,21.2
263,2013-09-21,911.35,21.4,20.5,20.9
264,2013-09-22,911.31,20.8,19.8,20.3
265,2013-09-23,911.29,20.0,19.3,19.6
266,2013-09-24,911.29,19.6,18.7,19.2
267,2013-09-25,911.24,19.1,17.7,18.3
268,2013-09-26,911.21,19.3,17.4,18.3
269,2013-09-27,911.18,18.3,17.6,17.9
270,2013-09-28,911.17,17.7,17.2,17.5
271,2013-09-29,911.19,17.6,16.6,17.0
272,2013-09-30,911.2,17.2,16.0,16.6
273,2013-10-01,911.19,16.8,15.7,16.1
274,2013-10-02,911.17,16.1,15.1,15.6
275,2013-10-03,911.16,15.6,14.8,15.2
276,2013-10-04,911.11,16.2,14.6,15.3
277,2013-10-05,911.09,15.3,14.6,15.0
278,2013-10-06,911.09,15.4,14.3,14.8
279,2013-10-07,911.11,15.3,14.3,14.7
280,2013-10-08,911.13,14.5,13.7,14.1
281,2013-10-09,911.09,15.4,13.6,14.5
282,2013-10-10,911.06,15.1,14.2,14.7
283,2013-10-11,911.02,14.8,13.2,14.1
284,2013-10-12,911.02,14.2,13.5,13.9
285,2013-10-13,911.0,14.5,13.3,13.8
286,2013-10-14,911.01,14.4,13.0,13.7
287,2013-10-15,911.02,14.2,13.0,13.7
288,2013-10-16,911.06,13.7,13.2,13.5
