,datetime,102487_00062_00011,226904_00054_00011
0,2013-01-02,7196.76,2700.0
1,2013-01-03,7196.809655172414,2720.0
2,2013-01-04,7196.8593103448275,2740.0
3,2013-01-05,7196.908965517242,2760.0
4,2013-01-06,7196.958620689656,2780.0
5,2013-01-07,7197.008275862069,2800.0
6,2013-01-08,7197.057931034483,2820.0
7,2013-01-09,7197.1075862068965,2840.0
8,2013-01-10,7197.15724137931,2860.0
9,2013-01-11,7197.206896551725,2880.0
10,2013-01-12,7197.256551724138,2900.0
11,2013-01-13,7197.306206896552,2920.0
12,2013-01-14,7197.3558620689655,2940.0
13,2013-01-15,7197.405517241379,2960.0
14,2013-01-16,7197.455172413793,2980.0
15,2013-01-17,7197.504827586207,3000.0
16,2013-01-18,7197.554482758621,3020.0
17,2013-01-19,7197.6041379310345,3040.0
18,2013-01-20,7197.653793103448,3060.0
19,2013-01-21,7197.703448275862,3080.0
20,2013-01-22,7197.753103448275,3100.0
21,2013-01-23,7197.80275862069,3120.0
22,2013-01-24,7197.852413793104,3140.0
23,2013-01-25,7197.902068965517,3160.0
24,2013-01-26,7197.951724137931,3180.0
25,2013-01-27,7198.001379310344,3200.0
26,2013-01-28,7198.051034482758,3220.0
27,2013-01-29,7198.100689655173,3240.0
28,2013-01-30,7198.150344827586,3260.0
29,2013-01-31,7198.2,3280.0
30,2013-02-01,7198.236071428571,3294.6428571428573
31,2013-02-02,7198.272142857143,3309.285714285714
32,2013-02-03,7198.308214285714,3323.9285714285716
33,2013-02-04,7198.344285714285,3338.5714285714284
34,2013-02-05,7198.380357142857,3353.214285714286
35,2013-02-06,7198.416428571429,3367.8571428571427
36,2013-02-07,7198.452499999999,3382.5
37,2013-02-08,7198.488571428571,3397.1428571428573
38,2013-02-09,7198.524642857143,3411.785714285714
39,2013-02-10,7198.560714285714,3426.4285714285716
40,2013-02-11,7198.596785714286,3441.0714285714284
41,2013-02-12,7198.632857142857,3455.714285714286
42,2013-02-13,7198.668928571428,3470.3571428571427
43,2013-02-14,7198.705,3485.0
44,2013-02-15,7198.741071428572,3499.6428571428573
45,2013-02-16,7198.777142857143,3514.285714285714
46,2013-02-17,7198.813214285714,3528.9285714285716
47,2013-02-18,7198.8492857142855,3543.5714285714284
48,2013-02-19,7198.885357142857,3558.214285714286
49,2013-02-20,7198.921428571429,3572.8571428571427
50,2013-02-21,7198.9575,3587.5
51,2013-02-22,7198.993571428571,3602.142857142857
52,2013-02-23,7199.029642857143,3616.785714285714
53,2013-02-24,7199.065714285714,3631.4285714285716
54,2013-02-25,7199.101785714286,3646.0714285714284
55,2013-02-26,7199.137857142857,3660.714285714286
56,2013-02-27,7199.173928571428,3675.3571428571427
57,2013-02-28,7199.21,3690.0
58,2013-03-01,7199.250294117647,3706.470588235294
59,2013-03-02,7199.290588235294,3722.9411764705883
60,2013-03-03,7199.330882352941,3739.4117647058824
61,2013-03-04,7199.371176470589,3755.8823529411766
62,2013-03-05,7199.411470588236,3772.3529411764707
63,2013-03-06,7199.451764705882,3788.823529411765
64,2013-03-07,7199.492058823529,3805.294117647059
65,2013-03-08,7199.532352941176,3821.764705882353
66,2013-03-09,7199.572647058823,3838.235294117647
67,2013-03-10,7199.6129411764705,3854.705882352941
68,2013-03-11,7199.653235294118,3871.176470588235
69,2013-03-12,7199.693529411765,3887.6470588235293
70,2013-03-13,7199.733823529412,3904.1176470588234
71,2013-03-14,7199.774117647059,3920.5882352941176
72,2013-03-15,7199.814411764706,3937.0588235294117
73,2013-03-16,7199.854705882353,3953.529411764706
74,2013-03-17,7199.895,3970.0
75,2013-03-18,7199.935294117647,3986.470588235294
76,2013-03-19,7199.975588235294,4002.9411764705883
77,2013-03-20,7200.015882352941,4019.4117647058824
78,2013-03-21,7200.056176470588,4035.8823529411766
79,2013-03-22,7200.096470588235,4052.3529411764707
80,2013-03-23,7200.136764705882,4068.823529411765
81,2013-03-24,7200.1770588235295,4085.2941176470586
82,2013-03-25,7200.217352941177,4101.764705882353
83,2013-03-26,7200.257647058824,4118.235294117647
84,2013-03-27,7200.297941176471,4134.705882352941
85,2013-03-28,7200.338235294118,4151.176470588235
86,2013-03-29,7200.378529411764,4167.64705882353
87,2013-03-30,7200.418823529411,4184.117647058823
88,2013-03-31,7200.4591176470585,4200.588235294117
89,2013-04-01,7200.499411764706,4217.058823529412
90,2013-04-02,7200.539705882353,4233.529411764706
91,2013-04-03,7200.58,4250.0
92,2013-04-04,7200.5956,4256.8
93,2013-04-05,7200.6112,4263.6
94,2013-04-06,7200.6268,4270.4
95,2013-04-07,7200.6424,4277.2
96,2013-04-08,7200.658,4284.0
97,2013-04-09,7200.6736,4290.8
98,2013-04-10,7200.6892,4297.6
99,2013-04-11,7200.7048,4304.4
100,2013-04-12,7200.7204,4311.2
101,2013-04-13,7200.736,4318.0
102,2013-04-14,7200.7516000000005,4324.8
103,2013-04-15,7200.7672,4331.6
104,2013-04-16,7200.7828,4338.4
105,2013-04-17,7200.7984,4345.2
106,2013-04-18,7200.814,4352.0
107,2013-04-19,7200.8296,4358.8
108,2013-04-20,7200.8452,4365.6
109,2013-04-21,7200.8608,4372.4
110,2013-04-22,7200.8764,4379.2
111,2013-04-23,7200.892,4386.0
112,2013-04-24,7200.9076000000005,4392.8
113,2013-04-25,7200.9232,4399.6
114,2013-04-26,7200.9388,4406.4
115,2013-04-27,7200.9544000000005,4413.2
116,2013-04-28,7200.97,4420.0
117,2013-04-29,7200.980714285714,4424.642857142857
118,2013-04-30,7200.9914285714285,4429.285714285715
