,datetime,148899_62614_30800,229431_00054_30800,229431_00054_30800_cd
138,2013-05-19,1158.5,31940.0,
139,2013-05-20,1159.0,31940.0,
140,2013-05-21,1159.7,31940.0,
141,2013-05-22,1160.5,31940.0,
142,2013-05-23,1161.2,31940.0,
143,2013-05-24,1161.8,31940.0,
144,2013-05-25,1162.5,31940.0,
145,2013-05-26,1163.1,31940.0,
146,2013-05-27,1163.9,31940.0,
147,2013-05-28,1164.6,31940.0,
148,2013-05-29,1165.4,31940.0,
149,2013-05-30,1166.1,31940.0,
150,2013-05-31,1166.9,31940.0,
151,2013-06-01,1167.1,31940.0,
152,2013-06-02,1167.0,31940.0,
153,2013-06-03,1166.7,31940.0,
154,2013-06-04,1166.8,31940.0,
155,2013-06-05,1167.0,31940.0,
156,2013-06-06,1167.2,31940.0,
157,2013-06-07,1167.3,31940.0,
158,2013-06-08,1167.3,31940.0,
159,2013-06-09,1167.3,31940.0,
160,2013-06-10,1167.1,31940.0,
161,2013-06-11,1167.1,31940.0,
162,2013-06-12,1167.1,31940.0,
163,2013-06-13,1167.0,31940.0,
164,2013-06-14,1167.0,31940.0,
165,2013-06-15,1167.0,31940.0,
166,2013-06-16,1166.9,31940.0,
167,2013-06-17,1166.7,31940.0,
168,2013-06-18,1166.6,31940.0,
169,2013-06-19,1166.4,31940.0,
170,2013-06-20,1166.2,31940.0,
171,2013-06-21,1166.3,31940.0,
172,2013-06-22,1166.3,31940.0,
173,2013-06-23,1166.2,31940.0,
174,2013-06-24,1166.0,31940.0,
175,2013-06-25,1166.1,31940.0,
176,2013-06-26,1166.0,31940.0,
177,2013-06-27,1166.0,31940.0,
178,2013-06-28,1165.9,31940.0,
179,2013-06-29,1165.6,31940.0,
180,2013-06-30,1165.2,31940.0,
181,2013-07-01,1164.9,31940.0,
182,2013-07-02,1164.4,31940.0,
183,2013-07-03,1164.0,31940.0,
184,2013-07-04,1163.5,31940.0,
185,2013-07-05,1163.1,31940.0,
186,2013-07-06,1162.7,31940.0,
187,2013-07-07,1162.3,31940.0,
188,2013-07-08,1161.9,31940.0,
189,2013-07-09,1161.6,31940.0,
190,2013-07-10,1161.4,31940.0,
191,2013-07-11,1161.3,31940.0,
192,2013-07-12,1161.2,31940.0,
193,2013-07-13,1161.1,31940.0,
194,2013-07-14,1160.9,31940.0,
195,2013-07-15,1160.8,31940.0,
196,2013-07-16,1160.6,31940.0,
197,2013-07-17,1160.5,31940.0,
