,datetime,GREEN_PETER_LAKE_NEAR_FOSTER__OR.
240,2014-05-29,1009.15
241,2014-05-30,1008.99
242,2014-05-31,1008.79
243,2014-06-01,1008.54
244,2014-06-02,1008.22
245,2014-06-03,1007.77
246,2014-06-04,1007.27
247,2014-06-05,1006.77
248,2014-06-06,1006.23
249,2014-06-07,1005.72
250,2014-06-08,1005.18
251,2014-06-09,1004.62
252,2014-06-10,1004.05
253,2014-06-11,1003.47
254,2014-06-12,1002.91
255,2014-06-13,1002.48
256,2014-06-14,1001.98
257,2014-06-15,1001.44
258,2014-06-16,1000.94
259,2014-06-17,1000.57
260,2014-06-18,1000.12
261,2014-06-19,999.63
262,2014-06-20,999.22
263,2014-06-21,998.82
264,2014-06-22,998.41
265,2014-06-23,997.96
266,2014-06-24,997.53
267,2014-06-25,997.02
268,2014-06-26,996.66
269,2014-06-27,996.7
270,2014-06-28,996.76
271,2014-06-29,996.69
272,2014-06-30,996.51
273,2014-07-01,996.28
274,2014-07-02,996.02
275,2014-07-03,995.75
276,2014-07-04,995.53
277,2014-07-05,995.29
278,2014-07-06,995.02
279,2014-07-07,994.75
280,2014-07-08,994.26
281,2014-07-09,993.64
282,2014-07-10,993.08
283,2014-07-11,992.7
284,2014-07-12,992.3
285,2014-07-13,991.92
286,2014-07-14,991.55
287,2014-07-15,991.16
288,2014-07-16,990.78
289,2014-07-17,990.36
290,2014-07-18,989.97
291,2014-07-19,989.53
292,2014-07-20,989.1
293,2014-07-21,988.68
294,2014-07-22,988.26
295,2014-07-23,987.9
296,2014-07-24,987.5
297,2014-07-25,987.07
298,2014-07-26,986.64
299,2014-07-27,986.19
300,2014-07-28,985.76
301,2014-07-29,985.32
302,2014-07-30,984.86
303,2014-07-31,984.39
304,2014-08-01,983.89
305,2014-08-02,983.41
306,2014-08-03,982.93
307,2014-08-04,982.44
308,2014-08-05,981.97
309,2014-08-06,981.47
310,2014-08-07,980.97
311,2014-08-08,980.45
312,2014-08-09,979.97
313,2014-08-10,979.46
314,2014-08-11,979.01
315,2014-08-12,978.51
316,2014-08-13,977.99
317,2014-08-14,977.47
318,2014-08-15,976.95
319,2014-08-16,976.45
320,2014-08-17,975.95
321,2014-08-18,975.45
322,2014-08-19,974.94
323,2014-08-20,974.44
324,2014-08-21,973.92
325,2014-08-22,973.39
326,2014-08-23,972.85
327,2014-08-24,972.31
328,2014-08-25,971.79
329,2014-08-26,971.24
330,2014-08-27,970.68
331,2014-08-28,969.97
332,2014-08-29,969.4
333,2014-08-30,968.89
334,2014-08-31,968.36
335,2014-09-01,967.63
336,2014-09-02,966.87
337,2014-09-03,965.81
338,2014-09-04,964.98
339,2014-09-05,963.97
340,2014-09-06,962.98
341,2014-09-07,962.07
342,2014-09-08,961.21
343,2014-09-09,960.11
344,2014-09-10,958.98
345,2014-09-11,958.06
346,2014-09-12,957.1
347,2014-09-13,956.09
348,2014-09-14,955.11
349,2014-09-15,954.1
350,2014-09-16,953.08
351,2014-09-17,952.09
352,2014-09-18,951.08
353,2014-09-19,950.12
354,2014-09-20,949.14
355,2014-09-21,948.1
356,2014-09-22,947.1
357,2014-09-23,946.02
358,2014-09-24,945.13
359,2014-09-25,944.13
360,2014-09-26,943.13
361,2014-09-27,942.07
362,2014-09-28,941.01
363,2014-09-29,939.93
364,2014-09-30,938.96
365,2014-10-01,938.99
366,2014-10-02,939.0
367,2014-10-03,939.01
368,2014-10-04,939.03
369,2014-10-05,939.03
370,2014-10-06,939.04
371,2014-10-07,939.04
372,2014-10-08,939.04
373,2014-10-09,938.49
374,2014-10-10,937.37
375,2014-10-11,936.33
376,2014-10-12,935.25
377,2014-10-13,934.14
378,2014-10-14,933.19
379,2014-10-15,932.28
380,2014-10-16,931.56
381,2014-10-17,930.89
382,2014-10-18,930.15
383,2014-10-19,929.4
384,2014-10-20,928.69
385,2014-10-21,928.25
386,2014-10-22,928.21
387,2014-10-23,929.57
388,2014-10-24,929.74
389,2014-10-25,929.57
390,2014-10-26,930.59
391,2014-10-27,930.97
392,2014-10-28,930.51
393,2014-10-29,927.98
394,2014-10-30,925.2
395,2014-10-31,923.78
396,2014-11-01,921.45
397,2014-11-02,920.34
398,2014-11-03,920.53
399,2014-11-04,921.88
400,2014-11-05,922.9
401,2014-11-06,923.17
402,2014-11-07,922.42
403,2014-11-08,921.38
404,2014-11-09,920.17
405,2014-11-10,918.87
406,2014-11-11,917.45
407,2014-11-12,915.81
408,2014-11-13,915.52
409,2014-11-14,918.78
410,2014-11-15,919.45
411,2014-11-16,919.36
412,2014-11-17,918.7
413,2014-11-18,917.76
414,2014-11-19,916.75
415,2014-11-20,915.84
416,2014-11-21,915.75
417,2014-11-22,920.69
418,2014-11-23,922.52
419,2014-11-24,923.98
420,2014-11-25,924.09
421,2014-11-26,923.94
422,2014-11-27,923.43
423,2014-11-28,927.15
424,2014-11-29,931.96
425,2014-11-30,932.89
426,2014-12-01,932.58
427,2014-12-02,932.32
428,2014-12-03,931.36
429,2014-12-04,930.8
430,2014-12-05,930.61
431,2014-12-06,930.41
432,2014-12-07,929.62
433,2014-12-08,928.43
434,2014-12-09,927.04
435,2014-12-10,925.73
436,2014-12-11,924.72
437,2014-12-12,923.96
438,2014-12-13,923.25
439,2014-12-14,922.44
