,datetime,FERN_RIDGE_LAKE_NEAR_ELMIRA__OR.
243,2014-04-01,372.26
244,2014-04-02,372.22
245,2014-04-03,372.2
246,2014-04-04,372.22
247,2014-04-05,372.27
248,2014-04-06,372.35
249,2014-04-07,372.46
250,2014-04-08,372.55
251,2014-04-09,372.64
252,2014-04-10,372.72
253,2014-04-11,372.78
254,2014-04-12,372.85
255,2014-04-13,372.91
256,2014-04-14,372.96
257,2014-04-15,373.0
258,2014-04-16,373.05
259,2014-04-17,373.13
260,2014-04-18,373.19
261,2014-04-19,373.23
262,2014-04-20,373.28
263,2014-04-21,373.32
264,2014-04-22,373.37
265,2014-04-23,373.47
266,2014-04-24,373.61
267,2014-04-25,373.67
268,2014-04-26,373.64
269,2014-04-27,373.61
270,2014-04-28,373.62
271,2014-04-29,373.62
272,2014-04-30,373.63
273,2014-05-01,373.64
274,2014-05-02,373.66
275,2014-05-03,373.68
276,2014-05-04,373.65
277,2014-05-05,373.6
278,2014-05-06,373.56
279,2014-05-07,373.55
280,2014-05-08,373.58
281,2014-05-09,373.62
282,2014-05-10,373.68
283,2014-05-11,373.7
284,2014-05-12,373.71
285,2014-05-13,373.71
286,2014-05-14,373.7
287,2014-05-15,373.68
288,2014-05-16,373.67
289,2014-05-17,373.69
290,2014-05-18,373.71
291,2014-05-19,373.71
292,2014-05-20,373.71
293,2014-05-21,373.72
294,2014-05-22,373.72
295,2014-05-23,373.72
296,2014-05-24,373.73
297,2014-05-25,373.72
298,2014-05-26,373.71
299,2014-05-27,373.71
300,2014-05-28,373.7
301,2014-05-29,373.69
302,2014-05-30,373.69
303,2014-05-31,373.69
304,2014-06-01,373.69
305,2014-06-02,373.7
306,2014-06-03,373.69
307,2014-06-04,373.68
308,2014-06-05,373.67
309,2014-06-06,373.66
310,2014-06-07,373.65
311,2014-06-08,373.64
312,2014-06-09,373.63
313,2014-06-10,373.62
314,2014-06-11,373.62
315,2014-06-12,373.6
316,2014-06-13,373.59
317,2014-06-14,373.58
318,2014-06-15,373.58
319,2014-06-16,373.58
320,2014-06-17,373.58
321,2014-06-18,373.57
322,2014-06-19,373.56
323,2014-06-20,373.55
324,2014-06-21,373.54
325,2014-06-22,373.52
326,2014-06-23,373.5
327,2014-06-24,373.49
328,2014-06-25,373.55
329,2014-06-26,373.55
330,2014-06-27,373.58
331,2014-06-28,373.58
332,2014-06-29,373.56
333,2014-06-30,373.56
334,2014-07-01,373.55
335,2014-07-02,373.53
336,2014-07-03,373.51
337,2014-07-04,373.49
338,2014-07-05,373.47
339,2014-07-06,373.45
340,2014-07-07,373.43
341,2014-07-08,373.41
342,2014-07-09,373.39
343,2014-07-10,373.37
344,2014-07-11,373.36
345,2014-07-12,373.33
346,2014-07-13,373.3
347,2014-07-14,373.28
348,2014-07-15,373.27
349,2014-07-16,373.24
350,2014-07-17,373.2
351,2014-07-18,373.18
352,2014-07-19,373.15
353,2014-07-20,373.14
354,2014-07-21,373.12
355,2014-07-22,373.1
356,2014-07-23,373.09
357,2014-07-24,373.07
358,2014-07-25,373.05
359,2014-07-26,373.03
360,2014-07-27,373.02
361,2014-07-28,373.0
362,2014-07-29,372.98
363,2014-07-30,372.95
364,2014-07-31,372.93
365,2014-08-01,372.91
366,2014-08-02,372.87
367,2014-08-03,372.86
368,2014-08-04,372.83
369,2014-08-05,372.8
370,2014-08-06,372.77
371,2014-08-07,372.74
372,2014-08-08,372.71
373,2014-08-09,372.68
374,2014-08-10,372.66
375,2014-08-11,372.63
376,2014-08-12,372.59
377,2014-08-13,372.57
378,2014-08-14,372.55
379,2014-08-15,372.53
380,2014-08-16,372.5
381,2014-08-17,372.48
382,2014-08-18,372.46
383,2014-08-19,372.42
384,2014-08-20,372.39
385,2014-08-21,372.37
386,2014-08-22,372.34
387,2014-08-23,372.31
388,2014-08-24,372.28
389,2014-08-25,372.25
390,2014-08-26,372.22
391,2014-08-27,372.19
392,2014-08-28,372.17
393,2014-08-29,372.14
394,2014-08-30,372.11
395,2014-08-31,372.09
396,2014-09-01,372.06
397,2014-09-02,372.03
398,2014-09-03,372.0
399,2014-09-04,371.94
400,2014-09-05,371.93
401,2014-09-06,371.91
402,2014-09-07,371.88
403,2014-09-08,371.85
404,2014-09-09,371.82
405,2014-09-10,371.78
406,2014-09-11,371.75
407,2014-09-12,371.72
408,2014-09-13,371.7
409,2014-09-14,371.67
410,2014-09-15,371.66
411,2014-09-16,371.63
412,2014-09-17,371.6
413,2014-09-18,371.58
414,2014-09-19,371.56
415,2014-09-20,371.55
416,2014-09-21,371.51
417,2014-09-22,371.5
418,2014-09-23,371.5
419,2014-09-24,371.56
420,2014-09-25,371.55
