,datetime,FERN_RIDGE_LAKE_NEAR_ELMIRA__OR.
1060,2016-06-26,373.07
1061,2016-06-27,373.05
1062,2016-06-28,373.02
1063,2016-06-29,373.0
1064,2016-06-30,372.97
1065,2016-07-01,372.94
1066,2016-07-02,372.92
1067,2016-07-03,372.89
1068,2016-07-04,372.85
1069,2016-07-05,372.82
1070,2016-07-06,372.81
1071,2016-07-07,372.8
1072,2016-07-08,372.78
1073,2016-07-09,372.77
1074,2016-07-10,372.76
1075,2016-07-11,372.75
1076,2016-07-12,372.73
1077,2016-07-13,372.71
1078,2016-07-14,372.69
1079,2016-07-15,372.67
1080,2016-07-16,372.65
1081,2016-07-17,372.64
1082,2016-07-18,372.61
1083,2016-07-19,372.59
1084,2016-07-20,372.57
1085,2016-07-21,372.55
1086,2016-07-22,372.52
1087,2016-07-23,372.49
1088,2016-07-24,372.47
1089,2016-07-25,372.44
1090,2016-07-26,372.41
1091,2016-07-27,372.39
1092,2016-07-28,372.36
1093,2016-07-29,372.33
1094,2016-07-30,372.3
1095,2016-07-31,372.26
1096,2016-08-01,372.23
1097,2016-08-02,372.19
1098,2016-08-03,372.16
1099,2016-08-04,372.13
1100,2016-08-05,372.1
1101,2016-08-06,372.07
1102,2016-08-07,372.04
1103,2016-08-08,372.01
1104,2016-08-09,371.97
1105,2016-08-10,371.96
1106,2016-08-11,371.93
1107,2016-08-12,371.91
1108,2016-08-13,371.89
1109,2016-08-14,371.85
1110,2016-08-15,371.82
1111,2016-08-16,371.78
1112,2016-08-17,371.75
1113,2016-08-18,371.72
1114,2016-08-19,371.69
1115,2016-08-20,371.66
1116,2016-08-21,371.61
1117,2016-08-22,371.56
1118,2016-08-23,371.53
1119,2016-08-24,371.46
1120,2016-08-25,371.43
1121,2016-08-26,371.42
1122,2016-08-27,371.36
1123,2016-08-28,371.34
1124,2016-08-29,371.29
1125,2016-08-30,371.26
1126,2016-08-31,371.22
1127,2016-09-01,371.19
1128,2016-09-02,371.16
1129,2016-09-03,371.14
1130,2016-09-04,371.11
1131,2016-09-05,371.08
1132,2016-09-06,371.07
1133,2016-09-07,371.04
1134,2016-09-08,371.0
1135,2016-09-09,370.98
1136,2016-09-10,370.95
1137,2016-09-11,370.92
1138,2016-09-12,370.88
1139,2016-09-13,370.86
1140,2016-09-14,370.82
1141,2016-09-15,370.79
1142,2016-09-16,370.77
1143,2016-09-17,370.74
1144,2016-09-18,370.72
1145,2016-09-19,370.7
1146,2016-09-20,370.68
1147,2016-09-21,370.66
1148,2016-09-22,370.64
1149,2016-09-23,370.62
1150,2016-09-24,370.6
1151,2016-09-25,370.58
1152,2016-09-26,370.56
1153,2016-09-27,370.54
1154,2016-09-28,370.52
1155,2016-09-29,370.49
1156,2016-09-30,370.48
1157,2016-10-01,370.44
1158,2016-10-02,370.45
1159,2016-10-03,370.38
1160,2016-10-04,370.19
1161,2016-10-05,369.98
1162,2016-10-06,369.76
1163,2016-10-07,369.52
1164,2016-10-08,369.29
1165,2016-10-09,369.03
1166,2016-10-10,368.78
1167,2016-10-11,368.52
1168,2016-10-12,368.26
1169,2016-10-13,368.18
1170,2016-10-14,368.01
1171,2016-10-15,367.92
1172,2016-10-16,367.93
1173,2016-10-17,367.87
1174,2016-10-18,367.84
1175,2016-10-19,367.65
1176,2016-10-20,367.38
1177,2016-10-21,367.06
1178,2016-10-22,366.69
1179,2016-10-23,366.31
1180,2016-10-24,365.89
1181,2016-10-25,365.44
1182,2016-10-26,365.2
1183,2016-10-27,365.09
1184,2016-10-28,364.86
1185,2016-10-29,364.37
1186,2016-10-30,363.84
1187,2016-10-31,363.37
1188,2016-11-01,362.89
1189,2016-11-02,362.27
1190,2016-11-03,361.58
1191,2016-11-04,361.02
1192,2016-11-05,360.58
1193,2016-11-06,360.18
1194,2016-11-07,359.73
1195,2016-11-08,359.2
1196,2016-11-09,358.62
1197,2016-11-10,357.99
1198,2016-11-11,357.31
1199,2016-11-12,356.56
1200,2016-11-13,355.75
1201,2016-11-14,354.97
1202,2016-11-15,354.6
1203,2016-11-16,354.63
1204,2016-11-17,354.26
1205,2016-11-18,353.61
1206,2016-11-19,353.38
1207,2016-11-20,353.37
1208,2016-11-21,353.55
1209,2016-11-22,353.41
1210,2016-11-23,353.32
1211,2016-11-24,353.19
1212,2016-11-25,354.35
1213,2016-11-26,354.7
1214,2016-11-27,354.2
1215,2016-11-28,353.4
1216,2016-11-29,353.1
1217,2016-11-30,353.02
1218,2016-12-01,353.01
1219,2016-12-02,353.1
1220,2016-12-03,353.19
1221,2016-12-04,353.57
1222,2016-12-05,354.25
1223,2016-12-06,354.69
1224,2016-12-07,354.39
1225,2016-12-08,354.19
1226,2016-12-09,354.2
1227,2016-12-10,354.43
1228,2016-12-11,355.29
1229,2016-12-12,356.05
1230,2016-12-13,356.25
1231,2016-12-14,356.54
1232,2016-12-15,357.0
1233,2016-12-16,356.75
1234,2016-12-17,355.95
1235,2016-12-18,354.67
1236,2016-12-19,353.41
1237,2016-12-20,353.56
1238,2016-12-21,354.16
1239,2016-12-22,354.23
1240,2016-12-23,354.03
1241,2016-12-24,353.95
1242,2016-12-25,353.85
1243,2016-12-26,353.8
1244,2016-12-27,353.92
1245,2016-12-28,354.08
1246,2016-12-29,354.03
1247,2016-12-30,353.9
1248,2016-12-31,353.7
1249,2017-01-01,353.7
1250,2017-01-02,353.79
1251,2017-01-03,353.6
1252,2017-01-04,353.34
1253,2017-01-05,353.18
1254,2017-01-06,353.1
1255,2017-01-07,353.09
1256,2017-01-08,353.44
1257,2017-01-09,354.78
1258,2017-01-10,355.92
1259,2017-01-11,357.34
1260,2017-01-12,357.79
1261,2017-01-13,357.22
1262,2017-01-14,355.95
1263,2017-01-15,354.09
1264,2017-01-16,353.05
1265,2017-01-17,353.08
1266,2017-01-18,354.58
1267,2017-01-19,356.12
1268,2017-01-20,357.14
1269,2017-01-21,357.77
1270,2017-01-22,358.44
1271,2017-01-23,358.87
1272,2017-01-24,359.03
1273,2017-01-25,359.03
1274,2017-01-26,358.9
1275,2017-01-27,358.7
1276,2017-01-28,358.45
1277,2017-01-29,358.14
1278,2017-01-30,357.78
1279,2017-01-31,357.45
1280,2017-02-01,357.15
1281,2017-02-02,356.91
1282,2017-02-03,357.18
1283,2017-02-04,357.74
1284,2017-02-05,359.48
1285,2017-02-06,361.44
1286,2017-02-07,362.74
1287,2017-02-08,363.45
1288,2017-02-09,364.43
1289,2017-02-10,365.41
1290,2017-02-11,365.71
1291,2017-02-12,365.55
1292,2017-02-13,365.16
1293,2017-02-14,364.64
1294,2017-02-15,364.2
1295,2017-02-16,364.69
1296,2017-02-17,365.13
1297,2017-02-18,365.23
1298,2017-02-19,365.06
1299,2017-02-20,364.92
1300,2017-02-21,365.3
1301,2017-02-22,365.7
1302,2017-02-23,365.79
1303,2017-02-24,365.62
1304,2017-02-25,365.28
1305,2017-02-26,364.94
1306,2017-02-27,364.89
1307,2017-02-28,365.23
1308,2017-03-01,365.52
1309,2017-03-02,365.76
1310,2017-03-03,365.99
1311,2017-03-04,366.26
1312,2017-03-05,366.6
1313,2017-03-06,366.75
1314,2017-03-07,366.74
1315,2017-03-08,366.98
1316,2017-03-09,367.55
1317,2017-03-10,368.02
1318,2017-03-11,368.25
1319,2017-03-12,368.29
1320,2017-03-13,368.19
1321,2017-03-14,368.18
1322,2017-03-15,368.44
1323,2017-03-16,368.71
1324,2017-03-17,368.96
1325,2017-03-18,369.25
1326,2017-03-19,369.51
1327,2017-03-20,369.74
1328,2017-03-21,369.98
1329,2017-03-22,370.17
1330,2017-03-23,370.33
1331,2017-03-24,370.75
1332,2017-03-25,371.09
1333,2017-03-26,371.4
1334,2017-03-27,371.61
1335,2017-03-28,371.64
1336,2017-03-29,371.66
1337,2017-03-30,371.73
1338,2017-03-31,371.83
1339,2017-04-01,371.95
1340,2017-04-02,372.03
1341,2017-04-03,372.13
1342,2017-04-04,372.23
1343,2017-04-05,372.34
1344,2017-04-06,372.44
1345,2017-04-07,372.67
1346,2017-04-08,372.82
1347,2017-04-09,372.88
1348,2017-04-10,372.89
1349,2017-04-11,372.93
1350,2017-04-12,372.98
1351,2017-04-13,373.02
1352,2017-04-14,373.1
1353,2017-04-15,373.16
1354,2017-04-16,373.24
1355,2017-04-17,373.35
1356,2017-04-18,373.41
1357,2017-04-19,373.4
1358,2017-04-20,373.4
1359,2017-04-21,373.36
1360,2017-04-22,373.33
1361,2017-04-23,373.36
1362,2017-04-24,373.39
1363,2017-04-25,373.4
1364,2017-04-26,373.47
1365,2017-04-27,373.46
1366,2017-04-28,373.44
1367,2017-04-29,373.45
1368,2017-04-30,373.44
1369,2017-05-01,373.48
1370,2017-05-02,373.48
1371,2017-05-03,373.46
1372,2017-05-04,373.44
1373,2017-05-05,373.44
1374,2017-05-06,373.47
1375,2017-05-07,373.48
1376,2017-05-08,373.48
1377,2017-05-09,373.49
1378,2017-05-10,373.48
1379,2017-05-11,373.5
1380,2017-05-12,373.48
1381,2017-05-13,373.47
1382,2017-05-14,373.44
1383,2017-05-15,373.42
1384,2017-05-16,373.44
1385,2017-05-17,373.45
1386,2017-05-18,373.46
1387,2017-05-19,373.46
1388,2017-05-20,373.45
1389,2017-05-21,373.44
1390,2017-05-22,373.45
1391,2017-05-23,373.43
1392,2017-05-24,373.41
1393,2017-05-25,373.41
1394,2017-05-26,373.41
1395,2017-05-27,373.41
1396,2017-05-28,373.4
1397,2017-05-29,373.39
1398,2017-05-30,373.4
1399,2017-05-31,373.4
1400,2017-06-01,373.39
1401,2017-06-02,373.4
1402,2017-06-03,373.39
1403,2017-06-04,373.39
1404,2017-06-05,373.4
1405,2017-06-06,373.39
1406,2017-06-07,373.4
1407,2017-06-08,373.45
1408,2017-06-09,373.48
1409,2017-06-10,373.54
1410,2017-06-11,373.53
1411,2017-06-12,373.52
1412,2017-06-13,373.5
1413,2017-06-14,373.5
1414,2017-06-15,373.5
1415,2017-06-16,373.49
1416,2017-06-17,373.49
1417,2017-06-18,373.48
1418,2017-06-19,373.47
1419,2017-06-20,373.45
1420,2017-06-21,373.4
1421,2017-06-22,373.4
1422,2017-06-23,373.4
1423,2017-06-24,373.38
1424,2017-06-25,373.37
1425,2017-06-26,373.34
1426,2017-06-27,373.33
1427,2017-06-28,373.31
1428,2017-06-29,373.3
1429,2017-06-30,373.29
1430,2017-07-01,373.28
1431,2017-07-02,373.26
1432,2017-07-03,373.24
1433,2017-07-04,373.23
1434,2017-07-05,373.22
1435,2017-07-06,373.22
1436,2017-07-07,373.19
1437,2017-07-08,373.17
1438,2017-07-09,373.15
1439,2017-07-10,373.13
1440,2017-07-11,373.11
1441,2017-07-12,373.09
1442,2017-07-13,373.06
1443,2017-07-14,373.05
1444,2017-07-15,373.02
1445,2017-07-16,372.99
1446,2017-07-17,372.96
1447,2017-07-18,372.95
1448,2017-07-19,372.92
1449,2017-07-20,372.9
1450,2017-07-21,372.87
1451,2017-07-22,372.85
1452,2017-07-23,372.82
1453,2017-07-24,372.79
1454,2017-07-25,372.76
1455,2017-07-26,372.74
1456,2017-07-27,372.7
1457,2017-07-28,372.68
1458,2017-07-29,372.65
1459,2017-07-30,372.6
1460,2017-07-31,372.57
1461,2017-08-01,372.55
1462,2017-08-02,372.52
1463,2017-08-03,372.5
1464,2017-08-04,372.46
1465,2017-08-05,372.42
1466,2017-08-06,372.4
1467,2017-08-07,372.37
1468,2017-08-08,372.36
1469,2017-08-09,372.32
1470,2017-08-10,372.28
1471,2017-08-11,372.23
1472,2017-08-12,372.2
1473,2017-08-13,372.17
1474,2017-08-14,372.15
1475,2017-08-15,372.1
1476,2017-08-16,372.07
1477,2017-08-17,372.04
1478,2017-08-18,372.0
1479,2017-08-19,371.96
1480,2017-08-20,371.92
1481,2017-08-21,371.91
1482,2017-08-22,371.87
1483,2017-08-23,371.84
1484,2017-08-24,371.81
1485,2017-08-25,371.78
1486,2017-08-26,371.75
1487,2017-08-27,371.73
1488,2017-08-28,371.71
1489,2017-08-29,371.68
1490,2017-08-30,371.64
1491,2017-08-31,371.61
1492,2017-09-01,371.58
1493,2017-09-02,371.56
1494,2017-09-03,371.54
1495,2017-09-04,371.52
1496,2017-09-05,371.49
1497,2017-09-06,371.47
1498,2017-09-07,371.43
1499,2017-09-08,371.41
1500,2017-09-09,371.38
1501,2017-09-10,371.34
1502,2017-09-11,371.33
1503,2017-09-12,371.3
1504,2017-09-13,371.27
1505,2017-09-14,371.25
1506,2017-09-15,371.22
1507,2017-09-16,371.2
1508,2017-09-17,371.16
1509,2017-09-18,371.16
1510,2017-09-19,371.17
1511,2017-09-20,371.16
1512,2017-09-21,371.15
1513,2017-09-22,371.13
1514,2017-09-23,371.11
1515,2017-09-24,371.09
1516,2017-09-25,371.08
1517,2017-09-26,371.06
1518,2017-09-27,371.04
1519,2017-09-28,371.02
1520,2017-09-29,371.0
1521,2017-09-30,370.94
1522,2017-10-01,370.82
1523,2017-10-02,370.6
1524,2017-10-03,370.38
1525,2017-10-04,370.15
1526,2017-10-05,369.92
1527,2017-10-06,369.7
1528,2017-10-07,369.45
1529,2017-10-08,369.19
1530,2017-10-09,368.94
1531,2017-10-10,368.64
1532,2017-10-11,368.31
1533,2017-10-12,367.98
1534,2017-10-13,367.65
1535,2017-10-14,367.3
1536,2017-10-15,366.92
1537,2017-10-16,366.55
1538,2017-10-17,366.17
1539,2017-10-18,365.81
1540,2017-10-19,365.48
1541,2017-10-20,365.15
1542,2017-10-21,364.94
1543,2017-10-22,364.85
1544,2017-10-23,364.64
1545,2017-10-24,364.33
1546,2017-10-25,364.01
1547,2017-10-26,363.69
1548,2017-10-27,363.36
1549,2017-10-28,363.04
1550,2017-10-29,362.69
1551,2017-10-30,362.33
1552,2017-10-31,361.99
1553,2017-11-01,361.62
1554,2017-11-02,361.21
1555,2017-11-03,360.7
1556,2017-11-04,360.19
1557,2017-11-05,359.77
1558,2017-11-06,359.25
1559,2017-11-07,358.66
1560,2017-11-08,358.1
1561,2017-11-09,357.59
1562,2017-11-10,357.56
1563,2017-11-11,357.6
1564,2017-11-12,357.53
1565,2017-11-13,357.47
1566,2017-11-14,357.15
1567,2017-11-15,356.73
1568,2017-11-16,356.83
1569,2017-11-17,356.87
1570,2017-11-18,356.39
1571,2017-11-19,355.53
1572,2017-11-20,354.46
1573,2017-11-21,353.57
1574,2017-11-22,353.42
1575,2017-11-23,354.16
1576,2017-11-24,354.68
1577,2017-11-25,354.65
1578,2017-11-26,354.46
1579,2017-11-27,354.26
1580,2017-11-28,354.02
1581,2017-11-29,353.91
1582,2017-11-30,353.86
1583,2017-12-01,353.78
1584,2017-12-02,353.82
1585,2017-12-03,354.19
1586,2017-12-04,354.44
1587,2017-12-05,354.45
1588,2017-12-06,354.25
1589,2017-12-07,353.95
1590,2017-12-08,353.59
1591,2017-12-09,353.6
1592,2017-12-10,353.6
1593,2017-12-11,353.56
1594,2017-12-12,353.47
1595,2017-12-13,353.41
1596,2017-12-14,353.4
1597,2017-12-15,353.37
1598,2017-12-16,353.32
1599,2017-12-17,353.25
1600,2017-12-18,353.21
1601,2017-12-19,353.69
1602,2017-12-20,354.56
1603,2017-12-21,354.85
1604,2017-12-22,354.72
1605,2017-12-23,354.35
1606,2017-12-24,354.03
1607,2017-12-25,353.75
1608,2017-12-26,353.56
1609,2017-12-27,353.46
1610,2017-12-28,353.35
1611,2017-12-29,353.51
1612,2017-12-30,354.1
1613,2017-12-31,354.53
1614,2018-01-01,354.54
