,datetime,SULLIVAN_LAKE_NEAR_METALINE_FALLS__WA.
0,2011-01-11,2565.4
1,2011-01-12,2565.40375
2,2011-01-13,2565.4075000000003
3,2011-01-14,2565.41125
4,2011-01-15,2565.415
5,2011-01-16,2565.41875
6,2011-01-17,2565.4224999999997
7,2011-01-18,2565.42625
8,2011-01-19,2565.43
9,2011-01-20,2565.43
10,2011-01-21,2565.43
11,2011-01-22,2565.43
12,2011-01-23,2565.43
13,2011-01-24,2565.43
14,2011-01-25,2565.43
15,2011-01-26,2565.425714285714
16,2011-01-27,2565.4214285714284
17,2011-01-28,2565.4171428571426
18,2011-01-29,2565.4128571428573
19,2011-01-30,2565.4085714285716
20,2011-01-31,2565.404285714286
21,2011-02-01,2565.4
22,2011-02-02,2565.4357142857143
23,2011-02-03,2565.4714285714285
24,2011-02-04,2565.5071428571428
25,2011-02-05,2565.5428571428574
26,2011-02-06,2565.5785714285716
27,2011-02-07,2565.614285714286
28,2011-02-08,2565.65
29,2011-02-09,2565.621111111111
30,2011-02-10,2565.592222222222
31,2011-02-11,2565.5633333333335
32,2011-02-12,2565.5344444444445
33,2011-02-13,2565.5055555555555
34,2011-02-14,2565.4766666666665
35,2011-02-15,2565.447777777778
36,2011-02-16,2565.418888888889
37,2011-02-17,2565.39
38,2011-02-18,2565.3883333333333
39,2011-02-19,2565.3866666666663
40,2011-02-20,2565.3849999999998
41,2011-02-21,2565.383333333333
42,2011-02-22,2565.3816666666667
43,2011-02-23,2565.38
44,2011-02-24,2565.378333333333
45,2011-02-25,2565.3766666666666
46,2011-02-26,2565.375
47,2011-02-27,2565.373333333333
48,2011-02-28,2565.3716666666664
49,2011-03-01,2565.37
50,2011-03-02,2565.3717647058825
51,2011-03-03,2565.3735294117646
52,2011-03-04,2565.375294117647
53,2011-03-05,2565.3770588235293
54,2011-03-06,2565.378823529412
55,2011-03-07,2565.380588235294
56,2011-03-08,2565.3823529411766
57,2011-03-09,2565.3841176470587
58,2011-03-10,2565.3858823529413
59,2011-03-11,2565.3876470588234
60,2011-03-12,2565.389411764706
61,2011-03-13,2565.391176470588
62,2011-03-14,2565.3929411764707
63,2011-03-15,2565.394705882353
64,2011-03-16,2565.3964705882354
65,2011-03-17,2565.3982352941175
66,2011-03-18,2565.4
67,2011-03-19,2565.4075000000003
68,2011-03-20,2565.415
69,2011-03-21,2565.4224999999997
70,2011-03-22,2565.43
71,2011-03-23,2565.423333333333
72,2011-03-24,2565.4166666666665
73,2011-03-25,2565.41
74,2011-03-26,2565.519
75,2011-03-27,2565.6279999999997
76,2011-03-28,2565.737
77,2011-03-29,2565.846
78,2011-03-30,2565.955
79,2011-03-31,2566.064
80,2011-04-01,2566.173
81,2011-04-02,2566.282
82,2011-04-03,2566.391
83,2011-04-04,2566.5
84,2011-04-05,2566.67
85,2011-04-06,2566.75
86,2011-04-07,2566.83
87,2011-04-08,2566.8475
88,2011-04-09,2566.865
89,2011-04-10,2566.8825
90,2011-04-11,2566.9
91,2011-04-12,2566.9833333333336
92,2011-04-13,2567.0666666666666
93,2011-04-14,2567.15
94,2011-04-15,2567.207142857143
95,2011-04-16,2567.264285714286
96,2011-04-17,2567.321428571429
97,2011-04-18,2567.3785714285714
98,2011-04-19,2567.4357142857143
99,2011-04-20,2567.4928571428572
100,2011-04-21,2567.55
101,2011-04-22,2567.605
102,2011-04-23,2567.66
103,2011-04-24,2567.715
104,2011-04-25,2567.77
105,2011-04-26,2567.855
106,2011-04-27,2567.94
107,2011-04-28,2568.025
108,2011-04-29,2568.1099999999997
109,2011-04-30,2568.1949999999997
110,2011-05-01,2568.2799999999997
111,2011-05-02,2568.365
112,2011-05-03,2568.45
113,2011-05-04,2568.5533333333333
114,2011-05-05,2568.6566666666668
115,2011-05-06,2568.76
116,2011-05-07,2568.9633333333336
117,2011-05-08,2569.1666666666665
118,2011-05-09,2569.37
119,2011-05-10,2569.625
120,2011-05-11,2569.88
121,2011-05-12,2570.315
122,2011-05-13,2570.75
123,2011-05-14,2571.4475
124,2011-05-15,2572.145
125,2011-05-16,2572.8424999999997
126,2011-05-17,2573.54
127,2011-05-18,2573.995
128,2011-05-19,2574.45
129,2011-05-20,2575.0266666666666
130,2011-05-21,2575.603333333333
131,2011-05-22,2576.18
132,2011-05-23,2577.09
133,2011-05-24,2578.0
134,2011-05-25,2578.74
135,2011-05-26,2579.48
136,2011-05-27,2580.22
