,datetime,N_BATTLE_C_RES_NR_MANZANITA_LAKE_CA.
235,2011-08-24,992.0
236,2011-08-25,989.0
237,2011-08-26,985.0
238,2011-08-27,981.0
239,2011-08-28,977.0
240,2011-08-29,973.0
241,2011-08-30,969.0
242,2011-08-31,965.0
243,2011-09-01,961.0
244,2011-09-02,957.0
245,2011-09-03,954.0
246,2011-09-04,950.0
247,2011-09-05,946.0
248,2011-09-06,941.0
249,2011-09-07,937.0
250,2011-09-08,934.0
251,2011-09-09,929.0
252,2011-09-10,925.0
253,2011-09-11,922.0
254,2011-09-12,919.0
255,2011-09-13,914.0
256,2011-09-14,910.0
257,2011-09-15,906.0
258,2011-09-16,901.0
259,2011-09-17,896.0
260,2011-09-18,891.0
261,2011-09-19,886.0
262,2011-09-20,881.0
263,2011-09-21,877.0
264,2011-09-22,872.0
265,2011-09-23,867.0
266,2011-09-24,862.0
267,2011-09-25,859.0
268,2011-09-26,854.0
269,2011-09-27,850.0
270,2011-09-28,847.0
271,2011-09-29,842.0
272,2011-09-30,839.0
273,2011-10-01,827.0
274,2011-10-02,804.0
275,2011-10-03,772.4
276,2011-10-04,750.4
277,2011-10-05,728.2
278,2011-10-06,692.3
279,2011-10-07,648.1
280,2011-10-08,606.6
281,2011-10-09,565.2
282,2011-10-10,538.9
283,2011-10-11,501.9
284,2011-10-12,463.3
285,2011-10-13,424.6
286,2011-10-14,387.6
287,2011-10-15,351.3
288,2011-10-16,316.3
289,2011-10-17,280.5
290,2011-10-18,244.3
291,2011-10-19,210.6
292,2011-10-20,189.9
293,2011-10-21,177.2
294,2011-10-22,164.6
295,2011-10-23,151.7
296,2011-10-24,139.2
297,2011-10-25,127.3
298,2011-10-26,113.9
299,2011-10-27,107.2
300,2011-10-28,109.1
301,2011-10-29,110.8
302,2011-10-30,112.5
303,2011-10-31,113.9
304,2011-11-01,115.4
305,2011-11-02,116.5
306,2011-11-03,119.8
307,2011-11-04,121.5
308,2011-11-05,124.6
309,2011-11-06,127.3
310,2011-11-07,129.4
311,2011-11-08,131.3
312,2011-11-09,132.8
313,2011-11-10,134.3
314,2011-11-11,136.2
315,2011-11-12,139.9
316,2011-11-13,142.0
317,2011-11-14,144.3
318,2011-11-15,145.8
319,2011-11-16,147.4
320,2011-11-17,151.0
321,2011-11-18,155.3
322,2011-11-19,157.6
323,2011-11-20,159.3
324,2011-11-21,161.3
325,2011-11-22,165.9
326,2011-11-23,168.2
327,2011-11-24,176.2
328,2011-11-25,180.6
329,2011-11-26,183.0
330,2011-11-27,185.0
331,2011-11-28,187.1
332,2011-11-29,188.9
333,2011-11-30,191.7
334,2011-12-01,191.7
335,2011-12-02,193.4
336,2011-12-03,193.1
337,2011-12-04,195.2
338,2011-12-05,194.9
339,2011-12-06,195.9
340,2011-12-07,197.0
341,2011-12-08,198.1
342,2011-12-09,199.1
343,2011-12-10,199.8
344,2011-12-11,200.5
345,2011-12-12,201.3
346,2011-12-13,202.0
347,2011-12-14,202.0
348,2011-12-15,203.4
349,2011-12-16,204.5
350,2011-12-17,204.8
351,2011-12-18,205.6
352,2011-12-19,206.4
353,2011-12-20,206.6
354,2011-12-21,207.0
355,2011-12-22,206.9
356,2011-12-23,207.2
357,2011-12-24,207.7
358,2011-12-25,208.1
359,2011-12-26,208.5
360,2011-12-27,208.9
361,2011-12-28,211.1
362,2011-12-29,217.0
363,2011-12-30,226.3
364,2011-12-31,228.9
365,2012-01-01,230.4
366,2012-01-02,231.3
367,2012-01-03,232.4
368,2012-01-04,233.2
369,2012-01-05,234.3
370,2012-01-06,235.2
371,2012-01-07,236.0
372,2012-01-08,236.0
373,2012-01-09,236.6
374,2012-01-10,237.2
375,2012-01-11,237.5
376,2012-01-12,237.9
377,2012-01-13,238.1
378,2012-01-14,238.6
379,2012-01-15,238.7
380,2012-01-16,238.3
381,2012-01-17,237.9
382,2012-01-18,238.6
383,2012-01-19,244.7
384,2012-01-20,255.7
385,2012-01-21,273.3
386,2012-01-22,282.4
387,2012-01-23,287.5
388,2012-01-24,290.3
389,2012-01-25,296.8
390,2012-01-26,317.0
391,2012-01-27,325.1
392,2012-01-28,329.7
393,2012-01-29,334.3
394,2012-01-30,337.5
395,2012-01-31,340.2
396,2012-02-01,344.2
397,2012-02-02,345.6
398,2012-02-03,347.6
399,2012-02-04,349.6
400,2012-02-05,351.6
401,2012-02-06,353.3
402,2012-02-07,355.9
403,2012-02-08,357.7
404,2012-02-09,359.6
405,2012-02-10,363.1
406,2012-02-11,366.1
407,2012-02-12,370.1
408,2012-02-13,374.4
409,2012-02-14,375.7
410,2012-02-15,377.4
411,2012-02-16,378.4
412,2012-02-17,379.8
413,2012-02-18,381.3
414,2012-02-19,382.1
415,2012-02-20,383.6
416,2012-02-21,384.8
417,2012-02-22,386.6
418,2012-02-23,388.0
419,2012-02-24,389.2
420,2012-02-25,391.0
421,2012-02-26,392.2
422,2012-02-27,393.0
423,2012-02-28,395.0
424,2012-02-29,400.9
425,2012-03-01,404.9
426,2012-03-02,406.4
427,2012-03-03,407.4
428,2012-03-04,409.5
429,2012-03-05,411.0
430,2012-03-06,413.5
431,2012-03-07,414.0
432,2012-03-08,414.5
433,2012-03-09,416.0
434,2012-03-10,417.5
435,2012-03-11,419.6
436,2012-03-12,420.7
437,2012-03-13,437.2
438,2012-03-14,462.3
439,2012-03-15,501.6
440,2012-03-16,560.6
441,2012-03-17,593.5
442,2012-03-18,613.4
443,2012-03-19,625.6
444,2012-03-20,638.6
445,2012-03-21,654.3
446,2012-03-22,678.5
447,2012-03-23,693.6
448,2012-03-24,704.4
449,2012-03-25,716.4
450,2012-03-26,726.3
451,2012-03-27,733.4
452,2012-03-28,732.8
453,2012-03-29,733.4
454,2012-03-30,735.4
455,2012-03-31,739.5
456,2012-04-01,734.7
457,2012-04-02,734.1
458,2012-04-03,736.5
459,2012-04-04,740.6
460,2012-04-05,748.5
461,2012-04-06,756.2
462,2012-04-07,761.7
463,2012-04-08,768.8
464,2012-04-09,775.6
465,2012-04-10,784.0
466,2012-04-11,796.8
467,2012-04-12,805.8
468,2012-04-13,815.1
469,2012-04-14,821.4
470,2012-04-15,827.7
471,2012-04-16,835.2
472,2012-04-17,843.5
473,2012-04-18,854.8
474,2012-04-19,878.2
475,2012-04-20,899.7
476,2012-04-21,926.9
477,2012-04-22,961.2
478,2012-04-23,1000.0
479,2012-04-24,1018.0
480,2012-04-25,1036.0
481,2012-04-26,1039.0
482,2012-04-27,1025.0
483,2012-04-28,1023.0
484,2012-04-29,1022.0
485,2012-04-30,1020.0
486,2012-05-01,1018.0
487,2012-05-02,1016.0
488,2012-05-03,1018.0
489,2012-05-04,1017.0
490,2012-05-05,1014.0
491,2012-05-06,1012.0
492,2012-05-07,1012.0
493,2012-05-08,1013.0
494,2012-05-09,1026.0
495,2012-05-10,1046.0
496,2012-05-11,1064.0
497,2012-05-12,1080.0
498,2012-05-13,1089.0
499,2012-05-14,1093.0
500,2012-05-15,1091.0
501,2012-05-16,1088.0
502,2012-05-17,1088.0
503,2012-05-18,1085.0
504,2012-05-19,1083.0
505,2012-05-20,1082.0
506,2012-05-21,1081.0
507,2012-05-22,1080.0
508,2012-05-23,1081.0
509,2012-05-24,1081.0
510,2012-05-25,1083.0
511,2012-05-26,1085.0
512,2012-05-27,1085.0
513,2012-05-28,1082.0
514,2012-05-29,1081.0
515,2012-05-30,1078.0
516,2012-05-31,1078.0
517,2012-06-01,1078.0
518,2012-06-02,1077.0
519,2012-06-03,1076.0
520,2012-06-04,1087.0
521,2012-06-05,1087.0
522,2012-06-06,1083.0
523,2012-06-07,1081.0
524,2012-06-08,1079.0
525,2012-06-09,1076.0
526,2012-06-10,1073.0
527,2012-06-11,1072.0
528,2012-06-12,1070.0
529,2012-06-13,1069.0
530,2012-06-14,1066.0
531,2012-06-15,1063.0
532,2012-06-16,1060.0
533,2012-06-17,1057.0
534,2012-06-18,1053.0
535,2012-06-19,1050.0
536,2012-06-20,1046.0
537,2012-06-21,1043.0
538,2012-06-22,1041.0
539,2012-06-23,1039.0
540,2012-06-24,1035.0
541,2012-06-25,1032.0
542,2012-06-26,1029.0
543,2012-06-27,1025.0
544,2012-06-28,1022.0
545,2012-06-29,1018.0
546,2012-06-30,1015.0
547,2012-07-01,1012.0
548,2012-07-02,1008.0
549,2012-07-03,1005.0
550,2012-07-04,1001.0
551,2012-07-05,997.0
552,2012-07-06,993.2
553,2012-07-07,988.6
554,2012-07-08,984.8
555,2012-07-09,981.0
556,2012-07-10,977.3
557,2012-07-11,972.8
558,2012-07-12,968.4
559,2012-07-13,964.6
560,2012-07-14,960.2
561,2012-07-15,955.8
562,2012-07-16,951.4
563,2012-07-17,947.7
564,2012-07-18,944.1
565,2012-07-19,940.4
566,2012-07-20,936.8
567,2012-07-21,933.1
568,2012-07-22,929.5
569,2012-07-23,925.9
570,2012-07-24,921.5
571,2012-07-25,915.0
572,2012-07-26,910.0
573,2012-07-27,905.0
574,2012-07-28,899.2
575,2012-07-29,894.2
576,2012-07-30,889.1
577,2012-07-31,884.1
578,2012-08-01,879.1
579,2012-08-02,874.8
580,2012-08-03,869.8
581,2012-08-04,865.6
582,2012-08-05,860.6
583,2012-08-06,855.7
584,2012-08-07,850.8
585,2012-08-08,846.6
586,2012-08-09,841.7
587,2012-08-10,837.5
588,2012-08-11,833.3
589,2012-08-12,828.4
590,2012-08-13,823.4
591,2012-08-14,820.0
592,2012-08-15,815.8
593,2012-08-16,813.0
594,2012-08-17,807.4
595,2012-08-18,802.6
596,2012-08-19,797.7
597,2012-08-20,792.9
598,2012-08-21,788.8
599,2012-08-22,784.7
600,2012-08-23,780.6
601,2012-08-24,775.8
602,2012-08-25,771.8
603,2012-08-26,767.7
604,2012-08-27,763.0
605,2012-08-28,758.6
606,2012-08-29,754.4
607,2012-08-30,750.4
608,2012-08-31,746.5
609,2012-09-01,742.6
610,2012-09-02,738.2
611,2012-09-03,734.3
612,2012-09-04,730.2
613,2012-09-05,725.6
614,2012-09-06,722.4
615,2012-09-07,718.1
616,2012-09-08,714.3
617,2012-09-09,710.4
618,2012-09-10,706.4
619,2012-09-11,702.8
620,2012-09-12,699.4
621,2012-09-13,694.8
622,2012-09-14,691.0
623,2012-09-15,687.4
624,2012-09-16,683.6
625,2012-09-17,675.9
626,2012-09-18,665.2
627,2012-09-19,654.6
628,2012-09-20,644.0
629,2012-09-21,634.0
630,2012-09-22,624.0
631,2012-09-23,615.0
632,2012-09-24,602.6
633,2012-09-25,586.9
634,2012-09-26,571.2
635,2012-09-27,556.2
636,2012-09-28,540.8
637,2012-09-29,526.2
638,2012-09-30,511.1
639,2012-10-01,501.0
640,2012-10-02,489.0
641,2012-10-03,472.0
642,2012-10-04,458.0
643,2012-10-05,444.0
644,2012-10-06,430.0
645,2012-10-07,418.0
646,2012-10-08,405.0
647,2012-10-09,396.0
648,2012-10-10,387.0
649,2012-10-11,378.0
650,2012-10-12,369.0
651,2012-10-13,360.0
652,2012-10-14,351.0
653,2012-10-15,343.0
654,2012-10-16,334.0
655,2012-10-17,325.0
656,2012-10-18,316.0
657,2012-10-19,307.0
658,2012-10-20,300.0
659,2012-10-21,292.0
660,2012-10-22,294.0
661,2012-10-23,286.0
662,2012-10-24,285.0
663,2012-10-25,278.0
664,2012-10-26,271.0
665,2012-10-27,264.0
666,2012-10-28,257.0
667,2012-10-29,251.0
668,2012-10-30,248.0
669,2012-10-31,248.0
670,2012-11-01,247.0
671,2012-11-02,242.0
672,2012-11-03,236.0
673,2012-11-04,232.0
674,2012-11-05,226.0
675,2012-11-06,220.0
676,2012-11-07,215.0
677,2012-11-08,213.0
678,2012-11-09,208.0
679,2012-11-10,203.0
680,2012-11-11,197.0
681,2012-11-12,191.0
682,2012-11-13,188.0
683,2012-11-14,184.0
684,2012-11-15,179.0
685,2012-11-16,174.0
686,2012-11-17,184.0
687,2012-11-18,184.0
688,2012-11-19,189.0
689,2012-11-20,210.0
690,2012-11-21,230.0
691,2012-11-22,236.0
692,2012-11-23,240.0
693,2012-11-24,244.0
694,2012-11-25,246.0
695,2012-11-26,248.0
696,2012-11-27,251.0
697,2012-11-28,254.0
698,2012-11-29,265.0
699,2012-11-30,291.0
700,2012-12-01,321.0
701,2012-12-02,389.0
702,2012-12-03,409.0
703,2012-12-04,438.0
704,2012-12-05,489.0
705,2012-12-06,513.0
706,2012-12-07,529.0
707,2012-12-08,541.0
708,2012-12-09,550.0
709,2012-12-10,559.0
710,2012-12-11,568.0
711,2012-12-12,582.0
712,2012-12-13,584.0
713,2012-12-14,589.0
714,2012-12-15,597.0
715,2012-12-16,611.0
716,2012-12-17,629.0
717,2012-12-18,641.0
718,2012-12-19,647.0
719,2012-12-20,655.0
720,2012-12-21,673.0
721,2012-12-22,682.0
722,2012-12-23,703.0
723,2012-12-24,705.0
724,2012-12-25,714.0
725,2012-12-26,721.0
726,2012-12-27,725.0
727,2012-12-28,729.0
728,2012-12-29,731.0
729,2012-12-30,733.0
730,2012-12-31,734.0
731,2013-01-01,734.0
732,2013-01-02,734.0
733,2013-01-03,733.0
734,2013-01-04,733.0
735,2013-01-05,733.0
736,2013-01-06,734.0
737,2013-01-07,733.0
738,2013-01-08,733.0
739,2013-01-09,735.0
740,2013-01-10,733.0
741,2013-01-11,733.0
742,2013-01-12,732.0
743,2013-01-13,734.0
744,2013-01-14,732.0
745,2013-01-15,732.0
746,2013-01-16,732.0
747,2013-01-17,731.0
748,2013-01-18,731.0
749,2013-01-19,732.0
750,2013-01-20,732.0
751,2013-01-21,732.0
752,2013-01-22,732.0
753,2013-01-23,734.0
754,2013-01-24,737.0
755,2013-01-25,737.0
756,2013-01-26,737.0
757,2013-01-27,736.0
758,2013-01-28,734.0
759,2013-01-29,733.0
760,2013-01-30,734.0
761,2013-01-31,733.0
762,2013-02-01,734.0
763,2013-02-02,733.0
764,2013-02-03,734.0
765,2013-02-04,733.0
766,2013-02-05,733.0
767,2013-02-06,732.0
768,2013-02-07,733.0
769,2013-02-08,733.0
770,2013-02-09,732.0
771,2013-02-10,731.0
772,2013-02-11,731.0
773,2013-02-12,731.0
774,2013-02-13,732.0
775,2013-02-14,732.0
776,2013-02-15,732.0
777,2013-02-16,732.0
778,2013-02-17,731.0
779,2013-02-18,731.0
780,2013-02-19,733.0
781,2013-02-20,732.0
782,2013-02-21,730.0
783,2013-02-22,730.0
784,2013-02-23,729.0
785,2013-02-24,724.0
786,2013-02-25,726.0
787,2013-02-26,726.0
788,2013-02-27,728.0
789,2013-02-28,728.0
790,2013-03-01,729.0
791,2013-03-02,731.0
792,2013-03-03,733.0
793,2013-03-04,732.0
794,2013-03-05,734.0
795,2013-03-06,737.0
796,2013-03-07,733.0
797,2013-03-08,732.0
798,2013-03-09,732.0
799,2013-03-10,731.0
800,2013-03-11,733.0
801,2013-03-12,733.0
802,2013-03-13,734.0
803,2013-03-14,735.0
804,2013-03-15,735.0
