,datetime,SAMMAMISH_LAKE_NEAR_REDMOND__WA.
243,2011-09-01,26.05
244,2011-09-02,26.04
245,2011-09-03,26.03
246,2011-09-04,26.03
247,2011-09-05,26.02
248,2011-09-06,26.02
249,2011-09-07,26.02
250,2011-09-08,26.02
251,2011-09-09,26.01
252,2011-09-10,26.01
253,2011-09-11,26.01
254,2011-09-12,26.01
255,2011-09-13,26.0
256,2011-09-14,26.0
257,2011-09-15,25.99
258,2011-09-16,25.99
259,2011-09-17,25.98
260,2011-09-18,26.0
261,2011-09-19,26.01
262,2011-09-20,26.01
263,2011-09-21,26.01
264,2011-09-22,26.01
265,2011-09-23,26.01
266,2011-09-24,26.01
267,2011-09-25,26.0
268,2011-09-26,26.03
269,2011-09-27,26.05
270,2011-09-28,26.05
271,2011-09-29,26.04
272,2011-09-30,26.04
273,2011-10-01,26.04
274,2011-10-02,26.04
275,2011-10-03,26.06
276,2011-10-04,26.07
277,2011-10-05,26.08
278,2011-10-06,26.12
279,2011-10-07,26.13
280,2011-10-08,26.13
281,2011-10-09,26.15
282,2011-10-10,26.16
283,2011-10-11,26.23
284,2011-10-12,26.28
285,2011-10-13,26.29
286,2011-10-14,26.29
287,2011-10-15,26.28
288,2011-10-16,26.27
289,2011-10-17,26.25
290,2011-10-18,26.25
291,2011-10-19,26.24
292,2011-10-20,26.23
293,2011-10-21,26.23
294,2011-10-22,26.26
295,2011-10-23,26.3
296,2011-10-24,26.32
297,2011-10-25,26.32
298,2011-10-26,26.32
299,2011-10-27,26.31
300,2011-10-28,26.31
301,2011-10-29,26.35
302,2011-10-30,26.35
303,2011-10-31,26.37
304,2011-11-01,26.36
305,2011-11-02,26.35
306,2011-11-03,26.4
307,2011-11-04,26.4
308,2011-11-05,26.39
309,2011-11-06,26.37
310,2011-11-07,26.35
311,2011-11-08,26.33
312,2011-11-09,26.32
313,2011-11-10,26.31
314,2011-11-11,26.33
315,2011-11-12,26.37
316,2011-11-13,26.41
317,2011-11-14,26.43
318,2011-11-15,26.44
319,2011-11-16,26.45
320,2011-11-17,26.48
321,2011-11-18,26.53
322,2011-11-19,26.55
323,2011-11-20,26.54
324,2011-11-21,26.55
325,2011-11-22,26.66
326,2011-11-23,27.03
327,2011-11-24,27.31
328,2011-11-25,27.41
329,2011-11-26,27.41
330,2011-11-27,27.42
331,2011-11-28,27.49
332,2011-11-29,27.46
333,2011-11-30,27.43
334,2011-12-01,27.39
335,2011-12-02,27.33
336,2011-12-03,27.27
337,2011-12-04,27.21
338,2011-12-05,27.15
339,2011-12-06,27.1
340,2011-12-07,27.05
341,2011-12-08,27.0
342,2011-12-09,26.95
343,2011-12-10,26.9
344,2011-12-11,26.86
345,2011-12-12,26.82
346,2011-12-13,26.78
347,2011-12-14,26.74
348,2011-12-15,26.71
349,2011-12-16,26.68
350,2011-12-17,26.66
351,2011-12-18,26.66
352,2011-12-19,26.64
353,2011-12-20,26.61
354,2011-12-21,26.59
355,2011-12-22,26.57
356,2011-12-23,26.55
357,2011-12-24,26.53
358,2011-12-25,26.52
359,2011-12-26,26.5
360,2011-12-27,26.49
361,2011-12-28,26.55
362,2011-12-29,26.64
363,2011-12-30,26.7
364,2011-12-31,26.74
365,2012-01-01,26.75
366,2012-01-02,26.76
367,2012-01-03,26.81
368,2012-01-04,26.85
369,2012-01-05,26.96
370,2012-01-06,26.99
371,2012-01-07,27.0
372,2012-01-08,26.99
373,2012-01-09,26.97
374,2012-01-10,26.96
375,2012-01-11,26.93
376,2012-01-12,26.9
377,2012-01-13,26.87
378,2012-01-14,26.87
379,2012-01-15,26.88
380,2012-01-16,26.87
381,2012-01-17,26.86
382,2012-01-18,26.89
383,2012-01-19,26.95
384,2012-01-20,26.99
