,datetime,RIFFE_LAKE_NEAR_MOSSYROCK__WA.
243,2011-09-01,768.28
244,2011-09-02,767.83
245,2011-09-03,767.46
246,2011-09-04,767.07
247,2011-09-05,766.65
248,2011-09-06,766.1
249,2011-09-07,765.79
250,2011-09-08,765.42
251,2011-09-09,764.99
252,2011-09-10,764.59
253,2011-09-11,764.19
254,2011-09-12,763.83
255,2011-09-13,763.31
256,2011-09-14,762.89
257,2011-09-15,762.49
258,2011-09-16,762.04
259,2011-09-17,761.67
260,2011-09-18,761.33
261,2011-09-19,760.99
262,2011-09-20,760.19
263,2011-09-21,759.58
264,2011-09-22,759.16
265,2011-09-23,758.61
266,2011-09-24,758.21
267,2011-09-25,757.97
268,2011-09-26,757.49
269,2011-09-27,757.1
270,2011-09-28,756.56
271,2011-09-29,755.97
272,2011-09-30,755.46
273,2011-10-01,754.92
274,2011-10-02,754.33
275,2011-10-03,753.82
276,2011-10-04,753.28
277,2011-10-05,752.63
278,2011-10-06,752.01
279,2011-10-07,751.39
280,2011-10-08,750.78
281,2011-10-09,750.33
282,2011-10-10,749.72
283,2011-10-11,749.39
284,2011-10-12,749.19
285,2011-10-13,748.89
286,2011-10-14,748.44
287,2011-10-15,747.94
288,2011-10-16,747.52
289,2011-10-17,747.05
290,2011-10-18,746.49
291,2011-10-19,745.96
292,2011-10-20,745.37
293,2011-10-21,744.79
294,2011-10-22,744.38
295,2011-10-23,744.42
296,2011-10-24,744.25
297,2011-10-25,743.84
298,2011-10-26,743.25
299,2011-10-27,742.83
300,2011-10-28,742.33
301,2011-10-29,742.01
302,2011-10-30,741.88
303,2011-10-31,741.42
304,2011-11-01,740.94
305,2011-11-02,740.43
306,2011-11-03,740.04
307,2011-11-04,739.6
308,2011-11-05,739.25
309,2011-11-06,738.76
310,2011-11-07,738.13
311,2011-11-08,737.49
312,2011-11-09,736.95
313,2011-11-10,736.43
314,2011-11-11,736.0
315,2011-11-12,735.75
316,2011-11-13,735.51
317,2011-11-14,735.23
318,2011-11-15,734.69
319,2011-11-16,734.41
320,2011-11-17,734.81
321,2011-11-18,734.88
322,2011-11-19,734.7
323,2011-11-20,734.88
324,2011-11-21,734.69
325,2011-11-22,735.76
326,2011-11-23,738.83
327,2011-11-24,741.2
328,2011-11-25,742.83
329,2011-11-26,743.8
330,2011-11-27,743.79
331,2011-11-28,743.75
332,2011-11-29,743.49
333,2011-11-30,742.97
334,2011-12-01,742.39
335,2011-12-02,741.96
336,2011-12-03,741.39
337,2011-12-04,741.03
338,2011-12-05,739.91
339,2011-12-06,738.6
340,2011-12-07,737.29
341,2011-12-08,736.13
342,2011-12-09,734.87
343,2011-12-10,733.56
344,2011-12-11,733.2
345,2011-12-12,731.88
346,2011-12-13,730.5
347,2011-12-14,729.2
348,2011-12-15,728.34
349,2011-12-16,727.41
350,2011-12-17,726.52
351,2011-12-18,726.45
352,2011-12-19,725.58
353,2011-12-20,725.0
354,2011-12-21,724.55
355,2011-12-22,723.78
356,2011-12-23,723.25
357,2011-12-24,723.43
358,2011-12-25,723.33
359,2011-12-26,722.98
360,2011-12-27,722.87
361,2011-12-28,723.93
362,2011-12-29,727.89
363,2011-12-30,732.25
364,2011-12-31,735.43
365,2012-01-01,737.22
366,2012-01-02,738.39
367,2012-01-03,739.25
368,2012-01-04,739.52
369,2012-01-05,739.97
370,2012-01-06,740.28
371,2012-01-07,740.68
372,2012-01-08,741.14
373,2012-01-09,740.63
374,2012-01-10,740.39
375,2012-01-11,739.59
376,2012-01-12,738.63
377,2012-01-13,737.73
378,2012-01-14,736.89
379,2012-01-15,735.83
380,2012-01-16,734.7
381,2012-01-17,733.6
382,2012-01-18,732.19
383,2012-01-19,731.32
384,2012-01-20,730.77
385,2012-01-21,731.27
386,2012-01-22,731.65
387,2012-01-23,731.54
388,2012-01-24,731.52
389,2012-01-25,732.39
390,2012-01-26,733.48
391,2012-01-27,734.03
392,2012-01-28,734.84
393,2012-01-29,735.85
394,2012-01-30,737.43
395,2012-01-31,738.71
396,2012-02-01,739.37
397,2012-02-02,739.89
398,2012-02-03,739.96
399,2012-02-04,739.86
400,2012-02-05,739.72
401,2012-02-06,739.28
402,2012-02-07,738.68
403,2012-02-08,738.01
404,2012-02-09,737.65
405,2012-02-10,737.22
406,2012-02-11,736.9
407,2012-02-12,736.55
408,2012-02-13,736.04
409,2012-02-14,735.28
410,2012-02-15,734.53
411,2012-02-16,733.79
412,2012-02-17,733.19
413,2012-02-18,733.19
414,2012-02-19,733.17
415,2012-02-20,732.76
416,2012-02-21,733.47
417,2012-02-22,738.08
418,2012-02-23,741.73
419,2012-02-24,743.37
420,2012-02-25,744.5
421,2012-02-26,745.01
422,2012-02-27,744.95
423,2012-02-28,744.96
424,2012-02-29,744.7
425,2012-03-01,744.39
426,2012-03-02,743.86
427,2012-03-03,743.73
428,2012-03-04,743.55
429,2012-03-05,743.25
430,2012-03-06,742.87
431,2012-03-07,742.47
432,2012-03-08,742.15
433,2012-03-09,741.54
434,2012-03-10,741.15
435,2012-03-11,741.33
436,2012-03-12,740.8
437,2012-03-13,740.28
438,2012-03-14,739.95
439,2012-03-15,739.94
440,2012-03-16,740.59
441,2012-03-17,741.52
442,2012-03-18,742.22
443,2012-03-19,742.24
444,2012-03-20,742.08
445,2012-03-21,741.74
446,2012-03-22,741.27
447,2012-03-23,741.03
448,2012-03-24,740.96
449,2012-03-25,740.6
450,2012-03-26,740.26
451,2012-03-27,739.62
452,2012-03-28,738.99
453,2012-03-29,739.04
454,2012-03-30,741.11
455,2012-03-31,742.9
456,2012-04-01,744.11
457,2012-04-02,744.44
458,2012-04-03,744.55
459,2012-04-04,744.36
460,2012-04-05,744.12
461,2012-04-06,743.99
462,2012-04-07,744.08
463,2012-04-08,744.12
464,2012-04-09,743.63
465,2012-04-10,743.14
466,2012-04-11,742.7
467,2012-04-12,742.29
468,2012-04-13,741.93
469,2012-04-14,741.66
470,2012-04-15,741.38
471,2012-04-16,741.0
472,2012-04-17,740.72
473,2012-04-18,740.64
474,2012-04-19,740.38
475,2012-04-20,741.1
476,2012-04-21,742.02
477,2012-04-22,743.12
478,2012-04-23,744.73
