,datetime,BEARDSLEY_LAKE_NEAR_STRAWBERRY_CA.
263,2011-09-21,71570
264,2011-09-22,70820
265,2011-09-23,70120
266,2011-09-24,69180
267,2011-09-25,68150
268,2011-09-26,67070
269,2011-09-27,66370
270,2011-09-28,65570
271,2011-09-29,64670
272,2011-09-30,63580
273,2011-10-01,62880
274,2011-10-02,61900
275,2011-10-03,61320
276,2011-10-04,60460
277,2011-10-05,59500
278,2011-10-06,58870
279,2011-10-07,58430
280,2011-10-08,57840
281,2011-10-09,57060
282,2011-10-10,56710
283,2011-10-11,56560
284,2011-10-12,56160
285,2011-10-13,55520
286,2011-10-14,55070
287,2011-10-15,54840
288,2011-10-16,54530
289,2011-10-17,54170
290,2011-10-18,53910
291,2011-10-19,53140
292,2011-10-20,52400
293,2011-10-21,52940
294,2011-10-22,53880
295,2011-10-23,54980
296,2011-10-24,55800
297,2011-10-25,56600
298,2011-10-26,57440
299,2011-10-27,57960
300,2011-10-28,58440
301,2011-10-29,58720
302,2011-10-30,59040
303,2011-10-31,59600
304,2011-11-01,60100
305,2011-11-02,60450
306,2011-11-03,60070
307,2011-11-04,59380
308,2011-11-05,58960
309,2011-11-06,58300
310,2011-11-07,57140
311,2011-11-08,55980
312,2011-11-09,54810
313,2011-11-10,53620
314,2011-11-11,52480
315,2011-11-12,51340
316,2011-11-13,50210
317,2011-11-14,49090
318,2011-11-15,47970
319,2011-11-16,46860
320,2011-11-17,45770
321,2011-11-18,45000
322,2011-11-19,44550
323,2011-11-20,44420
324,2011-11-21,44070
325,2011-11-22,43490
326,2011-11-23,42900
327,2011-11-24,42500
328,2011-11-25,41940
329,2011-11-26,41390
330,2011-11-27,40760
331,2011-11-28,40360
332,2011-11-29,39720
333,2011-11-30,39270
334,2011-12-01,38380
335,2011-12-02,37910
336,2011-12-03,37070
337,2011-12-04,36690
338,2011-12-05,36200
339,2011-12-06,35950
340,2011-12-07,35930
341,2011-12-08,35820
342,2011-12-09,35510
343,2011-12-10,35110
344,2011-12-11,34880
345,2011-12-12,34870
346,2011-12-13,34480
347,2011-12-14,34110
348,2011-12-15,33300
349,2011-12-16,32490
350,2011-12-17,31690
351,2011-12-18,31120
352,2011-12-19,30370
353,2011-12-20,29670
354,2011-12-21,28910
355,2011-12-22,28300
356,2011-12-23,27620
357,2011-12-24,27080
358,2011-12-25,26820
359,2011-12-26,26590
360,2011-12-27,26530
361,2011-12-28,26360
362,2011-12-29,26140
363,2011-12-30,25810
364,2011-12-31,25470
365,2012-01-01,25180
366,2012-01-02,24880
367,2012-01-03,24570
368,2012-01-04,24130
369,2012-01-05,23750
370,2012-01-06,23790
371,2012-01-07,23730
372,2012-01-08,23820
373,2012-01-09,24010
374,2012-01-10,24170
375,2012-01-11,24090
376,2012-01-12,24170
377,2012-01-13,24170
378,2012-01-14,24060
379,2012-01-15,23750
380,2012-01-16,23570
381,2012-01-17,23300
382,2012-01-18,23310
383,2012-01-19,23750
384,2012-01-20,23800
385,2012-01-21,24200
386,2012-01-22,23810
387,2012-01-23,23910
388,2012-01-24,23830
389,2012-01-25,23890
390,2012-01-26,23670
391,2012-01-27,23950
392,2012-01-28,24500
393,2012-01-29,24570
394,2012-01-30,24850
395,2012-01-31,25170
396,2012-02-01,25290
397,2012-02-02,25330
398,2012-02-03,25670
399,2012-02-04,25940
400,2012-02-05,26120
401,2012-02-06,26880
402,2012-02-07,27880
403,2012-02-08,28710
404,2012-02-09,29190
405,2012-02-10,29150
406,2012-02-11,29600
407,2012-02-12,29970
408,2012-02-13,30990
409,2012-02-14,31390
410,2012-02-15,31910
411,2012-02-16,32610
412,2012-02-17,33120
413,2012-02-18,33490
414,2012-02-19,33950
415,2012-02-20,34660
416,2012-02-21,35220
417,2012-02-22,35670
418,2012-02-23,36170
419,2012-02-24,36850
420,2012-02-25,36990
421,2012-02-26,37400
422,2012-02-27,38200
423,2012-02-28,38560
424,2012-02-29,38940
425,2012-03-01,38980
426,2012-03-02,38830
427,2012-03-03,38730
428,2012-03-04,38550
429,2012-03-05,38530
430,2012-03-06,38390
431,2012-03-07,38670
432,2012-03-08,38730
433,2012-03-09,38640
434,2012-03-10,38560
435,2012-03-11,38590
436,2012-03-12,39040
437,2012-03-13,39500
438,2012-03-14,39870
439,2012-03-15,39840
440,2012-03-16,40420
441,2012-03-17,41570
442,2012-03-18,41920
443,2012-03-19,42580
444,2012-03-20,42730
445,2012-03-21,42950
446,2012-03-22,43130
447,2012-03-23,43580
448,2012-03-24,43670
449,2012-03-25,43720
450,2012-03-26,43700
451,2012-03-27,43930
452,2012-03-28,43930
453,2012-03-29,44160
454,2012-03-30,44460
455,2012-03-31,45080
456,2012-04-01,45270
457,2012-04-02,45670
458,2012-04-03,46260
459,2012-04-04,46880
460,2012-04-05,47230
461,2012-04-06,47290
462,2012-04-07,47530
463,2012-04-08,47580
464,2012-04-09,47820
465,2012-04-10,48030
466,2012-04-11,48270
467,2012-04-12,48510
468,2012-04-13,48800
469,2012-04-14,48970
470,2012-04-15,49010
471,2012-04-16,49380
472,2012-04-17,49800
473,2012-04-18,50000
474,2012-04-19,50270
475,2012-04-20,50680
476,2012-04-21,51130
477,2012-04-22,51680
478,2012-04-23,52190
479,2012-04-24,52660
480,2012-04-25,53250
481,2012-04-26,54670
482,2012-04-27,55360
483,2012-04-28,55560
484,2012-04-29,55700
485,2012-04-30,55920
486,2012-05-01,56780
487,2012-05-02,57430
488,2012-05-03,58040
489,2012-05-04,58500
490,2012-05-05,59040
491,2012-05-06,59740
492,2012-05-07,60340
493,2012-05-08,61070
494,2012-05-09,61410
495,2012-05-10,61790
496,2012-05-11,62170
497,2012-05-12,63140
498,2012-05-13,63860
499,2012-05-14,64630
500,2012-05-15,65080
501,2012-05-16,65330
502,2012-05-17,65820
503,2012-05-18,66630
504,2012-05-19,67580
505,2012-05-20,68150
506,2012-05-21,68950
507,2012-05-22,69950
508,2012-05-23,71010
509,2012-05-24,72060
510,2012-05-25,73010
511,2012-05-26,73820
512,2012-05-27,74410
513,2012-05-28,74860
514,2012-05-29,75230
515,2012-05-30,75370
516,2012-05-31,75410
517,2012-06-01,75490
518,2012-06-02,75280
