,datetime,GORGE_RESERVOIR_NEAR_NEWHALEM__WA.
243,2011-09-01,870.07
244,2011-09-02,871.16
245,2011-09-03,870.77
246,2011-09-04,871.16
247,2011-09-05,871.43
248,2011-09-06,871.47
249,2011-09-07,871.39
250,2011-09-08,871.26
251,2011-09-09,871.77
252,2011-09-10,871.77
253,2011-09-11,870.84
254,2011-09-12,871.22
255,2011-09-13,869.86
256,2011-09-14,870.94
257,2011-09-15,871.43
258,2011-09-16,871.12
259,2011-09-17,871.35
260,2011-09-18,870.33
261,2011-09-19,871.45
262,2011-09-20,872.71
263,2011-09-21,873.38
264,2011-09-22,872.73
265,2011-09-23,872.45
266,2011-09-24,871.89
267,2011-09-25,871.93
268,2011-09-26,873.04
269,2011-09-27,872.84
270,2011-09-28,870.4
271,2011-09-29,871.12
272,2011-09-30,870.51
273,2011-10-01,870.84
274,2011-10-02,872.03
275,2011-10-03,872.91
276,2011-10-04,871.93
277,2011-10-05,871.8
278,2011-10-06,871.4
279,2011-10-07,870.98
280,2011-10-08,871.13
281,2011-10-09,871.28
282,2011-10-10,871.21
283,2011-10-11,871.49
284,2011-10-12,871.47
285,2011-10-13,871.39
286,2011-10-14,870.79
287,2011-10-15,871.62
288,2011-10-16,871.52
289,2011-10-17,870.11
290,2011-10-18,869.55
291,2011-10-19,871.9
292,2011-10-20,871.53
293,2011-10-21,871.21
294,2011-10-22,871.8
295,2011-10-23,870.73
296,2011-10-24,869.98
297,2011-10-25,871.44
298,2011-10-26,870.59
299,2011-10-27,871.3
300,2011-10-28,871.36
301,2011-10-29,871.1
302,2011-10-30,871.13
303,2011-10-31,870.98
304,2011-11-01,870.85
305,2011-11-02,872.45
306,2011-11-03,872.31
307,2011-11-04,870.39
308,2011-11-05,870.87
309,2011-11-06,871.66
310,2011-11-07,873.37
311,2011-11-08,872.25
312,2011-11-09,872.66
313,2011-11-10,872.23
314,2011-11-11,872.07
315,2011-11-12,872.15
316,2011-11-13,872.53
317,2011-11-14,873.74
318,2011-11-15,873.33
319,2011-11-16,872.3
320,2011-11-17,872.34
321,2011-11-18,872.06
322,2011-11-19,868.11
323,2011-11-20,866.48
324,2011-11-21,850.27
325,2011-11-22,846.11
326,2011-11-23,853.82
327,2011-11-24,851.06
328,2011-11-25,852.74
329,2011-11-26,854.18
330,2011-11-27,856.91
331,2011-11-28,860.85
332,2011-11-29,866.88
333,2011-11-30,871.87
334,2011-12-01,871.91
335,2011-12-02,872.13
336,2011-12-03,871.62
337,2011-12-04,871.03
338,2011-12-05,871.76
339,2011-12-06,870.69
340,2011-12-07,871.31
341,2011-12-08,871.33
