,datetime,MUD_MOUNTAIN_LAKE_NEAR_BUCKLEY__WA.
0,2011-01-01,1049.95
1,2011-01-02,1049.96
2,2011-01-03,1047.63
3,2011-01-04,1044.25
4,2011-01-05,1043.1
5,2011-01-06,1063.6599999999999
6,2011-01-07,1107.76
7,2011-01-08,1133.81
8,2011-01-09,1103.44
9,2011-01-10,1083.6
10,2011-01-11,1068.2
11,2011-01-12,1067.0700000000002
12,2011-01-13,1258.72
13,2011-01-14,1330.94
14,2011-01-15,1334.1
15,2011-01-16,2998.19
16,2011-01-17,26792.5
17,2011-01-18,37815.8
18,2011-01-19,38116.38
19,2011-01-20,34208.62
20,2011-01-21,29298.05
21,2011-01-22,31001.91
22,2011-01-23,29498.53
23,2011-01-24,25288.73
24,2011-01-25,23283.61
25,2011-01-26,19673.62
26,2011-01-27,14958.02
27,2011-01-28,10981.26
28,2011-01-29,7340.46
29,2011-01-30,4799.74
30,2011-01-31,2947.4
31,2011-02-01,1751.44
32,2011-02-02,1378.81
33,2011-02-03,1268.15
34,2011-02-04,1220.88
35,2011-02-05,1444.27
36,2011-02-06,1290.26
37,2011-02-07,1307.02
38,2011-02-08,1177.44
39,2011-02-09,1140.19
40,2011-02-10,1113.3
41,2011-02-11,1105.62
42,2011-02-12,1098.98
43,2011-02-13,1107.8200000000002
44,2011-02-14,1101.17
45,2011-02-15,1099.02
46,2011-02-16,1091.3200000000002
47,2011-02-17,1083.6399999999999
48,2011-02-18,1079.1799999999998
49,2011-02-19,1074.78
50,2011-02-20,1070.4299999999998
51,2011-02-21,1068.1599999999999
52,2011-02-22,1066.03
53,2011-02-23,1062.6
54,2011-02-24,1055.67
55,2011-02-25,1046.4299999999998
56,2011-02-26,1044.25
57,2011-02-27,1049.8899999999999
58,2011-02-28,1054.53
59,2011-03-01,1047.7
60,2011-03-02,1048.83
61,2011-03-03,1421.45
62,2011-03-04,2632.36
63,2011-03-05,4233.76
64,2011-03-06,5970.29
65,2011-03-07,7602.21
66,2011-03-08,8880.18
67,2011-03-09,7803.53
68,2011-03-10,7008.12
69,2011-03-11,6071.02
70,2011-03-12,5082.49
71,2011-03-13,4284.35
72,2011-03-14,3920.16
73,2011-03-15,2469.5299999999997
74,2011-03-16,2030.9099999999999
75,2011-03-17,1721.6100000000001
76,2011-03-18,1001.36
77,2011-03-19,953.26
78,2011-03-20,949.65
79,2011-03-21,948.47
80,2011-03-22,949.71
81,2011-03-23,947.03
82,2011-03-24,945.96
83,2011-03-25,947.07
84,2011-03-26,947.04
85,2011-03-27,947.05
86,2011-03-28,947.05
87,2011-03-29,949.57
88,2011-03-30,995.5
89,2011-03-31,8829.869999999999
90,2011-04-01,18369.74
91,2011-04-02,22581.85
92,2011-04-03,25489.32
93,2011-04-04,25288.69
94,2011-04-05,24587.05
95,2011-04-06,22982.86
96,2011-04-07,19673.68
97,2011-04-08,15359.79
98,2011-04-09,10338.09
99,2011-04-10,5556.77
100,2011-04-11,3413.91
101,2011-04-12,2855.9700000000003
102,2011-04-13,1330.95
103,2011-04-14,1102.3200000000002
104,2011-04-15,964.39
105,2011-04-16,961.95
106,2011-04-17,976.37
107,2011-04-18,974.04
108,2011-04-19,969.24
109,2011-04-20,908.16
110,2011-04-21,950.79
111,2011-04-22,947.11
112,2011-04-23,949.62
