,datetime,YALE_RESERVOIR_NEAR_YALE__WA.
226,2011-08-15,373089.08
227,2011-08-16,373089.37
228,2011-08-17,373089.35
229,2011-08-18,373089.2
230,2011-08-19,373089.05
231,2011-08-20,373088.71
232,2011-08-21,373088.85
233,2011-08-22,373089.08
234,2011-08-23,373089.08
235,2011-08-24,373089.23
236,2011-08-25,373089.09
237,2011-08-26,373089.08
238,2011-08-27,373088.69
239,2011-08-28,373088.23
240,2011-08-29,373088.28
241,2011-08-30,373088.48
242,2011-08-31,373088.89
243,2011-09-01,373088.68
244,2011-09-02,373088.09
245,2011-09-03,373088.28
246,2011-09-04,373088.75
247,2011-09-05,373089.02
248,2011-09-06,373088.98
249,2011-09-07,373088.23
250,2011-09-08,373086.47
251,2011-09-09,373084.79
252,2011-09-10,373084.2
253,2011-09-11,373084.77
254,2011-09-12,373083.91
255,2011-09-13,373082.33
256,2011-09-14,373081.16
257,2011-09-15,373078.79
258,2011-09-16,373076.59
259,2011-09-17,373074.26
260,2011-09-18,373073.23
261,2011-09-19,373073.67
262,2011-09-20,373074.65
263,2011-09-21,373075.67
264,2011-09-22,373076.11
265,2011-09-23,373075.82
266,2011-09-24,373076.6
267,2011-09-25,373077.51
268,2011-09-26,373077.59
269,2011-09-27,373076.64
270,2011-09-28,373076.9
271,2011-09-29,373077.79
272,2011-09-30,373078.01
273,2011-10-01,373078.35
274,2011-10-02,373078.61
275,2011-10-03,373078.09
276,2011-10-04,373077.46
277,2011-10-05,373076.15
278,2011-10-06,373075.57
279,2011-10-07,373074.99
280,2011-10-08,373074.36
281,2011-10-09,373073.6
282,2011-10-10,373072.05
283,2011-10-11,373071.52
284,2011-10-12,373070.8
285,2011-10-13,373070.1
286,2011-10-14,373070.24
287,2011-10-15,373069.5
288,2011-10-16,373067.56
289,2011-10-17,373067.64
290,2011-10-18,373067.79
291,2011-10-19,373067.27
292,2011-10-20,373068.64
293,2011-10-21,373069.29
294,2011-10-22,373069.82
295,2011-10-23,373071.37
296,2011-10-24,373071.66
297,2011-10-25,373070.21
298,2011-10-26,373069.27
299,2011-10-27,373068.4
300,2011-10-28,373068.1
301,2011-10-29,373070.55
302,2011-10-30,373071.72
303,2011-10-31,373072.21
304,2011-11-01,373072.18
305,2011-11-02,373072.67
306,2011-11-03,373072.55
307,2011-11-04,373073.6
308,2011-11-05,373075.13
309,2011-11-06,373076.07
310,2011-11-07,373074.93
311,2011-11-08,373074.56
312,2011-11-09,373075.28
313,2011-11-10,373074.36
314,2011-11-11,373073.87
315,2011-11-12,373071.97
316,2011-11-13,373071.54
317,2011-11-14,373069.76
318,2011-11-15,373069.68
319,2011-11-16,373070.38
320,2011-11-17,373073.41
321,2011-11-18,373074.4
322,2011-11-19,373074.94
323,2011-11-20,373075.14
324,2011-11-21,373074.22
325,2011-11-22,373077.0
326,2011-11-23,373080.08
327,2011-11-24,373081.18
328,2011-11-25,373081.77
329,2011-11-26,373081.8
330,2011-11-27,373081.46
331,2011-11-28,373081.35
332,2011-11-29,373082.84
333,2011-11-30,373083.34
334,2011-12-01,373084.04
335,2011-12-02,373084.09
336,2011-12-03,373084.08
337,2011-12-04,373083.82
338,2011-12-05,373083.74
339,2011-12-06,373083.82
340,2011-12-07,373083.95
341,2011-12-08,373084.57
342,2011-12-09,373085.7
343,2011-12-10,373086.83
344,2011-12-11,373088.15
345,2011-12-12,373087.06
346,2011-12-13,373085.67
347,2011-12-14,373084.48
348,2011-12-15,373084.33
349,2011-12-16,373084.53
350,2011-12-17,373084.72
351,2011-12-18,373085.05
352,2011-12-19,373085.23
353,2011-12-20,373085.41
354,2011-12-21,373085.63
355,2011-12-22,373086.36
356,2011-12-23,373084.44
357,2011-12-24,373081.47
358,2011-12-25,373077.6
359,2011-12-26,373075.97
360,2011-12-27,373076.82
361,2011-12-28,373081.54
362,2011-12-29,373085.01
363,2011-12-30,373085.19
364,2011-12-31,373086.02
365,2012-01-01,373086.35
366,2012-01-02,373085.64
367,2012-01-03,373084.87
368,2012-01-04,373083.24
369,2012-01-05,373082.51
370,2012-01-06,373081.74
371,2012-01-07,373081.16
372,2012-01-08,373081.22
373,2012-01-09,373081.31
374,2012-01-10,373081.21
375,2012-01-11,373080.16
376,2012-01-12,373080.28
377,2012-01-13,373080.58
378,2012-01-14,373080.66
379,2012-01-15,373080.33
380,2012-01-16,373079.07
381,2012-01-17,373078.22
382,2012-01-18,373075.89
383,2012-01-19,373078.75
384,2012-01-20,373080.98
385,2012-01-21,373083.53
386,2012-01-22,373082.03
387,2012-01-23,373080.83
388,2012-01-24,373081.48
389,2012-01-25,373083.28
390,2012-01-26,373084.59
391,2012-01-27,373085.61
392,2012-01-28,373086.04
393,2012-01-29,373086.4
394,2012-01-30,373087.63
395,2012-01-31,373087.95
396,2012-02-01,373088.39
397,2012-02-02,373087.95
398,2012-02-03,373087.45
399,2012-02-04,373086.66
400,2012-02-05,373086.24
401,2012-02-06,373085.59
402,2012-02-07,373083.37
403,2012-02-08,373082.47
404,2012-02-09,373081.99
405,2012-02-10,373082.51
406,2012-02-11,373083.32
407,2012-02-12,373083.32
408,2012-02-13,373082.9
409,2012-02-14,373081.88
410,2012-02-15,373081.45
411,2012-02-16,373081.6433333333
412,2012-02-17,373081.83666666667
413,2012-02-18,373082.03
414,2012-02-19,373082.64
415,2012-02-20,373083.36
416,2012-02-21,373085.6
417,2012-02-22,373087.56
418,2012-02-23,373086.0
419,2012-02-24,373085.46
420,2012-02-25,373084.64
421,2012-02-26,373084.23
422,2012-02-27,373084.1
423,2012-02-28,373084.21
424,2012-02-29,373084.19
425,2012-03-01,373082.38
426,2012-03-02,373082.11
427,2012-03-03,373082.5
428,2012-03-04,373082.87
429,2012-03-05,373083.52
430,2012-03-06,373084.2
431,2012-03-07,373084.72
432,2012-03-08,373083.82
433,2012-03-09,373081.525
434,2012-03-10,373079.23
435,2012-03-11,373078.94
436,2012-03-12,373079.61
437,2012-03-13,373080.21
438,2012-03-14,373079.55
439,2012-03-15,373080.08
440,2012-03-16,373081.74
441,2012-03-17,373083.06
442,2012-03-18,373082.85
443,2012-03-19,373081.35
444,2012-03-20,373080.06
445,2012-03-21,373079.17
446,2012-03-22,373077.25
447,2012-03-23,373075.55
448,2012-03-24,373075.09
449,2012-03-25,373074.79
450,2012-03-26,373075.39
451,2012-03-27,373076.3
452,2012-03-28,373076.53
453,2012-03-29,373076.62
454,2012-03-30,373079.68
455,2012-03-31,373081.09
456,2012-04-01,373082.49
457,2012-04-02,373083.64
458,2012-04-03,373083.6
459,2012-04-04,373082.8
460,2012-04-05,373082.14
461,2012-04-06,373082.11
462,2012-04-07,373082.02
463,2012-04-08,373081.94
464,2012-04-09,373081.85
465,2012-04-10,373082.67
466,2012-04-11,373082.91
467,2012-04-12,373083.19
468,2012-04-13,373083.07
469,2012-04-14,373083.97
470,2012-04-15,373084.67
471,2012-04-16,373086.08
472,2012-04-17,373086.24
473,2012-04-18,373086.71
474,2012-04-19,373085.92
475,2012-04-20,373087.03
476,2012-04-21,373085.81
477,2012-04-22,373084.58
478,2012-04-23,373084.57
479,2012-04-24,373084.46
480,2012-04-25,373083.75
481,2012-04-26,373084.38
482,2012-04-27,373085.53
483,2012-04-28,373084.89
484,2012-04-29,373084.34
485,2012-04-30,373084.67
486,2012-05-01,373085.6
487,2012-05-02,373085.6
488,2012-05-03,373086.61
489,2012-05-04,373087.29
490,2012-05-05,373087.75
491,2012-05-06,373084.5
492,2012-05-07,373083.05
493,2012-05-08,373084.02
494,2012-05-09,373084.53
495,2012-05-10,373084.54
496,2012-05-11,373084.05
497,2012-05-12,373085.03
498,2012-05-13,373086.26
499,2012-05-14,373085.31
500,2012-05-15,373086.44
501,2012-05-16,373087.88
502,2012-05-17,373087.09
503,2012-05-18,373087.33
504,2012-05-19,373087.14
505,2012-05-20,373087.23
506,2012-05-21,373087.74
507,2012-05-22,373087.71
508,2012-05-23,373087.7
509,2012-05-24,373087.08
510,2012-05-25,373086.88
511,2012-05-26,373088.55
512,2012-05-27,373088.95
513,2012-05-28,373088.83
514,2012-05-29,373088.36
515,2012-05-30,373087.97
516,2012-05-31,373087.8
517,2012-06-01,373087.98
518,2012-06-02,373086.97
519,2012-06-03,373087.25
520,2012-06-04,373086.96
521,2012-06-05,373087.08
522,2012-06-06,373088.22
523,2012-06-07,373088.95
524,2012-06-08,373088.64
525,2012-06-09,373088.23
526,2012-06-10,373088.67
527,2012-06-11,373088.85
528,2012-06-12,373089.25
529,2012-06-13,373089.13
530,2012-06-14,373088.74
531,2012-06-15,373089.11
532,2012-06-16,373088.06
533,2012-06-17,373087.77
534,2012-06-18,373087.74
535,2012-06-19,373087.83
536,2012-06-20,373087.58
537,2012-06-21,373088.28
538,2012-06-22,373088.11
539,2012-06-23,373087.58
540,2012-06-24,373087.95
541,2012-06-25,373087.43
542,2012-06-26,373087.91
543,2012-06-27,373087.57
544,2012-06-28,373089.19
545,2012-06-29,373088.66
546,2012-06-30,373088.45
547,2012-07-01,373088.07
548,2012-07-02,373088.23
549,2012-07-03,373088.36
550,2012-07-04,373088.8
551,2012-07-05,373088.85
552,2012-07-06,373088.94
553,2012-07-07,373089.39
554,2012-07-08,373089.24
555,2012-07-09,373089.08
556,2012-07-10,373089.08
557,2012-07-11,373088.82
558,2012-07-12,373088.13
559,2012-07-13,373088.12
560,2012-07-14,373088.16
561,2012-07-15,373088.47
562,2012-07-16,373088.32
563,2012-07-17,373088.55
564,2012-07-18,373088.61
565,2012-07-19,373088.78
566,2012-07-20,373088.7
567,2012-07-21,373088.89
568,2012-07-22,373089.11
569,2012-07-23,373088.83
570,2012-07-24,373089.36
571,2012-07-25,373089.04
572,2012-07-26,373088.87
573,2012-07-27,373088.69
574,2012-07-28,373089.08
575,2012-07-29,373089.38
576,2012-07-30,373088.7
577,2012-07-31,373088.68
578,2012-08-01,373088.88
579,2012-08-02,373088.58
580,2012-08-03,373088.68
581,2012-08-04,373088.91
582,2012-08-05,373089.42
583,2012-08-06,373088.99
584,2012-08-07,373088.49
585,2012-08-08,373088.37
586,2012-08-09,373087.4
587,2012-08-10,373086.81
588,2012-08-11,373086.05
589,2012-08-12,373085.79
590,2012-08-13,373085.56
591,2012-08-14,373086.66
592,2012-08-15,373086.41
593,2012-08-16,373085.73
594,2012-08-17,373085.3
595,2012-08-18,373084.4
596,2012-08-19,373083.77
597,2012-08-20,373083.58285714284
598,2012-08-21,373083.3957142857
599,2012-08-22,373083.20857142855
600,2012-08-23,373083.02142857143
601,2012-08-24,373082.8342857143
602,2012-08-25,373082.64714285714
603,2012-08-26,373082.46
604,2012-08-27,373082.62
605,2012-08-28,373082.16
606,2012-08-29,373081.7
607,2012-08-30,373081.67
608,2012-08-31,373081.28
609,2012-09-01,373080.97
610,2012-09-02,373080.79
611,2012-09-03,373080.37
612,2012-09-04,373080.63
613,2012-09-05,373081.53
614,2012-09-06,373081.65
615,2012-09-07,373082.28
616,2012-09-08,373083.03
617,2012-09-09,373083.79
618,2012-09-10,373083.78
619,2012-09-11,373083.31
620,2012-09-12,373083.12
621,2012-09-13,373082.46
622,2012-09-14,373082.4
623,2012-09-15,373082.54
624,2012-09-16,373082.58
625,2012-09-17,373082.52
626,2012-09-18,373082.28
627,2012-09-19,373082.13
628,2012-09-20,373082.65
629,2012-09-21,373083.46
630,2012-09-22,373082.93
631,2012-09-23,373083.0
632,2012-09-24,373083.82
633,2012-09-25,373083.76
634,2012-09-26,373083.81
635,2012-09-27,373083.11
636,2012-09-28,373083.09
637,2012-09-29,373082.95
638,2012-09-30,373083.38
639,2012-10-01,373083.28
640,2012-10-02,373082.81
641,2012-10-03,373082.4
642,2012-10-04,373081.6
643,2012-10-05,373080.76
644,2012-10-06,373080.29
645,2012-10-07,373080.54
646,2012-10-08,373080.26
647,2012-10-09,373080.19
648,2012-10-10,373080.62
649,2012-10-11,373080.51
650,2012-10-12,373080.63
651,2012-10-13,373080.26
652,2012-10-14,373080.22
653,2012-10-15,373080.82
654,2012-10-16,373080.88
655,2012-10-17,373080.61
656,2012-10-18,373080.1
657,2012-10-19,373080.02
658,2012-10-20,373079.88
659,2012-10-21,373079.81
660,2012-10-22,373079.96
661,2012-10-23,373080.01
662,2012-10-24,373079.24
663,2012-10-25,373079.04
664,2012-10-26,373078.96
665,2012-10-27,373079.53
666,2012-10-28,373080.99
667,2012-10-29,373083.24
668,2012-10-30,373083.96
669,2012-10-31,373084.01
670,2012-11-01,373084.72
671,2012-11-02,373085.04
672,2012-11-03,373085.04
673,2012-11-04,373083.97
674,2012-11-05,373084.27
675,2012-11-06,373083.42
676,2012-11-07,373082.25
677,2012-11-08,373081.93
678,2012-11-09,373081.78
679,2012-11-10,373081.32
680,2012-11-11,373080.21
681,2012-11-12,373080.45
682,2012-11-13,373081.12
683,2012-11-14,373080.82
684,2012-11-15,373080.65
685,2012-11-16,373080.9
686,2012-11-17,373081.01
687,2012-11-18,373081.07
688,2012-11-19,373083.96
689,2012-11-20,373084.49
690,2012-11-21,373082.83
691,2012-11-22,373081.45
692,2012-11-23,373081.54
693,2012-11-24,373081.15
694,2012-11-25,373081.45
695,2012-11-26,373082.22
696,2012-11-27,373082.13
697,2012-11-28,373082.42
698,2012-11-29,373082.72
699,2012-11-30,373082.98
700,2012-12-01,373083.4
701,2012-12-02,373084.21
702,2012-12-03,373085.28
703,2012-12-04,373086.91
704,2012-12-05,373087.95
705,2012-12-06,373086.88
706,2012-12-07,373086.22
707,2012-12-08,373085.33
708,2012-12-09,373083.89
709,2012-12-10,373081.82
710,2012-12-11,373080.39
711,2012-12-12,373079.09
712,2012-12-13,373077.96
713,2012-12-14,373078.48
714,2012-12-15,373079.96
715,2012-12-16,373081.09
716,2012-12-17,373080.45
717,2012-12-18,373080.93
718,2012-12-19,373081.48
719,2012-12-20,373082.62
720,2012-12-21,373082.66
721,2012-12-22,373083.99
722,2012-12-23,373084.82
723,2012-12-24,373085.32
724,2012-12-25,373085.44
725,2012-12-26,373084.78
726,2012-12-27,373084.99
727,2012-12-28,373084.33
728,2012-12-29,373085.18
729,2012-12-30,373085.97
730,2012-12-31,373086.57
731,2013-01-01,373086.79
732,2013-01-02,373086.91
733,2013-01-03,373085.92
734,2013-01-04,373085.72
735,2013-01-05,373084.97
736,2013-01-06,373084.24
737,2013-01-07,373084.55
738,2013-01-08,373085.33
739,2013-01-09,373086.36
740,2013-01-10,373086.27
741,2013-01-11,373086.8
742,2013-01-12,373085.19
743,2013-01-13,373083.77
744,2013-01-14,373082.97
745,2013-01-15,373081.99
746,2013-01-16,373080.96
747,2013-01-17,373080.27
748,2013-01-18,373079.03
749,2013-01-19,373077.45
750,2013-01-20,373075.76
751,2013-01-21,373074.9
752,2013-01-22,373073.44
753,2013-01-23,373071.97
754,2013-01-24,373072.62
755,2013-01-25,373073.82
756,2013-01-26,373075.04
757,2013-01-27,373076.36
758,2013-01-28,373078.14
759,2013-01-29,373078.55
760,2013-01-30,373080.72
761,2013-01-31,373082.25
762,2013-02-01,373083.38
763,2013-02-02,373083.56
764,2013-02-03,373085.14
765,2013-02-04,373086.82
766,2013-02-05,373087.19
767,2013-02-06,373086.74
768,2013-02-07,373086.82
769,2013-02-08,373086.51
770,2013-02-09,373085.17
771,2013-02-10,373082.64
772,2013-02-11,373079.95
773,2013-02-12,373081.26
774,2013-02-13,373082.95
775,2013-02-14,373085.02
776,2013-02-15,373087.34
777,2013-02-16,373087.8
778,2013-02-17,373087.3
779,2013-02-18,373086.45
780,2013-02-19,373086.93
781,2013-02-20,373087.23
782,2013-02-21,373087.4
783,2013-02-22,373086.89
784,2013-02-23,373085.3
785,2013-02-24,373085.61
786,2013-02-25,373086.18
787,2013-02-26,373086.51
788,2013-02-27,373085.69
789,2013-02-28,373083.98
790,2013-03-01,373083.46
791,2013-03-02,373084.38
792,2013-03-03,373084.07
793,2013-03-04,373084.78
794,2013-03-05,373084.4
795,2013-03-06,373084.54
796,2013-03-07,373083.13
797,2013-03-08,373084.14
798,2013-03-09,373084.83
799,2013-03-10,373085.09
800,2013-03-11,373084.6
801,2013-03-12,373085.07
802,2013-03-13,373085.17
803,2013-03-14,373084.5
804,2013-03-15,373083.71
805,2013-03-16,373083.19
806,2013-03-17,373083.42
807,2013-03-18,373083.43
808,2013-03-19,373083.83
809,2013-03-20,373084.72
810,2013-03-21,373086.38
811,2013-03-22,373085.66
812,2013-03-23,373085.31
813,2013-03-24,373085.07
814,2013-03-25,373084.93
815,2013-03-26,373084.88
816,2013-03-27,373085.79
817,2013-03-28,373085.87
818,2013-03-29,373085.4
819,2013-03-30,373085.9
820,2013-03-31,373086.5
821,2013-04-01,373086.2
822,2013-04-02,373086.24
823,2013-04-03,373085.94
824,2013-04-04,373085.06
825,2013-04-05,373084.23
826,2013-04-06,373083.9
827,2013-04-07,373084.33
828,2013-04-08,373085.03
829,2013-04-09,373084.91
830,2013-04-10,373085.89
831,2013-04-11,373085.14
832,2013-04-12,373085.43
833,2013-04-13,373086.74
834,2013-04-14,373087.9
835,2013-04-15,373088.68
836,2013-04-16,373087.45
837,2013-04-17,373086.41
838,2013-04-18,373086.17
839,2013-04-19,373085.17
840,2013-04-20,373085.35
841,2013-04-21,373086.43
842,2013-04-22,373088.47
843,2013-04-23,373087.91
844,2013-04-24,373086.95
845,2013-04-25,373086.61
846,2013-04-26,373086.27
847,2013-04-27,373085.9
848,2013-04-28,373086.1
849,2013-04-29,373085.48
850,2013-04-30,373085.8
851,2013-05-01,373086.52
852,2013-05-02,373086.39
853,2013-05-03,373085.2
854,2013-05-04,373084.17
855,2013-05-05,373085.92
856,2013-05-06,373086.68
857,2013-05-07,373085.68
858,2013-05-08,373084.96
859,2013-05-09,373086.47
860,2013-05-10,373086.55
861,2013-05-11,373086.79
862,2013-05-12,373087.88
863,2013-05-13,373088.97
864,2013-05-14,373088.83
865,2013-05-15,373088.36
866,2013-05-16,373088.0
867,2013-05-17,373088.38
868,2013-05-18,373088.17
869,2013-05-19,373088.05
870,2013-05-20,373088.9
871,2013-05-21,373088.48
872,2013-05-22,373088.76
873,2013-05-23,373088.46
874,2013-05-24,373088.03
875,2013-05-25,373087.67
876,2013-05-26,373087.53
877,2013-05-27,373088.35
878,2013-05-28,373088.92
879,2013-05-29,373089.0
880,2013-05-30,373088.99
881,2013-05-31,373089.31
882,2013-06-01,373087.44
883,2013-06-02,373086.74
884,2013-06-03,373085.8
885,2013-06-04,373086.28
886,2013-06-05,373086.16
887,2013-06-06,373085.49
888,2013-06-07,373085.8
889,2013-06-08,373086.17
890,2013-06-09,373086.0266666667
891,2013-06-10,373085.88333333336
892,2013-06-11,373085.74
893,2013-06-12,373086.98
894,2013-06-13,373086.69
895,2013-06-14,373087.24
896,2013-06-15,373087.56
897,2013-06-16,373087.39
898,2013-06-17,373087.66
899,2013-06-18,373087.96
900,2013-06-19,373088.15
901,2013-06-20,373087.31
902,2013-06-21,373086.6
903,2013-06-22,373086.52
904,2013-06-23,373086.96
905,2013-06-24,373087.45
906,2013-06-25,373087.39
907,2013-06-26,373086.92
908,2013-06-27,373087.06
909,2013-06-28,373087.06
910,2013-06-29,373087.32
911,2013-06-30,373087.51
912,2013-07-01,373087.48
913,2013-07-02,373087.89
914,2013-07-03,373088.08
915,2013-07-04,373087.88
916,2013-07-05,373087.7
917,2013-07-06,373086.97
918,2013-07-07,373086.37
