,datetime,EL_CAPITAN_RES_NR_LAKESIDE_CA.
225,2011-08-14,92531.5
226,2011-08-15,92355.0
227,2011-08-16,92178.5
228,2011-08-17,92002.0
229,2011-08-18,91825.5
230,2011-08-19,91649.0
231,2011-08-20,91472.5
232,2011-08-21,91296.0
233,2011-08-22,91119.5
234,2011-08-23,90943.0
235,2011-08-24,90766.5
236,2011-08-25,90590.0
237,2011-08-26,90510.0
238,2011-08-27,90370.0
239,2011-08-28,90250.0
240,2011-08-29,90100.0
241,2011-08-30,89970.0
242,2011-08-31,89850.0
243,2011-09-01,89710.0
244,2011-09-02,89580.0
245,2011-09-03,89460.0
246,2011-09-04,89310.0
247,2011-09-05,89200.0
248,2011-09-06,89110.0
249,2011-09-07,89030.0
250,2011-09-08,88960.0
251,2011-09-09,88930.0
252,2011-09-10,88910.0
253,2011-09-11,88870.0
254,2011-09-12,88840.0
255,2011-09-13,88790.0
256,2011-09-14,88770.0
257,2011-09-15,88730.0
258,2011-09-16,88690.0
259,2011-09-17,88650.0
260,2011-09-18,88610.0
261,2011-09-19,88570.0
262,2011-09-20,88490.0
263,2011-09-21,88430.0
264,2011-09-22,88380.0
265,2011-09-23,88310.0
266,2011-09-24,88260.0
267,2011-09-25,88200.0
268,2011-09-26,88140.0
269,2011-09-27,88080.0
270,2011-09-28,88030.0
271,2011-09-29,87990.0
272,2011-09-30,87900.0
273,2011-10-01,87770.0
274,2011-10-02,87630.0
275,2011-10-03,87630.0
276,2011-10-04,87500.0
277,2011-10-05,87500.0
278,2011-10-06,87370.0
279,2011-10-07,87370.0
280,2011-10-08,87370.0
281,2011-10-09,87240.0
282,2011-10-10,87110.0
283,2011-10-11,86980.0
284,2011-10-12,86980.0
285,2011-10-13,86850.0
286,2011-10-14,86720.0
287,2011-10-15,86720.0
288,2011-10-16,86590.0
289,2011-10-17,86460.0
290,2011-10-18,86330.0
291,2011-10-19,86330.0
292,2011-10-20,86200.0
293,2011-10-21,86200.0
294,2011-10-22,86070.0
295,2011-10-23,86070.0
296,2011-10-24,86070.0
297,2011-10-25,86070.0
298,2011-10-26,86070.0
299,2011-10-27,86070.0
300,2011-10-28,86070.0
301,2011-10-29,86070.0
302,2011-10-30,86070.0
303,2011-10-31,86070.0
304,2011-11-01,85940.0
305,2011-11-02,85940.0
306,2011-11-03,85940.0
307,2011-11-04,86070.0
308,2011-11-05,86070.0
309,2011-11-06,86200.0
310,2011-11-07,86200.0
311,2011-11-08,86200.0
312,2011-11-09,86200.0
313,2011-11-10,86200.0
314,2011-11-11,86200.0
315,2011-11-12,86330.0
316,2011-11-13,86330.0
317,2011-11-14,86330.0
318,2011-11-15,86330.0
319,2011-11-16,86330.0
320,2011-11-17,86330.0
321,2011-11-18,86330.0
322,2011-11-19,86330.0
323,2011-11-20,86460.0
324,2011-11-21,86460.0
325,2011-11-22,86460.0
326,2011-11-23,86460.0
327,2011-11-24,86590.0
328,2011-11-25,86590.0
329,2011-11-26,86590.0
330,2011-11-27,86590.0
331,2011-11-28,86590.0
332,2011-11-29,86590.0
333,2011-11-30,86590.0
334,2011-12-01,86590.0
335,2011-12-02,86590.0
336,2011-12-03,86460.0
337,2011-12-04,86460.0
338,2011-12-05,86330.0
339,2011-12-06,86330.0
340,2011-12-07,86330.0
341,2011-12-08,86200.0
342,2011-12-09,86200.0
343,2011-12-10,86200.0
344,2011-12-11,86070.0
345,2011-12-12,86200.0
346,2011-12-13,86200.0
347,2011-12-14,86200.0
348,2011-12-15,86200.0
349,2011-12-16,86200.0
350,2011-12-17,86200.0
351,2011-12-18,86200.0
352,2011-12-19,86200.0
353,2011-12-20,86330.0
354,2011-12-21,86200.0
355,2011-12-22,86330.0
356,2011-12-23,86330.0
357,2011-12-24,86200.0
358,2011-12-25,86330.0
359,2011-12-26,86330.0
360,2011-12-27,86330.0
361,2011-12-28,86330.0
362,2011-12-29,86330.0
363,2011-12-30,86330.0
364,2011-12-31,86330.0
365,2012-01-01,86330.0
366,2012-01-02,86330.0
367,2012-01-03,86330.0
368,2012-01-04,86330.0
369,2012-01-05,86330.0
370,2012-01-06,86330.0
371,2012-01-07,86200.0
372,2012-01-08,86200.0
373,2012-01-09,86200.0
374,2012-01-10,86070.0
375,2012-01-11,85940.0
376,2012-01-12,85680.0
377,2012-01-13,85550.0
378,2012-01-14,85420.0
379,2012-01-15,85290.0
380,2012-01-16,85160.0
381,2012-01-17,84910.0
382,2012-01-18,84780.0
383,2012-01-19,84650.0
384,2012-01-20,84520.0
385,2012-01-21,84390.0
386,2012-01-22,84260.0
387,2012-01-23,84260.0
388,2012-01-24,84130.0
389,2012-01-25,84000.0
390,2012-01-26,83870.0
391,2012-01-27,83610.0
392,2012-01-28,83480.0
393,2012-01-29,83350.0
394,2012-01-30,83230.0
395,2012-01-31,83230.0
396,2012-02-01,83230.0
397,2012-02-02,83230.0
398,2012-02-03,83230.0
399,2012-02-04,83230.0
400,2012-02-05,83230.0
401,2012-02-06,83230.0
402,2012-02-07,83230.0
403,2012-02-08,83350.0
404,2012-02-09,83350.0
405,2012-02-10,83350.0
406,2012-02-11,83350.0
407,2012-02-12,83350.0
408,2012-02-13,83350.0
409,2012-02-14,83480.0
410,2012-02-15,83480.0
411,2012-02-16,83620.0
412,2012-02-17,83620.0
413,2012-02-18,83640.0
414,2012-02-19,83650.0
415,2012-02-20,83660.0
416,2012-02-21,83690.0
417,2012-02-22,83700.0
418,2012-02-23,83710.0
419,2012-02-24,83710.0
420,2012-02-25,83710.0
421,2012-02-26,83730.0
422,2012-02-27,83800.0
423,2012-02-28,83870.0
424,2012-02-29,83890.0
425,2012-03-01,83910.0
426,2012-03-02,83920.0
427,2012-03-03,83960.0
428,2012-03-04,83970.0
429,2012-03-05,83970.0
430,2012-03-06,83960.0
431,2012-03-07,84000.0
432,2012-03-08,84000.0
433,2012-03-09,84000.0
434,2012-03-10,83980.0
435,2012-03-11,84000.0
436,2012-03-12,84000.0
437,2012-03-13,84000.0
438,2012-03-14,84000.0
439,2012-03-15,83910.0
440,2012-03-16,83750.0
441,2012-03-17,83910.0
442,2012-03-18,84020.0
443,2012-03-19,84130.0
444,2012-03-20,84090.0
445,2012-03-21,84040.0
446,2012-03-22,83960.0
447,2012-03-23,83910.0
448,2012-03-24,83800.0
449,2012-03-25,83710.0
450,2012-03-26,83640.0
451,2012-03-27,83570.0
452,2012-03-28,83550.0
453,2012-03-29,83550.0
454,2012-03-30,83590.0
455,2012-03-31,83600.0
456,2012-04-01,83650.0
457,2012-04-02,83660.0
458,2012-04-03,83640.0
459,2012-04-04,83520.0
460,2012-04-05,83430.0
461,2012-04-06,83350.0
462,2012-04-07,83290.0
463,2012-04-08,83190.0
464,2012-04-09,83090.0
465,2012-04-10,82980.0
466,2012-04-11,82940.0
467,2012-04-12,82890.0
468,2012-04-13,82930.0
469,2012-04-14,83070.0
470,2012-04-15,83140.0
471,2012-04-16,83200.0
472,2012-04-17,83250.0
473,2012-04-18,83300.0
474,2012-04-19,83370.0
475,2012-04-20,83460.0
476,2012-04-21,83520.0
477,2012-04-22,83590.0
478,2012-04-23,83640.0
479,2012-04-24,83710.0
480,2012-04-25,83790.0
481,2012-04-26,83930.0
482,2012-04-27,84020.0
483,2012-04-28,84090.0
484,2012-04-29,84150.0
485,2012-04-30,84200.0
486,2012-05-01,84270.0
487,2012-05-02,84330.0
488,2012-05-03,84400.0
489,2012-05-04,84460.0
490,2012-05-05,84500.0
491,2012-05-06,84540.0
492,2012-05-07,84610.0
493,2012-05-08,84630.0
494,2012-05-09,84650.0
495,2012-05-10,84670.0
496,2012-05-11,84700.0
497,2012-05-12,84680.0
498,2012-05-13,84680.0
499,2012-05-14,84700.0
500,2012-05-15,84680.0
501,2012-05-16,84660.0
502,2012-05-17,84680.0
503,2012-05-18,84670.0
504,2012-05-19,84630.0
505,2012-05-20,84660.0
506,2012-05-21,84620.0
507,2012-05-22,84590.0
508,2012-05-23,84580.0
509,2012-05-24,84570.0
510,2012-05-25,84520.0
511,2012-05-26,84500.0
512,2012-05-27,84490.0
513,2012-05-28,84490.0
514,2012-05-29,84440.0
515,2012-05-30,84450.0
516,2012-05-31,84420.0
517,2012-06-01,84390.0
518,2012-06-02,84360.0
519,2012-06-03,84370.0
520,2012-06-04,84330.0
521,2012-06-05,84310.0
522,2012-06-06,84300.0
523,2012-06-07,84240.0
524,2012-06-08,84230.0
525,2012-06-09,84200.0
526,2012-06-10,84170.0
527,2012-06-11,84170.0
528,2012-06-12,84140.0
529,2012-06-13,84100.0
530,2012-06-14,84090.0
531,2012-06-15,84060.0
532,2012-06-16,84050.0
533,2012-06-17,84010.0
534,2012-06-18,84000.0
535,2012-06-19,83960.0
536,2012-06-20,83920.0
537,2012-06-21,83890.0
538,2012-06-22,83870.0
539,2012-06-23,83840.0
540,2012-06-24,83820.0
541,2012-06-25,83790.0
542,2012-06-26,83750.0
543,2012-06-27,83730.0
544,2012-06-28,83700.0
545,2012-06-29,83680.0
546,2012-06-30,83640.0
547,2012-07-01,83610.0
548,2012-07-02,83570.0
549,2012-07-03,83540.0
550,2012-07-04,83450.0
551,2012-07-05,83400.0
552,2012-07-06,83320.0
553,2012-07-07,83240.0
554,2012-07-08,83160.0
555,2012-07-09,83070.0
556,2012-07-10,82940.0
557,2012-07-11,82790.0
558,2012-07-12,82680.0
559,2012-07-13,82580.0
560,2012-07-14,82450.0
561,2012-07-15,82310.0
562,2012-07-16,82210.0
563,2012-07-17,82080.0
564,2012-07-18,81950.0
565,2012-07-19,81790.0
566,2012-07-20,81650.0
567,2012-07-21,81500.0
568,2012-07-22,81350.0
569,2012-07-23,81230.0
570,2012-07-24,81070.0
571,2012-07-25,80920.0
572,2012-07-26,80800.0
573,2012-07-27,80650.0
574,2012-07-28,80530.0
575,2012-07-29,80380.0
576,2012-07-30,80240.0
577,2012-07-31,80130.0
578,2012-08-01,79990.0
579,2012-08-02,79860.0
580,2012-08-03,79720.0
581,2012-08-04,79600.0
582,2012-08-05,79460.0
583,2012-08-06,79340.0
584,2012-08-07,79220.0
585,2012-08-08,79070.0
586,2012-08-09,78970.0
587,2012-08-10,78890.0
588,2012-08-11,78740.0
589,2012-08-12,78610.0
590,2012-08-13,78470.0
591,2012-08-14,78350.0
592,2012-08-15,78190.0
593,2012-08-16,78050.0
594,2012-08-17,77890.0
595,2012-08-18,77730.0
596,2012-08-19,77590.0
597,2012-08-20,77470.0
598,2012-08-21,77320.0
599,2012-08-22,77200.0
600,2012-08-23,77060.0
601,2012-08-24,77000.0
602,2012-08-25,76970.0
603,2012-08-26,76950.0
604,2012-08-27,76920.0
605,2012-08-28,76890.0
606,2012-08-29,76880.0
607,2012-08-30,76860.0
608,2012-08-31,76830.0
609,2012-09-01,76810.0
610,2012-09-02,76770.0
611,2012-09-03,76760.0
612,2012-09-04,76710.0
613,2012-09-05,76690.0
614,2012-09-06,76660.0
615,2012-09-07,76650.0
616,2012-09-08,76630.0
617,2012-09-09,76610.0
618,2012-09-10,76630.0
619,2012-09-11,76610.0
620,2012-09-12,76600.0
621,2012-09-13,76600.0
622,2012-09-14,76540.0
623,2012-09-15,76530.0
624,2012-09-16,76510.0
625,2012-09-17,76470.0
626,2012-09-18,76460.0
627,2012-09-19,76430.0
628,2012-09-20,76410.0
629,2012-09-21,76400.0
630,2012-09-22,76380.0
631,2012-09-23,76350.0
632,2012-09-24,76320.0
633,2012-09-25,76300.0
634,2012-09-26,76280.0
635,2012-09-27,76260.0
636,2012-09-28,76240.0
637,2012-09-29,76230.0
638,2012-09-30,76200.0
639,2012-10-01,76190.0
640,2012-10-02,76130.0
641,2012-10-03,76060.0
642,2012-10-04,76000.0
643,2012-10-05,75950.0
644,2012-10-06,75900.0
645,2012-10-07,75870.0
646,2012-10-08,75820.0
647,2012-10-09,75750.0
648,2012-10-10,75690.0
649,2012-10-11,75640.0
650,2012-10-12,75620.0
651,2012-10-13,75560.0
652,2012-10-14,75500.0
653,2012-10-15,75440.0
654,2012-10-16,75370.0
655,2012-10-17,75310.0
656,2012-10-18,75230.0
657,2012-10-19,75160.0
658,2012-10-20,75080.0
659,2012-10-21,74910.0
660,2012-10-22,74740.0
661,2012-10-23,74570.0
662,2012-10-24,74390.0
663,2012-10-25,74230.0
664,2012-10-26,74020.0
665,2012-10-27,73840.0
666,2012-10-28,73660.0
667,2012-10-29,73480.0
668,2012-10-30,73300.0
669,2012-10-31,73120.0
670,2012-11-01,72940.0
671,2012-11-02,72770.0
672,2012-11-03,72610.0
673,2012-11-04,72410.0
674,2012-11-05,72240.0
675,2012-11-06,72060.0
676,2012-11-07,72000.0
677,2012-11-08,72020.0
678,2012-11-09,72040.0
679,2012-11-10,72020.0
680,2012-11-11,72000.0
681,2012-11-12,71990.0
682,2012-11-13,71970.0
683,2012-11-14,71960.0
684,2012-11-15,71960.0
685,2012-11-16,71950.0
686,2012-11-17,71950.0
687,2012-11-18,71930.0
688,2012-11-19,71930.0
689,2012-11-20,71920.0
690,2012-11-21,71920.0
691,2012-11-22,71920.0
692,2012-11-23,71910.0
693,2012-11-24,71890.0
694,2012-11-25,71880.0
695,2012-11-26,71880.0
696,2012-11-27,71870.0
697,2012-11-28,71880.0
698,2012-11-29,71870.0
699,2012-11-30,71880.0
700,2012-12-01,71880.0
701,2012-12-02,71880.0
702,2012-12-03,71880.0
703,2012-12-04,71880.0
704,2012-12-05,71870.0
705,2012-12-06,71870.0
706,2012-12-07,71870.0
707,2012-12-08,71850.0
708,2012-12-09,71870.0
709,2012-12-10,71840.0
710,2012-12-11,71820.0
711,2012-12-12,71810.0
712,2012-12-13,71890.0
713,2012-12-14,71920.0
714,2012-12-15,71960.0
715,2012-12-16,71960.0
716,2012-12-17,71970.0
717,2012-12-18,72020.0
718,2012-12-19,72000.0
719,2012-12-20,72000.0
720,2012-12-21,71980.0
721,2012-12-22,71980.0
722,2012-12-23,71980.0
723,2012-12-24,71990.0
724,2012-12-25,71980.0
725,2012-12-26,71990.0
726,2012-12-27,72000.0
727,2012-12-28,72000.0
