,datetime,TRINITY_LAKE_NR_LEWISTON_CA.
243,2011-09-01,2276000
244,2011-09-02,2272000
245,2011-09-03,2269000
246,2011-09-04,2266000
247,2011-09-05,2263000
248,2011-09-06,2259000
249,2011-09-07,2256000
250,2011-09-08,2254000
251,2011-09-09,2249000
252,2011-09-10,2245000
253,2011-09-11,2241000
254,2011-09-12,2238000
255,2011-09-13,2234000
256,2011-09-14,2230000
257,2011-09-15,2225000
258,2011-09-16,2220000
259,2011-09-17,2216000
260,2011-09-18,2212000
261,2011-09-19,2209000
262,2011-09-20,2205000
263,2011-09-21,2201000
264,2011-09-22,2198000
265,2011-09-23,2194000
266,2011-09-24,2189000
267,2011-09-25,2185000
268,2011-09-26,2180000
269,2011-09-27,2177000
270,2011-09-28,2174000
271,2011-09-29,2171000
272,2011-09-30,2167000
273,2011-10-01,2162000
274,2011-10-02,2157000
275,2011-10-03,2154000
276,2011-10-04,2152000
277,2011-10-05,2149000
278,2011-10-06,2146000
279,2011-10-07,2142000
280,2011-10-08,2139000
281,2011-10-09,2136000
282,2011-10-10,2135000
283,2011-10-11,2132000
284,2011-10-12,2129000
285,2011-10-13,2126000
286,2011-10-14,2122000
287,2011-10-15,2119000
288,2011-10-16,2116000
289,2011-10-17,2112000
290,2011-10-18,2109000
291,2011-10-19,2105000
292,2011-10-20,2102000
293,2011-10-21,2098000
294,2011-10-22,2094000
295,2011-10-23,2091000
296,2011-10-24,2088000
297,2011-10-25,2084000
298,2011-10-26,2080000
299,2011-10-27,2077000
300,2011-10-28,2076000
301,2011-10-29,2072000
302,2011-10-30,2069000
303,2011-10-31,2065000
304,2011-11-01,2063000
305,2011-11-02,2059000
306,2011-11-03,2055000
307,2011-11-04,2051000
308,2011-11-05,2048000
309,2011-11-06,2045000
310,2011-11-07,2041000
311,2011-11-08,2038000
312,2011-11-09,2035000
313,2011-11-10,2031000
314,2011-11-11,2027000
315,2011-11-12,2024000
316,2011-11-13,2021000
317,2011-11-14,2018000
318,2011-11-15,2015000
319,2011-11-16,2013000
320,2011-11-17,2009000
321,2011-11-18,2006000
322,2011-11-19,2003000
323,2011-11-20,2000000
324,2011-11-21,1998000
325,2011-11-22,1997000
326,2011-11-23,1995000
327,2011-11-24,1993000
328,2011-11-25,1990000
329,2011-11-26,1988000
330,2011-11-27,1985000
331,2011-11-28,1982000
332,2011-11-29,1978000
333,2011-11-30,1975000
334,2011-12-01,1971000
335,2011-12-02,1968000
336,2011-12-03,1965000
337,2011-12-04,1962000
338,2011-12-05,1960000
339,2011-12-06,1958000
340,2011-12-07,1956000
341,2011-12-08,1953000
342,2011-12-09,1951000
343,2011-12-10,1948000
344,2011-12-11,1946000
345,2011-12-12,1945000
346,2011-12-13,1943000
347,2011-12-14,1942000
348,2011-12-15,1941000
349,2011-12-16,1939000
350,2011-12-17,1937000
351,2011-12-18,1936000
352,2011-12-19,1936000
353,2011-12-20,1936000
354,2011-12-21,1936000
355,2011-12-22,1935000
356,2011-12-23,1935000
357,2011-12-24,1934000
358,2011-12-25,1934000
359,2011-12-26,1933000
360,2011-12-27,1933000
361,2011-12-28,1933000
362,2011-12-29,1933000
363,2011-12-30,1935000
364,2011-12-31,1936000
365,2012-01-01,1936000
366,2012-01-02,1936000
367,2012-01-03,1936000
368,2012-01-04,1936000
369,2012-01-05,1935000
370,2012-01-06,1934000
371,2012-01-07,1934000
372,2012-01-08,1934000
373,2012-01-09,1934000
374,2012-01-10,1933000
375,2012-01-11,1932000
376,2012-01-12,1932000
377,2012-01-13,1931000
378,2012-01-14,1931000
379,2012-01-15,1930000
380,2012-01-16,1930000
381,2012-01-17,1929000
382,2012-01-18,1930000
383,2012-01-19,1933000
384,2012-01-20,1936000
385,2012-01-21,1939000
386,2012-01-22,1941000
387,2012-01-23,1942000
388,2012-01-24,1943000
389,2012-01-25,1945000
