,datetime,SPIRIT_LAKE_AT_TUNNEL_AT_SPIRIT_LAKE__WA.
595,2012-08-22,3442.48
596,2012-08-23,3442.42
597,2012-08-24,3442.36
598,2012-08-25,3442.31
599,2012-08-26,3442.26
600,2012-08-27,3442.21
601,2012-08-28,3442.16
602,2012-08-29,3442.11
603,2012-08-30,3442.07
604,2012-08-31,3442.02
605,2012-09-01,3441.98
606,2012-09-02,3441.93
607,2012-09-03,3441.88
608,2012-09-04,3441.85
609,2012-09-05,3441.81
610,2012-09-06,3441.77
611,2012-09-07,3441.73
612,2012-09-08,3441.7
613,2012-09-09,3441.65
614,2012-09-10,3441.62
615,2012-09-11,3441.59
616,2012-09-12,3441.54
617,2012-09-13,3441.51
618,2012-09-14,3441.48
619,2012-09-15,3441.44
620,2012-09-16,3441.41
621,2012-09-17,3441.38
622,2012-09-18,3441.35
623,2012-09-19,3441.33
624,2012-09-20,3441.35
625,2012-09-21,3441.37
626,2012-09-22,3441.39
627,2012-09-23,3441.41
628,2012-09-24,3441.42
629,2012-09-25,3441.44
630,2012-09-26,3441.46
631,2012-09-27,3441.48
632,2012-09-28,3441.51
633,2012-09-29,3441.52
634,2012-09-30,3441.53
635,2012-10-01,3441.54
636,2012-10-02,3441.56
637,2012-10-03,3441.57
638,2012-10-04,3441.57
639,2012-10-05,3441.57
640,2012-10-06,3441.59
641,2012-10-07,3441.61
642,2012-10-08,3441.62
643,2012-10-09,3441.64
644,2012-10-10,3441.66
645,2012-10-11,3441.66
646,2012-10-12,3441.69
647,2012-10-13,3441.68
648,2012-10-14,3441.75
649,2012-10-15,3441.85
650,2012-10-16,3441.89
651,2012-10-17,3441.85
652,2012-10-18,3441.83
653,2012-10-19,3441.94
654,2012-10-20,3441.97
655,2012-10-21,3441.95
656,2012-10-22,3441.99
657,2012-10-23,3441.99
658,2012-10-24,3442.04
659,2012-10-25,3442.01
660,2012-10-26,3441.98
661,2012-10-27,3442.19
662,2012-10-28,3442.37
663,2012-10-29,3442.69
664,2012-10-30,3442.91
665,2012-10-31,3443.08
666,2012-11-01,3443.23
667,2012-11-02,3443.27
668,2012-11-03,3443.37
669,2012-11-04,3443.4
670,2012-11-05,3443.41
671,2012-11-06,3443.43
672,2012-11-07,3443.42
673,2012-11-08,3443.4
674,2012-11-09,3443.37
675,2012-11-10,3443.33
676,2012-11-11,3443.34
677,2012-11-12,3443.34
678,2012-11-13,3443.31
679,2012-11-14,3443.29
680,2012-11-15,3443.26
681,2012-11-16,3443.23
682,2012-11-17,3443.34
683,2012-11-18,3443.49
684,2012-11-19,3444.15
685,2012-11-20,3444.39
686,2012-11-21,3444.58
687,2012-11-22,3444.6
688,2012-11-23,3444.82
689,2012-11-24,3444.9
690,2012-11-25,3444.93
691,2012-11-26,3444.92
692,2012-11-27,3444.92
693,2012-11-28,3444.91
694,2012-11-29,3445.04
695,2012-11-30,3445.21
696,2012-12-01,3445.46
697,2012-12-02,3445.59
698,2012-12-03,3445.66
699,2012-12-04,3445.9
700,2012-12-05,3445.96
701,2012-12-06,3446.05
702,2012-12-07,3446.13
703,2012-12-08,3446.13
704,2012-12-09,3446.1
705,2012-12-10,3446.08
706,2012-12-11,3446.07
707,2012-12-12,3446.03
708,2012-12-13,3445.96
709,2012-12-14,3445.93
710,2012-12-15,3445.91
711,2012-12-16,3445.92
712,2012-12-17,3446.06
713,2012-12-18,3446.0
714,2012-12-19,3446.11
715,2012-12-20,3446.23
716,2012-12-21,3446.2
717,2012-12-22,3446.23
718,2012-12-23,3446.25
719,2012-12-24,3446.19
720,2012-12-25,3446.24
721,2012-12-26,3446.2
722,2012-12-27,3446.14
723,2012-12-28,3446.05
724,2012-12-29,3445.97
725,2012-12-30,3445.9
726,2012-12-31,3445.8
