,datetime,SWIFT_RESERVOIR_NEAR_COUGAR__WA.
262,2011-09-20,642798.65
263,2011-09-21,642798.31
264,2011-09-22,642798.35
265,2011-09-23,642797.82
266,2011-09-24,642797.6
267,2011-09-25,642797.46
268,2011-09-26,642796.61
269,2011-09-27,642795.9
270,2011-09-28,642795.93
271,2011-09-29,642795.01
272,2011-09-30,642795.03
273,2011-10-01,642795.18
274,2011-10-02,642795.07
275,2011-10-03,642794.78
276,2011-10-04,642794.48
277,2011-10-05,642794.41
278,2011-10-06,642794.51
279,2011-10-07,642794.7
280,2011-10-08,642795.0
281,2011-10-09,642795.35
282,2011-10-10,642795.77
283,2011-10-11,642796.61
284,2011-10-12,642797.19
285,2011-10-13,642797.64
286,2011-10-14,642797.94
287,2011-10-15,642798.22
288,2011-10-16,642798.3
289,2011-10-17,642797.22
290,2011-10-18,642796.96
291,2011-10-19,642797.28
292,2011-10-20,642796.64
293,2011-10-21,642796.73
294,2011-10-22,642797.18
295,2011-10-23,642796.92
296,2011-10-24,642797.23
297,2011-10-25,642797.63
298,2011-10-26,642797.99
299,2011-10-27,642797.87
300,2011-10-28,642797.52
301,2011-10-29,642796.4
302,2011-10-30,642796.35
303,2011-10-31,642796.08
304,2011-11-01,642795.66
305,2011-11-02,642795.04
306,2011-11-03,642794.5
307,2011-11-04,642793.29
308,2011-11-05,642791.55
309,2011-11-06,642790.34
310,2011-11-07,642789.48
311,2011-11-08,642788.36
312,2011-11-09,642787.12
313,2011-11-10,642787.04
314,2011-11-11,642786.82
315,2011-11-12,642787.36
316,2011-11-13,642787.86
317,2011-11-14,642788.35
318,2011-11-15,642787.92
319,2011-11-16,642787.86
320,2011-11-17,642787.16
321,2011-11-18,642786.99
322,2011-11-19,642786.04
323,2011-11-20,642784.1
324,2011-11-21,642782.66
325,2011-11-22,642784.76
326,2011-11-23,642790.54
327,2011-11-24,642793.27
328,2011-11-25,642793.59
329,2011-11-26,642792.88
330,2011-11-27,642792.72
331,2011-11-28,642792.42
332,2011-11-29,642792.14
333,2011-11-30,642791.52
334,2011-12-01,642791.46
335,2011-12-02,642791.32
336,2011-12-03,642791.08
337,2011-12-04,642790.81
338,2011-12-05,642790.51
339,2011-12-06,642790.25
340,2011-12-07,642790.4
341,2011-12-08,642789.63
342,2011-12-09,642787.94
343,2011-12-10,642786.49
344,2011-12-11,642785.13
345,2011-12-12,642784.16
346,2011-12-13,642783.43
347,2011-12-14,642783.57
348,2011-12-15,642783.43
349,2011-12-16,642784.1
350,2011-12-17,642784.69
351,2011-12-18,642785.2
352,2011-12-19,642785.8
353,2011-12-20,642786.37
354,2011-12-21,642786.96
355,2011-12-22,642786.94
356,2011-12-23,642787.45
357,2011-12-24,642787.47
358,2011-12-25,642787.84
359,2011-12-26,642787.12
360,2011-12-27,642787.05
361,2011-12-28,642788.47
362,2011-12-29,642789.89
363,2011-12-30,642794.18
364,2011-12-31,642794.7
365,2012-01-01,642794.03
366,2012-01-02,642793.45
367,2012-01-03,642792.72
368,2012-01-04,642792.44
369,2012-01-05,642791.65
370,2012-01-06,642790.57
371,2012-01-07,642789.46
372,2012-01-08,642788.67
373,2012-01-09,642787.66
374,2012-01-10,642787.11
375,2012-01-11,642786.15
376,2012-01-12,642784.42
377,2012-01-13,642782.46
378,2012-01-14,642780.89
379,2012-01-15,642778.92
380,2012-01-16,642777.08
381,2012-01-17,642774.66
382,2012-01-18,642774.11
383,2012-01-19,642773.73
384,2012-01-20,642773.47
385,2012-01-21,642775.67
386,2012-01-22,642779.24
387,2012-01-23,642780.38
388,2012-01-24,642780.02
389,2012-01-25,642780.25
390,2012-01-26,642781.25
391,2012-01-27,642781.02
392,2012-01-28,642779.93
393,2012-01-29,642779.17
394,2012-01-30,642779.12
395,2012-01-31,642778.72
396,2012-02-01,642777.76
397,2012-02-02,642777.18
398,2012-02-03,642775.72
399,2012-02-04,642774.43
400,2012-02-05,642772.43
401,2012-02-06,642770.44
402,2012-02-07,642770.09
403,2012-02-08,642768.19
404,2012-02-09,642765.89
405,2012-02-10,642764.0
406,2012-02-11,642762.47
407,2012-02-12,642760.87
408,2012-02-13,642760.29
409,2012-02-14,642759.15
410,2012-02-15,642758.54
411,2012-02-16,642757.06
412,2012-02-17,642756.04
413,2012-02-18,642754.52
414,2012-02-19,642752.53
415,2012-02-20,642751.35
416,2012-02-21,642752.25
417,2012-02-22,642757.99
418,2012-02-23,642761.97
419,2012-02-24,642762.83
420,2012-02-25,642763.67
421,2012-02-26,642762.78
422,2012-02-27,642761.38
423,2012-02-28,642759.36
424,2012-02-29,642757.03
425,2012-03-01,642756.91
426,2012-03-02,642754.98
427,2012-03-03,642752.53
428,2012-03-04,642750.07
429,2012-03-05,642747.47
430,2012-03-06,642744.74
431,2012-03-07,642742.33
432,2012-03-08,642741.81
433,2012-03-09,642741.05
434,2012-03-10,642740.29
435,2012-03-11,642739.78
436,2012-03-12,642739.55
437,2012-03-13,642738.72
438,2012-03-14,642738.15
439,2012-03-15,642738.61
440,2012-03-16,642741.32
441,2012-03-17,642742.66
442,2012-03-18,642743.22
443,2012-03-19,642743.65
444,2012-03-20,642743.66
445,2012-03-21,642744.39
446,2012-03-22,642743.87
447,2012-03-23,642742.63
448,2012-03-24,642742.74
449,2012-03-25,642742.02
450,2012-03-26,642741.41
451,2012-03-27,642740.4
452,2012-03-28,642740.43
453,2012-03-29,642740.89
454,2012-03-30,642744.75
455,2012-03-31,642748.24
456,2012-04-01,642750.44
457,2012-04-02,642750.44
458,2012-04-03,642751.12
459,2012-04-04,642752.37
460,2012-04-05,642754.11
461,2012-04-06,642755.42
462,2012-04-07,642757.37
463,2012-04-08,642759.18
464,2012-04-09,642760.2
465,2012-04-10,642761.37
466,2012-04-11,642763.16
467,2012-04-12,642764.59
468,2012-04-13,642765.56
469,2012-04-14,642766.85
470,2012-04-15,642767.58
471,2012-04-16,642769.24
472,2012-04-17,642771.42
473,2012-04-18,642773.19
474,2012-04-19,642775.01
475,2012-04-20,642777.59
476,2012-04-21,642780.09
477,2012-04-22,642783.2
478,2012-04-23,642786.95
479,2012-04-24,642791.09
480,2012-04-25,642794.96
481,2012-04-26,642798.17
482,2012-04-27,642799.34
483,2012-04-28,642799.0
484,2012-04-29,642798.27
485,2012-04-30,642798.17
486,2012-05-01,642798.2
487,2012-05-02,642797.72
488,2012-05-03,642797.36
489,2012-05-04,642797.07
490,2012-05-05,642797.17
491,2012-05-06,642797.8
492,2012-05-07,642798.34
493,2012-05-08,642798.73
494,2012-05-09,642798.53
495,2012-05-10,642797.24
496,2012-05-11,642796.65
497,2012-05-12,642797.12
498,2012-05-13,642797.89
499,2012-05-14,642798.73
500,2012-05-15,642798.67
501,2012-05-16,642798.15
502,2012-05-17,642798.94
503,2012-05-18,642798.78
504,2012-05-19,642798.26
505,2012-05-20,642797.55
506,2012-05-21,642797.19
507,2012-05-22,642797.74
508,2012-05-23,642798.75
509,2012-05-24,642798.19
510,2012-05-25,642799.03
511,2012-05-26,642798.4
512,2012-05-27,642799.04
513,2012-05-28,642798.41
514,2012-05-29,642798.24
515,2012-05-30,642797.94
516,2012-05-31,642797.28
517,2012-06-01,642796.07
518,2012-06-02,642796.22
519,2012-06-03,642796.45
520,2012-06-04,642797.05
521,2012-06-05,642798.65
522,2012-06-06,642798.74
523,2012-06-07,642798.3
524,2012-06-08,642797.85
525,2012-06-09,642798.82
526,2012-06-10,642798.82
527,2012-06-11,642797.72
528,2012-06-12,642797.72
529,2012-06-13,642798.58
530,2012-06-14,642799.35
531,2012-06-15,642798.37
532,2012-06-16,642798.6
533,2012-06-17,642798.97
534,2012-06-18,642799.04
535,2012-06-19,642798.47
536,2012-06-20,642797.89
537,2012-06-21,642797.17
538,2012-06-22,642798.23
539,2012-06-23,642798.72
540,2012-06-24,642798.53
541,2012-06-25,642798.74
542,2012-06-26,642799.23
543,2012-06-27,642798.71
544,2012-06-28,642797.91
545,2012-06-29,642797.63
546,2012-06-30,642797.95
547,2012-07-01,642797.9
548,2012-07-02,642798.03
549,2012-07-03,642799.02
550,2012-07-04,642799.44
551,2012-07-05,642798.68
552,2012-07-06,642798.18
553,2012-07-07,642797.47
554,2012-07-08,642797.83
555,2012-07-09,642797.85
556,2012-07-10,642798.72
557,2012-07-11,642798.57
558,2012-07-12,642799.11
559,2012-07-13,642798.26
560,2012-07-14,642798.71
561,2012-07-15,642799.27
562,2012-07-16,642799.13
563,2012-07-17,642798.35
564,2012-07-18,642798.25
565,2012-07-19,642798.52
566,2012-07-20,642798.79
567,2012-07-21,642799.06
568,2012-07-22,642799.32
569,2012-07-23,642799.09
570,2012-07-24,642798.82
571,2012-07-25,642798.59
572,2012-07-26,642798.72
573,2012-07-27,642799.24
574,2012-07-28,642799.04
575,2012-07-29,642798.89
576,2012-07-30,642798.95
577,2012-07-31,642798.57
578,2012-08-01,642798.3
579,2012-08-02,642798.33
580,2012-08-03,642798.14
581,2012-08-04,642797.55
582,2012-08-05,642796.79
583,2012-08-06,642796.06
584,2012-08-07,642796.12
585,2012-08-08,642796.47
586,2012-08-09,642796.11
587,2012-08-10,642795.94
588,2012-08-11,642795.92
589,2012-08-12,642795.25
590,2012-08-13,642794.07
591,2012-08-14,642792.6
592,2012-08-15,642792.19
593,2012-08-16,642791.71
594,2012-08-17,642791.22
595,2012-08-18,642791.59
596,2012-08-19,642791.73
597,2012-08-20,642791.84
598,2012-08-21,642791.85
599,2012-08-22,642791.77
600,2012-08-23,642791.76
601,2012-08-24,642791.8
602,2012-08-25,642792.08
603,2012-08-26,642791.94
604,2012-08-27,642792.19
605,2012-08-28,642792.41
606,2012-08-29,642792.67
607,2012-08-30,642792.84
608,2012-08-31,642793.13
609,2012-09-01,642793.42
610,2012-09-02,642793.26
611,2012-09-03,642793.16
612,2012-09-04,642792.67
613,2012-09-05,642791.8
614,2012-09-06,642791.49
615,2012-09-07,642790.98
616,2012-09-08,642790.67
617,2012-09-09,642790.1
618,2012-09-10,642790.26
619,2012-09-11,642790.6
620,2012-09-12,642790.72
621,2012-09-13,642790.57
622,2012-09-14,642789.76
623,2012-09-15,642789.97
624,2012-09-16,642789.13
625,2012-09-17,642788.3
626,2012-09-18,642787.66
627,2012-09-19,642787.61
628,2012-09-20,642787.28
629,2012-09-21,642786.34
630,2012-09-22,642786.28
631,2012-09-23,642785.5
632,2012-09-24,642784.88
633,2012-09-25,642784.52
634,2012-09-26,642784.16
635,2012-09-27,642783.62
636,2012-09-28,642783.73
637,2012-09-29,642783.75
638,2012-09-30,642783.73
639,2012-10-01,642783.94
640,2012-10-02,642784.13
641,2012-10-03,642784.2
642,2012-10-04,642784.18
643,2012-10-05,642784.37
644,2012-10-06,642783.99
645,2012-10-07,642783.49
646,2012-10-08,642783.69
647,2012-10-09,642783.78
648,2012-10-10,642783.53
649,2012-10-11,642783.51
650,2012-10-12,642783.56
651,2012-10-13,642783.7
652,2012-10-14,642783.74
653,2012-10-15,642784.37
654,2012-10-16,642785.0
655,2012-10-17,642785.44
656,2012-10-18,642785.64
