,datetime,ROSS_RESERVOIR_NEAR_NEWHALEM__WA.
225,2011-08-14,1601.38
226,2011-08-15,1601.18
227,2011-08-16,1600.98
228,2011-08-17,1600.75
229,2011-08-18,1600.6
230,2011-08-19,1600.47
231,2011-08-20,1600.38
232,2011-08-21,1600.28
233,2011-08-22,1600.32
234,2011-08-23,1600.57
235,2011-08-24,1600.69
236,2011-08-25,1600.67
237,2011-08-26,1600.72
238,2011-08-27,1600.63
239,2011-08-28,1600.6
240,2011-08-29,1600.53
241,2011-08-30,1600.51
242,2011-08-31,1600.44
243,2011-09-01,1600.26
244,2011-09-02,1600.0
245,2011-09-03,1599.72
246,2011-09-04,1599.41
247,2011-09-05,1599.07
248,2011-09-06,1598.75
249,2011-09-07,1598.46
250,2011-09-08,1598.12
251,2011-09-09,1597.97
252,2011-09-10,1597.78
253,2011-09-11,1597.6
254,2011-09-12,1597.43
255,2011-09-13,1597.36
256,2011-09-14,1597.12
257,2011-09-15,1596.89
258,2011-09-16,1596.68
259,2011-09-17,1596.34
260,2011-09-18,1596.12
261,2011-09-19,1595.82
262,2011-09-20,1595.32
263,2011-09-21,1594.96
264,2011-09-22,1594.9
265,2011-09-23,1594.92
266,2011-09-24,1594.9
267,2011-09-25,1594.95
268,2011-09-26,1595.27
269,2011-09-27,1596.04
270,2011-09-28,1596.15
271,2011-09-29,1596.13
272,2011-09-30,1596.07
273,2011-10-01,1595.94
274,2011-10-02,1595.76
275,2011-10-03,1595.62
276,2011-10-04,1595.57
277,2011-10-05,1595.37
278,2011-10-06,1595.13
279,2011-10-07,1594.9
280,2011-10-08,1594.59
281,2011-10-09,1594.29
282,2011-10-10,1594.05
283,2011-10-11,1594.21
284,2011-10-12,1594.37
285,2011-10-13,1594.36
286,2011-10-14,1594.22
287,2011-10-15,1593.96
288,2011-10-16,1593.66
289,2011-10-17,1593.36
290,2011-10-18,1593.2
291,2011-10-19,1592.94
292,2011-10-20,1592.7
293,2011-10-21,1592.47
294,2011-10-22,1592.55
295,2011-10-23,1592.76
296,2011-10-24,1592.74
297,2011-10-25,1592.56
298,2011-10-26,1592.34
299,2011-10-27,1592.08
300,2011-10-28,1591.81
301,2011-10-29,1591.56
302,2011-10-30,1591.25
303,2011-10-31,1591.13
304,2011-11-01,1590.8
305,2011-11-02,1590.24
306,2011-11-03,1589.52
307,2011-11-04,1588.78
308,2011-11-05,1587.96
309,2011-11-06,1587.07
310,2011-11-07,1586.51
311,2011-11-08,1586.1
312,2011-11-09,1585.68
313,2011-11-10,1585.25
314,2011-11-11,1584.89
315,2011-11-12,1584.53
316,2011-11-13,1584.15
317,2011-11-14,1583.43
318,2011-11-15,1582.9
319,2011-11-16,1582.54
320,2011-11-17,1582.14
321,2011-11-18,1581.76
322,2011-11-19,1581.27
323,2011-11-20,1580.68
324,2011-11-21,1580.42
325,2011-11-22,1580.28
326,2011-11-23,1580.55
327,2011-11-24,1580.7
328,2011-11-25,1580.58
329,2011-11-26,1580.45
330,2011-11-27,1581.66
331,2011-11-28,1582.72
332,2011-11-29,1583.1
333,2011-11-30,1583.07
334,2011-12-01,1583.04
335,2011-12-02,1582.84
336,2011-12-03,1582.7
337,2011-12-04,1582.42
338,2011-12-05,1582.12
339,2011-12-06,1581.77
340,2011-12-07,1581.39
341,2011-12-08,1580.99
342,2011-12-09,1580.61
343,2011-12-10,1580.21
344,2011-12-11,1579.76
345,2011-12-12,1579.29
346,2011-12-13,1578.85
347,2011-12-14,1578.39
348,2011-12-15,1577.85
349,2011-12-16,1577.46
350,2011-12-17,1577.04
351,2011-12-18,1576.59
352,2011-12-19,1576.04
353,2011-12-20,1575.6
