agency_cd	site_no	datetime	115575_00010_00001	115575_00010_00001_cd	115576_00010_00002	115576_00010_00002_cd	115577_00010_00003	115577_00010_00003_cd	115578_00400_00001	115578_00400_00001_cd	115579_00400_00002	115579_00400_00002_cd	115581_00400_00008	115581_00400_00008_cd	115582_00095_00001	115582_00095_00001_cd	115583_00095_00002	115583_00095_00002_cd	115584_00095_00003	115584_00095_00003_cd	115585_00300_00001	115585_00300_00001_cd	115586_00300_00002	115586_00300_00002_cd	115587_00300_00003	115587_00300_00003_cd	115588_62625_00001	115588_62625_00001_cd	115589_62625_00002	115589_62625_00002_cd	115590_62625_00003	115590_62625_00003_cd	115591_00036_00003	115591_00036_00003_cd	115592_00052_00001	115592_00052_00001_cd	115593_00052_00002	115593_00052_00002_cd	115594_00052_00003	115594_00052_00003_cd	115595_00020_00001	115595_00020_00001_cd	115596_00020_00002	115596_00020_00002_cd	115597_00020_00003	115597_00020_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422622122004000	2013-06-17	18.8	A	17.5	A	18.1	A	9.8	A	9.5	A	9.6	A	121	A	118	A	119	A																										
USGS	422622122004000	2013-06-18	18.4	A	17.0	A	17.6	A	9.8	A	9.6	A	9.8	A	120	A	119	A	119	A																										
USGS	422622122004000	2013-06-19	17.2	A	16.6	A	16.9	A	9.9	A	9.8	A	9.8	A	121	A	119	A	120	A																										
USGS	422622122004000	2013-06-20	17.1	A	16.2	A	16.6	A	10.0	A	9.8	A	9.8	A	123	A	119	A	121	A																										
USGS	422622122004000	2013-06-21	17.1	A	15.9	A	16.4	A	10.0	A	9.6	A	9.9	A	124	A	119	A	121	A																										
USGS	422622122004000	2013-06-22	17.3	A	15.8	A	16.4	A	10.1	A	9.8	A	9.9	A	127	A	120	A	122	A																										
USGS	422622122004000	2013-06-23	17.0	A	16.7	A	16.8	A	10.0	A	9.9	A	10.0	A	124	A	121	A	123	A																										
USGS	422622122004000	2013-06-24	16.7	A	16.0	A	16.4	A	10.0	A	9.9	A	10.0	A	123	A	121	A	122	A																										
USGS	422622122004000	2013-06-25	16.0	A	15.3	A	15.5	A	10.1	A	9.9	A	10.0	A	123	A	117	A	121	A																										
USGS	422622122004000	2013-06-26	15.5	A	15.0	A	15.2	A	10.0	A	9.8	A	10.0	A	122	A	116	A	120	A																										
USGS	422622122004000	2013-06-27	15.6	A	15.1	A	15.2	A	10.0	A	9.9	A	9.9	A	122	A	119	A	120	A																										
USGS	422622122004000	2013-06-28	18.3	A	15.6	A	17.2	A	10.2	A	9.9	A	10.1	A	126	A	121	A	124	A																										
USGS	422622122004000	2013-06-29	19.6	A	16.8	A	18.0	A	10.2	A	9.7	A	10.0	A	130	A	119	A	122	A																										
USGS	422622122004000	2013-06-30	19.7	A	18.6	A	19.1	A	10.2	A	10.0	A	10.0	A	127	A	121	A	123	A																										
USGS	422622122004000	2013-07-01	21.4	A	19.3	A	19.8	A	10.1	A	9.9	A	10.0	A	126	A	121	A	122	A																										
USGS	422622122004000	2013-07-02	21.9	A	20.3	A	20.9	A	10.1	A	9.9	A	10.0	A	127	A	120	A	123	A																										
USGS	422622122004000	2013-07-03	22.5	A	21.4	A	21.8	A	10.0	A	9.9	A	9.9	A	126	A	122	A	124	A																										
USGS	422622122004000	2013-07-04	22.6	A	21.2	A	21.8	A	10.0	A	9.7	A	9.9	A	125	A	118	A	122	A																										
USGS	422622122004000	2013-07-05	22.4	A	20.8	A	21.5	A	10.1	A	9.7	A	9.8	A	129	A	117	A	121	A																										
