agency_cd	site_no	datetime	164396_00010_00001	164396_00010_00001_cd	164397_00010_00002	164397_00010_00002_cd	164398_00010_00003	164398_00010_00003_cd	164399_00010_00001	164399_00010_00001_cd	164400_00010_00002	164400_00010_00002_cd	164401_00010_00003	164401_00010_00003_cd	164402_00010_00001	164402_00010_00001_cd	164403_00010_00002	164403_00010_00002_cd	164404_00010_00003	164404_00010_00003_cd	164405_00095_00001	164405_00095_00001_cd	164406_00095_00002	164406_00095_00002_cd	164407_00095_00003	164407_00095_00003_cd	164408_00095_00001	164408_00095_00001_cd	164409_00095_00002	164409_00095_00002_cd	164410_00095_00003	164410_00095_00003_cd	164411_00095_00001	164411_00095_00001_cd	164412_00095_00002	164412_00095_00002_cd	164413_00095_00003	164413_00095_00003_cd	164414_00300_00001	164414_00300_00001_cd	164415_00300_00002	164415_00300_00002_cd	164416_00300_00003	164416_00300_00003_cd	164417_00300_00001	164417_00300_00001_cd	164418_00300_00002	164418_00300_00002_cd	164419_00300_00003	164419_00300_00003_cd	164420_00300_00001	164420_00300_00001_cd	164421_00300_00002	164421_00300_00002_cd	164422_00300_00003	164422_00300_00003_cd	164423_00400_00001	164423_00400_00001_cd	164424_00400_00002	164424_00400_00002_cd	164425_00400_00008	164425_00400_00008_cd	164426_00400_00001	164426_00400_00001_cd	164427_00400_00002	164427_00400_00002_cd	164428_00400_00008	164428_00400_00008_cd	164429_00400_00001	164429_00400_00001_cd	164430_00400_00002	164430_00400_00002_cd	164431_00400_00008	164431_00400_00008_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	422820122032100	2014-07-24	24.7	A	17.2	A	20.7	A							24.2	A	17.2	A	19.8	A	118	A	90	A	107	A							123	A	93	A	108	A	14.7	A	6.4	A	10.7	A							16.1	A	7.4	A	10.4	A	9.5	A	8.2	A	9.2	A							9.5	A	8.1	A	8.8	A
USGS	422820122032100	2014-07-25	25.1	A	19.3	A	22.2	A							25.0	A	19.3	A	22.0	A	113	A	99	A	107	A							125	A	113	A	120	A	12.4	A	8.8	A	10.9	A							12.2	A	8.9	A	10.8	A	9.3	A	9.0	A	9.2	A							9.3	A	9.0	A	9.2	A
USGS	422820122032100	2014-07-26	26.5	A	20.9	A	23.4	A							25.8	A	20.9	A	23.2	A	111	A	99	A	104	A							126	A	116	A	120	A	11.7	A	9.3	A	10.7	A							11.8	A	8.8	A	10.6	A	9.2	A	8.9	A	9.2	A							9.3	A	9.0	A	9.2	A
USGS	422820122032100	2014-07-27	24.6	A	22.0	A	22.9	A							24.6	A	21.7	A	22.8	A	111	A	108	A	110	A							121	A	115	A	118	A	11.2	A	7.8	A	9.3	A							11.1	A	6.8	A	9.0	A	9.2	A	8.7	A	8.9	A							9.2	A	8.8	A	9.0	A
USGS	422820122032100	2014-07-28	26.0	A	20.6	A	23.4	A							25.7	A	20.6	A	22.7	A																			9.6	A	6.6	A	8.0	A							10.1	A	6.3	A	8.0	A	9.1	A	8.6	A	8.9	A							9.1	A	8.5	A	8.9	A
USGS	422820122032100	2014-07-29	24.4	A	20.5	A	22.8	A							24.4	A	19.8	A	22.4	A	115	A	110	A	112	A							115	A	102	A	111	A	8.2	A	4.4	A	6.1	A							8.3	A	4.0	A	6.0	A	8.8	A	7.7	A	8.4	A							8.6	A	7.4	A	8.2	A
USGS	422820122032100	2014-07-30	25.1	A	21.4	A	23.0	A							24.8	A	21.1	A	22.8	A	115	A	110	A	112	A							116	A	110	A	114	A	6.5	A	4.1	A	5.2	A							6.2	A	2.9	A	4.8	A	8.5	A	7.8	A	8.2	A							8.6	A	7.3	A	8.3	A
USGS	422820122032100	2014-07-31	25.9	A	21.1	A	23.5	A							25.4	A	21.1	A	23.0	A	115	A	113	A	114	A							119	A	108	A	115	A	6.6	A	3.7	A	5.1	A							8.2	A	2.6	A	4.7	A	8.5	A	7.6	A	8.0	A							8.6	A	7.3	A	7.8	A
USGS	422820122032100	2014-08-01	25.4	A	20.9	A	23.0	A							24.5	A	21.0	A	22.8	A	114	A	108	A	111	A							113	A	105	A	110	A	6.7	A	4.9	A	5.8	A							8.3	A	4.8	A	5.9	A	8.3	A	7.7	A	8.0	A							8.6	A	8.0	A	8.3	A
USGS	422820122032100	2014-08-02	25.1	A	21.8	A	23.5	A							25.0	A	21.8	A	23.4	A	115	A	113	A	114	A							115	A	113	A	114	A	8.4	A	4.5	A	6.4	A							8.2	A	3.6	A	6.0	A	8.7	A	7.9	A	8.3	A							8.9	A	7.8	A	8.4	A
