agency_cd	site_no	datetime	149696_62614_00003	149696_62614_00003_cd	149697_00010_00001	149697_00010_00001_cd	149698_00010_00002	149698_00010_00002_cd	149699_00010_00003	149699_00010_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s	14n	10s
USGS	12439000	2013-01-01	909.52	A	2.7	A	1.7	A	2.2	A
USGS	12439000	2013-01-02	909.50	A	2.2	A	1.4	A	1.8	A
USGS	12439000	2013-01-03	909.48	A	2.2	A	1.5	A	1.8	A
USGS	12439000	2013-01-04	909.47	A	1.8	A	1.1	A	1.5	A
USGS	12439000	2013-01-05	909.46	A	1.7	A	1.0	A	1.3	A
USGS	12439000	2013-01-06	909.45	A	1.5	A	1.1	A	1.3	A
USGS	12439000	2013-01-07	909.46	A	1.4	A	0.9	A	1.2	A
USGS	12439000	2013-01-08	909.46	A	1.4	A	0.8	A	1.2	A
USGS	12439000	2013-01-09	909.50	A	1.5	A	0.7	A	1.3	A
USGS	12439000	2013-01-10	909.56	A	1.3	A	0.0	A	0.5	A
USGS	12439000	2013-01-11	909.62	A	0.8	A	0.0	A	0.0	A
USGS	12439000	2013-01-12	909.62	A	1.1	A	0.5	A	0.8	A
USGS	12439000	2013-01-13	909.65	A	1.4	A	1.0	A	1.1	A
USGS	12439000	2013-01-14	909.67	A	1.0	A	0.6	A	0.7	A
USGS	12439000	2013-01-15	909.69	A	0.8	A	0.7	A	0.7	A
USGS	12439000	2013-01-16	909.70	A	0.8	A	0.5	A	0.7	A
USGS	12439000	2013-01-17	909.70	A	0.5	A	0.4	A	0.5	A
USGS	12439000	2013-01-18	909.71	A	0.6	A	0.3	A	0.5	A
USGS	12439000	2013-01-19	909.71	A	0.7	A	0.5	A	0.6	A
USGS	12439000	2013-01-20	909.71	A	1.0	A	0.7	A	0.8	A
USGS	12439000	2013-01-21	909.71	A	1.1	A	0.9	A	1.0	A
USGS	12439000	2013-01-22	909.71	A	1.1	A	0.9	A	1.0	A
USGS	12439000	2013-01-23	909.71	A	1.1	A	1.0	A	1.0	A
USGS	12439000	2013-01-24	909.71	A	1.0	A	0.8	A	0.9	A
USGS	12439000	2013-01-25	909.71	A	0.8	A	0.8	A	0.8	A
USGS	12439000	2013-01-26	909.71	A	0.9	A	0.8	A	0.9	A
USGS	12439000	2013-01-27	909.70	A	1.0	A	0.8	A	0.9	A
USGS	12439000	2013-01-28	909.70	A	0.9	A	0.9	A	0.9	A
USGS	12439000	2013-01-29	909.71	A	1.0	A	0.9	A	1.0	A
USGS	12439000	2013-01-30	909.71	A	1.1	A	0.8	A	1.0	A
USGS	12439000	2013-01-31	909.70	A	1.1	A	0.9	A	1.0	A
USGS	12439000	2013-02-01	909.70	A	1.0	A	0.8	A	0.9	A
USGS	12439000	2013-02-02	909.69	A	1.0	A	0.9	A	0.9	A
USGS	12439000	2013-02-03	909.69	A	1.0	A	0.9	A	1.0	A
USGS	12439000	2013-02-04	909.68	A	1.1	A	0.9	A	1.0	A
USGS	12439000	2013-02-05	909.68	A	1.5	A	1.0	A	1.2	A
USGS	12439000	2013-02-06	909.68	A	2.0	A	1.4	A	1.7	A
USGS	12439000	2013-02-07	909.71	A	2.3	A	1.6	A	1.9	A
USGS	12439000	2013-02-08	909.74	A	2.7	A	1.9	A	2.2	A
